fac_id,staff_id,m2saq1a,m2saq1b,m2saq3,m2saq4,m2saq5,m2saq6,m2saq7,m2saq8,m2saq9,m2saq10,m2saq10_oth,m2sbq2,m2sbq3,m2sbq4,m2sbq5,m2sbq6,m2sbq7,m2sbq8,m2sbq9,m2sbq9_oth,m2sbq10,m2sbq10_oth,m2sbq11,m2sbq12
601001,1,11-50,Over 5,Other,Secondary,Certificate,Female,45 or older,Yes,Yes,,,1.0,Other,Female,45 or older,Certificate,In the 1990s,Yes,,,Checking schedule,,Yes,Late release
601001,2,11-50,Over 5,Other,Secondary,Certificate,Female,45 or older,Yes,Yes,,,2.0,Other,Female,45 or older,Certificate,Before 1990,No,Approved absence,,,,,
601001,3,11-50,Over 5,Other,Secondary,Certificate,Male,,No,No,Approved absence,,3.0,Other,Male,,Certificate,,No,Approved absence,,,,,
601001,4,11-50,Over 5,Other,Secondary,Certificate,Male,,No,No,Not approved Absence,,4.0,Other,Male,,Certificate,,No,Not approved Absence,,,,,
601001,5,11-50,Over 5,Other,Secondary,Certificate,Female,,Yes,No,Approved absence,,5.0,Other,Female,,Certificate,,No,Sick/maternity,,,,,
601001,6,11-50,Over 5,Other,Secondary,Certificate,Male,,Yes,No,Approved absence,,,,,,,,,,,,,,
601001,7,11-50,Over 5,Other,Secondary,Certificate,Female,,Yes,No,Not his/her shift,,7.0,Other,Female,,Certificate,,No,Not his/her shift,,,,,
601001,8,11-50,Over 5,Other,Secondary,Certificate,Female,35-44,Yes,No,Approved absence,,,,,,,,,,,,,,
601001,9,11-50,Over 5,Other,Secondary,Certificate,Female,,Yes,No,Not his/her shift,,,,,,,,,,,,,,
601001,10,11-50,Over 5,Other,Secondary,Certificate,Male,,No,No,Not approved Absence,,10.0,Other,Male,,Certificate,,No,Not approved Absence,,,,,
601001,11,11-50,Over 5,Other,Secondary,Certificate,Female,,Yes,No,Not his/her shift,,11.0,Other,Male,,Certificate,,No,Not approved Absence,,,,,
601001,12,11-50,Over 5,Other,Secondary,,Male,,No,No,Not his/her shift,,,,,,,,,,,,,,
601001,13,11-50,Over 5,Other,Secondary,None,Female,,No,No,Not approved Absence,,,,,,,,,,,,,,
601001,14,11-50,Over 5,Other,Secondary,None,Female,,No,No,Not his/her shift,,,,,,,,,,,,,,
601001,15,11-50,Over 5,Other,Secondary,None,Female,,No,No,Not his/her shift,,,,,,,,,,,,,,
601001,16,11-50,Over 5,Other,Secondary,None,Male,,No,No,Approved absence,,16.0,Other,Male,,None,,No,Not approved Absence,,,,,
601001,17,11-50,Over 5,Other,Secondary,None,Male,,No,No,Not approved Absence,,,,,,,,,,,,,,
601001,18,11-50,Over 5,Other,Secondary,None,Female,,No,No,Not approved Absence,,,,,,,,,,,,,,
601001,19,11-50,Over 5,Other,Secondary,,Male,,No,No,Not approved Absence,,,,,,,,,,,,,,
601001,20,11-50,Over 5,Other,Secondary,None,Male,,No,No,Not approved Absence,,20.0,Other,Male,,None,,No,Approved absence,,,,,
601003,1,11-50,Over 5,Doctor,Post-Secondary,Advanced,Male,35-44,Yes,No,Approved absence,,,,,,,,,,,,,,
601003,2,11-50,Over 5,Doctor,Post-Secondary,Advanced,Male,45 or older,Yes,No,Not his/her shift,,,,,,,,,,,,,,
601003,3,11-50,Over 5,Other,Post-Secondary,Diploma,Male,35-44,No,No,Not his/her shift,,3.0,Other,Male,35-44,Diploma,After 2000,Yes,,,Reviewing or writing in chart,,No,
601003,4,11-50,Over 5,Other,Secondary,,Male,45 or older,No,Yes,,,4.0,Other,Male,45 or older,,Before 1990,No,Not his/her shift,,,,,
601003,5,11-50,Over 5,Other,Secondary,,Male,45 or older,No,Yes,,,,,,,,,,,,,,,
601003,6,11-50,Over 5,Other,Secondary,,Male,45 or older,No,No,Not his/her shift,,6.0,Other,Male,45 or older,,Before 1990,No,Approved absence,,,,,
601003,7,11-50,Over 5,Other,Post-Secondary,,Male,35-44,No,Yes,,,7.0,Other,Male,35-44,,After 2000,Yes,,,Looking up medical information,,No,
601003,8,11-50,Over 5,Nurse,Secondary,Advanced,Female,45 or older,No,No,Approved absence,,8.0,Nurse,Female,45 or older,Advanced,After 2000,Yes,,,Completing forms,,No,
601003,9,11-50,Over 5,Nurse,Secondary,Advanced,Female,45 or older,No,No,Approved absence,,,,,,,,,,,,,,
601003,10,11-50,Over 5,Nurse,Secondary,Advanced,Female,45 or older,Yes,Yes,,,,,,,,,,,,,,,
601003,11,11-50,Over 5,Nurse,Secondary,Advanced,Female,25-34,Yes,No,Not his/her shift,,11.0,Nurse,Female,25-34,Advanced,After 2000,No,Not his/her shift,,,,,
601003,12,11-50,Over 5,Nurse,Secondary,Advanced,Female,25-34,Yes,No,Not his/her shift,,,,,,,,,,,,,,
601003,13,11-50,Over 5,Nurse,Secondary,Advanced,Female,25-34,Yes,No,Not his/her shift,,,,,,,,,,,,,,
601003,14,11-50,Over 5,Nurse,Secondary,Advanced,Female,35-44,Yes,No,Approved absence,,14.0,Nurse,Female,35-44,Advanced,After 2000,No,Approved absence,,,,,
601003,15,11-50,Over 5,Nurse,Secondary,Advanced,Female,25-34,No,Yes,,,,,,,,,,,,,,,
601003,16,11-50,Over 5,Other,Secondary,Advanced,Female,25-34,Yes,No,Not his/her shift,,,,,,,,,,,,,,
601003,17,11-50,Over 5,Other,Secondary,Advanced,Female,25-34,Yes,Yes,,,17.0,Other,Female,25-34,Advanced,After 2000,No,Not his/her shift,,,,,
601003,18,11-50,Over 5,Other,Secondary,None,Female,45 or older,No,No,Not approved Absence,,,,,,,,,,,,,,
601003,19,11-50,Over 5,Other,Secondary,None,Female,45 or older,No,No,Not his/her shift,,19.0,Other,Female,45 or older,None,Before 1990,Yes,,,Writing a prescription,,No,
601003,20,11-50,Over 5,Other,Secondary,,Female,45 or older,No,No,Approved absence,,20.0,Other,Female,45 or older,,Before 1990,Yes,,,Looking up medical information,,No,
601003,21,11-50,Over 5,Other,Secondary,,Male,35-44,No,No,Not approved Absence,,,,,,,,,,,,,,
601004,1,11-50,Over 5,Other,Secondary,Certificate,Male,,Yes,No,Approved absence,,,,,,,,,,,,,,
601004,2,11-50,Over 5,Other,Secondary,Certificate,Male,45 or older,Yes,Yes,,,2.0,Other,Male,45 or older,Certificate,After 2000,No,Sick/maternity,,,,,
601004,3,11-50,Over 5,Other,Secondary,Certificate,Male,,Yes,No,Approved absence,,,,,,,,,,,,,,
601004,4,11-50,Over 5,Other,Secondary,Certificate,Male,,Yes,No,Approved absence,,4.0,Other,Male,,Certificate,,No,Approved absence,,,,,
601004,5,11-50,Over 5,Other,Secondary,,Male,,No,No,Approved absence,,,,,,,,,,,,,,
601004,6,11-50,Over 5,Other,Secondary,Certificate,Female,,Yes,No,Approved absence,,,,,,,,,,,,,,
601004,7,11-50,Over 5,Other,Secondary,Certificate,Male,,No,No,Approved absence,,7.0,Other,Male,,Certificate,,No,Approved absence,,,,,
601004,8,11-50,Over 5,Other,Secondary,Certificate,Female,35-44,No,Yes,,,8.0,Other,Female,35-44,Certificate,,No,Approved absence,,,,,
601004,9,11-50,Over 5,Other,Secondary,Certificate,Female,,No,No,Approved absence,,,,,,,,,,,,,,
601004,10,11-50,Over 5,Other,Secondary,Certificate,Female,,Yes,No,Approved absence,,10.0,Other,Female,,Certificate,,No,Approved absence,,,,,
601004,11,11-50,Over 5,Other,Secondary,,Female,35-44,No,Yes,,,11.0,Other,Female,35-44,,,No,Approved absence,,,,,
601004,12,11-50,Over 5,Other,Secondary,,Female,,No,No,Approved absence,,,,,,,,,,,,,,
601004,13,11-50,Over 5,Other,Secondary,,Female,,No,No,Approved absence,,13.0,Other,Female,,,,No,Approved absence,,,,,
601004,14,11-50,Over 5,Other,Secondary,Certificate,Female,,No,No,Approved absence,,14.0,Other,Female,,Certificate,,No,Approved absence,,,,,
601004,15,11-50,Over 5,Other,Secondary,Certificate,Female,,No,No,Approved absence,,,,,,,,,,,,,,
601004,16,11-50,Over 5,Other,Secondary,Certificate,Female,,No,No,Approved absence,,16.0,Other,Female,,Certificate,,No,Approved absence,,,,,
601004,17,11-50,Over 5,Other,Secondary,Certificate,Male,,No,No,Approved absence,,,,,,,,,,,,,,
601004,18,11-50,Over 5,Other,Secondary,Certificate,Male,,No,No,Approved absence,,,,,,,,,,,,,,
601004,19,11-50,Over 5,Other,Secondary,,Male,25-34,No,No,Approved absence,,19.0,Other,Male,25-34,,After 2000,Yes,,,Checking schedule,,No,
601005,1,11-50,5 or less,Other,Post-Secondary,Certificate,Male,45 or older,Yes,Yes,,,1.0,Other,Male,45 or older,Certificate,Before 1990,Yes,,,Other (specify),SITTING DOWN,Yes,Late release
601005,2,11-50,5 or less,Other,Secondary,Certificate,Female,25-34,Yes,No,Sick/maternity,,2.0,Other,Female,25-34,Certificate,,No,Sick/maternity,,,,,
601005,3,11-50,5 or less,Other,Secondary,,Female,Younger than 25,No,No,Not his/her shift,,3.0,Other,Female,Younger than 25,,After 2000,No,Not his/her shift,,,,,
601005,4,11-50,5 or less,Other,Secondary,Certificate,Male,45 or older,Yes,Yes,,,4.0,Other,Male,45 or older,Certificate,In the 1990s,Yes,,,Other (specify),SORTING MOSQUTOE NET,Yes,Late release
601005,5,11-50,5 or less,Other,Secondary,,Male,35-44,No,No,Not his/her shift,,5.0,Other,Male,35-44,,After 2000,No,Other (to specify),HAS NOT RESUMMED DUTY,,,,
