unique_id,fac_id,staff_id,m2sfq1,m2sfq3,m2sfq4,m2sfq7,m2sfq8,m2sfq9,m2sfq10,m2sfq11,m2sfq12,m2sfq13,m2sfq14,m2sfq14aut,m2sfq15,m2sfq16,m2sgq1,m2sgq3,m2sgq5,m2sgq6,m2sgq7,m2sgq8,m2sgq8aut,m2sgq9,m2sgq10,has_roster,has_absentee,country,absence_rate
1_16,1,16,Over 50,Over 5,16,Other,Secondary,Diploma,0,25-34,Oui,0,Absence autorisée (permission/congé),,Non,Non,,,,,,,,,,1,,Togo-2013,0.5
1_13,1,13,Over 50,Over 5,13,Nurse,Secondary,Diploma,Homme,45 or older,Oui,0,Absence autorisée (permission/congé),,Oui,Non,7.0,13.0,Nurse,Homme,0.0,Absence autorisée (permission/congé),,,,1,1.0,Togo-2013,0.5
1_11,1,11,Over 50,Over 5,11,Nurse,Secondary,Diploma,Homme,45 or older,0,Oui,,,Oui,Non,6.0,11.0,Nurse,Homme,0.0,Absence non autorisée,,,,1,1.0,Togo-2013,0.5
1_22,1,22,Over 50,Over 5,22,Other,Secondary,Diploma,0,25-34,Oui,Oui,,,Non,Oui,,,,,,,,,,1,,Togo-2013,0.5
1_20,1,20,Over 50,Over 5,20,Nurse,Post-Secondary,Advanced,0,25-34,Oui,Oui,,,Non,Oui,,,,,,,,,,1,,Togo-2013,0.5
1_12,1,12,Over 50,Over 5,12,Other,Primary,None,0,45 or older,0,0,"Repos de garde (pré-garde, sortie de garde)",,Non,Non,,,,,,,,,,1,,Togo-2013,0.5
1_25,1,25,Over 50,Over 5,25,Other,Primary,None,0,25-34,0,Oui,,,Non,Non,,,,,,,,,,1,,Togo-2013,0.5
1_9,1,9,Over 50,Over 5,9,Nurse,Secondary,Diploma,0,35-44,0,Oui,,,Oui,Non,5.0,9.0,Nurse,0.0,Oui,,,Consultation/visite de malade,0.0,1,1.0,Togo-2013,0.5
1_23,1,23,Over 50,Over 5,23,Nurse,Post-Secondary,Advanced,Homme,25-34,0,Oui,,,Non,Non,,,,,,,,,,1,,Togo-2013,0.5
1_7,1,7,Over 50,Over 5,7,Nurse,Secondary,Diploma,0,25-34,0,Oui,,,Non,Non,,,,,,,,,,1,,Togo-2013,0.5
1_10,1,10,Over 50,Over 5,10,Other,Secondary,Diploma,0,25-34,Oui,0,"Repos de garde (pré-garde, sortie de garde)",,Non,Non,,,,,,,,,,1,,Togo-2013,0.5
1_8,1,8,Over 50,Over 5,8,Nurse,Secondary,Diploma,Homme,35-44,0,0,Absence autorisée (permission/congé),,Oui,Non,4.0,8.0,Nurse,Homme,0.0,Absence autorisée (permission/congé),,,,1,1.0,Togo-2013,0.5
1_15,1,15,Over 50,Over 5,15,Other,Secondary,Diploma,0,25-34,Oui,0,"Repos de garde (pré-garde, sortie de garde)",,Oui,Non,9.0,15.0,Other,0.0,Oui,,,Discussion avec collègues/réunion/Staff,0.0,1,1.0,Togo-2013,0.5
1_24,1,24,Over 50,Over 5,24,Nurse,Post-Secondary,Advanced,0,25-34,Oui,0,Maladie/maternité,,Non,Non,,,,,,,,,,1,,Togo-2013,0.5
1_14,1,14,Over 50,Over 5,14,Clinical Officer,Post-Secondary,Advanced,Homme,25-34,Oui,Oui,,,Oui,Oui,8.0,14.0,Clinical Officer,Homme,0.0,Absence non autorisée,,,,1,1.0,Togo-2013,0.5
