fac_id,fpc_fac,fpc_abs,wgt_abs,wgt_know_b,wgt_know_c,wgt_know_d,wgt_know_e,wgt_know_f,wgt_know_g,wgt_know_h,fpc_know_b,fpc_know_c,fpc_know_d,fpc_know_e,fpc_know_f,fpc_know_g,fpc_know_h,fpc_15,fpc_67,wgt_fac,has_weights,m1saq1,m1saq2a,m1saq3,m1saq4,m1saq6,m1saq7,m1saq9b_1,m1saq9b_2,m1saq10h,m1saq10m,m1saq11h,m1saq11m,m1saq15b_1,m1saq15b_2,m1saq16,m1saq16s,m1sbq4,m1sbq8,m1sbq11,m1sbq12,m1sbq20,m1sbq23,m1sbq24,m1sbq25,m1sbq26,m1sbq27,m1sbq28,m1sbq29,m1scq17,m1scq18b,m1scq19b,m1scq20,m1sdq1a,m1sdq1b,m1sdq1c,m1sdq2a,m1sdq2b,m1sdq2c,m1sdq3a,m1sdq3b,m1sdq3c,m1sdq4a,m1sdq4b,m1sdq4c,m1sdq5a,m1sdq5b,m1sdq5c,m1sdq6a,m1sdq6b,m1sdq6c,m1sdq7a,m1sdq7b,m1sdq7c,m1sdq8a,m1sdq8b,m1sdq8c,m1sdq9a,m1sdq9b,m1sdq10a,m1sdq10b,m1sdq11a,m1sdq11b,m1sdq12a,m1sdq12b,m1sdq13a,m1sdq13b,m1seq1,m1seq2,m1seq3,m1seq4,m1seq5,m1seq6,m1seq7,m1seq8,m1seq9,m1seq10,m1seq11,m1seq12,m1seq13,m1seq14,m1seq15,m1seq16,m1seq17,m1seq18,m1seq19,m1seq20,m1seq21,m1seq22,m1seq23,m1seq24,m1seq25,m1seq26,m1seq27,m1seq28,m1seq29,m1seq30,m1seq31,m1seq32,m1seq33,m1seq34,m1seq35,m1seq36,m1seq37,m1seq38,m1seq39,m1seq40,m1seq41,m1seq42,m1seq43,m1seq44,m1seq45,m1seq46,m1seq47,m1seq48,m1seq49,m1seq50,m1seq51,m1seq52,m1seq53,m1seq54,m1seq54aut,m1seq55,m1seq56,m1seq57,m1seq58,m1seq59,m1seq60,m1seq61,m1seq62,m1seq63,m1seq64,m1seq65,m1seq66,has_facility,country,m1scq18a,m1scq19a
1,0.7307692,0.4,84.84211,9.852632,9.852632,9.852632,9.852632,9.852632,4.926316,4.926316,0.1388889,0.1388889,0.1388889,0.1388889,0.1388889,0.2777778,0.2777778,0.1388889,0.2777778,1.3684211,1,Oui,,4,402,1,Urban,61,132,12,30,18,45,61,132,Questionnaire rempli,3,Public,Hospital,Over 3000,Permanence et garde,Over 50,Oui,Oui,Oui,Oui,Oui,0,Oui,Non,0,0,0,Non,Oui (non observé),Public,Non,Oui (non observé),Public,Non,Oui (non observé),Public,Non,Oui (non observé),Public,Non,0.0,Public,Non,Oui (non observé),Public,Non,Oui (non observé),Public,Non,Oui (non observé),Public,Non,Oui (non observé),0,,Non,Oui (non observé),0,,Non,Oui (non observé),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),0,Oui,Non functionnel,5.0,"Oui, pas observé",Réseau électrique (CEET),,,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),"Oui, pas observé","Oui, pas observé","Oui, pas observé","Oui, pas observé",0,1,Togo-2013,0,2
10,0.23880596,1.0,26.48187,11.76972,11.76972,11.76972,11.76972,11.76972,5.88486,5.88486,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.25,0.5,2.94243,1,Oui,,4,403,10,Urban,61,132,7,30,10,57,61,132,Questionnaire rempli,3,Public,Health Post,Over 3000,Permanence,Over 50,Oui,Oui,Oui,Oui,0,0,0,Non,0,0,0,Non,0.0,Public,Non,Oui (non observé),Public,Non,Oui (non observé),Public,Non,Oui (non observé),Public,Non,Oui (non observé),Public,Non,Oui (non observé),Public,0,,,Non,Oui (non observé),Public,0,,0,,Non,0.0,0,,0,,Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Pas disponible aujourd'hui,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (MAIS TOUS périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),0,Au moins un observé (ET non-périmés),0,Au moins un observé (ET non-périmés),Oui,Non functionnel,0.0,0.0,Réseau électrique (CEET),,Oui,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),"Oui, pas observé","Oui, pas observé","Oui, pas observé","Oui, pas observé","Oui, pas observé",1,Togo-2013,0,0
100,0.21064301,1.0,14.707443,3.1515949,3.1515949,3.1515949,3.1515949,3.1515949,2.1010633,2.1010633,0.6666667,0.6666667,0.6666667,0.6666667,0.6666667,1.0,1.0,0.6666667,1.0,2.1010633,1,Oui,,2,206,100,Rural,81,82,9,42,15,23,81,82,Questionnaire rempli,4,Public,Health Post,0-500,Permanence et garde,50 or less,Oui,Oui,Oui,Oui,Oui,0,0,0,"Oui, payé par un privé",0,0,Non,Oui (non observé),Public,Non,Oui (non observé),Public,Non,Oui (non observé),Privé,Non,Oui (non observé),Public,0,,,Non,Oui (non observé),Public,Non,Oui (non observé),Public,0,,,0,,0,,Non,Oui (non observé),0,,0,,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Pas disponible aujourd'hui,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Pas disponible aujourd'hui,Jamais disponsible,Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Jamais disponsible,Pas disponible aujourd'hui,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),0,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),0,Oui,Non functionnel,6.0,"Oui, pas observé",Réseau électrique (CEET),,,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),"Oui, pas observé","Oui, pas observé","Oui, pas observé","Oui, pas observé",0,1,Togo-2013,0,0
101,0.21064301,1.0,9.321177,6.9908824,6.9908824,6.9908824,6.9908824,6.9908824,3.4954412,3.4954412,0.33333334,0.33333334,0.33333334,0.33333334,0.33333334,0.6666667,0.6666667,0.33333334,0.6666667,2.3302941,1,Oui,,2,206,101,Rural,11,12,10,47,15,20,11,12,Questionnaire rempli,1,Public,Health Post,501-1000,Permanence et garde,50 or less,Oui,Oui,Oui,Oui,Oui,0,0,0,"Oui, payé par un privé",0,0,Non,Oui (non observé),Public,Non,Oui (non observé),Public,Non,Oui (non observé),Public,Non,Oui (non observé),Public,Non,Oui (non observé),Public,Non,Oui (non observé),Public,0,,,0,,,0,,0,,0,,Non,Oui (non observé),0,,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Pas disponible aujourd'hui,Jamais disponsible,Pas disponible aujourd'hui,Disponible mais non observé (non-périmé),Au moins un observé (ET non-périmés),Jamais disponsible,Pas disponible aujourd'hui,Jamais disponsible,Pas disponible aujourd'hui,Pas disponible aujourd'hui,Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Pas disponible aujourd'hui,Pas disponible aujourd'hui,Jamais disponsible,Pas disponible aujourd'hui,Jamais disponsible,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Pas disponible aujourd'hui,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (MAIS TOUS périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,0,Au moins un observé (ET non-périmés),0,Au moins un observé (ET non-périmés),0,Oui,Non functionnel,2.0,0.0,Réseau électrique (CEET),,,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Jamais disponsible,Au moins un observé (ET non-périmés),"Oui, pas observé","Oui, pas observé","Oui, pas observé","Oui, pas observé","Oui, pas observé",1,Togo-2013,0,0
102,0.36619717,1.0,19.939898,13.293265,13.293265,13.293265,13.293265,13.293265,6.6466327,6.6466327,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,6.6466327,1,Oui,,2,206,102,Rural,111,112,12,25,17,20,111,112,Questionnaire rempli,5,Public,Health Post,0-500,Permanence et garde,50 or less,Oui,Oui,Oui,Oui,0,0,0,0,0,"Oui, payé par un privé","Oui, payé par un privé",Non,Oui (non observé),Public,Non,Oui (non observé),Public,Non,Oui (non observé),Public,Non,Oui (non observé),Public,Non,Oui (non observé),Public,Non,Oui (non observé),Public,Non,0.0,Public,0,,,0,,0,,Non,Oui (non observé),0,,0,,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Pas disponible aujourd'hui,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Pas disponible aujourd'hui,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Pas disponible aujourd'hui,Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),0,Oui,Non functionnel,2.0,"Oui, pas observé",Réseau électrique (CEET),,,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Jamais disponsible,Au moins un observé (ET non-périmés),"Oui, pas observé","Oui, pas observé","Oui, pas observé","Oui, pas observé",0,1,Togo-2013,2,0
103,0.21064301,1.0,11.318868,,,,,,11.318868,11.318868,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,11.318868,1,Oui,,2,206,103,Urban,91,92,10,18,16,0,91,92,Questionnaire rempli,4,Public,Health Post,0-500,Permanence et garde,50 or less,Oui,Oui,Oui,Oui,0,0,0,0,"Oui, payé par un privé",0,0,Non,0.0,Public,Non,Oui (non observé),Public,Non,Oui (non observé),Public,Non,Oui (non observé),Public,Non,Oui (non observé),Public,Non,Oui (non observé),Public,0,,,Non,Oui (non observé),Privé,0,,0,,0,,Non,Oui (non observé),0,,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Pas disponible aujourd'hui,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (MAIS TOUS périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),0,Oui,"Oui, observé",,,Gaz,,,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),"Oui, pas observé","Oui, pas observé",0,"Oui, pas observé",0,1,Togo-2013,0,0
104,0.21064301,1.0,16.033533,10.689022,10.689022,10.689022,10.689022,10.689022,5.344511,5.344511,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,5.344511,1,Oui,,2,206,104,Rural,21,22,13,35,17,0,21,22,Questionnaire rempli,1,Public,Health Post,1001-2000,Permanence et garde,50 or less,Oui,Oui,Oui,Oui,Oui,0,0,0,"Oui, payé par un privé",0,0,Non,Oui (non observé),Public,Non,Oui (non observé),Public,Non,Oui (non observé),Public,Non,Oui (non observé),Public,Non,Oui (non observé),Public,Non,Oui (non observé),Public,0,,,Non,Oui (non observé),Public,0,,0,,0,,Non,Oui (observé),0,,Pas disponible aujourd'hui,Pas disponible aujourd'hui,Pas disponible aujourd'hui,Pas disponible aujourd'hui,Pas disponible aujourd'hui,Pas disponible aujourd'hui,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Pas disponible aujourd'hui,Jamais disponsible,Pas disponible aujourd'hui,Jamais disponsible,Jamais disponsible,Pas disponible aujourd'hui,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Pas disponible aujourd'hui,Pas disponible aujourd'hui,Pas disponible aujourd'hui,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Pas disponible aujourd'hui,Jamais disponsible,Jamais disponsible,Jamais disponsible,Pas disponible aujourd'hui,Pas disponible aujourd'hui,Pas disponible aujourd'hui,Pas disponible aujourd'hui,Jamais disponsible,Jamais disponsible,Au moins un observé (MAIS TOUS périmés),Au moins un observé (MAIS TOUS périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),0,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),0,0,,,,,,Oui,Disponible mais non observé (non-périmé),Disponible mais non observé (non-périmé),Disponible mais non observé (non-périmé),Disponible mais non observé (non-périmé),Jamais disponsible,Disponible mais non observé (non-périmé),"Oui, pas observé","Oui, pas observé","Oui, pas observé","Oui, pas observé","Oui, pas observé",1,Togo-2013,0,0
105,0.36619717,1.0,7.773538,6.2188306,6.2188306,6.2188306,6.2188306,6.2188306,2.0729434,2.0729434,0.25,0.25,0.25,0.25,0.25,0.75,0.75,0.25,0.75,1.5547076,1,Oui,,2,206,105,Rural,122,121,13,0,17,30,122,121,Questionnaire rempli,5,Private,Health Center,501-1000,Permanence et garde,50 or less,Oui,Oui,Oui,Oui,0,0,Oui,0,"Oui, payé par un privé",0,0,Non,Oui (non observé),Public,Non,Oui (non observé),Public,Non,Oui (non observé),Public,Non,Oui (non observé),Public,Non,Oui (non observé),Public,Non,Oui (non observé),Public,Non,Oui (non observé),Public,Non,Oui (non observé),Public,0,,0,,0,,Non,Oui (non observé),0,,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Pas disponible aujourd'hui,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Pas disponible aujourd'hui,Jamais disponsible,Pas disponible aujourd'hui,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Pas disponible aujourd'hui,Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),0,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),0,0,,,,,,Oui,Pas disponible aujourd'hui,Pas disponible aujourd'hui,Pas disponible aujourd'hui,Pas disponible aujourd'hui,Jamais disponsible,Pas disponible aujourd'hui,"Oui, pas observé","Oui, pas observé","Oui, pas observé","Oui, pas observé","Oui, pas observé",1,Togo-2013,0,0
106,0.21064301,1.0,41.25981,16.503925,16.503925,16.503925,16.503925,16.503925,8.251963,8.251963,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,8.251963,1,Oui,,2,206,106,Rural,21,22,7,0,13,15,21,22,Questionnaire incomplet,1,Private,Health Post,1001-2000,Permanence et garde,50 or less,Oui,Oui,Oui,Oui,0,0,0,0,"Oui, payé par un privé",0,"Oui, payé par un privé",Non,Oui (non observé),Public,Non,Oui (non observé),Public,0,,,Non,Oui (non observé),Public,Non,Oui (non observé),Public,Non,Oui (non observé),Public,0,,,0,,,0,,0,,Non,Oui (non observé),Non,Oui (non observé),0,,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Disponible mais non observé (non-périmé),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),0,Oui,Non functionnel,2.0,"Oui, pas observé",Panneau solaire,,,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Jamais disponsible,Au moins un observé (ET non-périmés),"Oui, observé","Oui, pas observé","Oui, pas observé","Oui, pas observé","Oui, pas observé",1,Togo-2013,0,2
107,0.21064301,1.0,9.909527,6.6063514,6.6063514,6.6063514,6.6063514,6.6063514,3.3031757,3.3031757,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,3.3031757,1,Oui,,2,206,107,Rural,101,102,10,35,15,45,101,102,Questionnaire rempli,4,Public,Health Post,501-1000,Permanence et garde,50 or less,Oui,Oui,Oui,Oui,0,0,0,0,"Oui, payé par un privé",0,0,Non,Oui (non observé),Public,Non,Oui (non observé),Public,Non,Oui (non observé),Public,Non,Oui (non observé),Public,Non,Oui (non observé),Public,Non,Oui (non observé),Public,0,,,0,,,0,,0,,0,,Non,Oui (non observé),0,,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Jamais disponsible,Pas disponible aujourd'hui,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Pas disponible aujourd'hui,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (MAIS TOUS périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Jamais disponsible,Pas disponible aujourd'hui,Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Au moins un observé (MAIS TOUS périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),0,0,Oui,"Oui, observé",,,Gaz,,,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),"Oui, pas observé","Oui, pas observé","Oui, pas observé","Oui, pas observé","Oui, pas observé",1,Togo-2013,0,0
