unique_id,fac_id,staff_id,m2saq1,m2saq2,m2saq3,m2q5_c,m2q6_hr,m2q6_mn,m2q7_hr,m2q7_mn,m2saq4,m2saq7,m2saq8,m2saq9,m2saq10,m2saq11,m2saq12,m2saq13,m2saq14,m2saq15,m2saq16,m2sbq1,m2sbq3,m2sbq5,m2sbq6,m2sbq7,m2sbq8,m2sbq9,m2sbq10,m2sbq11,m2sbq12,m2sbq13,m2sbq14,has_roster,has_absentee,country,absence_rate
1_2,1,2,5 or less,5 or less,5 or less,703,9,15,9,30,2,Other,Secondary,Certificate,0,Younger than 25,0,Yes,,Yes,,2.0,2.0,Other,Secondary,Certificate,After 2000,0.0,Younger than 25,Yes,,Consultation/visiting patient,0.0,1,1.0,Tanzania-2014,0.0
1_1,1,1,5 or less,5 or less,5 or less,703,9,15,9,30,1,Clinical Officer,Secondary,Diploma,Male,45 or older,Yes,Yes,,Yes,Yes,1.0,1.0,Clinical Officer,Secondary,Diploma,Before 1990,Male,45 or older,Yes,,Consultation/visiting patient,0.0,1,1.0,Tanzania-2014,0.0
1_3,1,3,5 or less,5 or less,5 or less,703,9,15,9,30,3,Other,Secondary,Certificate,0,Younger than 25,0,Yes,,Yes,,3.0,3.0,Other,Secondary,Certificate,After 2000,0.0,Younger than 25,Yes,,Consultation/visiting patient,0.0,1,1.0,Tanzania-2014,0.0
10_7,10,7,11-50,6-10,5 or less,703,9,30,10,15,7,Other,Primary,Certificate,Male,45 or older,0,Yes,,Yes,,7.0,7.0,Other,Primary,Certificate,Before 1990,Male,45 or older,Yes,,Laboratory/investigations/X-ray,0.0,1,1.0,Tanzania-2014,0.2
10_2,10,2,11-50,6-10,5 or less,703,9,30,10,15,2,Clinical Officer,Secondary,Certificate,Male,45 or older,Yes,0,Authorised absence (permision/leave),Yes,,2.0,2.0,Clinical Officer,Secondary,Certificate,Before 1990,Male,45 or older,Yes,,Consultation/visiting patient,0.0,1,1.0,Tanzania-2014,0.2
10_8,10,8,11-50,6-10,5 or less,703,9,30,10,15,8,Other,Primary,Certificate,0,35-44,0,Yes,,Yes,,8.0,8.0,Other,Primary,Certificate,In the 1990s,0.0,35-44,Yes,,Consultation/visiting patient,0.0,1,1.0,Tanzania-2014,0.2
10_6,10,6,11-50,6-10,5 or less,703,9,30,10,15,6,Other,Secondary,Certificate,0,35-44,0,Yes,,Yes,,6.0,6.0,Other,Secondary,Certificate,After 2000,0.0,35-44,0.0,"On call (pre on call, post on call)",,,1,1.0,Tanzania-2014,0.2
10_3,10,3,11-50,6-10,5 or less,703,9,30,10,15,3,Nurse,Primary,Certificate,0,45 or older,0,Yes,,Yes,,3.0,3.0,Nurse,Primary,Certificate,Before 1990,0.0,45 or older,Yes,,Consultation/visiting patient,0.0,1,1.0,Tanzania-2014,0.2
10_5,10,5,11-50,6-10,5 or less,703,9,30,10,15,5,Other,Primary,Certificate,0,45 or older,0,Yes,,Yes,,5.0,5.0,Other,Primary,Certificate,Before 1990,0.0,45 or older,Yes,,Consultation/visiting patient,0.0,1,1.0,Tanzania-2014,0.2
10_1,10,1,11-50,6-10,5 or less,703,9,30,10,15,1,Clinical Officer,Secondary,Diploma,Male,35-44,Yes,Yes,,Yes,Yes,1.0,1.0,Clinical Officer,Secondary,Diploma,In the 1990s,Male,35-44,Yes,,Consultation/visiting patient,0.0,1,1.0,Tanzania-2014,0.2
10_10,10,10,11-50,6-10,5 or less,703,9,30,10,15,10,Other,Secondary,Certificate,0,25-34,0,Yes,,Yes,,10.0,10.0,Other,Secondary,Certificate,After 2000,0.0,25-34,Yes,,Consultation/visiting patient,0.0,1,1.0,Tanzania-2014,0.2
10_9,10,9,11-50,6-10,5 or less,703,9,30,10,15,9,Other,Secondary,Certificate,Male,25-34,0,Yes,,Yes,,9.0,9.0,Other,Secondary,Certificate,After 2000,Male,25-34,0.0,Collecting salary,,,1,1.0,Tanzania-2014,0.2
10_4,10,4,11-50,6-10,5 or less,703,9,30,10,15,4,Other,Secondary,Certificate,0,25-34,0,Yes,,Yes,,4.0,4.0,Other,Secondary,Certificate,After 2000,0.0,25-34,Yes,,Consultation/visiting patient,0.0,1,1.0,Tanzania-2014,0.2
100_2,100,2,11-50,11-50,5 or less,403,12,11,11,30,2,Clinical Officer,Secondary,Diploma,Male,25-34,Yes,Yes,,Yes,Yes,2.0,2.0,Clinical Officer,Secondary,Diploma,After 2000,Male,25-34,Yes,,Consultation/visiting patient,0.0,1,1.0,Tanzania-2014,0.4
100_4,100,4,11-50,11-50,5 or less,403,12,11,11,30,4,Other,Secondary,Certificate,0,35-44,0,0,"On call (pre on call, post on call)",Yes,,4.0,4.0,Other,Secondary,Certificate,In the 1990s,0.0,35-44,0.0,"On call (pre on call, post on call)",,,1,1.0,Tanzania-2014,0.4
100_8,100,8,11-50,11-50,5 or less,403,12,11,11,30,8,Other,Secondary,Certificate,0,25-34,0,0,"On call (pre on call, post on call)",Yes,,7.0,8.0,Other,Secondary,Certificate,After 2000,0.0,25-34,0.0,"On call (pre on call, post on call)",,,1,1.0,Tanzania-2014,0.4
100_10,100,10,11-50,11-50,5 or less,403,12,11,11,30,10,Other,Secondary,Certificate,0,25-34,0,0,"On call (pre on call, post on call)",Yes,,9.0,10.0,Other,Secondary,Certificate,After 2000,0.0,25-34,0.0,"On call (pre on call, post on call)",,,1,1.0,Tanzania-2014,0.4
100_6,100,6,11-50,11-50,5 or less,403,12,11,11,30,6,Other,Secondary,Certificate,0,35-44,Yes,Yes,,Yes,Yes,5.0,6.0,Other,Secondary,Certificate,In the 1990s,0.0,35-44,Yes,,Consultation/visiting patient,Yes,1,1.0,Tanzania-2014,0.4
100_5,100,5,11-50,11-50,5 or less,403,12,11,11,30,5,Other,Secondary,Certificate,0,45 or older,0,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Tanzania-2014,0.4
100_11,100,11,11-50,11-50,5 or less,403,12,11,11,30,11,Other,Secondary,Certificate,0,45 or older,0,0,"On call (pre on call, post on call)",Yes,,10.0,11.0,Other,Secondary,Certificate,Before 1990,0.0,45 or older,Yes,,Consultation/visiting patient,Yes,1,1.0,Tanzania-2014,0.4
100_7,100,7,11-50,11-50,5 or less,403,12,11,11,30,7,Other,Primary,Certificate,0,35-44,0,0,"On call (pre on call, post on call)",Yes,,6.0,7.0,Other,Secondary,Certificate,In the 1990s,0.0,35-44,Yes,,Consultation/visiting patient,Yes,1,1.0,Tanzania-2014,0.4
