country,facility_id,abs_prob,abs_wt,act_a,admin1,admin3,admin4,admin5,admin6,adultscale_a,adultscale_b,amoxicillin3_a,ampicillin2_a,ampicillin_a,artesunate_a,autoclave_a,autoclave_b,azithromycin_a,bcg_vac,benzathine_a,benzylpenicillin_a,calgluc_a,cefixime_a,ceftriaxone2_a,childscale_a,childscale_b,contraceptive_a,cotrimoxazole3_a,depo_a,dryheat_a,dryheat_b,expired_drugs,faccomputer_b,facility_level,facmobile_b,fansidar_a,final_wt,folic_a,fridge_tempmon,gentamycin_a,glucometer_a,glucometer_b,has_antibiotics,has_anticonvuls,has_autosyringe,has_delivery,has_dispsyringe,has_facility,has_fcondoms,has_fridge,has_gloves,has_icepacks,has_implants,has_iuds,has_mcondoms,has_ocytocics,has_placenta,has_poc,has_sharps,has_vaccarrier,has_weights,hivtest_a,hivtest_b,incinerator_a,incinerator_b,indmobile1_b,infantscale_a,infantscale_b,internet_b,ipw,irona_a,magsulf_a,measles_vac,methasone_a,metronidazole_a,microscope_a,microscope_b,misoprostol_a,nacl_a,nifedipine2_a,nonelectric_a,nonelectric_b,num_births,num_med,num_nonmed,num_outpatient,ors_a,oxytocin_a,pentavalent_vac,phone_b,pneumococ_vac,polio_vac,publicprivate,radio_b,rdt_a,rdt_b,ruralurban,sphgmeter_a,sphgmeter_b,steamer_a,steamer_b,stethoscope_a,stethoscope_b,tbtest_a,tbtest_b,thermometer_a,thermometer_b,urinetest_a,urinetest_b,vaccine_store1,vaccine_store2,vign_prob,vign_wt,vitamina_a,zinctabs_a
Uganda-2013,1,1.0,23.45625,At least one observed (not expired),1,104,1,3,240.0,Yes (Observed),Yes (Observed),Never available,Not available today,Not available today,Not recommended at given facility level,No,,Not recommended at given facility level,At least one observed (not expired),Never available,Not available today,Never available,Not recommended at given facility level,Not recommended at given facility level,Yes (Observed),Yes (Observed),At least one observed (not expired),Not available today,At least one observed (not expired),No,,Yes,No,Health Post,No,At least one observed (not expired),23.45625,At least one observed (not expired),Yes,Not available today,No,,Yes,No,Yes (Observed),No,Yes (Observed),1,Yes,Yes (Observed),Yes,Yes (Observed),Yes,Yes,Yes,Yes,Yes,No,Yes (Observed),Yes (Observed),1,No,,No,,No,Yes (Observed),Yes (Observed),No,23.45625,Not available today,Never available,At least one observed (not expired),Not recommended at given facility level,Not recommended at given facility level,No,,At least one observed (all expired),Never available,Not recommended at given facility level,Yes (Observed),Yes (Observed),50 or less,5 or less,5 or less,1001-2000,Not available today,At least one observed (all expired),At least one observed (not expired),No,Never available,At least one observed (not expired),Public,No,Yes,Yes,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),No,,Yes,Yes,0.33333334,70.368744,At least one observed (not expired),At least one observed (not expired)
Uganda-2013,10,0.0,,At least one observed (not expired),1,108,1,6,155.0,Yes (Observed),Yes (Observed),Never available,Not available today,Not available today,Never available,No,,Never available,At least one observed (not expired),Not available today,Not available today,Not available today,Never available,Never available,Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,,Yes,No,Health Center,No,At least one observed (not expired),12.049419,At least one observed (not expired),Yes,At least one observed (not expired),No,,Yes,Yes,Yes (Observed),No,Yes (Observed),1,Yes,Yes (Observed),Yes,Yes (Observed),Yes,Yes,Yes,Yes,Yes,No,Yes (Observed),Yes (Observed),1,No,,No,,No,Yes (Observed),Yes (Observed),No,12.049419,Not available today,At least one observed (not expired),At least one observed (not expired),Never available,Never available,Yes (Observed),Yes (Observed),Never available,At least one observed (not expired),Never available,Yes (Observed),Yes (Observed),50 or less,11-50,5 or less,Over 3000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,Never available,At least one observed (not expired),Public,No,Yes,Yes,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes,Yes,Yes (Observed),Yes (Observed),No,,Yes,No,0.15384616,78.32122,Not available today,At least one observed (not expired)
Uganda-2013,100,,,Not available today,2,208,1,7,312.0,No,,Not recommended at given facility level,Not recommended at given facility level,Not recommended at given facility level,Not recommended at given facility level,No,,Not recommended at given facility level,,Not recommended at given facility level,At least one observed (not expired),Not recommended at given facility level,Not recommended at given facility level,Not recommended at given facility level,Yes (Observed),Yes (Observed),At least one observed (not expired),Never available,At least one observed (not expired),No,,,No,Health Post,No,Never available,9.8694315,At least one observed (not expired),,Not recommended at given facility level,No,,No,No,No,No,No,1,Yes,,Yes,No,Yes,Yes,Yes,No,No,No,No,No,1,No,,No,,No,No,,No,9.8694315,Never available,Not recommended at given facility level,,Not recommended at given facility level,Not recommended at given facility level,No,,Not recommended at given facility level,Not recommended at given facility level,Not recommended at given facility level,No,,Over 50,5 or less,5 or less,0-500,At least one observed (not expired),Not recommended at given facility level,,No,,,Private,No,Yes,Yes,Rural,No,,No,,No,,No,,No,,No,,No,,,,Never available,Never available
Uganda-2013,101,1.0,8.490406,At least one observed (not expired),2,212,3,2,341.0,No,,Never available,Not recommended at given facility level,Not recommended at given facility level,Never available,No,,Not recommended at given facility level,,Not recommended at given facility level,Not available today,Not recommended at given facility level,Not recommended at given facility level,Not recommended at given facility level,Yes (Observed),Yes (Observed),At least one observed (not expired),Not available today,At least one observed (not expired),No,,Yes,No,Health Post,No,At least one observed (not expired),8.490406,At least one observed (not expired),,Not recommended at given facility level,No,,No,No,Yes (Observed),No,No,1,Yes,,Yes,No,Yes,Yes,Yes,No,No,No,Yes (Observed),No,1,No,,No,,No,No,,No,8.490406,At least one observed (not expired),Not recommended at given facility level,,Not recommended at given facility level,Not recommended at given facility level,No,,Not recommended at given facility level,Not recommended at given facility level,Not recommended at given facility level,No,,Over 50,5 or less,5 or less,Over 3000,At least one observed (not expired),Not recommended at given facility level,,No,,,Public,No,No,,Rural,No,,No,,No,,No,,Yes (Observed),Yes (Observed),No,,No,,1.0,8.490406,At least one observed (not expired),Not available today
Uganda-2013,103,1.0,16.922924,At least one observed (not expired),2,212,3,3,97.0,No,,Never available,Not recommended at given facility level,Not recommended at given facility level,Never available,No,,Not recommended at given facility level,,Never available,At least one observed (not expired),Not recommended at given facility level,Not recommended at given facility level,Not recommended at given facility level,Yes (Observed),No,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,,Yes,No,Health Post,No,At least one observed (not expired),16.922924,At least one observed (not expired),,Not recommended at given facility level,No,,No,No,Yes (Observed),No,No,1,Yes,,Yes,No,Yes,Yes,Yes,No,No,No,Yes (Observed),No,1,No,,No,,No,Yes (Observed),No,No,16.922924,At least one observed (not expired),Not recommended at given facility level,,At least one observed (all expired),Not recommended at given facility level,No,,Not recommended at given facility level,Not available today,Not recommended at given facility level,No,,Over 50,5 or less,5 or less,2001-3000,At least one observed (not expired),Not recommended at given facility level,,No,,,Public,No,No,,Rural,No,,No,,No,,No,,No,,No,,No,,1.0,16.922924,At least one observed (not expired),Not available today
Uganda-2013,104,1.0,10.274007,At least one observed (not expired),2,212,3,4,227.0,Yes (Observed),Yes (Observed),Never available,Not recommended at given facility level,Not recommended at given facility level,Never available,No,,Not recommended at given facility level,Not available today,Not recommended at given facility level,Not available today,Not recommended at given facility level,Not recommended at given facility level,Not recommended at given facility level,Yes (Observed),Yes (Observed),At least one observed (not expired),Not available today,At least one observed (not expired),No,,Yes,No,Health Post,No,At least one observed (not expired),10.274007,At least one observed (not expired),,Not recommended at given facility level,No,,No,No,Yes (Observed),No,No,1,Yes,,Yes,Yes (Observed),Yes,Yes,Yes,No,No,No,No,Yes (Observed),1,Yes,Yes,No,,No,No,,No,10.274007,Not available today,Not recommended at given facility level,Not available today,Not recommended at given facility level,Not recommended at given facility level,No,,Not recommended at given facility level,Not recommended at given facility level,Not recommended at given facility level,Yes (Observed),No,50 or less,5 or less,5 or less,2001-3000,At least one observed (not expired),Not recommended at given facility level,Not available today,No,Not available today,Not available today,Public,No,Yes,Yes,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),No,,No,,0.33333334,30.822021,At least one observed (not expired),Not available today
Uganda-2013,105,1.0,6.7476997,At least one observed (not expired),2,212,3,5,222.0,Yes (Observed),No,Never available,Not recommended at given facility level,Not recommended at given facility level,Never available,No,,Not recommended at given facility level,,Not recommended at given facility level,At least one observed (not expired),Not recommended at given facility level,Not recommended at given facility level,Not recommended at given facility level,Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,,Yes,No,Health Post,No,At least one observed (not expired),6.7476997,At least one observed (not expired),,Not recommended at given facility level,No,,No,No,Yes (Observed),No,Yes (Observed),1,Yes,,Yes,Yes (Observed),Yes,Yes,Yes,No,No,No,Yes (Observed),Yes (Observed),1,No,,No,,No,No,,No,6.7476997,At least one observed (not expired),Not recommended at given facility level,,Not recommended at given facility level,Not recommended at given facility level,No,,Not recommended at given facility level,Not recommended at given facility level,Not recommended at given facility level,Yes (Observed),No,Over 50,5 or less,5 or less,2001-3000,Not available today,Not recommended at given facility level,,No,,,Public,No,No,,Rural,No,,No,,Yes (Observed),Yes (Observed),No,,No,,No,,No,,0.33333334,20.2431,At least one observed (not expired),At least one observed (not expired)
Uganda-2013,106,1.0,6.7476997,At least one observed (not expired),2,212,3,5,256.0,Yes (Observed),No,Never available,Not recommended at given facility level,Not recommended at given facility level,Never available,No,,Not recommended at given facility level,Not available today,Not recommended at given facility level,Not available today,Not recommended at given facility level,Not recommended at given facility level,Not recommended at given facility level,No,,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,,,No,Health Post,No,At least one observed (not expired),6.7476997,At least one observed (not expired),,Not recommended at given facility level,No,,No,No,Yes (Observed),No,No,1,Yes,,Yes,No,Yes,Yes,Yes,No,No,No,Yes (Observed),No,1,No,,No,,No,Yes (Observed),No,No,6.7476997,At least one observed (not expired),Not recommended at given facility level,Not available today,Not recommended at given facility level,Not recommended at given facility level,No,,Not recommended at given facility level,Not recommended at given facility level,Not recommended at given facility level,Yes (Observed),No,Over 50,5 or less,5 or less,Over 3000,Not available today,Not recommended at given facility level,Not available today,No,Never available,Not available today,Public,No,No,,Rural,Yes (Observed),No,No,,No,,No,,Yes (Observed),No,No,,No,,0.6666667,10.12155,At least one observed (not expired),Not available today
Uganda-2013,107,1.0,12.758341,At least one observed (not expired),2,212,3,7,149.0,No,,Not recommended at given facility level,Not recommended at given facility level,Not recommended at given facility level,Never available,No,,Not recommended at given facility level,,Not recommended at given facility level,At least one observed (not expired),Not recommended at given facility level,Not recommended at given facility level,Not recommended at given facility level,Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,,,No,Health Post,No,At least one observed (not expired),12.758341,At least one observed (not expired),,Not recommended at given facility level,No,,No,No,Yes (Observed),No,No,1,Yes,,Yes,No,Yes,Yes,Yes,No,No,No,Yes (Observed),No,1,No,,No,,No,No,,No,12.758341,At least one observed (not expired),Not recommended at given facility level,,Not recommended at given facility level,Not recommended at given facility level,No,,At least one observed (not expired),Not recommended at given facility level,Not recommended at given facility level,No,,Over 50,5 or less,5 or less,Over 3000,At least one observed (not expired),Not recommended at given facility level,,No,,,Public,No,Yes,Yes,Rural,No,,No,,No,,No,,Yes (Observed),Yes (Observed),No,,No,,0.5,25.516682,Not available today,Not available today
Uganda-2013,108,1.0,12.758341,At least one observed (not expired),2,212,3,7,278.0,No,,Not available today,Not available today,Not recommended at given facility level,Never available,No,,Not recommended at given facility level,,At least one observed (not expired),At least one observed (not expired),Not recommended at given facility level,Not recommended at given facility level,Not recommended at given facility level,Yes (Observed),Yes (Observed),Available but not observed (not expired),At least one observed (not expired),Never available,No,,Yes,No,Health Post,No,Not available today,12.758341,Not available today,,At least one observed (not expired),No,,No,No,Yes (Observed),No,No,1,Yes,,Yes,No,Yes,Yes,Yes,No,No,No,Yes (Observed),No,1,No,,No,,No,No,,No,12.758341,At least one observed (not expired),Not recommended at given facility level,,Not recommended at given facility level,Not recommended at given facility level,No,,Not recommended at given facility level,At least one observed (not expired),Not recommended at given facility level,No,,Over 50,5 or less,5 or less,0-500,At least one observed (not expired),Not recommended at given facility level,,No,,,Private,No,No,,Rural,No,,No,,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),No,,No,,0.5,25.516682,Not available today,At least one observed (not expired)
