survey_id,country,unique_id,facility_id,provider_id,absence_rate,absent_other1,absent_other2,absent_reason1,absent_reason2,has_absentee,has_roster,is_outpatient,num_nonmed,num_staff,provider_activity,provider_age1,provider_cadre1,provider_cadre2,provider_educ1,provider_male1,provider_male2,provider_mededuc1,provider_present1,provider_present2,salary_delay
Togo-2013_1_16,Togo-2013,1_16,1,16,0.5,,,Authorized absence,,,1,Yes,Over 5,Over 50,,25-34,Other,,Secondary,Female,,Diploma,No,,
Togo-2013_1_13,Togo-2013,1_13,1,13,0.5,,,Authorized absence,Authorized absence,1.0,1,Yes,Over 5,Over 50,,45 or older,Nurse,Nurse,Secondary,Male,Male,Diploma,No,No,
Togo-2013_1_11,Togo-2013,1_11,1,11,0.5,,,,Unauthorized absence,1.0,1,No,Over 5,Over 50,,45 or older,Nurse,Nurse,Secondary,Male,Male,Diploma,Yes,No,
Togo-2013_1_22,Togo-2013,1_22,1,22,0.5,,,,,,1,Yes,Over 5,Over 50,,25-34,Other,,Secondary,Female,,Diploma,Yes,,
Togo-2013_1_20,Togo-2013,1_20,1,20,0.5,,,,,,1,Yes,Over 5,Over 50,,25-34,Nurse,,Post-Secondary,Female,,Advanced,Yes,,
Togo-2013_1_12,Togo-2013,1_12,1,12,0.5,,,On-call,,,1,No,Over 5,Over 50,,45 or older,Other,,Primary,Female,,None,No,,
Togo-2013_1_25,Togo-2013,1_25,1,25,0.5,,,,,,1,No,Over 5,Over 50,,25-34,Other,,Primary,Female,,None,Yes,,
Togo-2013_1_9,Togo-2013,1_9,1,9,0.5,,,,,1.0,1,No,Over 5,Over 50,With patient,35-44,Nurse,Nurse,Secondary,Female,Female,Diploma,Yes,Yes,No
Togo-2013_1_23,Togo-2013,1_23,1,23,0.5,,,,,,1,No,Over 5,Over 50,,25-34,Nurse,,Post-Secondary,Male,,Advanced,Yes,,
Togo-2013_1_7,Togo-2013,1_7,1,7,0.5,,,,,,1,No,Over 5,Over 50,,25-34,Nurse,,Secondary,Female,,Diploma,Yes,,
Togo-2013_1_10,Togo-2013,1_10,1,10,0.5,,,On-call,,,1,Yes,Over 5,Over 50,,25-34,Other,,Secondary,Female,,Diploma,No,,
Togo-2013_1_8,Togo-2013,1_8,1,8,0.5,,,Authorized absence,Authorized absence,1.0,1,No,Over 5,Over 50,,35-44,Nurse,Nurse,Secondary,Male,Male,Diploma,No,No,
Togo-2013_1_15,Togo-2013,1_15,1,15,0.5,,,On-call,,1.0,1,Yes,Over 5,Over 50,Discussion with colleagues or staff meeting,25-34,Other,Other,Secondary,Female,Female,Diploma,No,Yes,No
Togo-2013_1_24,Togo-2013,1_24,1,24,0.5,,,Sick or on maternity leave,,,1,Yes,Over 5,Over 50,,25-34,Nurse,,Post-Secondary,Female,,Advanced,No,,
Togo-2013_1_14,Togo-2013,1_14,1,14,0.5,,,,Unauthorized absence,1.0,1,Yes,Over 5,Over 50,,25-34,Clinical Officer,Clinical Officer,Post-Secondary,Male,Male,Advanced,Yes,No,
Togo-2013_1_1,Togo-2013,1_1,1,1,0.5,,,"Training, seminar or meeting",,,1,Yes,Over 5,Over 50,,35-44,Doctor,,Post-Secondary,Male,,Advanced,No,,
Togo-2013_1_4,Togo-2013,1_4,1,4,0.5,,,,,1.0,1,No,Over 5,Over 50,With patient,35-44,Clinical Officer,Clinical Officer,Post-Secondary,Male,Male,Advanced,Yes,Yes,No
Togo-2013_1_5,Togo-2013,1_5,1,5,0.5,,,,,,1,No,Over 5,Over 50,,35-44,Other,,Post-Secondary,Female,,Advanced,Yes,,
Togo-2013_1_2,Togo-2013,1_2,1,2,0.5,,,,,1.0,1,Yes,Over 5,Over 50,Paperwork,35-44,Clinical Officer,Clinical Officer,Post-Secondary,Male,Male,Advanced,Yes,Yes,No
Togo-2013_1_21,Togo-2013,1_21,1,21,0.5,,,,,1.0,1,Yes,Over 5,Over 50,With patient,25-34,Nurse,Nurse,Post-Secondary,Female,Female,Advanced,Yes,Yes,No
Togo-2013_1_18,Togo-2013,1_18,1,18,0.5,,,,,,1,Yes,Over 5,Over 50,,25-34,Clinical Officer,,Post-Secondary,Male,,Advanced,Yes,,
Togo-2013_1_6,Togo-2013,1_6,1,6,0.5,,,Authorized absence,,,1,No,Over 5,Over 50,,45 or older,Nurse,,Secondary,Male,,Diploma,No,,
Togo-2013_1_17,Togo-2013,1_17,1,17,0.5,,,Authorized absence,,,1,Yes,Over 5,Over 50,,35-44,Other,,Primary,Female,,Certificate,No,,
Togo-2013_1_3,Togo-2013,1_3,1,3,0.5,,,"Training, seminar or meeting","Training, seminar or meeting",1.0,1,Yes,Over 5,Over 50,,45 or older,Nurse,Nurse,Secondary,Female,Female,Diploma,No,No,
Togo-2013_1_19,Togo-2013,1_19,1,19,0.5,,,On-call,,,1,Yes,Over 5,Over 50,,25-34,Clinical Officer,,Post-Secondary,Male,,Advanced,No,,
Togo-2013_10_6,Togo-2013,10_6,10,6,0.16666667,,,,,1.0,1,No,5 or less,6-10,Paperwork,45 or older,Other,Other,Primary,Male,Male,None,Yes,Yes,No
Togo-2013_10_2,Togo-2013,10_2,10,2,0.16666667,,,"Training, seminar or meeting",,1.0,1,Yes,5 or less,6-10,Discussion with colleagues or staff meeting,25-34,Nurse,Nurse,Post-Secondary,Female,Female,Advanced,No,Yes,No
Togo-2013_10_4,Togo-2013,10_4,10,4,0.16666667,,,,,1.0,1,Yes,5 or less,6-10,Paperwork,25-34,Other,Other,Secondary,Female,Female,Diploma,Yes,Yes,No
Togo-2013_10_5,Togo-2013,10_5,10,5,0.16666667,,,,,1.0,1,No,5 or less,6-10,Paperwork,45 or older,Other,Other,Primary,Male,Male,None,Yes,Yes,No
Togo-2013_10_1,Togo-2013,10_1,10,1,0.16666667,,,,,1.0,1,Yes,5 or less,6-10,Discussion with colleagues or staff meeting,25-34,Nurse,Nurse,Post-Secondary,Male,Male,Advanced,Yes,Yes,No
Togo-2013_10_3,Togo-2013,10_3,10,3,0.16666667,,,Authorized absence,Authorized absence,1.0,1,Yes,5 or less,6-10,,45 or older,Other,Other,Primary,Female,Female,Certificate,No,No,
