survey_id,country,unique_id,facility_id,provider_id,absence_rate,absent_reason1,absent_reason2,has_absentee,has_roster,is_outpatient,num_med,num_nonmed,num_staff,provider_activity,provider_age1,provider_age2,provider_cadre1,provider_cadre2,provider_educ1,provider_educ2,provider_male1,provider_male2,provider_mededuc1,provider_mededuc2,provider_present1,provider_present2,salary_delay,year_started
Tanzania-2014_1_2,Tanzania-2014,1_2,1,2,0.0,,,1.0,1,No,5 or less,5 or less,5 or less,With patient,Younger than 25,Younger than 25,Other,Other,Secondary,Secondary,Female,Female,Certificate,Certificate,Yes,Yes,No,After 2000
Tanzania-2014_1_1,Tanzania-2014,1_1,1,1,0.0,,,1.0,1,Yes,5 or less,5 or less,5 or less,With patient,45 or older,45 or older,Clinical Officer,Clinical Officer,Secondary,Secondary,Male,Male,Diploma,Diploma,Yes,Yes,No,Before 1990
Tanzania-2014_1_3,Tanzania-2014,1_3,1,3,0.0,,,1.0,1,No,5 or less,5 or less,5 or less,With patient,Younger than 25,Younger than 25,Other,Other,Secondary,Secondary,Female,Female,Certificate,Certificate,Yes,Yes,No,After 2000
Tanzania-2014_10_7,Tanzania-2014,10_7,10,7,0.2,,,1.0,1,No,6-10,5 or less,11-50,"Laboratory, investigations, or x-ray",45 or older,45 or older,Other,Other,Primary,Primary,Male,Male,Certificate,Certificate,Yes,Yes,No,Before 1990
Tanzania-2014_10_2,Tanzania-2014,10_2,10,2,0.2,Authorized absence,,1.0,1,Yes,6-10,5 or less,11-50,With patient,45 or older,45 or older,Clinical Officer,Clinical Officer,Secondary,Secondary,Male,Male,Certificate,Certificate,No,Yes,No,Before 1990
Tanzania-2014_10_8,Tanzania-2014,10_8,10,8,0.2,,,1.0,1,No,6-10,5 or less,11-50,With patient,35-44,35-44,Other,Other,Primary,Primary,Female,Female,Certificate,Certificate,Yes,Yes,No,In the 1990s
Tanzania-2014_10_6,Tanzania-2014,10_6,10,6,0.2,,On-call,1.0,1,No,6-10,5 or less,11-50,,35-44,35-44,Other,Other,Secondary,Secondary,Female,Female,Certificate,Certificate,Yes,No,,After 2000
Tanzania-2014_10_3,Tanzania-2014,10_3,10,3,0.2,,,1.0,1,No,6-10,5 or less,11-50,With patient,45 or older,45 or older,Nurse,Nurse,Primary,Primary,Female,Female,Certificate,Certificate,Yes,Yes,No,Before 1990
Tanzania-2014_10_5,Tanzania-2014,10_5,10,5,0.2,,,1.0,1,No,6-10,5 or less,11-50,With patient,45 or older,45 or older,Other,Other,Primary,Primary,Female,Female,Certificate,Certificate,Yes,Yes,No,Before 1990
Tanzania-2014_10_1,Tanzania-2014,10_1,10,1,0.2,,,1.0,1,Yes,6-10,5 or less,11-50,With patient,35-44,35-44,Clinical Officer,Clinical Officer,Secondary,Secondary,Male,Male,Diploma,Diploma,Yes,Yes,No,In the 1990s
Tanzania-2014_10_10,Tanzania-2014,10_10,10,10,0.2,,,1.0,1,No,6-10,5 or less,11-50,With patient,25-34,25-34,Other,Other,Secondary,Secondary,Female,Female,Certificate,Certificate,Yes,Yes,No,After 2000
Tanzania-2014_10_9,Tanzania-2014,10_9,10,9,0.2,,Collecting salary,1.0,1,No,6-10,5 or less,11-50,,25-34,25-34,Other,Other,Secondary,Secondary,Male,Male,Certificate,Certificate,Yes,No,,After 2000
Tanzania-2014_10_4,Tanzania-2014,10_4,10,4,0.2,,,1.0,1,No,6-10,5 or less,11-50,With patient,25-34,25-34,Other,Other,Secondary,Secondary,Female,Female,Certificate,Certificate,Yes,Yes,No,After 2000
Tanzania-2014_100_2,Tanzania-2014,100_2,100,2,0.4,,,1.0,1,Yes,11-50,5 or less,11-50,With patient,25-34,25-34,Clinical Officer,Clinical Officer,Secondary,Secondary,Male,Male,Diploma,Diploma,Yes,Yes,No,After 2000
Tanzania-2014_100_4,Tanzania-2014,100_4,100,4,0.4,On-call,On-call,1.0,1,No,11-50,5 or less,11-50,,35-44,35-44,Other,Other,Secondary,Secondary,Female,Female,Certificate,Certificate,No,No,,In the 1990s
Tanzania-2014_100_8,Tanzania-2014,100_8,100,8,0.4,On-call,On-call,1.0,1,No,11-50,5 or less,11-50,,25-34,25-34,Other,Other,Secondary,Secondary,Female,Female,Certificate,Certificate,No,No,,After 2000
Tanzania-2014_100_10,Tanzania-2014,100_10,100,10,0.4,On-call,On-call,1.0,1,No,11-50,5 or less,11-50,,25-34,25-34,Other,Other,Secondary,Secondary,Female,Female,Certificate,Certificate,No,No,,After 2000
Tanzania-2014_100_6,Tanzania-2014,100_6,100,6,0.4,,,1.0,1,Yes,11-50,5 or less,11-50,With patient,35-44,35-44,Other,Other,Secondary,Secondary,Female,Female,Certificate,Certificate,Yes,Yes,Yes,In the 1990s
Tanzania-2014_100_5,Tanzania-2014,100_5,100,5,0.4,On-call,,,1,No,11-50,5 or less,11-50,,45 or older,,Other,,Secondary,,Female,,Certificate,,No,,,
