country,facility_id,abs_fpc,abs_wt,act_a,admin1,admin2,adultscale_a,adultscale_b,airway_a,airway_b,albendazole_a,amitriptyline_a,amoxicillin1_a,amoxicillin3_a,ampicillin_a,artesunate_a,asphyxia_fpc,asphyxia_wt,atenolol_a,autoclave_a,autoclave_b,azithromycin_a,bagmask_a,bagmask_b,bcg_vac,benzathine_a,benzylpenicillin_a,calgluc_a,captopril_a,cefixime_a,ceftriaxone_a,childscale_a,childscale_b,ciproflox_a,contraceptive_a,cotrimoxazole3_a,depo_a,diabetes_fpc,diabetes_wt,diarrhea_fpc,diarrhea_wt,diazepam1a_a,diclofenac_a,does_vaccines,dryheat_a,dryheat_b,eclampsia_fpc,eclampsia_wt,ethambutol_a,fac_fpc,faccomputer_a,faccomputer_b,facility_level,facmobile_a,facmobile_b,fansidar_a,folic_a,fridge_power,fridge_temp,fridge_temptodate,gentamycin_a,glibenclam_a,glucometer_a,has_alcohol,has_antibiotics,has_anticonvuls,has_autosyringe,has_bednet,has_delivery,has_deliverykit,has_dispsyringe,has_facility,has_fcondoms,has_fridge,has_gloves,has_icepacks,has_mcondoms,has_ocytocics,has_placenta,has_poc,has_resusc,has_sharps,has_vaccarrier,has_weights,hivtest_a,hypoglycemic_a,incinerator_a,incinerator_b,incinerator_power,incinerator_works,indcomputer_a,indcomputer_b,indmobile1_a,indmobile1_b,indmobile2_a,indmobile2_b,infantscale_a,infantscale_b,insulin_a,internet_a,internet_b,ipw,irona_a,ironfolic_a,isoniazid_a,m0s0q0,magsulf_a,malaria_fpc,malaria_wt,measles_vac,mebendazole_a,methasone_a,metronidazole_a,misoprostol_a,morphine_a,nacl_a,nifedipine2_a,nonelectric_a,nonelectric_b,num_births,num_outpatient,obstetric_a,obstetric_b,omeprazole_a,ors_a,oxygen_a,oxygen_b,oxytocin_a,paracetamol3_a,pentavalent_vac,phone_a,phone_b,pneumococ_vac,pneumococ_vac2,pneumonia_fpc,pneumonia_wt,polio_vac,pph_fpc,pph_wt,pregnant_fpc,pregnant_wt,publicprivate,pyrazinam_a,radio_a,radio_b,rdt_a,rifampicin_a,ruralurban,salbutamol_a,sharps_a,sharps_b,sharps_b2,sharps_c,sharps_d,sharps_e,sharps_f,sharps_g,sharps_h,sharps_i,sharps_inspected,sharps_j,sharps_k,sharps_l,sharps_m,sharps_n,simvastatin_a,sphgmeter_a,sphgmeter_b,steamer_a,steamer_b,stethoscope_a,stethoscope_b,tb_fpc,tb_wt,tbtest_a,tetanus_vac,thermometer_a,thermometer_b,treat_guidedate,treat_guidelines,vaccine_store1,vaccine_store2,vign15_fpc,vign15_wt,vign69_fpc,vign69_wt,vitamina_a,waste_a,waste_b,waste_b2,waste_c,waste_d,waste_e,waste_f,waste_g,waste_guidelines,waste_h,waste_i,waste_inspected,waste_j,waste_k,waste_l,waste_m,waste_n,waste_training,zinctabs_a
Niger-2015,1,0.5,17.380299,At least one observed (not expired),1,106,No,,No,,At least one observed (not expired),Never available,At least one observed (not expired),At least one observed (not expired),Not available today,At least one observed (not expired),1.0,8.690149,Never available,No,,Never available,No,,,Never available,Never available,Never available,Never available,Never available,Never available,Yes (Observed),Yes (Observed),Never available,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),1.0,8.690149,1.0,8.690149,At least one observed (not expired),Never available,No,No,,1.0,8.690149,Never available,0.3809524,No,,Health Post,No,,At least one observed (not expired),At least one observed (not expired),,,,Not available today,Never available,No,Yes,,,,No,,No,,1,No,,Yes,,Yes,,,,,,,1,No,Never available,No,,,,No,,No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Never available,No,,8.69014925671308,At least one observed (not expired),At least one observed (not expired),Never available,Questionnaire filalized,Never available,1.0,8.690149,,At least one observed (not expired),Not available today,At least one observed (not expired),Never available,Never available,Not available today,Never available,No,,,0-500,Yes (Observed),Yes (Observed),Never available,At least one observed (not expired),No,,Never available,At least one observed (not expired),,No,,,,1.0,8.690149,,1.0,8.690149,1.0,8.690149,Public,Never available,No,,Yes,Never available,Rural,Never available,No,No,No,No,No,No,Yes,No,No,No,"Waste visible, protected area",No,2,No,No,No,Never available,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),1.0,8.690149,No,,Yes (Observed),Yes (Observed),1998.0,Yes,,,1.0,8.690149,1.0,8.690149,At least one observed (not expired),No,No,No,No,No,No,Yes,No,No,No,No,"Waste visible, protected area",No,2,No,2,No,No,At least one observed (not expired)
Niger-2015,100,1.0,1.4873769,At least one observed (not expired),6,609,No,,No,,At least one observed (not expired),Never available,Not available today,Not available today,At least one observed (not expired),Never available,1.0,1.4873769,Never available,No,,Never available,No,,,At least one observed (not expired),At least one observed (not expired),Never available,Never available,Never available,Never available,No,,Not available today,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),1.0,1.4873769,1.0,1.4873769,At least one observed (not expired),Never available,No,No,,1.0,1.4873769,Never available,0.6666667,No,,Health Post,No,,At least one observed (not expired),At least one observed (not expired),,,,At least one observed (not expired),Never available,No,No,Yes,Yes,,No,No,Yes,,1,No,,Yes,,No,No,Yes,No,No,,,1,No,Never available,No,,,,No,,No,,Yes (Observed),Yes (Observed),Yes (Observed),No,Never available,No,,1.487376922583087,Never available,At least one observed (not expired),Never available,Questionnaire filalized,At least one observed (not expired),1.0,1.4873769,,At least one observed (not expired),At least one observed (not expired),Never available,Never available,Never available,Never available,Never available,No,,50 or less,0-500,No,,Never available,At least one observed (not expired),No,,Not available today,Not available today,,No,,,,1.0,1.4873769,,1.0,1.4873769,1.0,1.4873769,Public,Never available,No,,Yes,Never available,Rural,Never available,No,No,No,No,No,No,No,No,No,No,No waste visible,Yes,2,No,No,No,Never available,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),1.0,1.4873769,No,,Yes (Observed),Yes (Observed),,No,,,1.0,1.4873769,1.0,1.4873769,At least one observed (not expired),No,No,No,No,No,No,No,No,No,No,No,"Waste visible, unprotected area",Yes,2,No,2,No,No,At least one observed (not expired)
Niger-2015,101,0.5,3.9919949,,6,609,No,,No,,Never available,Never available,Not available today,Never available,Not available today,Never available,1.0,1.9959974,Never available,No,,Never available,No,,,Not available today,Never available,Never available,Never available,Never available,Not available today,Yes (Observed),Yes (Observed),Not available today,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),1.0,1.9959974,1.0,1.9959974,At least one observed (not expired),Never available,No,No,,1.0,1.9959974,Never available,0.6666667,No,,Health Post,No,,At least one observed (not expired),At least one observed (not expired),,,,At least one observed (not expired),Never available,No,No,No,Yes,,No,No,Yes,,1,No,,Yes,,No,No,Yes,No,No,,,1,No,Never available,No,,,,No,,No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Never available,No,,1.9959974365558846,At least one observed (not expired),Not available today,Never available,Questionnaire filalized,Never available,1.0,1.9959974,,At least one observed (not expired),At least one observed (not expired),Never available,Never available,At least one observed (not expired),Never available,Never available,No,,50 or less,0-500,No,,Not available today,At least one observed (not expired),No,,At least one observed (not expired),Never available,,No,,,,1.0,1.9959974,,1.0,1.9959974,1.0,1.9959974,Public,Never available,No,,No,Never available,Rural,Not available today,No,Yes,No,No,No,No,No,No,No,No,No waste visible,No,2,No,No,No,Never available,No,,No,,No,,1.0,1.9959974,No,,Yes (Observed),Yes (Observed),,No,,,1.0,1.9959974,1.0,1.9959974,At least one observed (not expired),No,Yes,No,No,No,No,No,No,No,No,No,"Waste visible, unprotected area",No,2,No,2,No,No,At least one observed (not expired)
Niger-2015,102,1.0,1.9959974,Not available today,6,609,No,,No,,Not available today,Never available,Not available today,Not available today,At least one observed (not expired),Not available today,1.0,1.9959974,Never available,No,,Never available,No,,,Not available today,Not available today,Never available,Never available,Never available,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),1.0,1.9959974,1.0,1.9959974,Not available today,Never available,No,No,,1.0,1.9959974,Never available,0.6666667,No,,Health Post,No,,Never available,At least one observed (not expired),,,,At least one observed (not expired),Never available,No,Yes,No,Yes,,No,No,Yes,,1,No,,Yes,,No,No,Yes,No,No,,,1,No,Never available,No,,,,No,,No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Never available,No,,1.9959974365558846,Never available,At least one observed (not expired),Never available,Questionnaire filalized,Never available,1.0,1.9959974,,At least one observed (not expired),At least one observed (not expired),Never available,Never available,Never available,Never available,Never available,No,,50 or less,0-500,No,,Never available,At least one observed (not expired),No,,Never available,Not available today,,No,,,,1.0,1.9959974,,1.0,1.9959974,1.0,1.9959974,Public,Never available,No,,No,Never available,Rural,At least one observed (not expired),No,Yes,No,No,No,No,No,No,No,No,No waste visible,No,2,No,No,No,Never available,No,,No,,No,,1.0,1.9959974,No,,Yes (Observed),Yes (Observed),,No,,,1.0,1.9959974,1.0,1.9959974,Not available today,No,Yes,No,No,No,No,No,No,No,No,No,"Waste visible, unprotected area",No,2,No,2,No,No,At least one observed (not expired)
Niger-2015,103,1.0,2.4013925,At least one observed (not expired),7,704,No,,No,,At least one observed (not expired),Never available,Not available today,Not available today,At least one observed (not expired),Never available,1.0,2.4013925,Never available,No,,Never available,No,,,Never available,Never available,Never available,Never available,Never available,Never available,No,,Never available,At least one observed (not expired),At least one observed (not expired),At least one observed (all expired),1.0,2.4013925,1.0,2.4013925,At least one observed (not expired),Not available today,No,No,,1.0,2.4013925,Never available,0.5423729,No,,Health Post,Yes (Observed),Yes (Observed),At least one observed (not expired),Never available,,,,At least one observed (all expired),Never available,No,No,,,,No,,No,,1,No,,Yes,,Yes,,,,,,,1,No,Never available,No,,,,No,,No,,No,,No,,Never available,No,,2.401392529818419,At least one observed (not expired),Never available,Never available,Questionnaire filalized,Never available,1.0,2.4013925,,Not available today,At least one observed (not expired),Never available,Never available,Never available,Never available,Never available,Yes (Observed),Yes (Observed),,0-500,No,,Never available,At least one observed (not expired),No,,Never available,At least one observed (not expired),,No,,,,1.0,2.4013925,,1.0,2.4013925,1.0,2.4013925,Public,Never available,No,,Yes,Never available,Rural,Not available today,No,No,No,No,No,Yes,No,No,Yes,No,"Waste visible, protected area",No,2,No,No,No,Never available,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),1.0,2.4013925,No,,Yes (Observed),Yes (Observed),,No,,,1.0,2.4013925,1.0,2.4013925,At least one observed (not expired),No,No,No,No,Yes,No,No,No,No,No,No,"Waste visible, protected area",No,2,No,2,No,No,Not available today
Niger-2015,104,1.0,2.0216844,At least one observed (not expired),7,704,Yes (Observed),Yes (Observed),No,,At least one observed (not expired),Never available,Not available today,Never available,Not available today,Never available,1.0,2.0216844,Never available,No,,At least one observed (not expired),No,,,Not available today,Never available,Not available today,Never available,Never available,Never available,No,,Not available today,Never available,Not available today,Not available today,1.0,2.0216844,1.0,2.0216844,At least one observed (not expired),Not available today,No,No,,1.0,2.0216844,Never available,0.5423729,No,,Health Post,No,,Never available,At least one observed (not expired),,,,At least one observed (all expired),Never available,No,No,,,,No,,No,,1,No,,No,,No,,,,,,,1,No,Never available,No,,,,No,,No,,Yes (Observed),Yes (Not Observed),Yes (Observed),Yes (Observed),Never available,No,,2.021684393258504,Not available today,Not available today,Never available,Questionnaire filalized,Not available today,1.0,2.0216844,,Never available,Never available,Never available,Never available,Never available,Never available,Never available,No,,,0-500,Yes (Observed),Yes (Observed),Never available,Never available,No,,Not available today,Not available today,,No,,,,1.0,2.0216844,,1.0,2.0216844,1.0,2.0216844,Public,Never available,No,,Yes,Never available,Rural,Not available today,No,No,No,No,No,Yes,No,No,No,No,No waste visible,No,2,No,No,No,Never available,No,,No,,No,,1.0,2.0216844,No,,Yes (Observed),Yes (Observed),,No,,,1.0,2.0216844,1.0,2.0216844,At least one observed (not expired),No,No,No,No,No,Yes,No,No,No,No,No,No waste visible,No,2,No,2,No,No,At least one observed (not expired)
Niger-2015,106,0.16666667,14.408355,At least one observed (not expired),7,704,No,,No,,At least one observed (not expired),Never available,At least one observed (not expired),Not available today,At least one observed (not expired),Never available,1.0,2.4013925,Never available,No,,Never available,No,,,At least one observed (not expired),Never available,Never available,Never available,Never available,Not available today,Yes (Observed),Yes (Observed),Not available today,At least one observed (not expired),Not available today,At least one observed (not expired),1.0,2.4013925,1.0,2.4013925,At least one observed (not expired),Not available today,Yes,No,,1.0,2.4013925,Never available,0.5423729,No,,Health Post,Yes (Not Observed),No,Not available today,Never available,,,,At least one observed (not expired),Never available,No,Yes,Yes,Yes,,No,No,No,,1,Yes,,Yes,,Yes,Yes,Yes,No,No,,,1,No,Never available,No,,,,No,,No,,No,,Yes (Observed),Yes (Observed),Never available,No,,2.401392529818419,At least one observed (not expired),At least one observed (not expired),Never available,Questionnaire filalized,Never available,1.0,2.4013925,,At least one observed (not expired),At least one observed (not expired),Not available today,Not available today,Never available,Not available today,Not available today,Yes (Observed),Yes (Observed),50 or less,0-500,No,,Not available today,At least one observed (not expired),No,,Not available today,Not available today,,No,,,,1.0,2.4013925,,1.0,2.4013925,1.0,2.4013925,Public,Never available,No,,Yes,Never available,Rural,Not available today,No,No,No,No,No,Yes,No,No,No,No,"Waste visible, unprotected area",No,2,No,No,No,Never available,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),1.0,2.4013925,No,,Yes (Observed),Yes (Observed),2015.0,Yes,No,Yes,1.0,2.4013925,1.0,2.4013925,Not available today,No,No,No,No,No,Yes,No,No,No,No,No,No waste visible,No,2,No,2,No,No,Not available today
Niger-2015,108,1.0,2.4083538,At least one observed (not expired),7,708,Yes (Observed),No,No,,At least one observed (not expired),Never available,Not available today,Never available,At least one observed (not expired),Never available,1.0,2.4083538,Never available,No,,Never available,No,,,Never available,Never available,Never available,Never available,Never available,Never available,Yes (Observed),Yes (Observed),Never available,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),1.0,2.4083538,1.0,2.4083538,At least one observed (not expired),Never available,No,No,,1.0,2.4083538,Never available,0.5423729,No,,Health Post,No,,Never available,At least one observed (not expired),,,,At least one observed (not expired),Never available,No,No,Yes,Yes,,No,No,No,,1,Yes,,Yes,,Yes,Yes,Yes,Yes,No,,,1,No,Never available,No,,,,No,,No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Never available,No,,2.4083537619210644,At least one observed (not expired),At least one observed (not expired),Never available,Questionnaire filalized,Never available,1.0,2.4083538,,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,Never available,Never available,Never available,No,,,,Yes (Observed),Yes (Observed),Never available,At least one observed (not expired),No,,At least one observed (not expired),Never available,,No,,,,1.0,2.4083538,,1.0,2.4083538,1.0,2.4083538,Public,Never available,No,,No,Never available,Rural,Never available,No,No,No,No,No,Yes,No,No,No,No,"Waste visible, unprotected area",No,2,No,No,No,Never available,No,,No,,No,,1.0,2.4083538,No,,Yes (Observed),Yes (Observed),2015.0,Yes,,,1.0,2.4083538,1.0,2.4083538,At least one observed (not expired),No,No,No,No,No,Yes,No,No,No,No,No,"Waste visible, unprotected area",No,2,No,2,No,No,At least one observed (not expired)
Niger-2015,11,1.0,6.0165024,At least one observed (not expired),1,106,No,,No,,At least one observed (not expired),Never available,Not available today,Never available,At least one observed (not expired),Never available,1.0,6.0165024,Never available,No,,Never available,No,,,At least one observed (not expired),Not available today,Never available,Never available,Never available,Never available,Yes (Observed),Yes (Observed),Never available,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),1.0,6.0165024,1.0,6.0165024,Not available today,Not available today,No,No,,1.0,6.0165024,Never available,0.3809524,No,,Health Post,No,,Not available today,Never available,,,,Not available today,Never available,No,Yes,,,,No,,Yes,,1,No,,Yes,,No,,,,,,,1,No,Never available,No,,,,No,,No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Never available,No,,6.016502270153728,Not available today,Never available,Never available,Questionnaire filalized,Never available,1.0,6.0165024,,At least one observed (not expired),Never available,At least one observed (not expired),At least one observed (not expired),Never available,Never available,Never available,No,,,0-500,No,,Never available,At least one observed (not expired),No,,Never available,At least one observed (not expired),,No,,,,1.0,6.0165024,,1.0,6.0165024,1.0,6.0165024,Public,Never available,No,,Yes,Never available,Rural,Never available,Yes,No,No,No,No,No,No,No,No,No,"Waste visible, unprotected area",No,2,No,No,No,Never available,No,,No,,No,,1.0,6.0165024,No,,Yes (Observed),Yes (Observed),,No,,,1.0,6.0165024,1.0,6.0165024,At least one observed (not expired),Yes,No,No,No,No,No,No,No,No,No,No,"Waste visible, unprotected area",No,2,No,2,No,No,At least one observed (not expired)
Niger-2015,110,0.25,8.068794,At least one observed (not expired),7,707,No,,No,,At least one observed (not expired),Never available,At least one observed (not expired),Never available,At least one observed (not expired),Never available,1.0,2.0171986,Never available,No,,Never available,No,,,At least one observed (not expired),Never available,Never available,Never available,Never available,At least one observed (not expired),Yes (Observed),Yes (Observed),Not available today,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),1.0,2.0171986,1.0,2.0171986,At least one observed (not expired),Not available today,Yes,No,,1.0,2.0171986,Never available,0.5423729,No,,Health Post,No,,Not available today,Never available,,,,At least one observed (not expired),Never available,No,No,Yes,Yes,,No,No,No,,1,No,,Yes,,Yes,Yes,Yes,Yes,No,,,1,No,Never available,No,,,,No,,No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Never available,No,,2.017198492054547,At least one observed (not expired),Never available,Never available,Questionnaire filalized,Never available,1.0,2.0171986,,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,Never available,Not available today,Never available,No,,50 or less,501-1000,Yes (Observed),Yes (Observed),Not available today,At least one observed (not expired),No,,Not available today,At least one observed (not expired),,No,,,,1.0,2.0171986,,1.0,2.0171986,1.0,2.0171986,Public,Never available,No,,No,Never available,Rural,Never available,Yes,No,No,No,No,No,No,No,No,No,"Waste visible, unprotected area",No,2,No,No,No,Never available,No,,No,,No,,1.0,2.0171986,No,,Yes (Observed),Yes (Observed),2011.0,Yes,No,Yes,1.0,2.0171986,1.0,2.0171986,Not available today,Yes,No,No,No,No,No,No,No,No,No,No,"Waste visible, unprotected area",No,2,No,2,No,No,At least one observed (not expired)
