country,facility_id,act_a,admin1,admin2,adultscale_a,amoxicillin1_a,aspirin_a,bcg_vac,childscale_a,cotrimoxazole3_a,does_vaccines,dpt_vac,extencilline_a,eyescope_a,facility_level,facmobile_a,glucometer_a,glucose_a,has_facility,indmobile1_a,ipw,measles_vac,mebendazole_a,metronidazole_a,microscope_a,num_med,num_nonmed,obstetric_a,ors_a,paracetamol3_a,pentavalent_vac,pharm_records,phone_a,polio_vac,procaine_a,publicprivate,quinine_a,ringers_a,ruralurban,saline_a,sphgmeter_a,stethoscope_a,tetanus_vac,tetracycline_a,thermometer_a,vaccine_store1,yellowfev_vac
Senegal-2010,1,Not available today,6,21,No,Not available today,Not available today,,Yes (Observed),At least one observed (not expired),Yes,,Not available today,No,Health Post,No,No,At least one observed (not expired),1,Yes (Observed),63.749138,,At least one observed (not expired),Not available today,No,5 or less,5 or less,No,Never available,At least one observed (not expired),,Yes,No,,At least one observed (not expired),Public,Not available today,Not available today,Rural,Not available today,Yes (Observed),No,,At least one observed (not expired),Yes (Observed),No,
Senegal-2010,2,Never available,5,17,Yes (Observed),Never available,Never available,,Yes (Observed),Never available,Yes,,Never available,No,Health Post,No,No,Never available,1,Yes (Observed),23.727657,,Never available,Never available,No,5 or less,5 or less,No,Never available,Not available today,,Yes,No,,Never available,Public,Never available,Never available,Rural,Never available,No,No,,Never available,No,No,
Senegal-2010,3,Not available today,2,5,No,Not available today,At least one observed (not expired),,Yes (Observed),At least one observed (not expired),Yes,,At least one observed (not expired),No,Health Post,No,No,Never available,1,Yes (Observed),29.90738,,At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,No,Never available,At least one observed (not expired),,4,No,,Never available,Public,Never available,At least one observed (not expired),Rural,Never available,Yes (Observed),No,,At least one observed (not expired),Yes (Observed),No,
Senegal-2010,4,At least one observed (not expired),10,36,No,Never available,Never available,,Yes (Observed),Never available,No,,Never available,No,Health Post,No,No,Never available,1,Yes (Observed),37.013012,,Not available today,Not available today,No,5 or less,5 or less,Yes (Observed),At least one observed (not expired),Not available today,,4,No,,Never available,Public,Never available,Never available,Rural,Never available,No,No,,At least one observed (not expired),Yes (Observed),,
Senegal-2010,5,Not available today,6,23,No,Never available,Not available today,,Yes (Observed),Not available today,Yes,,Never available,No,Health Post,No,No,Never available,1,Yes (Observed),10.400542,,Not available today,Not available today,No,5 or less,5 or less,No,At least one observed (not expired),Not available today,,Yes,No,,Never available,Public,Never available,Never available,Rural,Never available,No,No,,Never available,No,No,
Senegal-2010,6,At least one observed (not expired),5,17,No,At least one observed (not expired),Never available,,Yes (Observed),At least one observed (not expired),No,,Never available,No,Health Post,No,No,Never available,1,Yes (Observed),13.86989,,At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,No,Not available today,At least one observed (not expired),,Yes,No,,Never available,Public,Never available,Never available,Rural,Never available,Yes (Observed),Yes (Observed),,At least one observed (not expired),No,,
Senegal-2010,7,At least one observed (not expired),7,25,Yes (Observed),At least one observed (not expired),At least one observed (not expired),,Yes (Observed),At least one observed (not expired),No,,At least one observed (not expired),No,Health Post,No,Yes,At least one observed (not expired),1,Yes (Observed),33.04464,,At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,No,At least one observed (not expired),At least one observed (not expired),,Yes,No,,At least one observed (not expired),Public,At least one observed (not expired),At least one observed (not expired),Rural,At least one observed (not expired),Yes (Observed),Yes (Observed),,At least one observed (not expired),Yes (Observed),,
Senegal-2010,8,Never available,4,16,No,Not available today,Not available today,,Yes (Observed),Not available today,No,,Never available,No,Health Post,No,No,Never available,1,Yes (Observed),29.367146,,Not available today,Not available today,No,5 or less,5 or less,No,Never available,Not available today,,Yes,No,,Never available,Public,Never available,Never available,Rural,Never available,No,No,,Never available,No,,
Senegal-2010,9,At least one observed (not expired),8,27,No,At least one observed (not expired),At least one observed (not expired),,No,Not available today,Yes,,Never available,No,Health Post,No,No,Never available,1,Yes (Observed),33.799633,,At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,No,At least one observed (not expired),At least one observed (not expired),,Yes,No,,Never available,Public,Not available today,Never available,Rural,Never available,No,No,,At least one observed (not expired),No,No,
Senegal-2010,10,Never available,2,6,Yes (Observed),At least one observed (not expired),Never available,,Yes (Observed),At least one observed (not expired),Yes,,Never available,No,Health Post,,No,Never available,1,,15.525735,,Never available,Never available,No,5 or less,5 or less,No,Never available,At least one observed (not expired),,Yes,,,Never available,Public,Never available,Never available,Rural,Never available,No,No,,Never available,Yes (Observed),No,
Senegal-2010,11,Never available,6,21,No,Never available,Never available,,Yes (Observed),Never available,No,,Never available,No,Health Post,No,No,Never available,1,Yes (Observed),27.32106,,Never available,Never available,No,5 or less,5 or less,Yes (Observed),Never available,Never available,,4,No,,Never available,Public,Never available,Never available,Rural,Never available,No,No,,Never available,No,,
Senegal-2010,12,Never available,10,37,Yes (Observed),Never available,At least one observed (not expired),,Yes (Observed),At least one observed (not expired),No,,Never available,No,Health Post,No,No,At least one observed (not expired),1,Yes (Observed),58.846375,,At least one observed (not expired),Never available,No,5 or less,Over 5,No,Not available today,At least one observed (not expired),,Yes,No,,Never available,Public,Never available,Never available,Rural,Never available,Yes (Observed),Yes (Observed),,At least one observed (not expired),Yes (Observed),,
