survey_id,country,unique_id,facility_id,provider_id,absence_rate,absent_reason1,absent_reason2,has_absentee,has_roster,is_outpatient,num_med,num_nonmed,num_staff,provider_activity,provider_age1,provider_age2,provider_cadre1,provider_cadre2,provider_educ1,provider_educ2,provider_male1,provider_male2,provider_mededuc1,provider_mededuc2,provider_present1,provider_present2,salary_delay,year_started
Tanzania-2016_1_5,Tanzania-2016,1_5,1,5,0.0,,,1.0,1.0,Yes,6-10,5 or less,6-10,With patient,Younger than 25,Younger than 25,Clinical Officer,Clinical Officer,Secondary,Secondary,Male,Male,Diploma,Diploma,Yes,Yes,No,After 2000
Tanzania-2016_1_4,Tanzania-2016,1_4,1,4,0.0,"Training, seminar or meeting",,1.0,1.0,Yes,6-10,5 or less,6-10,With patient,25-34,25-34,Nurse,Nurse,Secondary,Secondary,Female,Male,Diploma,Diploma,No,Yes,No,After 2000
Tanzania-2016_1_3,Tanzania-2016,1_3,1,3,0.0,On-call,,1.0,1.0,Yes,6-10,5 or less,6-10,With patient,Younger than 25,Younger than 25,Nurse,Nurse,Secondary,Secondary,Female,Female,Diploma,Diploma,No,Yes,Yes,After 2000
Tanzania-2016_1_2,Tanzania-2016,1_2,1,2,0.0,,,1.0,1.0,No,6-10,5 or less,6-10,With patient,Younger than 25,Younger than 25,Other,Other,Secondary,Secondary,Male,Male,Certificate,Certificate,Yes,Yes,Yes,After 2000
Tanzania-2016_1_1,Tanzania-2016,1_1,1,1,0.0,,,1.0,1.0,No,6-10,5 or less,6-10,With patient,25-34,25-34,Other,Other,Secondary,Secondary,Female,Female,Certificate,Certificate,Yes,Yes,Yes,After 2000
Tanzania-2016_1_6,Tanzania-2016,1_6,1,6,0.0,Authorized absence,,1.0,1.0,No,6-10,5 or less,6-10,With patient,25-34,25-34,Other,Other,Secondary,Secondary,Male,Male,Certificate,Certificate,No,Yes,No,After 2000
Tanzania-2016_10_8,Tanzania-2016,10_8,10,8,0.5,"Training, seminar or meeting",Authorized absence,1.0,1.0,No,11-50,Over 5,11-50,,25-34,25-34,Nurse,Nurse,Secondary,Secondary,Female,Female,Diploma,Diploma,No,No,,After 2000
Tanzania-2016_10_5,Tanzania-2016,10_5,10,5,0.5,,,,1.0,No,11-50,Over 5,11-50,,25-34,,Nurse,,Secondary,,Female,,Certificate,,Yes,,,
Tanzania-2016_10_13,Tanzania-2016,10_13,10,13,0.5,Official mission,On-call,1.0,1.0,No,11-50,Over 5,11-50,,35-44,35-44,Other,Other,Primary,Primary,Female,Female,None,None,No,No,,After 2000
Tanzania-2016_10_18,Tanzania-2016,10_18,10,18,0.5,,,,1.0,No,11-50,Over 5,11-50,,35-44,,Other,,Secondary,,Male,,Certificate,,Yes,,,
Tanzania-2016_10_17,Tanzania-2016,10_17,10,17,0.5,,,,1.0,No,11-50,Over 5,11-50,,25-34,,Nurse,,Secondary,,Male,,Diploma,,Yes,,,
Tanzania-2016_10_11,Tanzania-2016,10_11,10,11,0.5,,On-call,1.0,1.0,Yes,11-50,Over 5,11-50,,45 or older,45 or older,Clinical Officer,Clinical Officer,Secondary,Secondary,Male,Male,Certificate,Certificate,Yes,No,,Before 1990
Tanzania-2016_10_16,Tanzania-2016,10_16,10,16,0.5,,,,1.0,No,11-50,Over 5,11-50,,35-44,,Doctor,,Secondary,,Female,,Diploma,,Yes,,,
Tanzania-2016_10_15,Tanzania-2016,10_15,10,15,0.5,"Training, seminar or meeting",,1.0,1.0,No,11-50,Over 5,11-50,With patient,35-44,35-44,Nurse,Nurse,Secondary,Secondary,Female,Female,Certificate,Certificate,No,Yes,No,After 2000
Tanzania-2016_10_2,Tanzania-2016,10_2,10,2,0.5,,,1.0,1.0,No,11-50,Over 5,11-50,With patient,45 or older,45 or older,Other,Other,Primary,Primary,Female,Female,Certificate,None,Yes,Yes,No,Before 1990
Tanzania-2016_10_1,Tanzania-2016,10_1,10,1,0.5,,,,1.0,No,11-50,Over 5,11-50,,45 or older,,Other,,Primary,,Male,,None,,Yes,,,
Tanzania-2016_10_10,Tanzania-2016,10_10,10,10,0.5,On-call,,,1.0,No,11-50,Over 5,11-50,,25-34,,Clinical Officer,,Secondary,,Male,,Certificate,,No,,,
Tanzania-2016_10_7,Tanzania-2016,10_7,10,7,0.5,On-call,On-call,1.0,1.0,No,11-50,Over 5,11-50,,25-34,25-34,Other,Other,Secondary,Secondary,Female,Female,Certificate,Certificate,No,No,,After 2000
Tanzania-2016_10_3,Tanzania-2016,10_3,10,3,0.5,,,1.0,1.0,No,11-50,Over 5,11-50,With patient,Younger than 25,Younger than 25,Nurse,Nurse,Secondary,Secondary,Female,Female,Certificate,Certificate,Yes,Yes,No,After 2000
Tanzania-2016_10_6,Tanzania-2016,10_6,10,6,0.5,,,,1.0,No,11-50,Over 5,11-50,,Younger than 25,,Nurse,,Secondary,,Female,,Certificate,,Yes,,,
Tanzania-2016_10_9,Tanzania-2016,10_9,10,9,0.5,"Training, seminar or meeting",,1.0,1.0,Yes,11-50,Over 5,11-50,With patient,45 or older,45 or older,Clinical Officer,Clinical Officer,Secondary,Secondary,Male,Male,Diploma,Diploma,No,Yes,No,In the 1990s
Tanzania-2016_10_4,Tanzania-2016,10_4,10,4,0.5,,On-call,1.0,1.0,No,11-50,Over 5,11-50,,45 or older,45 or older,Nurse,Nurse,Primary,Primary,Female,Female,Certificate,Certificate,Yes,No,,In the 1990s
Tanzania-2016_10_12,Tanzania-2016,10_12,10,12,0.5,On-call,,,1.0,No,11-50,Over 5,11-50,,45 or older,,Other,,Primary,,Female,,Certificate,,No,,,
Tanzania-2016_10_14,Tanzania-2016,10_14,10,14,0.5,,,1.0,1.0,No,11-50,Over 5,11-50,With patient,35-44,35-44,Nurse,Nurse,Secondary,Secondary,Female,Female,Diploma,Diploma,Yes,Yes,Yes,After 2000
Tanzania-2016_100_2,Tanzania-2016,100_2,100,2,0.2,Sick or on maternity leave,,1.0,1.0,Yes,11-50,5 or less,11-50,With patient,35-44,35-44,Clinical Officer,Clinical Officer,Post-Secondary,Post-Secondary,Female,Female,Certificate,Certificate,No,Yes,No,After 2000
Tanzania-2016_100_13,Tanzania-2016,100_13,100,13,0.2,On-call,,1.0,1.0,No,11-50,5 or less,11-50,With patient,35-44,25-34,Other,Other,Post-Secondary,Post-Secondary,Female,,Certificate,Certificate,No,Yes,,After 2000
Tanzania-2016_100_5,Tanzania-2016,100_5,100,5,0.2,,,,1.0,No,11-50,5 or less,11-50,,35-44,,Nurse,,Post-Secondary,,Female,,Diploma,,Yes,,,
Tanzania-2016_100_7,Tanzania-2016,100_7,100,7,0.2,On-call,,1.0,1.0,No,11-50,5 or less,11-50,With patient,35-44,35-44,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Certificate,Certificate,No,Yes,No,After 2000
Tanzania-2016_100_19,Tanzania-2016,100_19,100,19,0.2,Sick or on maternity leave,,1.0,1.0,No,11-50,5 or less,11-50,With patient,25-34,25-34,Other,Other,Post-Secondary,Post-Secondary,Female,Female,Certificate,Certificate,No,Yes,No,After 2000
Tanzania-2016_100_1,Tanzania-2016,100_1,100,1,0.2,,Sick or on maternity leave,1.0,1.0,Yes,11-50,5 or less,11-50,,45 or older,45 or older,Clinical Officer,Clinical Officer,Post-Secondary,Post-Secondary,Male,Male,Diploma,Diploma,Yes,No,,After 2000
