country,facility_id,abs_fpc,abs_wt,act_a,admin1,admin2,adultscale_a,adultscale_b,adultscale_d,airway_a,airway_b,airway_d,amitriptyline_a,amoxicillin1_a,amoxicillin3_a,ampicillin2_a,ampicillin_a,artesunate_a,asphyxia_fpc,asphyxia_wt,atenolol_a,autoclave_a,autoclave_b,azithromycin_a,bagmask_a,bagmask_b,bagmask_d,bcg_vac,benzathine_a,benzylpenicillin_a,calgluc_a,captopril_a,cefixime2_a,cefixime_a,ceftriaxone_a,childscale_a,childscale_b,childscale_d,ciproflox_a,cotrimoxazole1_a,depo_a,diabetes_fpc,diabetes_wt,diarrhea_fpc,diarrhea_wt,diazepam1b_a,diclofenac_a,dryheat_a,dryheat_b,fac_fpc,faccomputer_a,facility_level,facmobile_a,fansidar_a,folic_a,fridge_power,fridge_poweroth,fridge_temp,fridge_temptodate,gentamycin_a,glibenclam_a,has_alcohol,has_antibiotics,has_anticonvuls,has_autosyringe,has_bednet,has_delivery,has_dispsyringe,has_facility,has_fridge,has_gloves,has_icepacks,has_mcondoms,has_ocytocics,has_placenta,has_poc,has_resusc,has_sharps,has_vaccarrier,has_weights,incinerator_a,incinerator_b,indcomputer_a,indmobile1_a,infantscale_a,infantscale_b,infantscale_d,internet_a,ipw,irona_a,ironb_a,ironfolic_a,magsulf_a,malaria_fpc,malaria_wt,measles_vac,methasone_a,metronidazole_a,misoprostol_a,nacl_a,nifedipine1_a,nifedipine2_a,nonelectric_a,nonelectric_b,num_births,num_outpatient,omeprazole_a,ors_a,oxytocin_a,paracetamol1_a,paracetamol3_a,pentavalent_vac,phone_a,pneumococ_vac,pneumonia_fpc,pneumonia_wt,polio_vac,pph_fpc,pph_wt,publicprivate,rdt_a,ruralurban,salbutamol_a,simvastatin_a,sphgmeter_a,sphgmeter_b,sphgmeter_d,steamer_a,steamer_b,stethoscope_a,stethoscope_b,stethoscope_d,tb_fpc,tb_wt,tetanus_vac,thermometer_a,thermometer_b,thermometer_d,vaccine_store1,vaccine_store2,vign15_fpc,vign67_fpc,vitamina_a,zinctabs_a
Togo-2013,1,0.4,84.84211,At least one observed (not expired),4,402,Yes (Observed),Yes (Observed),Facility,Yes (Observed),Yes (Observed),Facility,Never available,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),0.2777778,4.926316,Not available today,Yes (Observed),Yes (Observed),Never available,Yes (Observed),Yes (Observed),Facility,At least one observed (not expired),At least one observed (not expired),Never available,At least one observed (not expired),At least one observed (not expired),Never available,Not available today,At least one observed (not expired),Yes (Observed),Yes (Observed),Facility,At least one observed (not expired),Not available today,At least one observed (not expired),0.1388889,9.852632,0.1388889,9.852632,At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),0.7307692,Yes (Observed),Hospital,No,Not available today,At least one observed (not expired),Electrical grid,,5.0,Yes (Observed),At least one observed (not expired),At least one observed (not expired),Yes,Yes,Yes,Yes (Observed),No,No,Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes,Yes,Yes,Yes,No,Yes (Observed),1,Yes (Observed),Yes (Observed),No,No,Yes (Observed),No,Facility,No,1.3684211,Never available,At least one observed (not expired),At least one observed (not expired),Never available,0.1388889,9.852632,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,At least one observed (not expired),Not available today,At least one observed (not expired),No,,Over 50,Over 3000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Not available today,At least one observed (not expired),Yes (Observed),Never available,0.1388889,9.852632,Not available today,0.2777778,4.926316,Public,Yes,Urban,Not available today,Never available,Yes (Observed),Yes (Observed),Facility,No,,Yes (Observed),Yes (Observed),Facility,0.1388889,9.852632,At least one observed (not expired),Yes (Observed),Yes (Observed),Facility,Yes,,0.1388889,0.2777778,At least one observed (not expired),Not available today
Togo-2013,10,1.0,26.48187,Not available today,4,403,Yes (Observed),No,Facility,Yes (Observed),Yes (Observed),Facility,Never available,Not available today,At least one observed (not expired),Not available today,Not available today,At least one observed (not expired),0.5,5.88486,Never available,No,,Never available,No,,,At least one observed (not expired),At least one observed (not expired),Never available,At least one observed (not expired),Not available today,Never available,Never available,At least one observed (not expired),Yes (Observed),Yes (Observed),Facility,Not available today,Not available today,At least one observed (not expired),0.25,11.76972,0.25,11.76972,At least one observed (not expired),At least one observed (not expired),Yes (Observed),No,0.23880596,No,Health Post,No,Not available today,Never available,Electrical grid,,0.0,No,At least one observed (not expired),Never available,Yes,Yes,Yes,Yes (Observed),Yes,No,Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),No,Yes,Yes,No,No,Yes (Observed),Yes (Observed),1,No,,No,No,Yes (Observed),Yes (Observed),Facility,No,2.94243,Never available,Never available,At least one observed (not expired),Never available,0.25,11.76972,At least one observed (not expired),Not available today,Not available today,Never available,At least one observed (not expired),Never available,Never available,No,,Over 50,Over 3000,Never available,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Never available,0.25,11.76972,Not available today,0.5,5.88486,Public,No,Urban,Never available,Never available,Yes (Observed),Yes (Observed),Facility,No,,Yes (Observed),Yes (Observed),Facility,0.25,11.76972,At least one observed (not expired),Yes (Observed),Yes (Observed),Facility,Yes,Yes,0.25,0.5,At least one observed (not expired),At least one observed (all expired)
Togo-2013,100,1.0,14.707443,At least one observed (not expired),2,206,Yes (Observed),Yes (Observed),Facility,No,,,Never available,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),1.0,2.1010633,Never available,No,,Never available,Yes (Observed),Yes (Observed),Facility,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Not available today,Not available today,Never available,Never available,Not available today,Yes (Observed),Yes (Observed),Individual,Not available today,At least one observed (not expired),Not available today,0.6666667,3.1515949,0.6666667,3.1515949,Not available today,At least one observed (not expired),Yes (Observed),Yes (Observed),0.21064301,No,Health Post,No,At least one observed (not expired),At least one observed (not expired),Electrical grid,,6.0,Yes (Observed),At least one observed (not expired),Never available,Yes,Yes,Yes,Yes (Observed),No,No,Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),No,Yes,Yes,Yes,No,No,Yes (Observed),1,No,,No,Yes (Observed),No,,,No,2.1010633,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,0.6666667,3.1515949,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,Not available today,Not available today,Not available today,No,,50 or less,0-500,Never available,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,Never available,0.6666667,3.1515949,At least one observed (not expired),1.0,2.1010633,Public,Yes,Rural,Never available,Never available,Yes (Observed),Yes (Observed),Facility,No,,Yes (Observed),Yes (Observed),Facility,0.6666667,3.1515949,At least one observed (not expired),Yes (Observed),Yes (Observed),Facility,Yes,,0.6666667,1.0,At least one observed (not expired),At least one observed (not expired)
Togo-2013,101,1.0,9.321177,At least one observed (not expired),2,206,Yes (Observed),Yes (Observed),Facility,No,,,Never available,At least one observed (not expired),At least one observed (not expired),Not available today,Not available today,At least one observed (not expired),0.6666667,3.4954412,Never available,No,,Never available,No,,,Not available today,At least one observed (not expired),Not available today,At least one observed (not expired),At least one observed (not expired),Never available,Never available,At least one observed (not expired),Yes (Observed),Yes (Observed),Facility,At least one observed (not expired),At least one observed (not expired),Not available today,0.33333334,6.9908824,0.33333334,6.9908824,Not available today,At least one observed (not expired),No,,0.21064301,No,Health Post,No,Not available today,Never available,Electrical grid,,2.0,No,Not available today,Never available,No,Yes,Yes,Yes (Observed),No,No,Yes (Observed),1,Yes (Observed),No,Yes (Observed),Yes,Yes,Yes,Yes,No,Yes (Observed),Yes (Observed),1,No,,No,Yes (Observed),Yes (Observed),Yes (Observed),Facility,No,2.3302941,Never available,Not available today,At least one observed (not expired),Never available,0.33333334,6.9908824,At least one observed (not expired),Not available today,Never available,Never available,Not available today,Not available today,Not available today,Yes (Observed),Yes (Observed),50 or less,501-1000,Never available,At least one observed (not expired),Available but not observed (not expired),At least one observed (not expired),Not available today,At least one observed (not expired),No,Never available,0.33333334,6.9908824,Not available today,0.6666667,3.4954412,Public,Yes,Rural,Never available,Never available,Yes (Observed),Yes (Observed),Facility,No,,Yes (Observed),Yes (Observed),Facility,0.33333334,6.9908824,At least one observed (not expired),Yes (Observed),Yes (Observed),Facility,Yes,,0.33333334,0.6666667,At least one observed (not expired),At least one observed (all expired)
Togo-2013,102,1.0,19.939898,Never available,2,206,Yes (Observed),Yes (Observed),Facility,No,,,Never available,At least one observed (not expired),At least one observed (not expired),Never available,Not available today,At least one observed (not expired),1.0,6.6466327,Never available,No,,Never available,Yes (Observed),No,Facility,Not available today,Never available,Never available,Never available,Not available today,Never available,Never available,At least one observed (not expired),Yes (Observed),Yes (Observed),Facility,At least one observed (not expired),At least one observed (not expired),Not available today,0.5,13.293265,0.5,13.293265,Never available,Never available,Yes (Observed),Yes (Observed),0.36619717,No,Health Post,Yes (Observed),Not available today,Never available,Electrical grid,,2.0,Yes (Observed),Never available,Never available,Yes,Yes,Yes,Yes (Observed),No,No,Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes,Yes,No,No,No,Yes (Observed),1,No,,Yes (Observed),No,Yes (Observed),Yes (Observed),Facility,Yes (Observed),6.6466327,Never available,Never available,At least one observed (not expired),Never available,0.5,13.293265,At least one observed (not expired),Never available,At least one observed (not expired),Never available,Never available,At least one observed (not expired),Never available,No,,50 or less,0-500,Never available,At least one observed (not expired),Not available today,At least one observed (not expired),Never available,At least one observed (not expired),No,Never available,0.5,13.293265,Not available today,1.0,6.6466327,Public,Yes,Rural,Never available,Never available,Yes (Observed),Yes (Observed),Facility,No,,Yes (Observed),Yes (Observed),Facility,0.5,13.293265,At least one observed (not expired),Yes (Observed),Yes (Observed),Facility,Yes,,0.5,1.0,At least one observed (not expired),Never available
Togo-2013,103,1.0,11.318868,At least one observed (not expired),2,206,Yes (Observed),No,Facility,Yes (Observed),Yes (Observed),Individual,Never available,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),1.0,11.318868,Never available,No,,Never available,No,,,At least one observed (not expired),At least one observed (not expired),Never available,At least one observed (not expired),At least one observed (not expired),Never available,Never available,At least one observed (not expired),Yes (Observed),Yes (Observed),Facility,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),0.0,,0.0,,At least one observed (not expired),At least one observed (not expired),No,,0.21064301,No,Health Post,No,Not available today,Never available,Gas,,,,At least one observed (not expired),Never available,Yes,Yes,Yes,No,No,No,Yes (Observed),1,Not functioning,Yes,Yes (Observed),Yes,Yes,Yes,No,No,No,Yes (Observed),1,No,,No,Yes (Observed),Yes (Observed),Yes (Observed),Facility,No,11.318868,Never available,Never available,At least one observed (not expired),Never available,0.0,,At least one observed (not expired),At least one observed (not expired),Never available,Never available,Not available today,At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),50 or less,0-500,Never available,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,Never available,0.0,,At least one observed (not expired),1.0,11.318868,Public,Yes,Urban,At least one observed (not expired),Never available,Yes (Observed),Yes (Observed),Facility,No,,Yes (Observed),Yes (Observed),Facility,0.0,,At least one observed (not expired),Yes (Observed),Yes (Observed),Facility,Yes,,0.0,1.0,At least one observed (not expired),At least one observed (all expired)
Togo-2013,104,1.0,16.033533,At least one observed (not expired),2,206,Yes (Observed),Yes (Observed),Facility,Yes (Observed),Yes (Observed),Facility,Never available,Not available today,Not available today,Not available today,Not available today,Not available today,1.0,5.344511,Never available,No,,Never available,No,,,Available but not observed (not expired),Never available,Never available,Never available,Never available,Never available,Never available,Not available today,Yes (Observed),Yes (Observed),Facility,Not available today,Not available today,Not available today,0.5,10.689022,0.5,10.689022,Not available today,Not available today,No,,0.21064301,No,Health Post,No,Not available today,Never available,,,,,Not available today,Never available,Yes,Yes,Yes,Yes (Observed),No,No,Yes (Observed),1,,Yes,Yes (Observed),No,Yes,Yes,Yes,No,Yes (Observed),Yes (Observed),1,No,,No,Yes (Observed),Yes (Observed),Yes (Observed),Facility,No,5.344511,Never available,Never available,Not available today,Never available,0.5,10.689022,Available but not observed (not expired),Never available,Not available today,Never available,Never available,Never available,Never available,Yes (Observed),Yes (Not Observed),50 or less,1001-2000,Never available,At least one observed (all expired),Not available today,Not available today,Not available today,Available but not observed (not expired),No,Never available,0.5,10.689022,Available but not observed (not expired),1.0,5.344511,Public,Yes,Rural,Not available today,Never available,Yes (Observed),Yes (Observed),Facility,No,,Yes (Observed),Yes (Observed),Facility,0.5,10.689022,Available but not observed (not expired),Yes (Observed),Yes (Observed),Facility,No,Yes,0.5,1.0,At least one observed (not expired),At least one observed (all expired)
Togo-2013,105,1.0,7.773538,At least one observed (not expired),2,206,Yes (Observed),Yes (Observed),Facility,Yes (Observed),Yes (Observed),Facility,Never available,At least one observed (not expired),At least one observed (not expired),Not available today,Not available today,At least one observed (not expired),0.75,2.0729434,Never available,No,,Never available,Yes (Observed),Yes (Observed),Facility,Not available today,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,Never available,At least one observed (not expired),Yes (Observed),Yes (Observed),Facility,At least one observed (not expired),At least one observed (not expired),Not available today,0.25,6.2188306,0.25,6.2188306,At least one observed (not expired),At least one observed (not expired),No,,0.36619717,No,Health Center,No,Not available today,Not available today,,,,,Never available,Never available,Yes,Yes,Yes,Yes (Observed),No,No,Yes (Observed),1,,Yes,Yes (Observed),No,Yes,Yes,No,Yes,Yes (Observed),Yes (Observed),1,No,,No,Yes (Observed),Yes (Observed),Yes (Observed),Facility,No,1.5547076,Not available today,At least one observed (not expired),At least one observed (not expired),Never available,0.25,6.2188306,Not available today,At least one observed (not expired),Never available,Never available,Not available today,At least one observed (not expired),Never available,Yes (Observed),Yes (Observed),50 or less,501-1000,Never available,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Not available today,No,Never available,0.25,6.2188306,Not available today,0.75,2.0729434,Private,Yes,Rural,Not available today,Never available,Yes (Observed),Yes (Observed),Facility,No,,Yes (Observed),Yes (Observed),Facility,0.25,6.2188306,Not available today,Yes (Observed),Yes (Observed),Facility,No,Yes,0.25,0.75,At least one observed (not expired),Not available today
Togo-2013,106,1.0,41.25981,At least one observed (not expired),2,206,Yes (Observed),Yes (Observed),Facility,No,,,Never available,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),1.0,8.251963,Never available,No,,Never available,No,,,Not available today,At least one observed (not expired),Never available,At least one observed (not expired),Never available,Never available,Never available,At least one observed (not expired),No,,,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),0.5,16.503925,0.5,16.503925,At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),0.21064301,Yes (Observed),Health Post,No,Not available today,Never available,Solar panel,,2.0,Yes (Observed),At least one observed (not expired),Never available,Yes,Yes,Yes,Yes (Observed),No,No,Yes (Not Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes,Yes,No,No,Yes (Observed),Yes (Observed),1,No,,No,Yes (Observed),Yes (Observed),Yes (Observed),Facility,Yes (Observed),8.251963,Never available,Never available,At least one observed (not expired),Never available,0.5,16.503925,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,Available but not observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),50 or less,1001-2000,Never available,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,Never available,0.5,16.503925,Not available today,1.0,8.251963,Private,Yes,Rural,At least one observed (not expired),Never available,Yes (Observed),Yes (Observed),Facility,No,,Yes (Observed),Yes (Observed),Facility,0.5,16.503925,At least one observed (not expired),Yes (Observed),Yes (Observed),Facility,Yes,,0.5,1.0,At least one observed (not expired),Not available today
Togo-2013,107,1.0,9.909527,Not available today,2,206,Yes (Observed),Yes (Observed),Facility,No,,,Never available,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Not available today,1.0,3.3031757,Never available,No,,Never available,No,,,At least one observed (not expired),At least one observed (not expired),Never available,At least one observed (not expired),Not available today,Never available,Never available,Not available today,Yes (Observed),Yes (Observed),Facility,At least one observed (not expired),At least one observed (not expired),Not available today,0.5,6.6063514,0.5,6.6063514,At least one observed (not expired),Not available today,No,,0.21064301,No,Health Post,No,Not available today,Never available,Gas,,,,At least one observed (all expired),Never available,Yes,Yes,Yes,Yes (Observed),No,No,Yes (Observed),1,Not functioning,Yes,Yes (Observed),Yes,Yes,Yes,No,No,Yes (Observed),Yes (Observed),1,No,,No,Yes (Observed),Yes (Observed),Yes (Observed),Facility,No,3.3031757,Not available today,At least one observed (not expired),At least one observed (not expired),Not available today,0.5,6.6063514,At least one observed (not expired),Not available today,Never available,Never available,Not available today,Not available today,Never available,Yes (Observed),Yes (Observed),50 or less,501-1000,Never available,At least one observed (all expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,Never available,0.5,6.6063514,Not available today,1.0,3.3031757,Public,No,Rural,Never available,Never available,Yes (Observed),Yes (Observed),Facility,No,,Yes (Observed),Yes (Observed),Facility,0.5,6.6063514,At least one observed (not expired),Yes (Observed),Yes (Observed),Facility,Yes,,0.5,1.0,At least one observed (not expired),Not available today
