survey_id,country,unique_id,facility_id,provider_id,absence_rate,absent_reason1,absent_reason2,has_absentee,has_roster,is_outpatient,num_med,num_nonmed,num_staff,provider_activity,provider_age1,provider_age2,provider_cadre1,provider_cadre2,provider_educ1,provider_educ2,provider_male1,provider_male2,provider_mededuc1,provider_mededuc2,provider_present1,provider_present2,salary_delay,year_started
Mozambique-2014_100102_1,Mozambique-2014,100102_1,100102,1,0.0,,,1.0,1,Yes,5 or less,5 or less,5 or less,With patient,25-34,25-34,Other,Other,Secondary,Secondary,Male,Male,,,Yes,Yes,No,After 2000
Mozambique-2014_100102_2,Mozambique-2014,100102_2,100102,2,0.0,,,1.0,1,Yes,5 or less,5 or less,5 or less,With patient,25-34,25-34,Nurse,Nurse,Secondary,Secondary,Female,Female,Diploma,Diploma,Yes,Yes,No,After 2000
Mozambique-2014_100105_1,Mozambique-2014,100105_1,100105,1,0.5,,,1.0,1,Yes,5 or less,5 or less,6-10,With patient,25-34,25-34,Clinical Officer,Clinical Officer,Post-Secondary,Post-Secondary,Male,Male,Diploma,Diploma,Yes,Yes,No,After 2000
Mozambique-2014_100105_2,Mozambique-2014,100105_2,100105,2,0.5,,Authorized absence,1.0,1,Yes,5 or less,5 or less,6-10,,35-44,35-44,Nurse,Nurse,Secondary,Secondary,Female,Female,Diploma,Diploma,Yes,No,,After 2000
Mozambique-2014_100105_3,Mozambique-2014,100105_3,100105,3,0.5,,,1.0,1,No,5 or less,5 or less,6-10,"Laboratory, investigations, or x-ray",25-34,25-34,Other,Other,Post-Secondary,Post-Secondary,Male,Male,Diploma,Diploma,Yes,Yes,Yes,After 2000
Mozambique-2014_100105_4,Mozambique-2014,100105_4,100105,4,0.5,,Authorized absence,1.0,1,No,5 or less,5 or less,6-10,,35-44,35-44,Other,Other,,,Male,Male,,,Yes,No,,After 2000
Mozambique-2014_100108_31,Mozambique-2014,100108_31,100108,31,0.6363636,Other,,,1,No,Over 50,Over 5,Over 50,,25-34,,Clinical Officer,,Secondary,,Male,,Diploma,,No,,,
Mozambique-2014_100108_1,Mozambique-2014,100108_1,100108,1,0.6363636,,Authorized absence,1.0,1,Yes,Over 50,Over 5,Over 50,,25-34,Younger than 25,Doctor,Clinical Officer,Post-Secondary,Secondary,Male,Male,,Diploma,Yes,No,,After 2000
Mozambique-2014_100108_49,Mozambique-2014,100108_49,100108,49,0.6363636,Official mission,,,1,Yes,Over 50,Over 5,Over 50,,25-34,,Other,,Secondary,,Female,,,,No,,,
Mozambique-2014_100108_28,Mozambique-2014,100108_28,100108,28,0.6363636,,,,1,No,Over 50,Over 5,Over 50,,25-34,,Clinical Officer,,Secondary,,Male,,Diploma,,Yes,,,
Mozambique-2014_100108_16,Mozambique-2014,100108_16,100108,16,0.6363636,,,,1,Yes,Over 50,Over 5,Over 50,,35-44,,Nurse,,Post-Secondary,,Male,,Diploma,,Yes,,,
Mozambique-2014_100108_22,Mozambique-2014,100108_22,100108,22,0.6363636,"Training, seminar or meeting",,,1,Yes,Over 50,Over 5,Over 50,,25-34,,Nurse,,Secondary,,Female,,Diploma,,No,,,
Mozambique-2014_100108_46,Mozambique-2014,100108_46,100108,46,0.6363636,,,,1,No,Over 50,Over 5,Over 50,,35-44,,Clinical Officer,,Secondary,,Male,,Diploma,,Yes,,,
Mozambique-2014_100108_5,Mozambique-2014,100108_5,100108,5,0.6363636,,Authorized absence,1.0,1,No,Over 50,Over 5,Over 50,,25-34,35-44,Clinical Officer,Clinical Officer,Post-Secondary,Secondary,Male,Male,Advanced,Diploma,Yes,No,,In the 1990s
Mozambique-2014_100108_48,Mozambique-2014,100108_48,100108,48,0.6363636,,,,1,Yes,Over 50,Over 5,Over 50,,25-34,,Clinical Officer,,Secondary,,Female,,Diploma,,Yes,,,
Mozambique-2014_100108_20,Mozambique-2014,100108_20,100108,20,0.6363636,,,,1,Yes,Over 50,Over 5,Over 50,,45 or older,,Nurse,,Secondary,,Female,,Diploma,,Yes,,,
Mozambique-2014_100108_26,Mozambique-2014,100108_26,100108,26,0.6363636,Other,,,1,No,Over 50,Over 5,Over 50,,45 or older,,Nurse,,Primary,,Male,,Certificate,,No,,,
Mozambique-2014_100108_33,Mozambique-2014,100108_33,100108,33,0.6363636,,,,1,No,Over 50,Over 5,Over 50,,Younger than 25,,Clinical Officer,,Secondary,,Female,,Diploma,,Yes,,,
Mozambique-2014_100108_50,Mozambique-2014,100108_50,100108,50,0.6363636,On-call,,,1,Yes,Over 50,Over 5,Over 50,,25-34,,Other,,Secondary,,Male,,,,No,,,
Mozambique-2014_100108_14,Mozambique-2014,100108_14,100108,14,0.6363636,On-call,,,1,Yes,Over 50,Over 5,Over 50,,Younger than 25,,Nurse,,Secondary,,Male,,Diploma,,No,,,
Mozambique-2014_100108_8,Mozambique-2014,100108_8,100108,8,0.6363636,,,1.0,1,No,Over 50,Over 5,Over 50,With patient,25-34,25-34,Clinical Officer,Clinical Officer,Post-Secondary,Secondary,Female,Male,Advanced,Diploma,Yes,Yes,No,After 2000
Mozambique-2014_100108_12,Mozambique-2014,100108_12,100108,12,0.6363636,On-call,,,1,Yes,Over 50,Over 5,Over 50,,45 or older,,Nurse,,Secondary,,Male,,Diploma,,No,,,
Mozambique-2014_100108_18,Mozambique-2014,100108_18,100108,18,0.6363636,,,,1,Yes,Over 50,Over 5,Over 50,,35-44,,Nurse,,Secondary,,Female,,Diploma,,Yes,,,
