country,facility_id,abs_prob,abs_wt,act_a,act_b,admin1,admin2,admin4,adultscale_a,adultscale_b,adultscale_c,airway_a,airway_b,airway_c,albendazole_a,albendazole_b,amitriptyline_a,amitriptyline_b,amoxicillin1_a,amoxicillin1_b,amoxicillin3_a,amoxicillin3_b,ampicillin_a,ampicillin_b,artesunate_a,artesunate_b,atenolol_a,atenolol_b,autoclave_a,autoclave_b,autoclave_c,azithromycin_a,azithromycin_b,bagmask_a,bagmask_b,bagmask_c,bcg_vac,benzathine_a,benzathine_b,benzylpenicillin_a,benzylpenicillin_b,calgluc_a,calgluc_b,captopril_a,captopril_b,cefixime_a,cefixime_b,ceftriaxone_a,ceftriaxone_b,childscale_a,childscale_b,childscale_c,ciproflox_a,ciproflox_b,contraceptive_a,contraceptive_b,cotrimoxazole3_a,cotrimoxazole3_b,depo_a,depo_b,diazepam1a_a,diazepam1a_b,diclofenac_a,diclofenac_b,does_vaccines,dpt_vac,dryheat_a,dryheat_b,dryheat_c,ethambutol_a,ethambutol_b,faccomputer_a,faccomputer_b,facility_level,facmobile_a,facmobile_b,fansidar_a,fansidar_b,final_wt,folic_a,folic_b,fridge_power,fridge_temp,fridge_tempmon,gentamycin_a,gentamycin_b,glibenclam_a,glibenclam_b,glucometer_a,has_antibiotics,has_anticonvuls,has_autosyringe,has_bednet,has_births,has_delivery,has_dispsyringe,has_facility,has_fcondoms,has_fridge,has_gloves,has_icepacks,has_length,has_mcondoms,has_ocytocics,has_placenta,has_poc,has_resusc,has_sharps,has_tapemeasure,has_vaccarrier,has_weights,hepb_vac,hivtest_a,hypoglycemic_a,hypoglycemic_b,incinerator_a,incinerator_b,incinerator_c,incinerator_power,incinerator_works,indcomputer_a,indcomputer_b,indmobile1_a,indmobile1_b,indmobile2_a,indmobile2_b,infantscale_a,infantscale_b,infantscale_c,insulin_a,insulin_b,internet_a,internet_b,ipw,irona_a,irona_b,ironfolic_a,ironfolic_b,isoniazid_a,isoniazid_b,m0s0q0,magsulf_a,magsulf_b,measles_vac,mebendazole_a,mebendazole_b,methasone_a,methasone_b,metronidazole_a,metronidazole_b,misoprostol_a,misoprostol_b,morphine_a,morphine_b,nacl_a,nacl_b,nifedipine2_a,nifedipine2_b,nonelectric_a,nonelectric_b,nonelectric_c,num_births,num_outpatient,omeprazole_a,omeprazole_b,ors_a,ors_b,oxytocin_a,oxytocin_b,paracetamol3_a,paracetamol3_b,pentavalent_vac,phone_a,phone_b,pneumococ_vac,polio_vac,publicprivate,pyrazinam_a,pyrazinam_b,radio_a,radio_b,rdt_a,rifampicin_a,rifampicin_b,ruralurban,salbutamol_a,salbutamol_b,sharps_a,sharps_b,sharps_c,sharps_d,sharps_e,sharps_f,sharps_g,sharps_h,sharps_i,sharps_inspected,sharps_j,sharps_k,sharps_l,sharps_m,sharps_n,simvastatin_a,simvastatin_b,sphgmeter_a,sphgmeter_b,sphgmeter_c,steamer_a,steamer_b,steamer_c,stethoscope_a,stethoscope_b,stethoscope_c,tbtest_a,tetanus_vac,thermometer_a,thermometer_b,thermometer_c,treat_guidelines,treat_observed,vaccine_store1,vaccine_store2,vign_prob,vign_wt,vitamina_a,vitamina_b,waste_a,waste_b,waste_c,waste_d,waste_e,waste_f,waste_g,waste_guidelines,waste_h,waste_i,waste_inspected,waste_j,waste_k,waste_l,waste_m,waste_n,waste_training,zinctabs_a,zinctabs_b
Tanzania-2016,1,1.0,44.826572,At least one observed (not expired),Form as stated,1,1,91,Yes (Observed),Yes (Observed),,Yes (Observed),Yes (Observed),,At least one observed (not expired),Form as stated,Never available,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Never available,,No,,,At least one observed (not expired),Form as stated,Yes (Observed),Yes (Observed),,At least one observed (not expired),At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Never available,,Never available,,Never available,,At least one observed (not expired),Form as stated,Yes (Observed),Yes (Observed),,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Not available today,,At least one observed (not expired),Form as stated,Yes,At least one observed (all expired),No,,,Not recommended at given facility level,,No,,Health Post,Yes (Observed),Yes (Observed),At least one observed (not expired),Form as stated,44.826572,Not available today,,Gas,8.0,Yes (Observed),At least one observed (not expired),Form as stated,Never available,,Yes,Yes,Yes,Yes (Observed),Yes,Yes,Yes,Yes (Observed),1,Yes,Yes (Observed),Yes,Yes (Observed),Yes,Yes,Yes,Yes,Yes,Yes,Yes (Observed),Yes,Yes (Observed),1,At least one observed (not expired),Yes,Not recommended at given facility level,,,,,,,No,,No,,No,,Yes (Observed),Yes (Observed),,Not recommended at given facility level,,No,,44.826572,Not available today,,At least one observed (not expired),Form as stated,Not recommended at given facility level,,Questionnaire filalized,At least one observed (not expired),Form as stated,At least one observed (not expired),At least one observed (not expired),Form as stated,Never available,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Not recommended at given facility level,,At least one observed (not expired),Form as stated,Never available,,Yes (Observed),Yes (Observed),,50 or less,1001-2000,Never available,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),No,,At least one observed (not expired),At least one observed (not expired),Public,Not recommended at given facility level,,No,,Yes,Not recommended at given facility level,,Rural,Not available today,,Yes,No,No,Yes,No,No,No,No,No,"Waste visible, protected area",No,No,No,No,No,Never available,,Yes (Observed),Yes (Observed),,No,,,Yes (Observed),Yes (Observed),,Yes,At least one observed (not expired),Yes (Observed),Yes (Observed),,Yes,Yes,Yes,,0.33333334,134.47972,At least one observed (not expired),Form as stated,Yes,No,No,Yes,No,No,No,Yes (Not Observed),No,No,"Waste visible, protected area",No,No,No,No,No,No,At least one observed (not expired),Form as stated
Tanzania-2016,10,0.5555556,13.39786,At least one observed (not expired),Form as stated,1,2,53,Yes (Observed),Yes (Observed),,Yes (Observed),Yes (Observed),,At least one observed (not expired),Form as stated,Not available today,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Not available today,,At least one observed (not expired),Form as stated,Never available,,No,,,At least one observed (not expired),Form as stated,Yes (Observed),Yes (Observed),,At least one observed (all expired),At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Not available today,,Never available,,Never available,,At least one observed (not expired),Form as stated,Yes (Observed),Yes (Observed),,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Yes,At least one observed (all expired),No,,,At least one observed (not expired),Form as stated,No,,Health Center,Yes (Observed),Yes (Observed),At least one observed (not expired),Form as stated,7.4432554,At least one observed (not expired),Form as stated,Gas,5.0,Yes (Observed),Not available today,,Not available today,,Yes,Yes,Yes,Yes (Observed),No,Yes,Yes,Yes (Observed),1,Yes,Yes (Observed),Yes,Yes (Observed),Yes,Yes,Yes,Yes,Yes,Yes,Yes (Observed),Yes,Yes (Observed),1,At least one observed (not expired),Yes,Never available,,,,,Yes,Yes,No,,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),,Never available,,No,,7.4432554,Not available today,,Not available today,,At least one observed (not expired),Form as stated,Questionnaire filalized,At least one observed (not expired),Form as stated,At least one observed (not expired),At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Not available today,,Never available,,At least one observed (not expired),Form as stated,Not available today,,Yes (Observed),Yes (Observed),,Over 50,2001-3000,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),No,,At least one observed (not expired),At least one observed (not expired),Public,At least one observed (not expired),Form as stated,No,,Yes,At least one observed (not expired),Form as stated,Rural,Not available today,,No,No,No,Yes,No,No,No,No,No,"Waste visible, protected area",No,No,No,No,Yes,Never available,,Yes (Observed),Yes (Observed),,Yes (Observed),Yes (Observed),,Yes (Observed),Yes (Observed),,Yes,At least one observed (not expired),Yes (Observed),Yes (Observed),,Yes,Yes,Yes,,0.5,14.886511,At least one observed (not expired),Form as stated,No,No,No,Yes,No,No,No,Yes (Not Observed),No,No,"Waste visible, protected area",No,No,No,No,Yes,No,At least one observed (not expired),Form as stated
Tanzania-2016,100,0.5263158,12.959722,At least one observed (not expired),Form as stated,4,1,53,Yes (Observed),Yes (Observed),,Yes (Observed),Yes (Observed),,At least one observed (not expired),Form as stated,Not available today,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Yes (Observed),Yes (Observed),,Not available today,,Yes (Observed),Yes (Observed),,Not available today,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Never available,,Not available today,,Not available today,,At least one observed (not expired),Form as stated,Yes (Observed),Yes (Observed),,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Yes,Never available,No,,,At least one observed (not expired),Form as stated,Yes (Observed),Yes (Observed),Health Center,No,,At least one observed (not expired),Form as stated,6.820906,At least one observed (not expired),Form as stated,Electrical grid,3.0,Yes (Observed),At least one observed (not expired),Form as stated,Never available,,No,Yes,Yes,Yes (Observed),Yes,Yes,Yes,Yes (Observed),1,No,Yes (Observed),Yes,Yes (Observed),Yes,Yes,Yes,Yes,Yes,Yes,Yes (Observed),Yes,Yes (Observed),1,Never available,Yes,Not available today,,,,,No,No,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),,Never available,,No,,6.820906,Not available today,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Questionnaire filalized,At least one observed (not expired),Form as stated,At least one observed (not expired),At least one observed (not expired),Form as stated,Never available,,Not available today,,Not available today,,Not recommended at given facility level,,At least one observed (not expired),Form as stated,Not available today,,No,,,Over 50,2001-3000,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),No,,Not available today,At least one observed (not expired),Public,At least one observed (not expired),Form as stated,No,,Yes,At least one observed (not expired),Form as stated,Rural,Not available today,,No,No,No,No,No,No,No,No,No,"Waste visible, protected area",No,No,No,No,Yes,Not available today,,Yes (Observed),Yes (Observed),,No,,,Yes (Observed),Yes (Observed),,No,At least one observed (not expired),Yes (Observed),Yes (Observed),,Yes,,Yes,No,0.25,27.283625,At least one observed (not expired),Form as stated,No,No,No,No,No,No,No,Yes (Observed),No,No,"Waste visible, protected area",No,No,No,No,Yes,No,At least one observed (not expired),Form as stated
Tanzania-2016,101,1.0,5.647542,At least one observed (not expired),Form as stated,4,1,53,Yes (Observed),Yes (Observed),,Yes (Observed),Yes (Observed),,At least one observed (not expired),Form as stated,Not available today,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Not available today,,Yes (Observed),Yes (Observed),,At least one observed (not expired),Form as stated,Yes (Observed),Yes (Observed),,At least one observed (not expired),At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Not available today,,At least one observed (not expired),Form as stated,Not available today,,At least one observed (not expired),Form as stated,Yes (Observed),Yes (Observed),,At least one observed (not expired),Form as stated,Never available,,At least one observed (not expired),Form as stated,Never available,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Yes,Never available,Yes (Observed),Yes (Observed),,Never available,,Yes (Observed),Yes (Observed),Health Post,No,,At least one observed (not expired),Form as stated,5.647542,At least one observed (not expired),Form as stated,Electrical grid,5.0,Yes (Observed),At least one observed (not expired),Form as stated,Never available,,Yes,Yes,Yes,Yes (Observed),Yes,Yes,No,Yes (Observed),1,No,Yes (Observed),Yes,Yes (Observed),Yes,No,No,Yes,No,Yes,Yes (Observed),Yes,Yes (Observed),1,Not available today,Yes,Never available,,,,,No,No,Yes (Observed),Yes (Observed),No,,No,,Yes (Observed),Yes (Observed),,Never available,,No,,5.647542,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Never available,,Questionnaire filalized,At least one observed (not expired),Form as stated,At least one observed (not expired),At least one observed (not expired),Form as stated,Never available,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Not recommended at given facility level,,Not available today,,At least one observed (not expired),Form as stated,No,,,50 or less,501-1000,Not available today,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Private,Never available,,No,,Yes,Never available,,Rural,At least one observed (not expired),Form as stated,No,No,No,No,No,No,No,No,No,"Waste visible, protected area",No,No,No,No,Yes,Not available today,,Yes (Observed),Yes (Observed),,No,,,Yes (Observed),Yes (Observed),,No,At least one observed (not expired),Yes (Observed),Yes (Observed),,Yes,Yes,Yes,No,1.0,5.647542,At least one observed (not expired),Form as stated,No,No,No,No,No,No,No,Yes (Observed),No,No,"Waste visible, unprotected area",No,No,No,No,Yes,No,At least one observed (not expired),Form as stated
Tanzania-2016,102,1.0,3.9285681,At least one observed (not expired),Form as stated,4,2,62,No,,,No,,,At least one observed (not expired),Form as stated,Not available today,,At least one observed (not expired),Form as stated,Never available,,At least one observed (not expired),Form as stated,Never available,,Never available,,No,,,Not available today,,No,,,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Never available,,At least one observed (not expired),Form as stated,Not available today,,At least one observed (not expired),Form as stated,No,,,At least one observed (not expired),Form as stated,Never available,,Never available,,Never available,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,No,,No,,,Never available,,No,,Health Post,No,,Never available,,3.9285681,Not available today,,,,,At least one observed (not expired),Form as stated,Never available,,No,,,,No,No,,,1,No,,Yes,,Yes,No,,,,,,No,,1,,No,Never available,,,,,,,No,,No,,Yes (Observed),Yes (Observed),No,,,Never available,,No,,3.9285681,Not available today,,Not available today,,Never available,,Questionnaire filalized,Never available,,,At least one observed (not expired),Form as stated,Never available,,Never available,,Never available,,Not recommended at given facility level,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,No,,,,0-500,Not available today,,At least one observed (not expired),Form as stated,Never available,,Never available,,,No,,,,Public,Never available,,No,,Yes,Never available,,Urban,At least one observed (not expired),Form as stated,No,No,No,No,No,No,No,No,No,"Waste visible, unprotected area",No,No,No,No,No,Never available,,Yes (Observed),Yes (Observed),,No,,,Yes (Observed),Yes (Observed),,No,,No,,,No,,,,1.0,3.9285681,Never available,,No,No,No,No,No,No,No,No,No,No,"Waste visible, protected area",No,No,No,No,No,No,At least one observed (not expired),Form as stated
Tanzania-2016,103,1.0,20.071842,At least one observed (not expired),Form as stated,4,2,153,Yes (Observed),Yes (Observed),,Yes (Observed),Yes (Observed),,Not available today,,Never available,,Not available today,,Not available today,,Not available today,,Not available today,,Never available,,No,,,Never available,,Yes (Observed),Yes (Observed),,At least one observed (not expired),Not available today,,Not available today,,Never available,,Never available,,Never available,,Not available today,,Yes (Observed),Yes (Observed),,Not available today,,Not available today,,Not available today,,Not available today,,Not available today,,Not available today,,Yes,At least one observed (not expired),No,,,Not available today,,No,,Health Post,No,,At least one observed (not expired),Form as stated,20.071842,At least one observed (not expired),Form as stated,Gas,6.0,,Not available today,,Never available,,No,Yes,Yes,Yes (Observed),Yes,Yes,Yes,Yes (Observed),1,No,Yes (Observed),Yes,Yes (Observed),Yes,Yes,Yes,Yes,Yes,Yes,Yes (Observed),Yes,Yes (Observed),1,At least one observed (not expired),Yes,Never available,,,,,,,No,,No,,No,,Yes (Observed),Yes (Observed),,Never available,,No,,20.071842,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Not available today,,Questionnaire filalized,At least one observed (not expired),Form as stated,At least one observed (not expired),Not available today,,Never available,,Never available,,Not available today,,Not recommended at given facility level,,Not available today,,Never available,,Yes (Observed),Yes (Observed),,50 or less,501-1000,Not available today,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Not available today,,At least one observed (not expired),No,,At least one observed (not expired),At least one observed (not expired),Public,Not available today,,No,,Yes,Not available today,,Rural,At least one observed (not expired),Form as stated,Yes,No,No,No,No,No,No,No,No,"Waste visible, unprotected area",No,No,No,No,No,Never available,,Yes (Observed),Yes (Observed),,No,,,Yes (Observed),Yes (Observed),,No,At least one observed (not expired),Yes (Observed),Yes (Observed),,Yes,Yes,Yes,No,1.0,20.071842,Not available today,,Yes,No,No,No,No,No,No,No,No,No,No waste visible,No,No,No,No,No,No,At least one observed (not expired),Form as stated
Tanzania-2016,104,1.0,20.071842,At least one observed (not expired),Form as stated,4,2,153,Yes (Observed),Yes (Observed),,Yes (Observed),Yes (Observed),,At least one observed (not expired),Form as stated,Never available,,Not available today,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Never available,,No,,,Never available,,Yes (Observed),Yes (Observed),,Not available today,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Never available,,Never available,,Never available,,At least one observed (not expired),Form as stated,Yes (Observed),Yes (Observed),,At least one observed (not expired),Form as stated,Not available today,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Yes,Not available today,No,,,At least one observed (not expired),Form as stated,No,,Health Post,No,,Not available today,,20.071842,At least one observed (not expired),Form as stated,Electrical grid,5.0,No,At least one observed (not expired),Form as stated,Never available,,No,No,No,Yes (Not Observed),No,Yes,Yes,Yes (Observed),1,No,Yes (Observed),Yes,Yes (Observed),No,Yes,Yes,Yes,No,Yes,Yes (Observed),Yes,Yes (Observed),1,Never available,Yes,Never available,,,,,,,No,,No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),,Never available,,No,,20.071842,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Questionnaire filalized,At least one observed (not expired),Form as stated,Not available today,At least one observed (not expired),Form as stated,Never available,,Never available,,Not available today,,Never available,,Never available,,Never available,,Yes (Observed),Yes (Observed),,50 or less,1001-2000,Never available,,At least one observed (not expired),Form as stated,Not available today,,At least one observed (not expired),Form as stated,Not available today,Yes (Observed),Yes (Observed),At least one observed (not expired),Not available today,Public,At least one observed (not expired),Form as stated,No,,Yes,At least one observed (not expired),Form as stated,Rural,Never available,,No,Yes,No,No,No,No,No,No,No,No waste visible,No,No,No,No,No,Never available,,Yes (Observed),Yes (Observed),,No,,,Yes (Observed),Yes (Observed),,No,Not available today,Yes (Observed),Yes (Observed),,Yes,Yes,Yes,Yes,1.0,20.071842,At least one observed (not expired),Form as stated,No,Yes,No,No,No,No,No,,No,No,No waste visible,No,No,No,No,No,No,At least one observed (not expired),Form as stated
Tanzania-2016,105,1.0,15.934087,At least one observed (not expired),Form as stated,4,2,63,Yes (Observed),Yes (Observed),,Yes (Observed),Yes (Observed),,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Not available today,,Not available today,,Not available today,,Not available today,,At least one observed (not expired),Form as stated,Yes (Observed),Yes (Observed),,At least one observed (not expired),Form as stated,Yes (Observed),Yes (Observed),,At least one observed (not expired),At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Not available today,,At least one observed (not expired),Form as stated,Never available,,At least one observed (not expired),Form as stated,Yes (Observed),Yes (Observed),,Not available today,,At least one observed (not expired),Form as stated,Not available today,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Yes,At least one observed (not expired),Yes (Not Observed),Yes (Not Observed),,Never available,,Yes (Not Observed),Yes (Not Observed),Health Post,No,,At least one observed (not expired),Form as stated,15.934087,At least one observed (not expired),Form as stated,Electrical grid,6.0,Yes (Observed),At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Yes,Yes,Yes,Yes (Observed),Yes,Yes,No,Yes (Observed),1,No,Yes (Observed),Yes,Yes (Observed),Yes,Yes,Yes,No,No,Yes,Yes (Observed),Yes,Yes (Observed),1,Never available,Yes,At least one observed (not expired),Form as stated,,,,,,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),,Never available,,Yes (Not Observed),Yes (Not Observed),15.934087,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Never available,,Questionnaire filalized,Not available today,,At least one observed (not expired),At least one observed (not expired),Form as stated,Never available,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Not recommended at given facility level,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Yes (Not Observed),Yes (Not Observed),,50 or less,501-1000,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Yes (Not Observed),Yes (Not Observed),At least one observed (not expired),At least one observed (not expired),Private,Never available,,Yes (Not Observed),Yes (Not Observed),Yes,Never available,,Rural,Never available,,No,Yes,No,No,No,No,No,No,No,"Waste visible, protected area",No,No,No,No,No,Never available,,Yes (Observed),Yes (Observed),,Yes (Not Observed),Yes (Not Observed),,Yes (Observed),Yes (Observed),,No,At least one observed (not expired),Yes (Observed),Yes (Observed),,Yes,Yes,Yes,No,1.0,15.934087,At least one observed (not expired),Form as stated,No,No,No,No,No,Yes,No,Yes (Observed),No,No,"Waste visible, protected area",No,No,No,No,No,Yes,At least one observed (not expired),Form as stated
Tanzania-2016,106,0.2631579,41.016445,At least one observed (not expired),Form as stated,4,2,133,Yes (Observed),Yes (Observed),,Yes (Observed),Yes (Observed),,At least one observed (not expired),Form as stated,Not available today,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Never available,,Yes (Observed),Yes (Observed),,Never available,,Yes (Observed),Yes (Observed),,At least one observed (not expired),At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Never available,,At least one observed (not expired),Form as stated,Never available,,At least one observed (not expired),Form as stated,Yes (Observed),Yes (Observed),,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Yes,At least one observed (not expired),No,,,At least one observed (not expired),Form as stated,No,,Health Center,No,,At least one observed (not expired),Form as stated,10.793801,At least one observed (not expired),Form as stated,Electrical grid,4.0,Yes (Observed),At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Yes,Yes,Yes,Yes (Observed),Yes,Yes,Yes,Yes (Observed),1,No,Yes (Observed),Yes,Yes (Observed),Yes,Yes,Yes,Yes,Yes,Yes,Yes (Observed),Yes,Yes (Observed),1,At least one observed (all expired),Yes,At least one observed (not expired),Form as stated,,,,,,No,,No,,No,,Yes (Observed),Yes (Observed),,Never available,,No,,10.793801,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Questionnaire filalized,At least one observed (not expired),Form as stated,At least one observed (not expired),At least one observed (not expired),Form as stated,Not available today,,At least one observed (not expired),Form as stated,Not available today,,Never available,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,No,,,50 or less,2001-3000,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),No,,At least one observed (not expired),At least one observed (not expired),Public,At least one observed (not expired),Form as stated,No,,Yes,At least one observed (not expired),Form as stated,Urban,At least one observed (not expired),Form as stated,No,No,No,No,No,No,No,No,No,"Waste visible, protected area",No,No,Yes,No,No,Never available,,Yes (Observed),Yes (Observed),,No,,,Yes (Observed),Yes (Observed),,Yes,At least one observed (all expired),Yes (Observed),Yes (Observed),,Yes,Yes,Yes,No,0.2,53.969006,At least one observed (not expired),Form as stated,No,Yes,No,No,No,No,No,Yes (Observed),No,No,"Waste visible, protected area",No,No,No,No,No,Yes,At least one observed (not expired),Form as stated
Tanzania-2016,107,1.0,34.801178,At least one observed (not expired),Form as stated,4,2,22,Yes (Observed),Yes (Observed),,Yes (Observed),Yes (Observed),,At least one observed (not expired),Form as stated,Never available,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Never available,,At least one observed (not expired),Form as stated,Never available,,No,,,Never available,,Yes (Observed),Yes (Observed),,At least one observed (not expired),At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Never available,,Not available today,,Never available,,At least one observed (not expired),Form as stated,Yes (Observed),Yes (Observed),,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Not available today,,At least one observed (not expired),Form as stated,Yes,At least one observed (not expired),No,,,At least one observed (not expired),Form as stated,No,,Health Post,No,,At least one observed (not expired),Form as stated,34.801178,At least one observed (not expired),Form as stated,Electrical grid,6.0,Yes (Observed),Not available today,,Never available,,Yes,,,Yes (Observed),Yes,No,,Yes (Observed),1,Yes,Yes (Observed),Yes,Yes (Observed),Yes,Yes,,,,,Yes (Observed),Yes,Yes (Observed),1,At least one observed (all expired),Yes,Never available,,,,,,,No,,No,,No,,Yes (Observed),Yes (Observed),,Never available,,No,,34.801178,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Questionnaire filalized,Never available,,At least one observed (not expired),At least one observed (not expired),Form as stated,Never available,,Never available,,Never available,,Not recommended at given facility level,,At least one observed (not expired),Form as stated,At least one observed (not expired),Form as stated,Yes (Observed),Yes (Observed),,,0-500,Not available today,,At least one observed (not expired),Form as stated,Never available,,Not available today,,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Public,At least one observed (not expired),Form as stated,No,,Yes,At least one observed (not expired),Form as stated,Rural,Never available,,No,No,No,No,No,No,No,No,No,"Waste visible, protected area",No,No,Yes,No,No,Never available,,Yes (Observed),Yes (Observed),,No,,,Yes (Observed),Yes (Observed),,No,At least one observed (not expired),Yes (Observed),Yes (Observed),,Yes,Yes,Yes,No,0.5,69.602356,At least one observed (not expired),Form as stated,No,No,No,No,No,No,No,Yes (Observed),No,No,"Waste visible, unprotected area",No,No,Yes,No,No,Yes,At least one observed (not expired),Form as stated
