country,facility_id,act_a,admin1,admin2,adultscale_b,amoxicillin3_a,ampicillin2_a,ampicillin_a,artesunate_a,autoclave_a,autoclave_b,azithromycin_a,bcg_vac,benzathine_a,benzylpenicillin_a,calgluc_a,cefixime_a,ceftriaxone2_a,childscale_a,childscale_b,depo_a,dryheat_a,dryheat_b,faccomputer_b,facility_level,facmobile_b,folic_a,gentamycin2_a,gentamycin_a,has_autosyringe,has_dispsyringe,has_facility,has_fridge,has_gloves,has_icepacks,has_mcondoms,has_sharps,has_vaccarrier,has_weights,indmobile1_b,infantscale_a,infantscale_b,internet_b,ipw,irona_a,magsulf_a,measles_vac,methasone_a,metronidazole_a,misoprostol_a,nacl_a,nifedipine2_a,nonelectric_a,nonelectric_b,num_births,num_outpatient,ors_a,oxytocin_a,pentavalent_vac,phone_b,pneumococ_vac,polio_vac,publicprivate,radio_b,ruralurban,sphgmeter_a,sphgmeter_b,steamer_a,steamer_b,stethoscope_a,stethoscope_b,thermometer_a,thermometer_b,vaccine_store1,vaccine_store2,vitamina_a,zinctabs_a
Kenya-2012,10048,At least one observed (not expired),1,4,Yes (Observed),At least one observed (not expired),Never available,Never available,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),Never available,At least one observed (not expired),At least one observed (not expired),Not available today,Never available,At least one observed (not expired),Yes (Observed),Yes (Observed),Never available,No,,No,Health Post,No,At least one observed (not expired),Never available,At least one observed (not expired),No,Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),No,Yes (Observed),Yes (Observed),1,No,Yes (Observed),Yes (Observed),No,6.0557494,At least one observed (not expired),Never available,Never available,Never available,At least one observed (not expired),Never available,Not available today,At least one observed (not expired),No,,50 or less,2001-3000,At least one observed (not expired),At least one observed (not expired),Never available,No,Never available,Never available,Private,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,10049,At least one observed (not expired),1,4,Yes (Observed),At least one observed (not expired),Never available,Never available,Never available,Yes (Observed),Yes (Not Observed),Never available,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,Never available,Yes (Observed),Yes (Observed),At least one observed (not expired),No,,Yes (Observed),Health Center,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),10.092916,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,Never available,Never available,At least one observed (not expired),At least one observed (not expired),No,,50 or less,Over 3000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Public,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,10093,At least one observed (not expired),1,4,Yes (Observed),At least one observed (not expired),Never available,Never available,At least one observed (all expired),Yes (Observed),Yes (Not Observed),Not available today,Not available today,At least one observed (not expired),At least one observed (not expired),Never available,Never available,Not available today,Yes (Observed),Yes (Observed),Not available today,No,,Yes (Observed),Health Post,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),39.967945,At least one observed (not expired),At least one observed (all expired),At least one observed (not expired),At least one observed (all expired),Never available,Never available,At least one observed (not expired),At least one observed (not expired),No,,50 or less,1001-2000,At least one observed (not expired),Never available,At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Private,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,10109,At least one observed (not expired),1,4,Yes (Observed),At least one observed (not expired),Never available,Never available,Never available,Yes (Observed),No,Never available,Never available,At least one observed (not expired),At least one observed (not expired),Never available,Never available,At least one observed (not expired),No,,Never available,No,,No,Health Post,No,At least one observed (all expired),At least one observed (not expired),At least one observed (not expired),No,Yes (Observed),1,,Yes,No,No,Yes (Observed),No,1,No,No,,No,39.967945,At least one observed (not expired),Never available,Never available,Never available,Never available,Never available,At least one observed (not expired),At least one observed (not expired),No,,50 or less,0-500,At least one observed (not expired),Never available,Never available,No,Never available,Never available,Private,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),No,,At least one observed (all expired),At least one observed (not expired)
Kenya-2012,10171,At least one observed (not expired),1,11,Yes (Observed),At least one observed (not expired),Never available,Never available,Never available,Yes (Observed),Yes (Observed),Never available,Not available today,Not available today,At least one observed (not expired),Never available,Never available,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),Yes (Observed),Yes (Observed),Yes (Observed),Hospital,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),No,1.5,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,At least one observed (not expired),At least one observed (not expired),No,,Over 50,Over 3000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Public,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,10185,At least one observed (not expired),1,11,Yes (Observed),At least one observed (not expired),Never available,Never available,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),Not available today,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,Yes (Observed),Never available,No,,Yes (Observed),Health Post,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,,Yes,Yes (Observed),No,Yes (Observed),Yes (Observed),1,Yes (Observed),No,,Yes (Observed),2.2857144,At least one observed (not expired),At least one observed (not expired),Not available today,At least one observed (not expired),Never available,Never available,At least one observed (not expired),At least one observed (not expired),No,,50 or less,501-1000,At least one observed (not expired),Never available,Not available today,No,Not available today,Not available today,Private,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),No,,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,10213,At least one observed (all expired),1,4,Yes (Observed),Not available today,Never available,Never available,Never available,Yes (Observed),Yes (Not Observed),Never available,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,Never available,Never available,Yes (Observed),Yes (Observed),At least one observed (not expired),No,,No,Health Post,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),No,224.06271,At least one observed (not expired),Never available,At least one observed (not expired),Never available,Never available,Never available,At least one observed (not expired),Not available today,Yes (Observed),Yes (Not Observed),50 or less,2001-3000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Public,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,10223,Not available today,1,11,Yes (Observed),Not available today,Never available,Never available,At least one observed (not expired),No,,Never available,At least one observed (not expired),Not available today,At least one observed (not expired),Never available,Never available,Never available,Yes (Observed),Yes (Observed),At least one observed (not expired),No,,No,Health Post,Yes (Observed),At least one observed (not expired),Not available today,Not available today,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,Yes (Observed),No,,No,4.0,At least one observed (not expired),Never available,At least one observed (not expired),Never available,Never available,Never available,Never available,Not available today,Yes (Observed),Yes (Observed),50 or less,0-500,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Public,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,10320,At least one observed (not expired),1,11,Yes (Observed),At least one observed (not expired),Never available,Never available,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),Not available today,At least one observed (not expired),At least one observed (not expired),Not available today,Never available,At least one observed (not expired),Yes (Observed),No,Never available,No,,No,Health Post,No,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,Yes (Observed),1,,Yes,Yes (Observed),No,Yes (Observed),Yes (Observed),1,No,Yes (Observed),Yes (Observed),No,2.2857144,At least one observed (not expired),Never available,Not available today,At least one observed (not expired),Never available,Never available,At least one observed (not expired),At least one observed (not expired),No,,50 or less,0-500,At least one observed (not expired),Never available,Not available today,No,Not available today,Not available today,Private,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),No,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,10419,At least one observed (not expired),1,11,Yes (Observed),At least one observed (not expired),Never available,Never available,Never available,Yes (Observed),Yes (Observed),Never available,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,Never available,Never available,Yes (Observed),Yes (Observed),Not available today,No,,No,Health Center,Yes (Observed),At least one observed (not expired),Never available,At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),No,2.1666667,At least one observed (not expired),Never available,At least one observed (not expired),Never available,Never available,Never available,At least one observed (not expired),Never available,No,,50 or less,1001-2000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Public,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
