survey_id,country,unique_id,facility_id,provider_id,absence_rate,absent_other1,absent_other2,absent_reason1,absent_reason2,has_absentee,has_roster,is_outpatient,provider_activity,provider_activityoth,provider_age1,provider_cadre1,provider_cadre2,provider_male1,provider_male2,provider_present1,provider_present2,salary_delay
Kenya-2012_10048_1,Kenya-2012,10048_1,10048,1,0.0, , ,,,1.0,1,Yes,Looking for information or teaching, ,45 or older,Nurse,Nurse,Female,Female,Yes,Yes,No
Kenya-2012_10048_2,Kenya-2012,10048_2,10048,2,0.0, , ,,,1.0,1,No,Looking for information or teaching, ,45 or older,Other,Other,Male,Male,Yes,Yes,No
Kenya-2012_10048_3,Kenya-2012,10048_3,10048,3,0.0, , ,,,1.0,1,No,Paperwork, ,35-44,Other,Other,Female,Female,Yes,Yes,No
Kenya-2012_10048_4,Kenya-2012,10048_4,10048,4,0.0, , ,,,1.0,1,Yes,With patient, ,25-34,Nurse,Nurse,Male,Male,Yes,Yes,No
Kenya-2012_10049_1,Kenya-2012,10049_1,10049,1,0.7, ,,,,,1,Yes,,,45 or older,Nurse,,Female,,Yes,,
Kenya-2012_10049_2,Kenya-2012,10049_2,10049,2,0.7, , ,Authorized absence,Official mission,1.0,1,Yes,, ,25-34,Clinical Officer,Clinical Officer,Male,Male,No,No,
Kenya-2012_10049_3,Kenya-2012,10049_3,10049,3,0.7, ,,,,,1,Yes,,,25-34,Nurse,,Female,,Yes,,
Kenya-2012_10049_4,Kenya-2012,10049_4,10049,4,0.7, , ,Authorized absence,Authorized absence,1.0,1,Yes,, ,45 or older,Nurse,Nurse,Female,Female,No,No,
Kenya-2012_10049_5,Kenya-2012,10049_5,10049,5,0.7, , ,Official mission,Authorized absence,1.0,1,Yes,, ,45 or older,Nurse,Nurse,Female,Female,No,No,
Kenya-2012_10049_6,Kenya-2012,10049_6,10049,6,0.7, , ,,Not his/her shift,1.0,1,Yes,, ,35-44,Nurse,Nurse,Female,Female,Yes,No,
Kenya-2012_10049_7,Kenya-2012,10049_7,10049,7,0.7, ,,Not his/her shift,,,1,Yes,,,25-34,Nurse,,Female,,No,,
Kenya-2012_10049_8,Kenya-2012,10049_8,10049,8,0.7, , ,Not his/her shift,Not his/her shift,1.0,1,Yes,, ,25-34,Nurse,Nurse,Female,Female,No,No,
Kenya-2012_10049_9,Kenya-2012,10049_9,10049,9,0.7, , ,Not his/her shift,,1.0,1,Yes,Other, ,35-44,Nurse,Nurse,Female,Female,No,Yes,No
Kenya-2012_10049_10,Kenya-2012,10049_10,10049,10,0.7,FURTHER STUDIES,,Other,,,1,Yes,,,25-34,Nurse,,Female,,No,,
Kenya-2012_10049_11,Kenya-2012,10049_11,10049,11,0.7, , ,,Not his/her shift,1.0,1,Yes,, ,25-34,Nurse,Nurse,Female,Female,Yes,No,
Kenya-2012_10049_12,Kenya-2012,10049_12,10049,12,0.7, , ,,Outreach or fieldwork,1.0,1,No,, ,25-34,Other,Other,Male,Male,Yes,No,
Kenya-2012_10049_13,Kenya-2012,10049_13,10049,13,0.7, ,,Not his/her shift,,,1,Yes,,,25-34,Nurse,,Female,,No,,
