survey_id,country,unique_id,facility_id,provider_id,absence_rate,absent_other1,absent_other2,absent_reason1,absent_reason2,has_absentee,has_roster,is_outpatient,num_med,num_nonmed,num_staff,provider_activity,provider_age1,provider_age2,provider_cadre1,provider_cadre2,provider_educ1,provider_educ2,provider_male1,provider_male2,provider_mededuc1,provider_mededuc2,provider_present1,provider_present2,salary_delay,year_started
Madagascar-2016_1_2,Madagascar-2016,1_2,1,2,0.6666667,,,Authorized absence,"Training, seminar or meeting",1.0,1.0,Yes,5 or less,5 or less,5 or less,,Younger than 25,Younger than 25,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,No,No,,
Madagascar-2016_1_1,Madagascar-2016,1_1,1,1,0.6666667,,,,Authorized absence,1.0,1.0,Yes,5 or less,5 or less,5 or less,,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,No,,
Madagascar-2016_1_3,Madagascar-2016,1_3,1,3,0.6666667,,,,,1.0,1.0,No,5 or less,5 or less,5 or less,Discussion with colleagues or staff meeting,45 or older,45 or older,Other,Other,Secondary,Secondary,Female,Female,None,None,Yes,Yes,No,After 2000
Madagascar-2016_10_1,Madagascar-2016,10_1,10,1,0.0,,,,,1.0,1.0,Yes,5 or less,5 or less,5 or less,Paperwork,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Advanced,Advanced,Yes,Yes,No,After 2000
Madagascar-2016_100_1,Madagascar-2016,100_1,100,1,1.0,,,,Other,1.0,1.0,Yes,5 or less,5 or less,5 or less,,45 or older,45 or older,Doctor,Doctor,Post-Secondary,Post-Secondary,Male,Male,Advanced,Advanced,Yes,No,,
Madagascar-2016_100_2,Madagascar-2016,100_2,100,2,1.0,,,Official mission,Other,1.0,1.0,Yes,5 or less,5 or less,5 or less,,45 or older,45 or older,Doctor,Doctor,Post-Secondary,Post-Secondary,Female,Female,Advanced,Advanced,No,No,,
Madagascar-2016_101_1,Madagascar-2016,101_1,101,1,0.0,,,Official mission,,1.0,1.0,Yes,5 or less,5 or less,5 or less,With patient,45 or older,45 or older,Doctor,Doctor,Post-Secondary,Post-Secondary,Female,Female,Advanced,Advanced,No,Yes,No,After 2000
Madagascar-2016_101_2,Madagascar-2016,101_2,101,2,0.0,,,,,1.0,1.0,Yes,5 or less,5 or less,5 or less,With patient,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_102_2,Madagascar-2016,102_2,102,2,0.5,,,,Authorized absence,1.0,1.0,Yes,5 or less,5 or less,5 or less,,45 or older,45 or older,Nurse,Nurse,Post-Secondary,Post-Secondary,Male,Male,,,Yes,No,,
Madagascar-2016_102_1,Madagascar-2016,102_1,102,1,0.5,,,,,1.0,1.0,Yes,5 or less,5 or less,5 or less,With patient,45 or older,45 or older,Doctor,Doctor,Post-Secondary,Post-Secondary,Female,Female,Advanced,Advanced,Yes,Yes,No,After 2000
Madagascar-2016_103_1,Madagascar-2016,103_1,103,1,0.0,,,,,1.0,1.0,Yes,5 or less,5 or less,5 or less,With patient,45 or older,45 or older,Nurse,Nurse,Post-Secondary,Post-Secondary,Male,Male,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_104_3,Madagascar-2016,104_3,104,3,0.4,,,,,1.0,1.0,Yes,5 or less,5 or less,6-10,With patient,Younger than 25,Younger than 25,Other,Other,Post-Secondary,Post-Secondary,Female,Female,,,Yes,Yes,No,After 2000
Madagascar-2016_104_4,Madagascar-2016,104_4,104,4,0.4,,,,Sick or on maternity leave,1.0,1.0,Yes,5 or less,5 or less,6-10,,Younger than 25,Younger than 25,Other,Other,Post-Secondary,Post-Secondary,Female,Female,,,Yes,No,,
Madagascar-2016_104_2,Madagascar-2016,104_2,104,2,0.4,,,Authorized absence,Authorized absence,1.0,1.0,Yes,5 or less,5 or less,6-10,,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,No,No,,
Madagascar-2016_104_5,Madagascar-2016,104_5,104,5,0.4,,,,,1.0,1.0,Yes,5 or less,5 or less,6-10,With patient,Younger than 25,Younger than 25,Other,Other,Post-Secondary,Post-Secondary,Female,Female,,,Yes,Yes,No,After 2000
Madagascar-2016_104_1,Madagascar-2016,104_1,104,1,0.4,,,"Training, seminar or meeting",,1.0,1.0,Yes,5 or less,5 or less,6-10,With patient,45 or older,45 or older,Doctor,Doctor,Post-Secondary,Post-Secondary,Female,Female,Advanced,Advanced,No,Yes,No,After 2000
Madagascar-2016_105_1,Madagascar-2016,105_1,105,1,0.0,,,,,1.0,1.0,Yes,5 or less,5 or less,5 or less,With patient,35-44,35-44,Nurse,Nurse,Post-Secondary,Post-Secondary,Male,Male,Advanced,Advanced,Yes,Yes,No,After 2000
Madagascar-2016_106_4,Madagascar-2016,106_4,106,4,0.25,,,,,1.0,1.0,Yes,5 or less,Over 5,11-50,With patient,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_106_2,Madagascar-2016,106_2,106,2,0.25,,,Authorized absence,Official mission,1.0,1.0,Yes,5 or less,Over 5,11-50,,35-44,35-44,Doctor,Doctor,Post-Secondary,Post-Secondary,Female,Female,Advanced,Advanced,No,No,,
Madagascar-2016_106_1,Madagascar-2016,106_1,106,1,0.25,,,,,1.0,1.0,Yes,5 or less,Over 5,11-50,With patient,45 or older,45 or older,Doctor,Doctor,Post-Secondary,Post-Secondary,Male,Male,Advanced,Advanced,Yes,Yes,No,After 2000
Madagascar-2016_106_3,Madagascar-2016,106_3,106,3,0.25,,,,,1.0,1.0,Yes,5 or less,Over 5,11-50,With patient,45 or older,45 or older,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_107_4,Madagascar-2016,107_4,107,4,0.75,,,,Official mission,1.0,1.0,No,5 or less,5 or less,6-10,,25-34,25-34,Nurse,Nurse,Secondary,Secondary,Male,Male,Certificate,Certificate,Yes,No,,
Madagascar-2016_107_3,Madagascar-2016,107_3,107,3,0.75,,,,Official mission,1.0,1.0,No,5 or less,5 or less,6-10,,25-34,25-34,Nurse,Nurse,Secondary,Secondary,Male,Male,Certificate,Certificate,Yes,No,,
Madagascar-2016_107_2,Madagascar-2016,107_2,107,2,0.75,,,,Official mission,1.0,1.0,No,5 or less,5 or less,6-10,,45 or older,45 or older,Nurse,Nurse,Post-Secondary,Post-Secondary,Male,Male,Diploma,Diploma,Yes,No,,
Madagascar-2016_107_1,Madagascar-2016,107_1,107,1,0.75,,,,,1.0,1.0,Yes,5 or less,5 or less,6-10,With patient,25-34,25-34,Doctor,Doctor,Post-Secondary,Post-Secondary,Male,Male,Advanced,Advanced,Yes,Yes,No,After 2000
Madagascar-2016_108_1,Madagascar-2016,108_1,108,1,0.5,,,,Authorized absence,1.0,1.0,Yes,5 or less,5 or less,5 or less,,45 or older,45 or older,Doctor,Doctor,Post-Secondary,Post-Secondary,Female,Female,Advanced,Advanced,Yes,No,,
Madagascar-2016_108_2,Madagascar-2016,108_2,108,2,0.5,,,,,1.0,1.0,No,5 or less,5 or less,5 or less,With patient,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_109_1,Madagascar-2016,109_1,109,1,0.0,,,,,1.0,1.0,Yes,5 or less,5 or less,5 or less,With patient,Younger than 25,Younger than 25,Nurse,Nurse,Post-Secondary,Post-Secondary,Male,Male,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_11_2,Madagascar-2016,11_2,11,2,0.0,,,Official mission,,1.0,1.0,Yes,5 or less,5 or less,6-10,With patient,45 or older,45 or older,Doctor,Doctor,Post-Secondary,Post-Secondary,Female,Female,Advanced,Advanced,No,Yes,No,After 2000
Madagascar-2016_11_1,Madagascar-2016,11_1,11,1,0.0,,,,,1.0,1.0,Yes,5 or less,5 or less,6-10,With patient,45 or older,45 or older,Doctor,Doctor,Post-Secondary,Post-Secondary,Female,Female,Advanced,Advanced,Yes,Yes,No,After 2000
Madagascar-2016_11_3,Madagascar-2016,11_3,11,3,0.0,,,,,1.0,1.0,Yes,5 or less,5 or less,6-10,With patient,45 or older,45 or older,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_110_3,Madagascar-2016,110_3,110,3,0.0,,,,,1.0,1.0,No,5 or less,5 or less,6-10,With patient,35-44,35-44,Other,Other,Primary,Primary,Female,Female,,,Yes,Yes,No,In the 1990s
Madagascar-2016_110_2,Madagascar-2016,110_2,110,2,0.0,MBOLA MIANATRA IZY,,Other,,1.0,1.0,Yes,5 or less,5 or less,6-10,With patient,45 or older,45 or older,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,No,Yes,No,In the 1990s
Madagascar-2016_110_1,Madagascar-2016,110_1,110,1,0.0,,,,,1.0,1.0,Yes,5 or less,5 or less,6-10,With patient,45 or older,45 or older,Doctor,Doctor,,,Female,Female,,,Yes,Yes,No,After 2000
Madagascar-2016_111_1,Madagascar-2016,111_1,111,1,0.5,,,"Training, seminar or meeting",Other,1.0,1.0,Yes,5 or less,5 or less,5 or less,,35-44,35-44,Doctor,Doctor,Post-Secondary,Post-Secondary,Female,Female,Advanced,Advanced,No,No,,
Madagascar-2016_111_2,Madagascar-2016,111_2,111,2,0.5,,,,,1.0,1.0,Yes,5 or less,5 or less,5 or less,With patient,45 or older,45 or older,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_112_2,Madagascar-2016,112_2,112,2,0.33333334,,,On-call,,1.0,1.0,Yes,5 or less,5 or less,6-10,Discussion with colleagues or staff meeting,35-44,35-44,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,No,Yes,No,After 2000
Madagascar-2016_112_1,Madagascar-2016,112_1,112,1,0.33333334,,,,,1.0,1.0,Yes,5 or less,5 or less,6-10,Discussion with colleagues or staff meeting,35-44,35-44,Doctor,Doctor,Post-Secondary,Post-Secondary,Male,Male,Advanced,Advanced,Yes,Yes,No,After 2000
Madagascar-2016_112_3,Madagascar-2016,112_3,112,3,0.33333334,,,,Authorized absence,1.0,1.0,Yes,5 or less,5 or less,6-10,,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,No,,
Madagascar-2016_113_1,Madagascar-2016,113_1,113,1,1.0,,,,Outreach or fieldwork,1.0,1.0,Yes,5 or less,5 or less,6-10,,35-44,35-44,Doctor,Doctor,Post-Secondary,Post-Secondary,Female,Female,Advanced,Advanced,Yes,No,,
Madagascar-2016_114_1,Madagascar-2016,114_1,114,1,0.0,,,,,1.0,1.0,Yes,5 or less,5 or less,5 or less,With patient,45 or older,45 or older,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_115_1,Madagascar-2016,115_1,115,1,1.0,,,,Official mission,1.0,1.0,Yes,5 or less,5 or less,5 or less,,45 or older,45 or older,Doctor,Doctor,Post-Secondary,Post-Secondary,Female,Female,Advanced,Advanced,Yes,No,,
Madagascar-2016_116_1,Madagascar-2016,116_1,116,1,0.2857143,,,,Official mission,1.0,1.0,No,6-10,Over 5,11-50,,35-44,35-44,Doctor,Doctor,Post-Secondary,Post-Secondary,Male,Male,Advanced,Advanced,Yes,No,,
Madagascar-2016_116_7,Madagascar-2016,116_7,116,7,0.2857143,,,,,1.0,1.0,No,6-10,Over 5,11-50,With patient,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_116_4,Madagascar-2016,116_4,116,4,0.2857143,,,"Training, seminar or meeting",,1.0,1.0,No,6-10,Over 5,11-50,With patient,35-44,35-44,Other,Other,Post-Secondary,Post-Secondary,Male,Male,Advanced,Advanced,No,Yes,No,After 2000
Madagascar-2016_116_5,Madagascar-2016,116_5,116,5,0.2857143,,,Authorized absence,On-call,1.0,1.0,No,6-10,Over 5,11-50,,45 or older,45 or older,Doctor,Doctor,Post-Secondary,Post-Secondary,Female,Female,Advanced,Advanced,No,No,,
Madagascar-2016_116_6,Madagascar-2016,116_6,116,6,0.2857143,,,,,1.0,1.0,No,6-10,Over 5,11-50,With patient,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_116_3,Madagascar-2016,116_3,116,3,0.2857143,,,,,1.0,1.0,Yes,6-10,Over 5,11-50,With patient,45 or older,45 or older,Doctor,Doctor,Post-Secondary,Post-Secondary,Male,Male,Advanced,Advanced,Yes,Yes,No,After 2000
Madagascar-2016_116_2,Madagascar-2016,116_2,116,2,0.2857143,,,,,1.0,1.0,Yes,6-10,Over 5,11-50,With patient,45 or older,45 or older,Doctor,Doctor,Post-Secondary,Post-Secondary,Male,Male,Advanced,Advanced,Yes,Yes,No,After 2000
Madagascar-2016_117_1,Madagascar-2016,117_1,117,1,1.0,,,,"Training, seminar or meeting",1.0,1.0,Yes,5 or less,5 or less,5 or less,,25-34,25-34,Doctor,Doctor,Post-Secondary,Post-Secondary,Female,Female,Advanced,Advanced,Yes,No,,
Madagascar-2016_117_2,Madagascar-2016,117_2,117,2,1.0,,,,Unauthorized absence,1.0,1.0,Yes,5 or less,5 or less,5 or less,,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Advanced,Advanced,Yes,No,,
Madagascar-2016_118_3,Madagascar-2016,118_3,118,3,0.33333334,,,"Training, seminar or meeting",,1.0,1.0,Yes,5 or less,5 or less,5 or less,With patient,45 or older,45 or older,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,,,No,Yes,No,After 2000
Madagascar-2016_118_2,Madagascar-2016,118_2,118,2,0.33333334,,,,,1.0,1.0,Yes,5 or less,5 or less,5 or less,With patient,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Male,Male,Advanced,Advanced,Yes,Yes,No,After 2000
Madagascar-2016_118_1,Madagascar-2016,118_1,118,1,0.33333334,,,,"Training, seminar or meeting",1.0,1.0,Yes,5 or less,5 or less,5 or less,,45 or older,45 or older,Doctor,Doctor,Post-Secondary,Post-Secondary,Male,Male,Advanced,Advanced,Yes,No,,
Madagascar-2016_119_2,Madagascar-2016,119_2,119,2,1.0,,,,Authorized absence,1.0,1.0,No,5 or less,5 or less,5 or less,,Younger than 25,Younger than 25,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,No,,
Madagascar-2016_119_1,Madagascar-2016,119_1,119,1,1.0,,,,"Training, seminar or meeting",1.0,1.0,Yes,5 or less,5 or less,5 or less,,45 or older,45 or older,Doctor,Doctor,Post-Secondary,Post-Secondary,Male,Male,Advanced,Advanced,Yes,No,,
Madagascar-2016_12_2,Madagascar-2016,12_2,12,2,0.6666667,,,,Authorized absence,1.0,1.0,Yes,5 or less,5 or less,5 or less,,35-44,35-44,Nurse,Nurse,Post-Secondary,Post-Secondary,Male,Male,Diploma,Diploma,Yes,No,,
Madagascar-2016_12_3,Madagascar-2016,12_3,12,3,0.6666667,,,,Authorized absence,1.0,1.0,Yes,5 or less,5 or less,5 or less,,35-44,35-44,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,No,,
Madagascar-2016_12_1,Madagascar-2016,12_1,12,1,0.6666667,ON NE SAIT PAS,,Other,,1.0,1.0,Yes,5 or less,5 or less,5 or less,Paperwork,35-44,35-44,Doctor,Doctor,Post-Secondary,Post-Secondary,Male,Male,Advanced,Advanced,No,Yes,No,After 2000
Madagascar-2016_120_1,Madagascar-2016,120_1,120,1,1.0,,,,Other,1.0,1.0,Yes,5 or less,5 or less,5 or less,,45 or older,45 or older,Nurse,Nurse,Post-Secondary,Post-Secondary,Male,Male,Diploma,Diploma,Yes,No,,
Madagascar-2016_121_1,Madagascar-2016,121_1,121,1,1.0,,,,"Training, seminar or meeting",1.0,1.0,Yes,5 or less,5 or less,5 or less,,35-44,35-44,Doctor,Doctor,Post-Secondary,Post-Secondary,Female,Female,Advanced,Advanced,Yes,No,,
Madagascar-2016_121_2,Madagascar-2016,121_2,121,2,1.0,,,,Unauthorized absence,1.0,1.0,No,5 or less,5 or less,5 or less,,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,No,,
Madagascar-2016_122_3,Madagascar-2016,122_3,122,3,0.33333334,,,,,1.0,1.0,No,5 or less,5 or less,5 or less,"Laboratory, investigations, or x-ray",35-44,35-44,Other,Other,Post-Secondary,Post-Secondary,Female,Female,None,None,Yes,Yes,No,After 2000
Madagascar-2016_122_1,Madagascar-2016,122_1,122,1,0.33333334,,,,"Training, seminar or meeting",1.0,1.0,Yes,5 or less,5 or less,5 or less,,35-44,35-44,Doctor,Doctor,Post-Secondary,Post-Secondary,Female,Female,Advanced,Advanced,Yes,No,,
Madagascar-2016_122_2,Madagascar-2016,122_2,122,2,0.33333334,,,"Training, seminar or meeting",,1.0,1.0,Yes,5 or less,5 or less,5 or less,With patient,45 or older,45 or older,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,No,Yes,No,After 2000
Madagascar-2016_123_1,Madagascar-2016,123_1,123,1,0.0,,,,,1.0,1.0,Yes,5 or less,5 or less,5 or less,With patient,45 or older,45 or older,Doctor,Doctor,Post-Secondary,Post-Secondary,Female,Female,Advanced,Advanced,Yes,Yes,No,After 2000
Madagascar-2016_124_25,Madagascar-2016,124_25,124,25,0.6,,,,,,1.0,No,11-50,5 or less,11-50,,25-34,,Nurse,,Post-Secondary,,Male,,Diploma,,Yes,,,
Madagascar-2016_124_27,Madagascar-2016,124_27,124,27,0.6,,,,On-call,1.0,1.0,No,11-50,5 or less,11-50,,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,No,,
Madagascar-2016_124_22,Madagascar-2016,124_22,124,22,0.6,,,,,,1.0,No,11-50,5 or less,11-50,,25-34,,Nurse,,Post-Secondary,,Female,,Diploma,,Yes,,,
Madagascar-2016_124_24,Madagascar-2016,124_24,124,24,0.6,,,,,1.0,1.0,No,11-50,5 or less,11-50,"Laboratory, investigations, or x-ray",35-44,35-44,Nurse,Nurse,Post-Secondary,Post-Secondary,Male,Male,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_124_21,Madagascar-2016,124_21,124,21,0.6,,,,,,1.0,No,11-50,5 or less,11-50,,25-34,,Nurse,,Post-Secondary,,Male,,Diploma,,Yes,,,
Madagascar-2016_124_13,Madagascar-2016,124_13,124,13,0.6,,,,,1.0,1.0,No,11-50,5 or less,11-50,With patient,45 or older,45 or older,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_124_2,Madagascar-2016,124_2,124,2,0.6,,,,,1.0,1.0,Yes,11-50,5 or less,11-50,Paperwork,45 or older,45 or older,Doctor,Doctor,,,Male,Male,Advanced,Advanced,Yes,Yes,No,After 2000
Madagascar-2016_124_9,Madagascar-2016,124_9,124,9,0.6,,,,,,1.0,No,11-50,5 or less,11-50,,45 or older,,Nurse,,Post-Secondary,,Female,,Diploma,,Yes,,,
Madagascar-2016_124_14,Madagascar-2016,124_14,124,14,0.6,,,,,,1.0,No,11-50,5 or less,11-50,,35-44,,Nurse,,Post-Secondary,,Male,,Diploma,,Yes,,,
Madagascar-2016_124_5,Madagascar-2016,124_5,124,5,0.6,,,Sick or on maternity leave,,,1.0,Yes,11-50,5 or less,11-50,,45 or older,,Doctor,,Post-Secondary,,Male,,Advanced,,No,,,
Madagascar-2016_124_4,Madagascar-2016,124_4,124,4,0.6,,,,,,1.0,Yes,11-50,5 or less,11-50,,45 or older,,Doctor,,Post-Secondary,,Male,,Advanced,,Yes,,,
Madagascar-2016_124_20,Madagascar-2016,124_20,124,20,0.6,,,,,,1.0,No,11-50,5 or less,11-50,,25-34,,Nurse,,Post-Secondary,,Male,,Diploma,,Yes,,,
Madagascar-2016_124_8,Madagascar-2016,124_8,124,8,0.6,,,,,1.0,1.0,No,11-50,5 or less,11-50,"Laboratory, investigations, or x-ray",45 or older,45 or older,Nurse,Nurse,Post-Secondary,Post-Secondary,Male,Male,Diploma,Diploma,Yes,Yes,No,Before 1990
Madagascar-2016_124_23,Madagascar-2016,124_23,124,23,0.6,,,,Authorized absence,1.0,1.0,No,11-50,5 or less,11-50,,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,No,,
Madagascar-2016_124_18,Madagascar-2016,124_18,124,18,0.6,,,,,,1.0,No,11-50,5 or less,11-50,,35-44,,Nurse,,Post-Secondary,,Female,,Diploma,,Yes,,,
Madagascar-2016_124_19,Madagascar-2016,124_19,124,19,0.6,,,,,,1.0,No,11-50,5 or less,11-50,,25-34,,Nurse,,Post-Secondary,,Female,,Diploma,,Yes,,,
Madagascar-2016_124_11,Madagascar-2016,124_11,124,11,0.6,,,,,,1.0,No,11-50,5 or less,11-50,,35-44,,Nurse,,Post-Secondary,,Female,,Diploma,,Yes,,,
Madagascar-2016_124_16,Madagascar-2016,124_16,124,16,0.6,,,,Authorized absence,1.0,1.0,No,11-50,5 or less,11-50,,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,No,,
Madagascar-2016_124_10,Madagascar-2016,124_10,124,10,0.6,,,,,,1.0,No,11-50,5 or less,11-50,,45 or older,,Nurse,,Post-Secondary,,Female,,Diploma,,Yes,,,
Madagascar-2016_124_3,Madagascar-2016,124_3,124,3,0.6,,,,Official mission,1.0,1.0,Yes,11-50,5 or less,11-50,,35-44,35-44,Doctor,Doctor,Post-Secondary,Post-Secondary,Male,Male,Advanced,Advanced,Yes,No,,
Madagascar-2016_124_17,Madagascar-2016,124_17,124,17,0.6,,,,,,1.0,No,11-50,5 or less,11-50,,45 or older,,Nurse,,Post-Secondary,,Male,,Diploma,,Yes,,,
Madagascar-2016_124_1,Madagascar-2016,124_1,124,1,0.6,,,,Other,1.0,1.0,Yes,11-50,5 or less,11-50,,45 or older,45 or older,Doctor,Doctor,Post-Secondary,Post-Secondary,Male,Male,Advanced,Advanced,Yes,No,,
