survey_id,country,unique_id,facility_id,provider_id,absence_rate,absent_reason1,absent_reason2,has_absentee,has_roster,is_outpatient,num_med,num_nonmed,num_staff,provider_activity,provider_age1,provider_age2,provider_cadre1,provider_cadre2,provider_educ1,provider_educ2,provider_male1,provider_male2,provider_mededuc1,provider_mededuc2,provider_present1,provider_present2,salary_delay,year_started
Niger-2015_1_2,Niger-2015,1_2,1,2,0.5,,,1.0,1,Yes,5 or less,5 or less,5 or less,With patient,35-44,35-44,Nurse,Nurse,Primary,Primary,Female,Female,Diploma,Diploma,Yes,Yes,Yes,After 2000
Niger-2015_1_1,Niger-2015,1_1,1,1,0.5,,Unauthorized absence,1.0,1,Yes,5 or less,5 or less,5 or less,,35-44,35-44,Other,Other,Secondary,Secondary,Male,Male,Certificate,Certificate,Yes,No,,
Niger-2015_100_1,Niger-2015,100_1,100,1,0.0,,,1.0,1,Yes,5 or less,5 or less,5 or less,With patient,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Advanced,Advanced,Yes,Yes,No,After 2000
Niger-2015_101_1,Niger-2015,101_1,101,1,0.0,,,1.0,1,Yes,5 or less,5 or less,5 or less,With patient,25-34,25-34,Other,Other,Secondary,Secondary,Male,Male,Advanced,Advanced,Yes,Yes,Yes,After 2000
Niger-2015_101_2,Niger-2015,101_2,101,2,0.0,,,1.0,1,Yes,5 or less,5 or less,5 or less,With patient,Younger than 25,Younger than 25,Other,Other,Secondary,Secondary,Female,Female,Advanced,Advanced,Yes,Yes,Yes,After 2000
Niger-2015_102_1,Niger-2015,102_1,102,1,1.0,,Authorized absence,1.0,1,Yes,5 or less,5 or less,5 or less,,25-34,25-34,Other,Other,Primary,Primary,Male,Male,Certificate,Certificate,Yes,No,,
Niger-2015_103_1,Niger-2015,103_1,103,1,1.0,,On strike,1.0,1,Yes,5 or less,5 or less,5 or less,,45 or older,45 or older,Other,Other,Secondary,Secondary,Male,Male,Certificate,Certificate,Yes,No,,
Niger-2015_104_1,Niger-2015,104_1,104,1,0.0,,,1.0,1,Yes,5 or less,5 or less,5 or less,Paperwork,25-34,25-34,Other,Other,Primary,Primary,Female,Female,Certificate,Certificate,Yes,Yes,Yes,After 2000
Niger-2015_106_2,Niger-2015,106_2,106,2,0.5,,,1.0,1,Yes,5 or less,5 or less,6-10,With patient,Younger than 25,Younger than 25,Other,Other,Primary,Primary,Female,Female,Certificate,Certificate,Yes,Yes,Yes,After 2000
Niger-2015_106_1,Niger-2015,106_1,106,1,0.5,,Authorized absence,1.0,1,Yes,5 or less,5 or less,6-10,,25-34,25-34,Other,Other,Primary,Primary,Female,Female,Certificate,Certificate,Yes,No,,
Niger-2015_108_1,Niger-2015,108_1,108,1,1.0,,Unauthorized absence,1.0,1,Yes,5 or less,5 or less,5 or less,,25-34,25-34,Other,Other,Secondary,Secondary,Male,Male,Advanced,Advanced,Yes,No,,
Niger-2015_11_1,Niger-2015,11_1,11,1,0.0,,,1.0,1,Yes,5 or less,5 or less,5 or less,Paperwork,35-44,35-44,Other,Other,Secondary,Secondary,Female,Female,Certificate,Certificate,Yes,Yes,No,After 2000
Niger-2015_110_2,Niger-2015,110_2,110,2,0.0,,,1.0,1,Yes,5 or less,5 or less,5 or less,With patient,35-44,35-44,Other,Other,Primary,Primary,Female,Female,Certificate,Certificate,Yes,Yes,Yes,After 2000
Niger-2015_110_1,Niger-2015,110_1,110,1,0.0,,,1.0,1,Yes,5 or less,5 or less,5 or less,Other,25-34,25-34,Other,Other,Primary,Primary,Female,Female,Certificate,Certificate,Yes,Yes,Yes,After 2000
Niger-2015_112_2,Niger-2015,112_2,112,2,0.4,,,1.0,1,Yes,5 or less,5 or less,6-10,With patient,35-44,35-44,Other,Other,Secondary,Secondary,Male,Male,Advanced,Advanced,Yes,Yes,No,After 2000
Niger-2015_112_3,Niger-2015,112_3,112,3,0.4,,,1.0,1,Yes,5 or less,5 or less,6-10,With patient,Younger than 25,Younger than 25,Other,Other,Primary,Primary,Male,Male,Certificate,Certificate,Yes,Yes,,After 2000
Niger-2015_112_5,Niger-2015,112_5,112,5,0.4,On-call,,1.0,1,Yes,5 or less,5 or less,6-10,With patient,35-44,35-44,Other,Nurse,Secondary,Secondary,Female,Female,Advanced,Advanced,No,Yes,No,After 2000
Niger-2015_112_1,Niger-2015,112_1,112,1,0.4,Official mission,"Training, seminar or meeting",1.0,1,Yes,5 or less,5 or less,6-10,,35-44,35-44,Nurse,Nurse,Secondary,Secondary,Male,Male,Advanced,Advanced,No,No,,
Niger-2015_112_4,Niger-2015,112_4,112,4,0.4,On-call,Authorized absence,1.0,1,Yes,5 or less,5 or less,6-10,,25-34,25-34,Nurse,Nurse,Secondary,Secondary,Female,Female,Advanced,Advanced,No,No,,
Niger-2015_113_1,Niger-2015,113_1,113,1,1.0,,Unauthorized absence,1.0,1,Yes,5 or less,5 or less,5 or less,,25-34,25-34,Other,Other,Primary,Primary,Female,Female,Certificate,Certificate,Yes,No,,
Niger-2015_114_2,Niger-2015,114_2,114,2,1.0,,Other,1.0,1,Yes,5 or less,5 or less,5 or less,,25-34,25-34,Other,Other,Primary,Primary,Female,Female,Certificate,Certificate,Yes,No,,
Niger-2015_114_1,Niger-2015,114_1,114,1,1.0,,Other,1.0,1,Yes,5 or less,5 or less,5 or less,,25-34,25-34,Other,Other,Primary,Primary,Female,Female,Certificate,Certificate,Yes,No,,
Niger-2015_115_1,Niger-2015,115_1,115,1,0.0,,,1.0,1,Yes,5 or less,5 or less,5 or less,With patient,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Male,Male,Advanced,Advanced,Yes,Yes,No,After 2000
Niger-2015_116_1,Niger-2015,116_1,116,1,0.0,,,1.0,1,Yes,5 or less,5 or less,5 or less,With patient,Younger than 25,Younger than 25,Other,Other,Primary,Primary,Female,Female,Certificate,Certificate,Yes,Yes,Yes,After 2000
Niger-2015_117_2,Niger-2015,117_2,117,2,0.5,,Unauthorized absence,1.0,1,Yes,5 or less,5 or less,5 or less,,25-34,25-34,Other,Other,Secondary,Secondary,Female,Female,Advanced,Advanced,Yes,No,,
Niger-2015_117_1,Niger-2015,117_1,117,1,0.5,,,1.0,1,Yes,5 or less,5 or less,5 or less,Paperwork,25-34,25-34,Other,Other,Secondary,Secondary,Male,Male,Certificate,Certificate,Yes,Yes,No,After 2000
