country,facility_id,abs_wt,act_a,admin1,admin2,admin3,adultscale_a,adultscale_b,albendazole_a,amoxicillin3_a,ampicillin2_a,ampicillin_a,autoclave_a,autoclave_b,azithromycin_a,bcg_vac,benzathine_a,benzylpenicillin_a,calgluc_a,ceftriaxone2_a,childscale_a,childscale_b,chloraphen_a,cotrimoxazole2_a,depo_a,diazepam3_a,does_vaccines,does_vaccines2,dpt_vac,dryheat_a,dryheat_b,elecdevice_a,elecdevice_b,ergometrine_a,facility_level,facmobile_a,facmobile_b,folic_a,gentamycin2_a,gentamycin_a,has_autosyringe,has_dispsyringe,has_facility,has_fcondoms,has_fridge,has_gloves,has_icepacks,has_mcondoms,has_sharps,has_vaccarrier,has_weights,hepb_vac,incinerator_a,incinerator_b,incinerator_power,incinerator_works,indmobile2_a,indmobile2_b,infantscale_a,infantscale_b,internet_a,internet_b,ipw,irona_a,magsulf_a,measles_vac,methasone_a,metronidazole_a,misoprostol_a,nacl_a,nifedipine2_a,nonelectric_a,nonelectric_b,num_births,num_outpatient,ors_a,oxytocin_a,paracetamol3_a,pentavalent_vac,phone_a,phone_b,pneumococ_vac,polio_vac,publicprivate,radio_a,radio_b,ruralurban,sharps_a,sharps_b,sharps_c,sharps_d,sharps_e,sharps_f,sharps_g,sharps_h,sharps_i,sharps_inspected,sharps_j,sharps_joth,sharps_k,sharps_l,sharps_m,sharps_n,sphgmeter_a,sphgmeter_b,steamer_a,steamer_b,stethoscope_a,stethoscope_b,thermometer_a,thermometer_b,vaccine_store1,vaccine_store2,vign_wt,vitamina_a,waste_a,waste_b,waste_c,waste_d,waste_e,waste_f,waste_g,waste_guidelines,waste_h,waste_i,waste_inspected,waste_j,waste_joth,waste_k,waste_l,waste_m,waste_n,waste_training,yellowfev_vac,zinctabs_a
Nigeria-2013,1301003,1.5714287,At least one observed (not expired),13,1.0,110.0,Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (all expired),At least one observed (all expired),Never available,No,,Never available,,Never available,At least one observed (not expired),Never available,Never available,No,,Never available,Not available today,Never available,Never available,No,No,,No,,No,,Never available,,No,,At least one observed (not expired),Not available today,Never available,,,1,No,Not available,Yes,,No,,,1,,No,,,No,Yes (Observed),Yes (Observed),No,,No,,1.5714287,At least one observed (all expired),Never available,,Never available,At least one observed (not expired),Never available,Never available,Never available,Yes (Observed),Yes (Observed),50 or less,0-500,Not available today,Never available,At least one observed (not expired),,No,,,,Public,No,,Urban,No,No,No,No,No,No,No,No,No,"Waste visible, protected area",Yes,SAFETY BOX                    ,No,No,No,No,No,,No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),,,1.5714287,At least one observed (not expired),No,No,No,No,Yes,No,No,No,No,No,"Waste visible, unprotected area",No,                              ,No,No,No,No,No,,Never available
Nigeria-2013,1301004,1.5714287,At least one observed (not expired),13,1.0,110.0,Yes (Observed),Yes (Observed),Never available,At least one observed (all expired),Never available,Never available,No,,Never available,,At least one observed (not expired),Not available today,Never available,Never available,No,,Never available,At least one observed (not expired),Never available,Never available,No,No,,No,,No,,Never available,,No,,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),,,1,No,Not available,No,,No,,,1,,No,,,No,Yes (Observed),Yes (Observed),No,,No,,1.5714287,At least one observed (not expired),Never available,,Never available,At least one observed (not expired),Never available,At least one observed (not expired),Never available,Yes (Observed),Yes (Observed),50 or less,0-500,At least one observed (not expired),Never available,At least one observed (not expired),,No,,,,Public,No,,Urban,Yes,No,No,No,No,No,No,No,No,"Waste visible, unprotected area",,                              ,,No,No,No,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),,,1.5714287,Never available,No,No,Yes,No,No,No,No,No,No,No,"Waste visible, unprotected area",No,,No,No,No,No,Yes,,At least one observed (not expired)
Nigeria-2013,1301007,1.5714287,Not available today,13,1.0,108.0,Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,,Never available,,At least one observed (all expired),At least one observed (all expired),Not available today,Never available,Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Never available,At least one observed (not expired),Yes,,,No,,No,,At least one observed (not expired),Health Center,Yes (Observed),No,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,,Yes (Observed),Yes (Observed),No,Yes,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),No,,1.5714287,At least one observed (not expired),At least one observed (not expired),,Not available today,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),Over 50,Over 3000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),,No,,,,Public,No,,Urban,No,No,No,No,No,No,No,No,No,"Waste visible, protected area",No,                              ,No,No,No,Yes,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,,8.642858,At least one observed (not expired),No,Yes,No,No,No,No,No,No,No,No,"Waste visible, protected area",No,                              ,No,No,No,No,Yes,,Never available
Nigeria-2013,1301014,1.5714287,Not available today,13,1.0,101.0,Yes (Observed),No,At least one observed (not expired),Not available today,Never available,Never available,Yes (Not Observed),,Never available,At least one observed (not expired),At least one observed (not expired),Never available,Never available,Never available,Yes (Not Observed),,Never available,Not available today,Never available,Never available,Yes,,Never available,Yes (Not Observed),,Yes (Not Observed),,Never available,Health Center,Yes (Not Observed),,At least one observed (not expired),Not available today,Not available today,Yes (Observed),Yes (Observed),1,No,Not available,Yes,Yes (Observed),No,Yes (Observed),Yes (Observed),1,At least one observed (not expired),Yes (Not Observed),,,No,Yes (Observed),Yes (Observed),Yes (Not Observed),,Yes (Not Observed),,1.5714287,At least one observed (not expired),Never available,At least one observed (not expired),Never available,Not available today,Never available,Never available,Never available,Yes (Observed),Yes (Observed),50 or less,0-500,Never available,Never available,At least one observed (not expired),At least one observed (not expired),Yes (Not Observed),,Never available,At least one observed (not expired),Public,Yes (Not Observed),,Urban,No,No,No,No,Yes,No,No,No,No,"Waste visible, protected area",No,                              ,Yes,No,No,No,Yes (Observed),No,Yes (Not Observed),,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),No,,1.5714287,At least one observed (not expired),No,Yes,No,No,No,No,No,Yes (Not Observed),No,No,"Waste visible, protected area",No,                              ,No,No,No,No,No,At least one observed (not expired),Never available
Nigeria-2013,1301015,1.5714287,Not available today,13,1.0,101.0,Yes (Observed),Yes (Observed),Not available today,Not available today,Not available today,Not available today,Yes (Observed),Yes (Observed),Not available today,,Not available today,Not available today,Not available today,Not available today,Yes (Observed),Yes (Observed),Not available today,Not available today,Not available today,Not available today,No,No,,Yes (Observed),No,No,,Not available today,Health Center,No,,Not available today,Not available today,Not available today,,,1,No,Not available,No,,No,,,1,,No,,,No,Yes (Observed),Yes (Observed),No,,No,,1.5714287,Not available today,Not available today,,Not available today,Not available today,Not available today,Not available today,Not available today,Yes (Observed),Yes (Observed),50 or less,0-500,Not available today,Not available today,Not available today,,No,,,,Public,No,,Urban,No,No,No,No,No,No,No,No,No,Not inspected,Yes,BURY                          ,No,No,No,No,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),,,1.5714287,Not available today,No,No,No,No,No,No,No,No,No,No,Not inspected,Yes,OPEN BURNING                  ,No,No,No,No,No,,Not available today
Nigeria-2013,1301016,1.5714287,Never available,13,1.0,101.0,Yes (Observed),Yes (Observed),Never available,Never available,Never available,Never available,Yes (Not Observed),,At least one observed (all expired),At least one observed (not expired),Never available,Never available,Never available,Never available,Yes (Not Observed),,Never available,Never available,Never available,Never available,Yes,,Never available,Yes (Not Observed),,No,,At least one observed (all expired),Health Center,No,,At least one observed (all expired),Never available,Never available,Yes (Observed),Yes (Observed),1,No,Yes (Not Observed),No,Yes (Observed),No,Yes (Observed),Yes (Observed),1,At least one observed (not expired),Yes (Not Observed),,,No,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),No,,1.5714287,At least one observed (all expired),Never available,At least one observed (not expired),Never available,At least one observed (all expired),Never available,Never available,Never available,Yes (Observed),Yes (Observed),50 or less,0-500,Never available,Never available,At least one observed (all expired),At least one observed (not expired),No,,Never available,At least one observed (not expired),Public,No,,Urban,No,No,No,No,No,No,No,No,No,Not inspected,Yes,MOVED TO THE HEADQUARTERS     ,No,No,No,No,Yes (Not Observed),,Yes (Not Observed),,Yes (Not Observed),,Yes (Observed),Yes (Observed),No,Yes,1.5714287,Never available,Yes,No,No,No,No,No,No,Yes (Not Observed),No,No,"Waste visible, protected area",No,                              ,No,No,No,No,No,At least one observed (not expired),Never available
Nigeria-2013,1301017,1.5714287,Never available,13,1.0,101.0,No,,Never available,Never available,Never available,Never available,No,,Never available,At least one observed (not expired),Never available,Never available,Never available,Never available,No,,Never available,Never available,Never available,Never available,Yes,,Never available,No,,Yes (Not Observed),,Never available,Health Post,Yes (Not Observed),,Never available,Never available,Never available,Yes (Observed),Yes (Observed),1,No,Not available,No,Yes (Not Observed),No,Yes (Observed),Yes (Not Observed),1,At least one observed (not expired),No,,,No,Yes (Observed),Yes (Observed),Yes (Observed),,Yes (Not Observed),,1.5714287,Never available,Never available,At least one observed (not expired),Never available,Never available,Never available,Never available,Never available,No,,50 or less,0-500,Never available,Never available,Never available,At least one observed (not expired),Yes (Not Observed),,Never available,At least one observed (not expired),Public,Yes (Not Observed),,Urban,No,No,No,No,No,No,No,No,No,Not inspected,Yes,TO THE HEADQUARTERS           ,No,No,No,No,No,,No,,Yes (Observed),Yes (Observed),No,,No,Yes,,Never available,Yes,No,No,No,No,No,No,No,No,No,Not inspected,No,                              ,No,No,No,No,No,At least one observed (not expired),Never available
Nigeria-2013,1301020,1.5714287,Never available,13,1.0,104.0,Yes (Observed),Yes (Observed),Never available,Never available,Never available,Never available,No,,Never available,At least one observed (not expired),Never available,Never available,Never available,Never available,No,,Never available,Never available,Never available,Never available,Yes,,Never available,No,,No,,Never available,Health Center,No,,Never available,Never available,Never available,Yes (Observed),Yes (Observed),1,No,Not available,No,Yes (Observed),No,Yes (Observed),Yes (Observed),1,At least one observed (not expired),No,,,No,Yes (Observed),Yes (Observed),No,,No,,1.5714287,Never available,Never available,At least one observed (not expired),Never available,Never available,Never available,Never available,Never available,No,,50 or less,0-500,Never available,Never available,Never available,At least one observed (not expired),No,,Never available,At least one observed (not expired),Public,No,,Urban,No,No,No,No,No,No,No,No,No,Not inspected,Yes,TO THE HEADQUARTERS           ,,No,No,No,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),No,,No,Yes,,Never available,Yes,No,No,No,No,No,No,No,No,No,No waste visible,No,                              ,No,No,No,No,No,At least one observed (not expired),Never available
Nigeria-2013,1301031,1.5714287,Not available today,13,1.0,109.0,Yes (Observed),Yes (Observed),Not available today,Not available today,Not available today,Not available today,No,,Not available today,At least one observed (not expired),Not available today,Not available today,Not available today,Not available today,Yes (Observed),Yes (Observed),Not available today,Not available today,Not available today,Not available today,Yes,,Not available today,No,,No,,Not available today,Health Center,No,,Not available today,Not available today,Not available today,Yes (Observed),Yes (Observed),1,No,Not available,Yes,Yes (Observed),No,Yes (Observed),Yes (Observed),1,At least one observed (not expired),No,,,No,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),No,,1.5714287,Not available today,Not available today,At least one observed (not expired),Not available today,Not available today,Not available today,Not available today,Not available today,No,,50 or less,0-500,Not available today,Not available today,Not available today,At least one observed (not expired),No,,At least one observed (not expired),At least one observed (not expired),Public,No,,Urban,No,Yes,No,No,No,No,No,No,No,No waste visible,No,                              ,No,No,No,No,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),No,Yes,1.9642859,Not available today,No,Yes,No,No,No,No,No,No,No,No,"Waste visible, protected area",No,                              ,No,No,No,No,No,At least one observed (not expired),Not available today
Nigeria-2013,1301032,1.5714287,At least one observed (not expired),13,1.0,109.0,Yes (Observed),Yes (Observed),Not available today,Not available today,At least one observed (not expired),Never available,No,,Never available,At least one observed (not expired),Never available,Never available,Never available,Not available today,Yes (Observed),Yes (Observed),At least one observed (not expired),Never available,Never available,At least one observed (all expired),Yes,,Never available,No,,No,,Never available,Health Center,No,,Never available,At least one observed (not expired),Never available,Yes (Observed),Yes (Observed),1,No,Not available,Yes,Yes (Observed),No,Yes (Observed),Yes (Observed),1,At least one observed (not expired),No,,,No,Yes (Observed),Yes (Observed),No,,No,,1.5714287,Never available,Never available,At least one observed (not expired),Never available,Never available,Never available,Never available,Never available,Yes (Observed),Yes (Observed),50 or less,0-500,At least one observed (not expired),Never available,At least one observed (not expired),At least one observed (not expired),No,,Never available,At least one observed (not expired),Public,No,,Urban,No,No,No,No,No,Yes,No,No,No,"Waste visible, protected area",No,                              ,No,No,No,No,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),No,Yes,1.5714287,At least one observed (not expired),No,No,No,No,No,No,Yes,No,No,No,"Waste visible, protected area",No,                              ,No,No,No,No,No,At least one observed (not expired),Not available today
Nigeria-2013,1301035,1.5714287,At least one observed (not expired),13,1.0,111.0,Yes (Observed),Yes (Observed),Not available today,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),Never available,,Never available,Never available,At least one observed (not expired),Never available,Yes (Observed),Yes (Observed),Not available today,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes,,,No,,No,,At least one observed (not expired),Health Center,No,,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,,No,,No,No,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),No,,1.5714287,At least one observed (not expired),Never available,,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),Over 50,2001-3000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),,No,,,,Public,No,,Urban,Yes,No,No,No,No,No,No,No,No,"Waste visible, unprotected area",No,                              ,No,No,No,No,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,,5.5,At least one observed (not expired),Yes,No,No,No,No,No,No,No,No,No,"Waste visible, unprotected area",,                              ,No,No,No,No,No,,Never available
Nigeria-2013,1301036,1.5714287,At least one observed (not expired),13,1.0,111.0,Yes (Not Observed),,At least one observed (not expired),Not available today,Not available today,At least one observed (not expired),Yes (Not Observed),,Not available today,At least one observed (not expired),Not available today,Not available today,Never available,Not available today,Yes (Observed),No,Not available today,At least one observed (not expired),Never available,At least one observed (not expired),Yes,,Never available,Yes (Not Observed),,No,,Not available today,Health Center,No,,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes,Not available,Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,At least one observed (not expired),Yes (Not Observed),,,No,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),No,,1.5714287,At least one observed (not expired),Not available today,At least one observed (not expired),Not available today,At least one observed (not expired),Never available,Never available,Never available,Yes (Not Observed),,50 or less,0-500,At least one observed (not expired),Never available,At least one observed (not expired),At least one observed (not expired),No,,Never available,At least one observed (not expired),Public,No,,Urban,No,Yes,No,No,No,No,No,No,No,"Waste visible, protected area",No,                              ,No,No,No,Yes,Yes (Observed),Yes (Observed),Yes (Not Observed),,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),No,Yes,1.5714287,At least one observed (not expired),No,Yes,No,No,No,No,No,Yes (Not Observed),No,No,"Waste visible, protected area",No,                              ,No,No,No,No,Yes,At least one observed (not expired),Never available
Nigeria-2013,1301037,1.5714287,At least one observed (not expired),13,1.0,111.0,Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,No,,Never available,At least one observed (not expired),Never available,At least one observed (not expired),Never available,At least one observed (all expired),Yes (Not Observed),,At least one observed (all expired),Never available,Never available,At least one observed (not expired),Yes,,At least one observed (not expired),No,,No,,Never available,Health Center,No,,Never available,At least one observed (not expired),Never available,Yes (Observed),Yes (Observed),1,No,Yes (Not Observed),Yes,Yes (Observed),No,Yes (Observed),Yes (Observed),1,At least one observed (not expired),No,,,No,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),No,,1.5714287,Never available,Never available,At least one observed (not expired),Never available,Never available,Never available,Never available,Never available,Yes (Observed),Yes (Observed),50 or less,0-500,At least one observed (not expired),Never available,At least one observed (not expired),At least one observed (not expired),No,,Not available today,At least one observed (not expired),Public,No,,Urban,No,No,No,No,No,No,Yes,No,No,"Waste visible, protected area",No,                              ,No,No,No,No,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),No,Yes,4.714286,At least one observed (not expired),No,No,No,No,No,No,No,No,No,No,No waste visible,Yes,GOVT WASTE MANAGEMENT         ,No,No,No,No,No,At least one observed (not expired),Never available
Nigeria-2013,1301040,1.5714287,At least one observed (not expired),13,1.0,105.0,Yes (Observed),Yes (Observed),Not available today,Not available today,At least one observed (not expired),Never available,No,,Never available,At least one observed (not expired),Never available,Never available,Never available,Never available,Yes (Observed),Yes (Observed),Never available,Never available,Never available,Never available,Yes,,Never available,No,,No,,Never available,Health Post,No,,At least one observed (not expired),Not available today,Not available today,No,Yes (Observed),1,No,Not available,Yes,Yes (Observed),No,Yes (Observed),Yes (Observed),1,At least one observed (not expired),No,,,No,Yes (Observed),Yes (Observed),No,,No,,1.5714287,At least one observed (not expired),Never available,At least one observed (not expired),Never available,Not available today,Never available,Never available,Never available,Yes (Observed),Yes (Observed),50 or less,0-500,Not available today,Never available,At least one observed (not expired),At least one observed (not expired),No,,Never available,At least one observed (not expired),Public,No,,Urban,No,No,No,No,No,No,Yes,No,No,"Waste visible, unprotected area",No,                              ,No,No,No,No,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),No,Yes,1.5714287,At least one observed (not expired),No,No,No,No,Yes,No,No,No,No,No,"Waste visible, unprotected area",No,                              ,No,No,No,No,No,At least one observed (not expired),Never available
Nigeria-2013,1301043,1.5714287,Never available,13,1.0,102.0,Yes (Observed),Yes (Observed),Never available,At least one observed (not expired),Never available,Never available,Yes (Observed),Yes (Observed),Never available,,Never available,Never available,Never available,Never available,No,,Never available,At least one observed (not expired),Never available,At least one observed (not expired),No,No,,No,,No,,Never available,,No,,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),,,1,No,Yes (Observed),Yes,,No,,,1,,No,,,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Not Observed),,1.5714287,Never available,Never available,,Never available,At least one observed (not expired),Never available,Never available,At least one observed (not expired),No,,50 or less,501-1000,Never available,Never available,At least one observed (not expired),,No,,,,Public,No,,Urban,No,Yes,No,No,No,No,No,No,No,"Waste visible, protected area",No,                              ,No,No,No,No,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),,,2.357143,Never available,No,Yes,No,No,No,No,No,Yes (Observed),No,No,"Waste visible, protected area",No,                              ,No,No,No,No,Yes,,Never available
