survey_id,country,unique_id,facility_id,provider_id,abs_wt,absence_rate,absence_rate2,absent_other1,absent_other3,absent_reason1,absent_reason3,has_absentee,has_absentee2,has_roster,is_outpatient,num_staff,provider_age1,provider_age2,provider_cadre1,provider_cadre2,provider_educ2,provider_male1,provider_present1,provider_present2,provider_present3,salary_delaylen,salary_delaylen2,salary_got,salary_got2,year_started
Senegal-2010_1_1,Senegal-2010,1_1,1,1,191.2474,0.33333334,0.33333334,,,,,1.0,1.0,1,No,5 or less,45 or older,45 or older,Other,Other,Secondary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,After 2000
Senegal-2010_1_0,Senegal-2010,1_0,1,0,191.2474,0.33333334,0.33333334,,,,,1.0,1.0,1,Yes,5 or less,35-44,35-44,Nurse,Nurse,Secondary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,In the 1990s
Senegal-2010_1_2,Senegal-2010,1_2,1,2,191.2474,0.33333334,0.33333334,,,Sick or on maternity leave,Unauthorized absence,1.0,1.0,1,No,5 or less,,,Other,Other,,Female,No,No,No,,,,,
Senegal-2010_10_1,Senegal-2010,10_1,10,1,46.577206,0.33333334,0.33333334,,,,,1.0,1.0,1,No,5 or less,45 or older,45 or older,Nurse,Nurse,Primary,Female,Yes,Yes,Yes,,,,,After 2000
Senegal-2010_10_0,Senegal-2010,10_0,10,0,46.577206,0.33333334,0.33333334,,,,,1.0,1.0,1,No,5 or less,Younger than 25,Younger than 25,Other,Other,Secondary,Female,Yes,Yes,Yes,,,,,After 2000
Senegal-2010_10_2,Senegal-2010,10_2,10,2,46.577206,0.33333334,0.33333334,,,"Training, seminar or meeting","Training, seminar or meeting",1.0,1.0,1,No,5 or less,45 or older,45 or older,Nurse,Nurse,,Female,No,No,No,,,,,
Senegal-2010_100_1,Senegal-2010,100_1,100,1,10.524123,0.0,0.0,,,,,1.0,1.0,1,No,5 or less,25-34,25-34,Other,Other,Secondary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,In the 1990s
Senegal-2010_100_0,Senegal-2010,100_0,100,0,10.524123,0.0,0.0,,,,,1.0,1.0,1,Yes,5 or less,25-34,25-34,Nurse,Nurse,Post-Secondary,Male,Yes,Yes,Yes,0.0,0.0,Yes,Yes,After 2000
Senegal-2010_101_5,Senegal-2010,101_5,101,5,54.752663,0.16666667,0.16666667,,,,,1.0,1.0,1,No,6-10,35-44,35-44,Other,Other,Secondary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,In the 1990s
Senegal-2010_101_3,Senegal-2010,101_3,101,3,54.752663,0.16666667,0.16666667,,,Not his/her shift,Not his/her shift,1.0,1.0,1,No,6-10,,,Nurse,,,Female,No,No,No,,,,,
Senegal-2010_101_1,Senegal-2010,101_1,101,1,54.752663,0.16666667,0.16666667,,,,,1.0,1.0,1,Yes,6-10,35-44,35-44,Nurse,Nurse,Post-Secondary,Male,Yes,Yes,Yes,5.0,5.0,Yes,Yes,After 2000
Senegal-2010_101_2,Senegal-2010,101_2,101,2,54.752663,0.16666667,0.16666667,,,,,1.0,1.0,1,No,6-10,25-34,25-34,Nurse,Nurse,Post-Secondary,Female,Yes,Yes,Yes,5.0,5.0,Yes,Yes,After 2000
Senegal-2010_101_4,Senegal-2010,101_4,101,4,54.752663,0.16666667,0.16666667,,,,,1.0,1.0,1,No,6-10,35-44,35-44,Nurse,Nurse,Post-Secondary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,After 2000
Senegal-2010_101_0,Senegal-2010,101_0,101,0,54.752663,0.16666667,0.16666667,,,,,1.0,1.0,1,No,6-10,25-34,25-34,Nurse,Nurse,Post-Secondary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,After 2000
