survey_id,country,unique_id,facility_id,provider_id,absence_rate,absent_other1,absent_other2,absent_reason1,absent_reason2,has_absentee,has_roster,is_outpatient,provider_activity,provider_activityoth,provider_age1,provider_cadre1,provider_cadre2,provider_male1,provider_male2,provider_present1,provider_present2,salary_delay
Uganda-2013_1_2,Uganda-2013,1_2,1,2,0.6666667,,,"Training, seminar or meeting",Unauthorized absence,1.0,1,Yes,,,Younger than 25,Nurse,Nurse,Male,Male,No,No,
Uganda-2013_1_3,Uganda-2013,1_3,1,3,0.6666667,,,Sick or on maternity leave,Sick or on maternity leave,1.0,1,Yes,,,25-34,Other,Other,Female,Female,No,Yes,
Uganda-2013_1_1,Uganda-2013,1_1,1,1,0.6666667,,ON AN EMERGENCY AT A NEARBY POLICE POST,,Internal organization for day,1.0,1,Yes,,,35-44,Nurse,Nurse,Female,Female,Yes,No,
Uganda-2013_10_4,Uganda-2013,10_4,10,4,,,,,,,1,Yes,,,45 or older,Nurse,,Female,,Yes,,
Uganda-2013_10_7,Uganda-2013,10_7,10,7,,,,,,,1,Yes,,,45 or older,Other,,Female,,Yes,,
Uganda-2013_10_2,Uganda-2013,10_2,10,2,,,,,,,1,No,,,35-44,Nurse,,Female,,Yes,,
Uganda-2013_10_3,Uganda-2013,10_3,10,3,,,,Not his/her shift,,,1,Yes,,,35-44,Nurse,,Female,,No,,
Uganda-2013_10_12,Uganda-2013,10_12,10,12,,,,Official mission,,,1,No,,,45 or older,Other,,Male,,No,,
Uganda-2013_10_6,Uganda-2013,10_6,10,6,,,,Not his/her shift,,,1,Yes,,,35-44,Other,,Female,,No,,
Uganda-2013_10_9,Uganda-2013,10_9,10,9,,,,,,,1,No,,,25-34,Nurse,,Female,,Yes,,
Uganda-2013_10_5,Uganda-2013,10_5,10,5,,,,Authorized absence,,,1,Yes,,,35-44,Nurse,,Female,,No,,
Uganda-2013_10_13,Uganda-2013,10_13,10,13,,,,,,,1,Yes,,,25-34,Clinical Officer,,Female,,Yes,,
Uganda-2013_10_8,Uganda-2013,10_8,10,8,,,,Not his/her shift,,,1,Yes,,,25-34,Other,,Female,,No,,
Uganda-2013_10_10,Uganda-2013,10_10,10,10,,,,Not his/her shift,,,1,No,,,25-34,Other,,Female,,No,,
Uganda-2013_10_11,Uganda-2013,10_11,10,11,,,,,,,1,No,,,25-34,Other,,Male,,Yes,,
Uganda-2013_10_1,Uganda-2013,10_1,10,1,,,,"Training, seminar or meeting",,,1,Yes,,,35-44,Clinical Officer,,Male,,No,,
Uganda-2013_101_1,Uganda-2013,101_1,101,1,1.0,,,,Official mission,1.0,1,Yes,,,45 or older,Other,Other,Male,Male,,No,
Uganda-2013_103_1,Uganda-2013,103_1,103,1,0.0,,,,,1.0,1,Yes,Other,SEATED WAITING FOR PATIENTS,35-44,Other,Other,Male,Male,Yes,Yes,Yes
Uganda-2013_104_2,Uganda-2013,104_2,104,2,0.6666667,,,Sick or on maternity leave,Sick or on maternity leave,1.0,1,Yes,,,35-44,Other,Other,Female,Female,No,No,
Uganda-2013_104_1,Uganda-2013,104_1,104,1,0.6666667,PROCESSING RETIREMENT,PROCESSING FOR RETIREMENT,Internal organization for day,Internal organization for day,1.0,1,Yes,,,45 or older,Nurse,Nurse,Male,Male,No,No,
Uganda-2013_104_3,Uganda-2013,104_3,104,3,0.6666667,,,,,1.0,1,Yes,With patient,,45 or older,Other,Other,Female,Female,Yes,Yes,Yes
Uganda-2013_105_3,Uganda-2013,105_3,105,3,0.6666667,,,Authorized absence,Authorized absence,1.0,1,Yes,,,25-34,Other,Other,Male,Male,No,No,
Uganda-2013_105_2,Uganda-2013,105_2,105,2,0.6666667,,,Not his/her shift,Authorized absence,1.0,1,Yes,,,25-34,Nurse,Nurse,Male,Male,No,No,
Uganda-2013_105_1,Uganda-2013,105_1,105,1,0.6666667,,,,,1.0,1,Yes,Paperwork,,25-34,Nurse,Nurse,Female,Female,Yes,Yes,Yes
Uganda-2013_106_1,Uganda-2013,106_1,106,1,0.6666667,,,Authorized absence,Authorized absence,1.0,1,Yes,,,45 or older,Other,Other,Female,Female,No,No,
