unique_id,fac_id,staff_id,m2saq1,m2saq2,m2saq3,m2saq7,m2saq8,m2saq9,m2saq10,m2saq11,m2saq12,m2saq13,m2saq14,m2saq15,m2saq16,m2sbq0,m2sbq2,m2sbq4,m2sbq5,m2sbq6,m2sbq7,m2sbq8,m2sbq9,m2sbq10,m2sbq11,m2sbq12,m2sbq13,has_roster,has_absentee,country,absence_rate
100102_1,100102,1,5 or less,5 or less,5 or less,Other,Secondary,,Male,25-34,Yes,Yes,,Yes,Yes,2.0,1.0,Other,Secondary,,After 2000,Male,25-34,Yes,,Em consulta (cuidados presenciais),0.0,1,1.0,Mozambique-2014,0.0
100102_2,100102,2,5 or less,5 or less,5 or less,Nurse,Secondary,Diploma,0,25-34,Yes,Yes,,Yes,Yes,2.0,2.0,Nurse,Secondary,Diploma,After 2000,0.0,25-34,Yes,,Em consulta (cuidados presenciais),0.0,1,1.0,Mozambique-2014,0.0
100105_1,100105,1,6-10,5 or less,5 or less,Clinical Officer,Post-Secondary,Diploma,Male,25-34,Yes,Yes,,Yes,Yes,4.0,1.0,Clinical Officer,Post-Secondary,Diploma,After 2000,Male,25-34,Yes,,Em consulta (cuidados presenciais),0.0,1,1.0,Mozambique-2014,0.5
100105_2,100105,2,6-10,5 or less,5 or less,Nurse,Secondary,Diploma,0,35-44,Yes,Yes,,Yes,Yes,4.0,2.0,Nurse,Secondary,Diploma,After 2000,0.0,35-44,0.0,Authorised absence (permision/leave),,,1,1.0,Mozambique-2014,0.5
100105_3,100105,3,6-10,5 or less,5 or less,Other,Post-Secondary,Diploma,Male,25-34,0,Yes,,Yes,,4.0,3.0,Other,Post-Secondary,Diploma,After 2000,Male,25-34,Yes,,À espera que o paciente se dispa,Yes,1,1.0,Mozambique-2014,0.5
100105_4,100105,4,6-10,5 or less,5 or less,Other,,,Male,35-44,0,Yes,,Yes,,4.0,4.0,Other,,,After 2000,Male,35-44,0.0,Authorised absence (permision/leave),,,1,1.0,Mozambique-2014,0.5
100108_31,100108,31,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,0,0,Other (specify),No,,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_1,100108,1,Over 50,Over 50,Over 5,Doctor,Post-Secondary,,Male,25-34,Yes,Yes,,Yes,Yes,11.0,41.0,Clinical Officer,Secondary,Diploma,After 2000,Male,Younger than 25,0.0,Authorised absence (permision/leave),,,1,1.0,Mozambique-2014,0.6363636
100108_49,100108,49,Over 50,Over 50,Over 5,Other,Secondary,,0,25-34,Yes,0,Official mission,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_28,100108,28,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,0,Yes,,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_16,100108,16,Over 50,Over 50,Over 5,Nurse,Post-Secondary,Diploma,Male,35-44,Yes,Yes,,No,Yes,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_22,100108,22,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,0,25-34,Yes,0,Training/seminar/meeting,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_46,100108,46,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,Male,35-44,0,Yes,,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_5,100108,5,Over 50,Over 50,Over 5,Clinical Officer,Post-Secondary,Advanced,Male,25-34,0,Yes,,No,,11.0,34.0,Clinical Officer,Secondary,Diploma,In the 1990s,Male,35-44,0.0,Authorised absence (permision/leave),,,1,1.0,Mozambique-2014,0.6363636
100108_48,100108,48,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,0,25-34,Yes,Yes,,No,Yes,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_20,100108,20,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,0,45 or older,Yes,Yes,,No,Yes,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_26,100108,26,Over 50,Over 50,Over 5,Nurse,Primary,Certificate,Male,45 or older,0,0,Other (specify),No,,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_33,100108,33,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,0,Younger than 25,0,Yes,,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_50,100108,50,Over 50,Over 50,Over 5,Other,Secondary,,Male,25-34,Yes,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_14,100108,14,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,Male,Younger than 25,Yes,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_8,100108,8,Over 50,Over 50,Over 5,Clinical Officer,Post-Secondary,Advanced,0,25-34,0,Yes,,No,,11.0,36.0,Clinical Officer,Secondary,Diploma,After 2000,Male,25-34,Yes,,Em consulta (cuidados presenciais),0.0,1,1.0,Mozambique-2014,0.6363636
100108_12,100108,12,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,Male,45 or older,Yes,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_18,100108,18,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,0,35-44,Yes,Yes,,No,Yes,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_23,100108,23,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,0,35-44,Yes,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_15,100108,15,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,Male,25-34,Yes,Yes,,No,No,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
