unique_id,fac_id,staff_id,m2saq1,m2saq2,m2saq3,m2q5_c,m2q6_hr,m2q6_mn,m2q7_hr,m2q7_mn,m2saq4,m2saq7,m2saq8,m2saq9,m2saq10,m2saq11,m2saq12,m2saq13,m2saq14,m2saq15,m2saq16,m2sbq1,m2sbq3,m2sbq5,m2sbq6,m2sbq7,m2sbq8,m2sbq9,m2sbq10,m2sbq11,m2sbq12,m2sbq13,m2sbq14,has_roster,has_absentee,country,absence_rate
1_5,1,5,6-10,6-10,5 or less,501.0,11.0,46.0,12.0,1.0,5.0,Clinical Officer,Secondary,Diploma,Male,Younger than 25,Yes,Yes,,Yes,Yes,5.0,5.0,Clinical Officer,Secondary,Diploma,After 2000,Male,Younger than 25,Yes,,Consultation/visiting patient,0.0,1.0,1.0,Tanzania-2016,0.0
1_4,1,4,6-10,6-10,5 or less,501.0,11.0,46.0,12.0,1.0,4.0,Nurse,Secondary,Diploma,0.0,25-34,Yes,0.0,Training/seminar/meeting,Yes,,4.0,4.0,Nurse,Secondary,Diploma,After 2000,Male,25-34,Yes,,Consultation/visiting patient,0.0,1.0,1.0,Tanzania-2016,0.0
1_3,1,3,6-10,6-10,5 or less,501.0,11.0,46.0,12.0,1.0,3.0,Nurse,Secondary,Diploma,0.0,Younger than 25,Yes,0.0,"On call (pre on call, post on call)",Yes,,3.0,3.0,Nurse,Secondary,Diploma,After 2000,0.0,Younger than 25,Yes,,Consultation/visiting patient,Yes,1.0,1.0,Tanzania-2016,0.0
1_2,1,2,6-10,6-10,5 or less,501.0,11.0,46.0,12.0,1.0,2.0,Other,Secondary,Certificate,Male,Younger than 25,0.0,Yes,,Yes,,2.0,2.0,Other,Secondary,Certificate,After 2000,Male,Younger than 25,Yes,,Consultation/visiting patient,Yes,1.0,1.0,Tanzania-2016,0.0
1_1,1,1,6-10,6-10,5 or less,501.0,11.0,46.0,12.0,1.0,1.0,Other,Secondary,Certificate,0.0,25-34,0.0,Yes,,Yes,,1.0,1.0,Other,Secondary,Certificate,After 2000,0.0,25-34,Yes,,Consultation/visiting patient,Yes,1.0,1.0,Tanzania-2016,0.0
1_6,1,6,6-10,6-10,5 or less,501.0,11.0,46.0,12.0,1.0,6.0,Other,Secondary,Certificate,Male,25-34,0.0,0.0,Authorised absence (permision/leave),Yes,,6.0,6.0,Other,Secondary,Certificate,After 2000,Male,25-34,Yes,,Consultation/visiting patient,0.0,1.0,1.0,Tanzania-2016,0.0
10_8,10,8,11-50,11-50,Over 5,503.0,12.0,8.0,13.0,4.0,8.0,Nurse,Secondary,Diploma,0.0,25-34,0.0,0.0,Training/seminar/meeting,Yes,,6.0,8.0,Nurse,Secondary,Diploma,After 2000,0.0,25-34,0.0,Authorised absence (permision/leave),,,1.0,1.0,Tanzania-2016,0.5
10_5,10,5,11-50,11-50,Over 5,503.0,12.0,8.0,13.0,4.0,5.0,Nurse,Secondary,Certificate,0.0,25-34,0.0,Yes,,No,,,,,,,,,,,,,,1.0,,Tanzania-2016,0.5
10_13,10,13,11-50,11-50,Over 5,503.0,12.0,8.0,13.0,4.0,13.0,Other,Primary,None,0.0,35-44,0.0,0.0,Official mission,Yes,,3.0,13.0,Other,Primary,None,After 2000,0.0,35-44,0.0,"On call (pre on call, post on call)",,,1.0,1.0,Tanzania-2016,0.5
10_18,10,18,11-50,11-50,Over 5,503.0,12.0,8.0,13.0,4.0,18.0,Other,Secondary,Certificate,Male,35-44,0.0,Yes,,No,,,,,,,,,,,,,,1.0,,Tanzania-2016,0.5
10_17,10,17,11-50,11-50,Over 5,503.0,12.0,8.0,13.0,4.0,17.0,Nurse,Secondary,Diploma,Male,25-34,0.0,Yes,,No,,,,,,,,,,,,,,1.0,,Tanzania-2016,0.5
10_11,10,11,11-50,11-50,Over 5,503.0,12.0,8.0,13.0,4.0,11.0,Clinical Officer,Secondary,Certificate,Male,45 or older,Yes,Yes,,Yes,Yes,4.0,11.0,Clinical Officer,Secondary,Certificate,Before 1990,Male,45 or older,0.0,"On call (pre on call, post on call)",,,1.0,1.0,Tanzania-2016,0.5
10_16,10,16,11-50,11-50,Over 5,503.0,12.0,8.0,13.0,4.0,16.0,Doctor,Secondary,Diploma,0.0,35-44,0.0,Yes,,No,,,,,,,,,,,,,,1.0,,Tanzania-2016,0.5
10_15,10,15,11-50,11-50,Over 5,503.0,12.0,8.0,13.0,4.0,15.0,Nurse,Secondary,Certificate,0.0,35-44,0.0,0.0,Training/seminar/meeting,Yes,,7.0,15.0,Nurse,Secondary,Certificate,After 2000,0.0,35-44,Yes,,Consultation/visiting patient,0.0,1.0,1.0,Tanzania-2016,0.5
10_2,10,2,11-50,11-50,Over 5,503.0,12.0,8.0,13.0,4.0,2.0,Other,Primary,Certificate,0.0,45 or older,0.0,Yes,,Yes,,2.0,2.0,Other,Primary,None,Before 1990,0.0,45 or older,Yes,,Consultation/visiting patient,0.0,1.0,1.0,Tanzania-2016,0.5
10_1,10,1,11-50,11-50,Over 5,503.0,12.0,8.0,13.0,4.0,1.0,Other,Primary,None,Male,45 or older,0.0,Yes,,No,,,,,,,,,,,,,,1.0,,Tanzania-2016,0.5
10_10,10,10,11-50,11-50,Over 5,503.0,12.0,8.0,13.0,4.0,10.0,Clinical Officer,Secondary,Certificate,Male,25-34,0.0,0.0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1.0,,Tanzania-2016,0.5
