unique_id,fac_id,staff_id,q110,q111,q112,q113,q114,q115,q115_b_other_specify,q117,q118,q119,q120,q120_b_other_specify,q121,q121_b_other_specify,q122,q116,has_roster,has_absentee,country,absence_rate
10048_1,10048,1,Nurse,0.0,45 or older,YES,YES,, ,Nurse,0.0,YES,, ,ARRANGING FOR TESTS OR CONSULTATIONS, ,0.0,1.0,1,1.0,Kenya-2012,0.0
10048_2,10048,2,Other,MALE,45 or older,0.0,YES,, ,Other,MALE,YES,, ,ARRANGING FOR TESTS OR CONSULTATIONS, ,0.0,2.0,1,1.0,Kenya-2012,0.0
10048_3,10048,3,Other,0.0,35-44,0.0,YES,, ,Other,0.0,YES,, ,COMPLETING ENCOUNTER FORM OR BILLING SHEET, ,0.0,3.0,1,1.0,Kenya-2012,0.0
10048_4,10048,4,Nurse,MALE,25-34,YES,YES,, ,Nurse,MALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,0.0,4.0,1,1.0,Kenya-2012,0.0
10049_1,10049,1,Nurse,0.0,45 or older,YES,YES,, ,,,,,,,,,,1,,Kenya-2012,0.7
10049_2,10049,2,Clinical Officer,MALE,25-34,YES,0.0,APPROVED ABSENCE, ,Clinical Officer,MALE,0.0,OFFICIAL MISSION, ,, ,,2.0,1,1.0,Kenya-2012,0.7
10049_3,10049,3,Nurse,0.0,25-34,YES,YES,, ,,,,,,,,,,1,,Kenya-2012,0.7
10049_4,10049,4,Nurse,0.0,45 or older,YES,0.0,APPROVED ABSENCE, ,Nurse,0.0,0.0,APPROVED ABSENCE, ,, ,,4.0,1,1.0,Kenya-2012,0.7
10049_5,10049,5,Nurse,0.0,45 or older,YES,0.0,OFFICIAL MISSION, ,Nurse,0.0,0.0,APPROVED ABSENCE, ,, ,,5.0,1,1.0,Kenya-2012,0.7
10049_6,10049,6,Nurse,0.0,35-44,YES,YES,, ,Nurse,0.0,0.0,12.0, ,, ,,6.0,1,1.0,Kenya-2012,0.7
10049_7,10049,7,Nurse,0.0,25-34,YES,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.7
10049_8,10049,8,Nurse,0.0,25-34,YES,0.0,12.0, ,Nurse,0.0,0.0,12.0, ,, ,,8.0,1,1.0,Kenya-2012,0.7
10049_9,10049,9,Nurse,0.0,35-44,YES,0.0,12.0, ,Nurse,0.0,YES,, ,INTERPRETING LABORATORY WORK OR RADIOGRAPHS, ,0.0,9.0,1,1.0,Kenya-2012,0.7
10049_10,10049,10,Nurse,0.0,25-34,YES,0.0,MISSING,FURTHER STUDIES,,,,,,,,,,1,,Kenya-2012,0.7
10049_11,10049,11,Nurse,0.0,25-34,YES,YES,, ,Nurse,0.0,0.0,12.0, ,, ,,11.0,1,1.0,Kenya-2012,0.7
10049_12,10049,12,Other,MALE,25-34,0.0,YES,, ,Other,MALE,0.0,OTHER (SPECIFY), ,, ,,12.0,1,1.0,Kenya-2012,0.7
10049_13,10049,13,Nurse,0.0,25-34,YES,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.7
10049_14,10049,14,Other,MALE,25-34,0.0,0.0,OFFICIAL MISSION, ,Other,MALE,YES,, ,ARRANGING FOR TESTS OR CONSULTATIONS, ,0.0,14.0,1,1.0,Kenya-2012,0.7
10049_15,10049,15,Other,0.0,45 or older,0.0,YES,, ,Other,0.0,YES,, ,WAITING FOR PATIENT TO UNDRESS, ,0.0,15.0,1,1.0,Kenya-2012,0.7
10049_16,10049,16,Other,MALE,45 or older,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.7
10093_1,10093,1,Clinical Officer,0.0,25-34,YES,YES,, ,Clinical Officer,0.0,0.0,APPROVED ABSENCE, ,, ,,1.0,1,1.0,Kenya-2012,0.5
10093_2,10093,2,Nurse,MALE,25-34,YES,YES,, ,Nurse,MALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,0.0,2.0,1,1.0,Kenya-2012,0.5
10093_3,10093,3,Other,0.0,35-44,0.0,0.0,OFFICIAL MISSION, ,Other,0.0,YES,, ,WAITING FOR PATIENT TO UNDRESS, ,0.0,3.0,1,1.0,Kenya-2012,0.5
10093_4,10093,4,Other,0.0,25-34,0.0,YES,, ,Other,0.0,0.0,APPROVED ABSENCE, ,, ,,4.0,1,1.0,Kenya-2012,0.5
10109_1,10109,1,Nurse,0.0,Younger than 25,YES,YES,, ,Nurse,0.0,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,0.0,1.0,1,1.0,Kenya-2012,0.0
10109_2,10109,2,Other,0.0,25-34,0.0,YES,, ,Other,0.0,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,0.0,2.0,1,1.0,Kenya-2012,0.0
10171_1,10171,1,Doctor,0.0,25-34,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.5
10171_2,10171,2,Doctor,MALE,25-34,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.5
10171_3,10171,3,Other,MALE,45 or older,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.5
10171_4,10171,4,Other,MALE,25-34,0.0,YES,, ,Other,MALE,0.0,NOT APPROVED ABSENCE, ,, ,,4.0,1,1.0,Kenya-2012,0.5
10171_5,10171,5,Other,MALE,35-44,0.0,YES,, ,Other,MALE,0.0,IN TRAINING/SEMINAR, ,, ,,5.0,1,1.0,Kenya-2012,0.5
10171_6,10171,6,Other,MALE,25-34,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.5
10171_7,10171,7,Other,0.0,25-34,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.5
10171_8,10171,8,Other,MALE,35-44,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.5
