fac_id,ipw2,has_weights,q1,q2,q7,q8,q11,q15,q16,q20,q24,q30,q31,q46,q47b,q48,q59,q50,q55b,q56a,q56b,q57a,q57b,q58a,q58b,q59a,q59b,q60a,q60b,q61a,q61b,q62a,q62b,q63a,q63b,q64a,q64,q66,q67,q68,q69,q70,q71,q72,q73,q74,q75,q76,q77,q78,q79,q80,q81,q82,q83,q84,q85,q86,q87,q88,q89,q90,q91,q92,q93,q94,q95,q96,q97,q98,q99,q100,q101,q102,q103,q104,q105,q106,q3,q4,q5,has_facility,country,q47a
10048,6.0557494,1,YES, ,10048,Rural,103,103,QUESTIONNAIRE COMPLETED,Private,Health Post,50 or less,2001-3000,0.0,0.0,0.0,0.0,0.0,YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),0.0,,0.0,,0.0,,AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,NOT AVAILABLE TODAY,AT LEAST ONE OBSERVED (AND NON-EXPIRED),NOT AVAILABLE TODAY,NEVER AVAILABLE,NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),YES,NO,0.0,NEVER AVAILABLE,NEVER AVAILABLE,NEVER AVAILABLE,NEVER AVAILABLE,NEVER AVAILABLE,YES BUT NOT OBSERVED,YES BUT NOT OBSERVED,0.0,YES BUT NOT OBSERVED,YES BUT NOT OBSERVED,YES AND OBSERVED,0.0,1,23,4,1,Kenya-2012,0.0
10049,10.092916,1,YES, ,10049,Rural,103,103,QUESTIONNAIRE COMPLETED,Public,Health Center,50 or less,Over 3000,0.0,NO,0.0,NO,NO,YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (OBSERVED),0.0,,0.0,,0.0,,AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),YES,NO,0.0,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),YES BUT NOT OBSERVED,YES BUT NOT OBSERVED,YES BUT NOT OBSERVED,YES BUT NOT OBSERVED,YES BUT NOT OBSERVED,YES AND OBSERVED,YES AND OBSERVED,1,23,4,1,Kenya-2012,NO
10093,39.967945,1,YES, ,10093,Rural,103,103,QUESTIONNAIRE COMPLETED,Private,Health Post,50 or less,1001-2000,0.0,NO,0.0,NO,NO,YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (OBSERVED),0.0,,0.0,,0.0,,NEVER AVAILABLE,NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),NOT AVAILABLE TODAY,NEVER AVAILABLE,NEVER AVAILABLE,AT LEAST ONE OBSERVED (BUT EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,AT LEAST ONE OBSERVED (BUT EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,NOT AVAILABLE TODAY,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),NOT AVAILABLE TODAY,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (BUT EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),YES,NO,0.0,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),NOT AVAILABLE TODAY,AT LEAST ONE OBSERVED (AND NON-EXPIRED),YES BUT NOT OBSERVED,YES BUT NOT OBSERVED,YES BUT NOT OBSERVED,YES BUT NOT OBSERVED,YES BUT NOT OBSERVED,YES AND OBSERVED,YES AND OBSERVED,1,25,4,1,Kenya-2012,NO
10109,39.967945,1,YES, ,10109,Rural,104,104,QUESTIONNAIRE COMPLETED,Private,Health Post,50 or less,0-500,0.0,0.0,0.0,0.0,0.0,YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),0.0,,YES (NOT OBSERVED),YES (NOT OBSERVED),0.0,,YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),0.0,0.0,,0.0,,0.0,,NEVER AVAILABLE,NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,NEVER AVAILABLE,NEVER AVAILABLE,NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (BUT EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (BUT EXPIRED),0.0,,,NEVER AVAILABLE,NEVER AVAILABLE,NEVER AVAILABLE,NEVER AVAILABLE,NEVER AVAILABLE,YES BUT NOT OBSERVED,0.0,0.0,0.0,YES BUT NOT OBSERVED,YES AND OBSERVED,0.0,1,25,4,1,Kenya-2012,0.0
10171,1.5,1,YES, ,10171,Rural,44,43,QUESTIONNAIRE COMPLETED,Public,Hospital,Over 50,Over 3000,0.0,NO,0.0,NO,0.0,YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),0.0,,YES (NOT OBSERVED),YES (NOT OBSERVED),0.0,,AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,NEVER AVAILABLE,NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),NOT AVAILABLE TODAY,NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),YES,NO,0.0,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),NOT AVAILABLE TODAY,AT LEAST ONE OBSERVED (AND NON-EXPIRED),YES BUT NOT OBSERVED,YES BUT NOT OBSERVED,YES BUT NOT OBSERVED,YES BUT NOT OBSERVED,YES BUT NOT OBSERVED,YES AND OBSERVED,YES AND OBSERVED,1,56,11,1,Kenya-2012,NO
10185,2.2857144,1,YES, ,10185,Rural,44,44,QUESTIONNAIRE COMPLETED,Private,Health Post,50 or less,501-1000,0.0,NO,0.0,NO,NO,YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),0.0,YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),0.0,,YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),0.0,,0.0,,0.0,,NEVER AVAILABLE,NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),0.0,,,NOT AVAILABLE TODAY,NOT AVAILABLE TODAY,NOT AVAILABLE TODAY,NOT AVAILABLE TODAY,NOT AVAILABLE TODAY,YES BUT NOT OBSERVED,YES BUT NOT OBSERVED,YES BUT NOT OBSERVED,YES BUT NOT OBSERVED,YES BUT NOT OBSERVED,YES AND OBSERVED,0.0,1,55,11,1,Kenya-2012,NO
10213,224.06271,1,YES, ,10213,Rural,103,103,QUESTIONNAIRE COMPLETED,Public,Health Post,50 or less,2001-3000,0.0,NO,0.0,0.0,0.0,YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (OBSERVED),0.0,,0.0,,YES (NOT OBSERVED),YES (OBSERVED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,NEVER AVAILABLE,NEVER AVAILABLE,NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),NOT AVAILABLE TODAY,NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),NOT AVAILABLE TODAY,AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,AT LEAST ONE OBSERVED (BUT EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),YES,NO,0.0,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),YES BUT NOT OBSERVED,YES BUT NOT OBSERVED,YES BUT NOT OBSERVED,YES BUT NOT OBSERVED,YES BUT NOT OBSERVED,YES AND OBSERVED,YES AND OBSERVED,1,23,4,1,Kenya-2012,NO
10223,4.0,1,YES, ,10223,Rural,44,44,QUESTIONNAIRE COMPLETED,Public,Health Post,50 or less,0-500,0.0,NO,0.0,0.0,0.0,YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),0.0,,YES (NOT OBSERVED),YES (NOT OBSERVED),0.0,,0.0,,0.0,,YES (NOT OBSERVED),YES (NOT OBSERVED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,NEVER AVAILABLE,NEVER AVAILABLE,NEVER AVAILABLE,NEVER AVAILABLE,NEVER AVAILABLE,NOT AVAILABLE TODAY,NEVER AVAILABLE,NEVER AVAILABLE,NOT AVAILABLE TODAY,NOT AVAILABLE TODAY,NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),NOT AVAILABLE TODAY,AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,NOT AVAILABLE TODAY,NOT AVAILABLE TODAY,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),YES,NO,0.0,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),YES BUT NOT OBSERVED,YES BUT NOT OBSERVED,YES BUT NOT OBSERVED,YES BUT NOT OBSERVED,YES BUT NOT OBSERVED,YES AND OBSERVED,YES AND OBSERVED,1,22,11,1,Kenya-2012,NO
10320,2.2857144,1,YES, ,10320,Rural,44,44,QUESTIONNAIRE COMPLETED,Private,Health Post,50 or less,0-500,0.0,0.0,0.0,0.0,0.0,YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),0.0,YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),0.0,,0.0,,0.0,,NEVER AVAILABLE,NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),NOT AVAILABLE TODAY,NEVER AVAILABLE,NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),0.0,,0.0,NOT AVAILABLE TODAY,NOT AVAILABLE TODAY,NOT AVAILABLE TODAY,NOT AVAILABLE TODAY,NOT AVAILABLE TODAY,YES BUT NOT OBSERVED,YES BUT NOT OBSERVED,0.0,YES BUT NOT OBSERVED,YES BUT NOT OBSERVED,YES AND OBSERVED,0.0,1,55,11,1,Kenya-2012,0.0
10419,2.1666667,1,YES, ,10419,Rural,44,44,QUESTIONNAIRE COMPLETED,Public,Health Center,50 or less,1001-2000,0.0,NO,0.0,0.0,0.0,YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),YES (NOT OBSERVED),0.0,,0.0,,0.0,,AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,NEVER AVAILABLE,NEVER AVAILABLE,NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,NEVER AVAILABLE,NOT AVAILABLE TODAY,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),NEVER AVAILABLE,NEVER AVAILABLE,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),YES,NO,0.0,AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),AT LEAST ONE OBSERVED (AND NON-EXPIRED),YES BUT NOT OBSERVED,YES BUT NOT OBSERVED,YES BUT NOT OBSERVED,YES BUT NOT OBSERVED,YES BUT NOT OBSERVED,YES AND OBSERVED,YES AND OBSERVED,1,55,11,1,Kenya-2012,NO
