fac_id,finalwt,ipw,absprobsamp,abshwkwt,probvign,hwkvignwt,has_weights,h1csqa1,h1csqa2a,h1csqa2b,h1csqa2c,h1csqb1,h1csqb2,h1csqb4,h1csqb5,h1csqb9,h1csqb12,h1csqb13H,h1csqb13M,h1csqb14H,h1csqb14M,h1csqb16,h1csqb17,h1sa5,h1sa9,h1sa17,h1sa18,h1sa19,h1sa20,h1sa21,h1sa22,h1sa26,h1sa31,h1sb50,h1sb51a,h1sb52,h1sb53,h1sb54,h1sb59a,h1sc59b,h1sc60a,h1sc60b,h1sc61a,h1sc61b,h1sc62a,h1sc62b,h1sc63a,h1sc63b,h1sc64a,h1sc64b,h1sc65a,h1sc65b,h1sc66a,h1sc66b,h1sc67a,h1sc67b,h1sc68a,h1sc68b,h1sc69a,h1sc69b,h1sc70a,h1sc70b,h1sc71a,h1sc71b,h1sc72a,h1sc72b,h1sc73a,h1sc73b,h1sc74a,h1sc74b,h1sc75a,h1sc75b,h1sd76,h1sd77,h1sd79,h1sd80,h1sd81,h1sd82,h1sd83,h1sd84,h1sd85,h1sd86,h1sd87,h1sd88,h1sd89,h1sd90,h1sd91,h1sd92,h1sd93,h1sd94,h1sd95,h1sd96,h1sd97,h1sd98,h1sd99,h1sd100,h1sd101,h1sd102,h1sd103,h1sd104,h1sd105,h1sd106,h1sd107,h1sd108,h1sd109,h1sd110,h1sd111,h1sd112,h1sd113,h1sd114,h1sd115,h1sd116,h1sd117,h1sd118,h1sd119,h1sd120,h1sd121,h1sd122,h1sd123,h1sd124,h2sa200,h2sa201,h1csqb6,has_facility,country,h1sb51b
1,23.45625,23.45625,1.0,23.45625,0.33333334,70.368744,1,Yes,,,,1,104,1,3,Rural,901,11.0,30.0,13.0,45.0,901.0,,Public,Health Post,Yes,Yes,Yes,0.0,0.0,0.0,50 or less,1001-2000,0.0,0.0,0.0,0.0,0.0,Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),0.0,,0.0,,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,Yes (not observed),Yes (not observed),0.0,,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (BUT expired),At least one observed (BUT expired),Never available,Not recommended at this level,Never available,Not recommended at this level,Never available,Never available,Not available today,Not recommended at this level,Not available today,Not recommended at this level,Not recommended at this level,Not available today,At least one observed (AND non-expired),Never available,Not available today,At least one observed (AND non-expired),Not recommended at this level,Not recommended at this level,Not available today,At least one observed (AND non-expired),Yes,No,Yes,Yes,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",5 or less,5 or less,240.0,1,Uganda-2013,0.0
10,12.049419,12.049419,0.0,,0.15384616,78.32122,1,Yes,,,,1,108,1,6,Rural,803,10.0,15.0,14.0,11.0,,,Public,Health Center,Yes,Yes,Yes,0.0,Yes,0.0,50 or less,Over 3000,0.0,0.0,0.0,0.0,0.0,Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),0.0,,1.0,1.0,0.0,,0.0,,1.0,1.0,0.0,,0.0,,0.0,,Yes (not observed),Yes (not observed),0.0,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Never available,Not available today,Never available,At least one observed (AND non-expired),Not available today,Not available today,Never available,At least one observed (AND non-expired),Never available,Never available,Not available today,At least one observed (AND non-expired),Never available,Not available today,At least one observed (AND non-expired),Never available,Never available,Not available today,Not available today,Yes,No,Yes,0.0,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",11-50,5 or less,155.0,1,Uganda-2013,0.0
100,9.8694315,9.8694315,,,,,1,Yes,,,,2,208,1,7,Rural,602,13.0,14.0,15.0,30.0,603.0,Incomplete questionnaire,Private,Health Post,0.0,0.0,0.0,0.0,0.0,0.0,Over 50,0-500,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,Yes (not observed),Yes (not observed),0.0,,0.0,,0.0,,0.0,,0.0,,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,Not available today,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Never available,At least one observed (AND non-expired),Not recommended at this level,Not recommended at this level,Never available,Not recommended at this level,Not recommended at this level,At least one observed (AND non-expired),Never available,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",5 or less,5 or less,312.0,1,Uganda-2013,0.0
101,8.490406,8.490406,1.0,8.490406,1.0,8.490406,1,Yes,,,,2,212,3,2,Rural,601,8.0,14.0,10.0,23.0,603.0,Questionnaire completed,Public,Health Post,0.0,0.0,0.0,0.0,0.0,0.0,Over 50,Over 3000,0.0,0.0,0.0,0.0,0.0,0.0,,Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Not recommended at this level,Not available today,Not recommended at this level,Never available,Not available today,At least one observed (AND non-expired),0.0,,,,Yes,,,,,,0.0,0.0,"Yes, but no observed",0.0,"Yes, but no observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",5 or less,5 or less,341.0,1,Uganda-2013,0.0
103,16.922924,16.922924,1.0,16.922924,1.0,16.922924,1,Yes,,,,2,212,3,3,Rural,603,8.0,12.0,10.0,44.0,602.0,Questionnaire completed,Public,Health Post,0.0,0.0,0.0,0.0,0.0,0.0,Over 50,2001-3000,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,Yes (not observed),0.0,0.0,,Yes (not observed),0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not recommended at this level,Not recommended at this level,Not available today,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Never available,Not recommended at this level,At least one observed (BUT expired),Not recommended at this level,Not recommended at this level,Not recommended at this level,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Not recommended at this level,Not available today,Not recommended at this level,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),0.0,,,,Yes,,,,,,0.0,0.0,"Yes, but no observed",0.0,"Yes, but no observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",5 or less,5 or less,97.0,1,Uganda-2013,0.0
104,10.274007,10.274007,1.0,10.274007,0.33333334,30.822021,1,Yes,,,,2,212,3,4,Rural,601,13.0,42.0,16.0,55.0,603.0,Questionnaire completed,Public,Health Post,0.0,0.0,0.0,0.0,0.0,0.0,50 or less,2001-3000,0.0,0.0,0.0,0.0,0.0,Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),0.0,,Yes (not observed),Yes (not observed),0.0,,0.0,,1.0,1.0,0.0,,1.0,1.0,0.0,,0.0,,0.0,,0.0,,Yes (not observed),0.0,0.0,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not available today,At least one observed (AND non-expired),Never available,Not recommended at this level,Not available today,Not recommended at this level,Never available,Not available today,At least one observed (AND non-expired),0.0,,,,Yes,Not available today,Not available today,Not available today,Not available today,Not available today,0.0,"Yes, but no observed","Yes, but no observed","Yes, but no observed",0.0,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",5 or less,5 or less,227.0,1,Uganda-2013,0.0
105,6.7476997,6.7476997,1.0,6.7476997,0.33333334,20.2431,1,Yes,,,,2,212,3,5,Rural,601,12.0,12.0,15.0,4.0,602.0,Questionnaire completed,Public,Health Post,0.0,0.0,0.0,0.0,0.0,0.0,Over 50,2001-3000,0.0,0.0,0.0,0.0,0.0,Yes (not observed),0.0,0.0,,Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,Yes (not observed),0.0,0.0,,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Not recommended at this level,At least one observed (AND non-expired),Not recommended at this level,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),0.0,,,,Yes,,,,,,"Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",5 or less,5 or less,222.0,1,Uganda-2013,0.0
106,6.7476997,6.7476997,1.0,6.7476997,0.6666667,10.12155,1,Yes,,,,2,212,3,5,Rural,602,8.0,48.0,11.0,41.0,603.0,Questionnaire completed,Public,Health Post,0.0,0.0,0.0,0.0,0.0,0.0,Over 50,Over 3000,0.0,0.0,0.0,0.0,0.0,Yes (not observed),0.0,Yes (not observed),0.0,0.0,,0.0,,Yes (not observed),0.0,Yes (not observed),0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,Yes (not observed),0.0,0.0,,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Not recommended at this level,Not available today,Not recommended at this level,Never available,Not available today,At least one observed (AND non-expired),0.0,,,,,Not available today,Not available today,Not available today,Not available today,Never available,0.0,0.0,"Yes, but no observed",0.0,"Yes, but no observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",5 or less,5 or less,256.0,1,Uganda-2013,0.0
107,12.758341,12.758341,1.0,12.758341,0.5,25.516682,1,Yes,,,,2,212,3,7,Rural,603,12.0,42.0,14.0,22.0,602.0,Questionnaire completed,Public,Health Post,0.0,0.0,0.0,0.0,0.0,0.0,Over 50,Over 3000,0.0,0.0,0.0,0.0,0.0,0.0,,Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),0.0,,0.0,,0.0,,0.0,,0.0,,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not recommended at this level,At least one observed (AND non-expired),Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,At least one observed (AND non-expired),At least one observed (AND non-expired),Not recommended at this level,Not recommended at this level,Not available today,Not recommended at this level,Never available,At least one observed (AND non-expired),Not available today,0.0,,,,,,,,,,0.0,0.0,"Yes, but no observed",0.0,"Yes, but no observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",5 or less,5 or less,149.0,1,Uganda-2013,0.0
108,12.758341,12.758341,1.0,12.758341,0.5,25.516682,1,Yes,,,,2,212,3,7,Rural,601,15.0,2.0,17.0,48.0,602.0,Questionnaire completed,Private,Health Post,0.0,0.0,0.0,0.0,0.0,0.0,Over 50,0-500,0.0,0.0,0.0,0.0,0.0,0.0,,Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,Never available,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Not recommended at this level,Not recommended at this level,At least one observed (AND non-expired),Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,At least one observed (AND non-expired),Not recommended at this level,Not recommended at this level,At least one observed (AND non-expired),Not recommended at this level,Not recommended at this level,At least one observed (AND non-expired),Not available today,Not available today,Not available today,At least one observed (AND non-expired),Not recommended at this level,Never available,At least one observed (AND non-expired),Not available today,0.0,,,,Yes,,,,,,0.0,0.0,"Yes, but no observed",0.0,"Yes, but no observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,"Yes,observed",5 or less,5 or less,278.0,1,Uganda-2013,0.0
