unique_id,fac_id,staff_id,h2sa203,h2sa204,h2sa205,h2sa206,h2sa207,h2sa208,h2sa208o,h2sa209,h2bID,h2b211,h2b212,h2b213,h2b214,h2b215,h2b215o,h2b216,h2b216o,h2b217,has_roster,has_absentee,country,absence_rate
1_2,1,2,Nurse,Male,Younger than 25,Yes,0.0,In training/seminar,,Yes,2.0,2.0,Nurse,Male,0.0,Not approved Absence,,,,,1,1.0,Uganda-2013,0.6666667
1_3,1,3,Other,0.0,25-34,Yes,0.0,Sick/maternity,,Yes,3.0,3.0,Other,0.0,Yes,Sick/maternity,,,,,1,1.0,Uganda-2013,0.6666667
1_1,1,1,Nurse,0.0,35-44,Yes,Yes,,,Yes,1.0,1.0,Nurse,0.0,0.0,Other (to specify),ON AN EMERGENCY AT A NEARBY POLICE POST,,,,1,1.0,Uganda-2013,0.6666667
10_4,10,4,Nurse,0.0,45 or older,Yes,Yes,,,Yes,,,,,,,,,,,1,,Uganda-2013,
10_7,10,7,Other,0.0,45 or older,Yes,Yes,,,Yes,,,,,,,,,,,1,,Uganda-2013,
10_2,10,2,Nurse,0.0,35-44,0.0,Yes,,,No,,,,,,,,,,,1,,Uganda-2013,
10_3,10,3,Nurse,0.0,35-44,Yes,0.0,12.0,,Yes,,,,,,,,,,,1,,Uganda-2013,
10_12,10,12,Other,Male,45 or older,0.0,0.0,Official mission,,No,,,,,,,,,,,1,,Uganda-2013,
10_6,10,6,Other,0.0,35-44,Yes,0.0,12.0,,Yes,,,,,,,,,,,1,,Uganda-2013,
10_9,10,9,Nurse,0.0,25-34,0.0,Yes,,,No,,,,,,,,,,,1,,Uganda-2013,
10_5,10,5,Nurse,0.0,35-44,Yes,0.0,Approved absence,,Yes,,,,,,,,,,,1,,Uganda-2013,
10_13,10,13,Clinical Officer,0.0,25-34,Yes,Yes,,,Yes,,,,,,,,,,,1,,Uganda-2013,
10_8,10,8,Other,0.0,25-34,Yes,0.0,12.0,,Yes,,,,,,,,,,,1,,Uganda-2013,
10_10,10,10,Other,0.0,25-34,0.0,0.0,12.0,,No,,,,,,,,,,,1,,Uganda-2013,
10_11,10,11,Other,Male,25-34,0.0,Yes,,,No,,,,,,,,,,,1,,Uganda-2013,
10_1,10,1,Clinical Officer,Male,35-44,Yes,0.0,In training/seminar,,Yes,,,,,,,,,,,1,,Uganda-2013,
101_1,101,1,Other,Male,45 or older,Yes,,,,Yes,1.0,1.0,Other,Male,0.0,Official mission,,,,,1,1.0,Uganda-2013,1.0
103_1,103,1,Other,Male,35-44,Yes,Yes,,,Yes,1.0,1.0,Other,Male,Yes,,,Interpreting laboratory work or radiographs,SEATED WAITING FOR PATIENTS,Yes,1,1.0,Uganda-2013,0.0
104_2,104,2,Other,0.0,35-44,Yes,0.0,Sick/maternity,,No,1.0,2.0,Other,0.0,0.0,Sick/maternity,,,,,1,1.0,Uganda-2013,0.6666667
104_1,104,1,Nurse,Male,45 or older,Yes,0.0,Other (to specify),PROCESSING RETIREMENT,No,2.0,1.0,Nurse,Male,0.0,Other (to specify),PROCESSING FOR RETIREMENT,,,,1,1.0,Uganda-2013,0.6666667
104_3,104,3,Other,0.0,45 or older,Yes,Yes,,,Yes,3.0,3.0,Other,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.6666667
105_3,105,3,Other,Male,25-34,Yes,0.0,Approved absence,,No,2.0,3.0,Other,Male,0.0,Approved absence,,,,,1,1.0,Uganda-2013,0.6666667
105_2,105,2,Nurse,Male,25-34,Yes,0.0,12.0,,No,1.0,2.0,Nurse,Male,0.0,Approved absence,,,,,1,1.0,Uganda-2013,0.6666667
105_1,105,1,Nurse,0.0,25-34,Yes,Yes,,,Yes,3.0,1.0,Nurse,0.0,Yes,,,Completing encounter form or billing sheet,,Yes,1,1.0,Uganda-2013,0.6666667
