fac_id,staff_id,m2saq1,m2saq2,m2saq3,m2q5_c,m2q6_hr,m2q6_mn,m2q7_hr,m2q7_mn,m2saq4,m2saq7,m2saq8,m2saq9,m2saq10,m2saq11,m2saq12,m2saq13,m2saq14,m2saq15,m2saq16,m2sbq1,m2sbq3,m2sbq5,m2sbq6,m2sbq7,m2sbq8,m2sbq9,m2sbq10,m2sbq11,m2sbq12,m2sbq13,m2sbq14
1,1,5 or less,5 or less,5 or less,703,9,15,9,30,1,Clinical Officer,Secondary,Diploma,Male,45 or older,Yes,Yes,,Yes,Yes,1.0,1.0,Clinical Officer,Secondary,Diploma,Before 1990,Male,45 or older,Yes,,Consultation/visiting patient,No
1,2,5 or less,5 or less,5 or less,703,9,15,9,30,2,Other,Secondary,Certificate,Female,Younger than 25,No,Yes,,Yes,,2.0,2.0,Other,Secondary,Certificate,After 2000,Female,Younger than 25,Yes,,Consultation/visiting patient,No
1,3,5 or less,5 or less,5 or less,703,9,15,9,30,3,Other,Secondary,Certificate,Female,Younger than 25,No,Yes,,Yes,,3.0,3.0,Other,Secondary,Certificate,After 2000,Female,Younger than 25,Yes,,Consultation/visiting patient,No
2,1,5 or less,5 or less,5 or less,702,13,30,14,0,1,Clinical Officer,Secondary,Diploma,Male,45 or older,Yes,Yes,,Yes,Yes,1.0,1.0,Clinical Officer,Secondary,Diploma,Before 1990,Male,45 or older,Yes,,Consultation/visiting patient,No
2,2,5 or less,5 or less,5 or less,702,13,30,14,0,2,Other,Secondary,Certificate,Male,45 or older,No,Yes,,Yes,,2.0,2.0,Other,Secondary,Certificate,In the 1990s,Male,45 or older,Yes,,Consultation/visiting patient,No
3,1,6-10,6-10,5 or less,703,12,50,13,0,1,Doctor,Secondary,Diploma,Female,45 or older,Yes,Yes,,Yes,Yes,1.0,1.0,Doctor,Secondary,Diploma,Before 1990,Female,45 or older,Yes,,Consultation/visiting patient,No
3,2,6-10,6-10,5 or less,703,12,50,13,0,2,Clinical Officer,Secondary,Diploma,Male,45 or older,Yes,No,Authorised absence (permision/leave),Yes,,2.0,2.0,Clinical Officer,Secondary,Diploma,After 2000,Male,45 or older,Yes,,Consultation/visiting patient,No
3,3,6-10,6-10,5 or less,703,12,50,13,0,3,Other,Primary,Certificate,Female,45 or older,No,Yes,,Yes,,3.0,3.0,Other,Primary,Certificate,Before 1990,Female,45 or older,Yes,,Consultation/visiting patient,No
3,4,6-10,6-10,5 or less,703,12,50,13,0,4,Nurse,Secondary,Diploma,Female,35-44,No,Yes,,Yes,,4.0,4.0,Nurse,Secondary,Diploma,After 2000,Female,35-44,Yes,,Consultation/visiting patient,No
3,5,6-10,6-10,5 or less,703,12,50,13,0,5,Other,Secondary,Certificate,Male,25-34,No,Yes,,Yes,,5.0,5.0,Other,Secondary,Certificate,After 2000,Male,25-34,Yes,,Consultation/visiting patient,No
3,6,6-10,6-10,5 or less,703,12,50,13,0,6,Other,Secondary,Certificate,Female,35-44,No,Yes,,Yes,,6.0,6.0,Other,Secondary,Certificate,After 2000,Female,35-44,Yes,,Consultation/visiting patient,No
3,7,6-10,6-10,5 or less,703,12,50,13,0,7,Other,Secondary,Diploma,Female,25-34,No,Yes,,Yes,,7.0,7.0,Other,Secondary,Diploma,After 2000,Female,25-34,Yes,,Consultation/visiting patient,No
3,8,6-10,6-10,5 or less,703,12,50,13,0,8,Other,Primary,Certificate,Female,45 or older,No,Yes,,Yes,,8.0,8.0,Other,Primary,Certificate,Before 1990,Female,45 or older,Yes,,Consultation/visiting patient,No
4,1,5 or less,5 or less,5 or less,703,8,45,9,0,1,Other,Secondary,Certificate,Female,35-44,Yes,Yes,,Yes,Yes,1.0,1.0,Other,Secondary,Certificate,After 2000,Female,35-44,Yes,,Consultation/visiting patient,No
5,1,5 or less,5 or less,5 or less,701,13,52,14,5,1,Nurse,Primary,Certificate,Female,35-44,Yes,No,Authorised absence (permision/leave),Yes,,2.0,1.0,Nurse,Primary,Certificate,Before 1990,Female,35-44,Yes,,Consultation/visiting patient,No
5,2,5 or less,5 or less,5 or less,701,13,52,14,5,2,Nurse,Primary,Certificate,Male,45 or older,Yes,Yes,,Yes,Yes,1.0,2.0,Nurse,Primary,Certificate,Before 1990,Male,45 or older,Yes,,Consultation/visiting patient,No
7,1,5 or less,5 or less,5 or less,701,9,15,9,45,1,Clinical Officer,Primary,Diploma,Male,45 or older,Yes,Yes,,Yes,Yes,1.0,1.0,Clinical Officer,Primary,Diploma,Before 1990,Male,45 or older,Yes,,Consultation/visiting patient,No
7,2,5 or less,5 or less,5 or less,701,9,15,9,45,2,Nurse,Secondary,Diploma,Female,25-34,No,Yes,,Yes,,2.0,2.0,Nurse,Secondary,Diploma,After 2000,Female,25-34,Yes,,Consultation/visiting patient,No
7,3,5 or less,5 or less,5 or less,701,9,15,9,45,3,Other,Secondary,Certificate,Female,35-44,No,Yes,,Yes,,3.0,3.0,Other,Secondary,Certificate,After 2000,Female,35-44,No,Authorised absence (permision/leave),,
7,4,5 or less,5 or less,5 or less,701,9,15,9,45,4,Other,Primary,None,Male,45 or older,No,Yes,,Yes,,4.0,4.0,Other,Primary,None,Before 1990,Male,45 or older,Yes,,Consultation/visiting patient,No
8,1,5 or less,5 or less,5 or less,702,13,30,14,20,1,Nurse,Secondary,Diploma,Female,45 or older,Yes,Yes,,Yes,Yes,1.0,1.0,Nurse,Secondary,Diploma,Before 1990,Female,45 or older,Yes,,Consultation/visiting patient,No
8,2,5 or less,5 or less,5 or less,702,13,30,14,20,2,Doctor,Secondary,Certificate,Female,25-34,No,Yes,,Yes,,2.0,2.0,Other,Secondary,Certificate,After 2000,Female,25-34,No,Sickness/maternity,,
8,3,5 or less,5 or less,5 or less,702,13,30,14,20,3,Clinical Officer,Secondary,Certificate,Male,25-34,No,Yes,,Yes,,3.0,3.0,Other,Secondary,Certificate,After 2000,Male,25-34,No,Authorised absence (permision/leave),,
9,1,5 or less,5 or less,5 or less,701,8,40,8,48,1,Other,Secondary,Certificate,Female,35-44,Yes,No,Training/seminar/meeting,Yes,,1.0,1.0,Other,Secondary,Certificate,After 2000,Female,35-44,Yes,,Consultation/visiting patient,No
9,2,5 or less,5 or less,5 or less,701,8,40,8,48,2,Other,Secondary,Certificate,Female,25-34,Yes,Yes,,Yes,Yes,2.0,2.0,Other,Secondary,Certificate,After 2000,Female,25-34,Yes,,Consultation/visiting patient,No
10,1,11-50,6-10,5 or less,703,9,30,10,15,1,Clinical Officer,Secondary,Diploma,Male,35-44,Yes,Yes,,Yes,Yes,1.0,1.0,Clinical Officer,Secondary,Diploma,In the 1990s,Male,35-44,Yes,,Consultation/visiting patient,No
