fac_id,staff_id,q110_cadre,q111_gender,q112_age,q113_does_regularly_perform_outp,q114_is_currently_in_the_facilit,q115_reason_for_absence,q115_b_other_specify,q117_cadre,q118_gender,q119_currently_in_facility,q120_reason_for_absence,q120_b_other_specify,q121_current_activity,q121_b_other_specify,q122_experience_salary_delay,q116b
10048,1,Nurse,FEMALE,45 or older,YES,YES,, ,Nurse,FEMALE,YES,, ,LOOKING UP MEDICAL INFORMATION, ,NO,1.0
10048,2,Other,MALE,45 or older,NO,YES,, ,Other,MALE,YES,, ,LOOKING UP MEDICAL INFORMATION, ,NO,2.0
10048,3,Other,FEMALE,35-44,NO,YES,, ,Other,FEMALE,YES,, ,REVIEWING OR WRITING IN CART, ,NO,3.0
10048,4,Nurse,MALE,25-34,YES,YES,, ,Nurse,MALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,4.0
10049,1,Nurse,FEMALE,45 or older,YES,YES,, ,,,,,,,,,
10049,2,Clinical Officer,MALE,25-34,YES,NO,APPROVED ABSENCE, ,Clinical Officer,MALE,NO,OFFICIAL MISSION, ,, ,,2.0
10049,3,Nurse,FEMALE,25-34,YES,YES,, ,,,,,,,,,
10049,4,Nurse,FEMALE,45 or older,YES,NO,APPROVED ABSENCE, ,Nurse,FEMALE,NO,APPROVED ABSENCE, ,, ,,4.0
10049,5,Nurse,FEMALE,45 or older,YES,NO,OFFICIAL MISSION, ,Nurse,FEMALE,NO,APPROVED ABSENCE, ,, ,,5.0
10049,6,Nurse,FEMALE,35-44,YES,YES,, ,Nurse,FEMALE,NO,NOT HIS/HER SHIFT, ,, ,,6.0
10049,7,Nurse,FEMALE,25-34,YES,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10049,8,Nurse,FEMALE,25-34,YES,NO,NOT HIS/HER SHIFT, ,Nurse,FEMALE,NO,NOT HIS/HER SHIFT, ,, ,,8.0
10049,9,Nurse,FEMALE,35-44,YES,NO,NOT HIS/HER SHIFT, ,Nurse,FEMALE,YES,, ,OTHER (SPECIFY), ,NO,9.0
10049,10,Nurse,FEMALE,25-34,YES,NO,OTHER (SPECIFY),FURTHER STUDIES,,,,,,,,,
10049,11,Nurse,FEMALE,25-34,YES,YES,, ,Nurse,FEMALE,NO,NOT HIS/HER SHIFT, ,, ,,11.0
10049,12,Other,MALE,25-34,NO,YES,, ,Other,MALE,NO,DOING FIELDWORK, ,, ,,12.0
10049,13,Nurse,FEMALE,25-34,YES,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10049,14,Other,MALE,25-34,NO,NO,OFFICIAL MISSION, ,Other,MALE,YES,, ,LOOKING UP MEDICAL INFORMATION, ,NO,14.0
10049,15,Other,FEMALE,45 or older,NO,YES,, ,Other,FEMALE,YES,, ,PERFORMING LABORATORY WORK, ,NO,15.0
10049,16,Other,MALE,45 or older,NO,YES,, ,,,,,,,,,
10093,1,Clinical Officer,FEMALE,25-34,YES,YES,, ,Clinical Officer,FEMALE,NO,APPROVED ABSENCE, ,, ,,1.0
10093,2,Nurse,MALE,25-34,YES,YES,, ,Nurse,MALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,2.0
10093,3,Other,FEMALE,35-44,NO,NO,OFFICIAL MISSION, ,Other,FEMALE,YES,, ,PERFORMING LABORATORY WORK, ,NO,3.0
10093,4,Other,FEMALE,25-34,NO,YES,, ,Other,FEMALE,NO,APPROVED ABSENCE, ,, ,,4.0
10109,1,Nurse,FEMALE,Younger than 25,YES,YES,, ,Nurse,FEMALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,1.0
10109,2,Other,FEMALE,25-34,NO,YES,, ,Other,FEMALE,YES,, ,ARRANGING FOR TESTS OR CONSULTATIONS, ,NO,2.0
10171,1,Doctor,FEMALE,25-34,NO,YES,, ,,,,,,,,,
10171,2,Doctor,MALE,25-34,NO,YES,, ,,,,,,,,,
10171,3,Other,MALE,45 or older,NO,YES,, ,,,,,,,,,
10171,4,Other,MALE,25-34,NO,YES,, ,Other,MALE,NO,NOT APPROVED ABSENCE, ,, ,,4.0
10171,5,Other,MALE,35-44,NO,YES,, ,Other,MALE,NO,IN TRAINING/SEMINAR, ,, ,,5.0
10171,6,Other,MALE,25-34,NO,YES,, ,,,,,,,,,
10171,7,Other,FEMALE,25-34,NO,YES,, ,,,,,,,,,
10171,8,Other,MALE,35-44,NO,YES,, ,,,,,,,,,
10171,9,Other,MALE,35-44,NO,YES,, ,,,,,,,,,
10171,10,Clinical Officer,MALE,25-34,YES,YES,, ,,,,,,,,,
10171,11,Nurse,FEMALE,35-44,NO,YES,, ,,,,,,,,,
10171,12,Clinical Officer,MALE,35-44,YES,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10171,13,Clinical Officer,FEMALE,35-44,YES,NO,NOT HIS/HER SHIFT, ,Clinical Officer,FEMALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,13.0
10171,14,Clinical Officer,MALE,45 or older,YES,YES,, ,,,,,,,,,
10171,15,Nurse,MALE,45 or older,NO,YES,, ,Nurse,MALE,YES,, ,LOOKING UP MEDICAL INFORMATION, ,NO,15.0
10171,16,Nurse,FEMALE,25-34,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10171,17,Nurse,MALE,45 or older,NO,YES,, ,Nurse,MALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,17.0
10171,18,Nurse,MALE,35-44,NO,NO,APPROVED ABSENCE, ,,,,,,,,,
10171,19,Nurse,FEMALE,35-44,NO,YES,, ,Nurse,FEMALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,19.0
10171,20,Nurse,MALE,25-34,NO,NO,NOT HIS/HER SHIFT, ,Nurse,MALE,YES,, ,CONSULTATION WITH OTHER PHYSICIAN OR STAFF, ,NO,20.0
10171,21,Nurse,FEMALE,25-34,NO,NO,APPROVED ABSENCE, ,,,,,,,,,
10171,22,Nurse,MALE,25-34,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10171,23,Nurse,FEMALE,45 or older,NO,NO,APPROVED ABSENCE, ,,,,,,,,,
10171,24,Nurse,FEMALE,45 or older,NO,NO,APPROVED ABSENCE, ,,,,,,,,,
10171,25,Nurse,MALE,25-34,NO,NO,APPROVED ABSENCE, ,,,,,,,,,
10171,26,Nurse,FEMALE,,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10171,27,Nurse,FEMALE,,NO,NO,APPROVED ABSENCE, ,Nurse,FEMALE,NO,APPROVED ABSENCE, ,, ,,27.0
