unique_id,fac_id,staff_id,id11,m2saq2,m2saq3,m2saq1,m2saq4,m2saq7,m2saq8,m2saq9,m2saq10,m2saq11,m2saq12,m2saq13,m2saq14,m2saq14_autre,m2saq15,m2saq16,suite60,m2sa_selection10,m2sa_selection,m2sa_dispo,m2sa_dispolib,m2sa_q7_2,m2sbq1,m2sbq5,m2sbq6,m2sbq7,m2sbq8,m2sbq9,m2sbq10,m2sbq11,m2sbq12,m2sbq12_autre,m2sbq13,m2sbq14,has_roster,has_absentee,country,absence_rate
1_2,1,2,1,5 or less,5 or less,5 or less,2.0,Nurse,Post-Secondary,Diploma,0,Younger than 25,oui,0.0,absence autorisee (permission/conge),,oui,,T,,2.0,tsy eo,Tsy eo,Nurse,2.0,Nurse,Post-Secondary,Diploma,,0.0,Younger than 25,0.0,formation/seminaire/reunion,,,,1.0,1.0,Madagascar-2016,0.6666667
1_1,1,1,1,5 or less,5 or less,5 or less,1.0,Nurse,Post-Secondary,Diploma,0,25-34,oui,oui,,,oui,oui,T,1.0,1.0,eny,Eny,Nurse,1.0,Nurse,Post-Secondary,Diploma,,0.0,25-34,0.0,absence autorisee (permission/conge),,,,1.0,1.0,Madagascar-2016,0.6666667
1_3,1,3,1,5 or less,5 or less,5 or less,3.0,Other,Secondary,None,0,45 or older,0.0,oui,,,oui,,T,,,,,Other,3.0,Other,Secondary,None,After 2000,0.0,45 or older,oui,,,discussion avec collegues/reunion/staff,0.0,1.0,1.0,Madagascar-2016,0.6666667
10_1,10,1,10,5 or less,5 or less,5 or less,1.0,Nurse,Post-Secondary,Advanced,0,25-34,oui,oui,,,oui,oui,T,1.0,1.0,eny,Eny,Nurse,1.0,Nurse,Post-Secondary,Advanced,After 2000,0.0,25-34,oui,,,traitement de dossiers/elaboration de rapports,0.0,1.0,1.0,Madagascar-2016,0.0
100_1,100,1,100,5 or less,5 or less,5 or less,1.0,Doctor,Post-Secondary,Advanced,homme,45 or older,oui,oui,,,oui,oui,T,1.0,1.0,eny,Eny,Doctor,1.0,Doctor,Post-Secondary,Advanced,,homme,45 or older,0.0,autre (a preciser),,,,1.0,1.0,Madagascar-2016,1.0
100_2,100,2,100,5 or less,5 or less,5 or less,2.0,Doctor,Post-Secondary,Advanced,0,45 or older,oui,0.0,mission officielle,,oui,,T,,2.0,tsy eo,Tsy eo,Doctor,2.0,Doctor,Post-Secondary,Advanced,,0.0,45 or older,0.0,autre (a preciser),,,,1.0,1.0,Madagascar-2016,1.0
101_1,101,1,101,5 or less,5 or less,5 or less,1.0,Doctor,Post-Secondary,Advanced,0,45 or older,oui,0.0,mission officielle,,oui,,T,,1.0,tsy eo,Tsy eo,Doctor,1.0,Doctor,Post-Secondary,Advanced,After 2000,0.0,45 or older,oui,,,consultation/visite de malade,0.0,1.0,1.0,Madagascar-2016,0.0
101_2,101,2,101,5 or less,5 or less,5 or less,2.0,Nurse,Post-Secondary,Diploma,0,25-34,oui,oui,,,oui,oui,T,1.0,2.0,eny,Eny,Nurse,2.0,Nurse,Post-Secondary,Diploma,After 2000,0.0,25-34,oui,,,consultation/visite de malade,0.0,1.0,1.0,Madagascar-2016,0.0
102_2,102,2,102,5 or less,5 or less,5 or less,2.0,Nurse,Post-Secondary,,homme,45 or older,oui,oui,,,oui,oui,T,2.0,2.0,eny,Eny,Nurse,2.0,Nurse,Post-Secondary,,,homme,45 or older,0.0,absence autorisee (permission/conge),,,,1.0,1.0,Madagascar-2016,0.5
102_1,102,1,102,5 or less,5 or less,5 or less,1.0,Doctor,Post-Secondary,Advanced,0,45 or older,oui,oui,,,oui,oui,T,1.0,1.0,eny,Eny,Doctor,1.0,Doctor,Post-Secondary,Advanced,After 2000,0.0,45 or older,oui,,,consultation/visite de malade,0.0,1.0,1.0,Madagascar-2016,0.5
103_1,103,1,103,5 or less,5 or less,5 or less,1.0,Nurse,Post-Secondary,Diploma,homme,45 or older,oui,oui,,,oui,oui,T,1.0,1.0,eny,Eny,Nurse,1.0,Nurse,Post-Secondary,Diploma,After 2000,homme,45 or older,oui,,,consultation/visite de malade,0.0,1.0,1.0,Madagascar-2016,0.0
104_3,104,3,104,5 or less,5 or less,6-10,3.0,Other,Post-Secondary,,0,Younger than 25,oui,oui,,,oui,oui,T,1.0,3.0,eny,Eny,Other,3.0,Other,Post-Secondary,,After 2000,0.0,Younger than 25,oui,,,consultation/visite de malade,0.0,1.0,1.0,Madagascar-2016,0.4
104_4,104,4,104,5 or less,5 or less,6-10,4.0,Other,Post-Secondary,,0,Younger than 25,oui,oui,,,oui,oui,T,2.0,4.0,eny,Eny,Other,4.0,Other,Post-Secondary,,,0.0,Younger than 25,0.0,maladie/maternite,,,,1.0,1.0,Madagascar-2016,0.4
104_2,104,2,104,5 or less,5 or less,6-10,2.0,Nurse,Post-Secondary,Diploma,0,25-34,oui,0.0,absence autorisee (permission/conge),,oui,,T,,2.0,tsy eo,Tsy eo,Nurse,2.0,Nurse,Post-Secondary,Diploma,,0.0,25-34,0.0,absence autorisee (permission/conge),,,,1.0,1.0,Madagascar-2016,0.4
104_5,104,5,104,5 or less,5 or less,6-10,5.0,Other,Post-Secondary,,0,Younger than 25,oui,oui,,,oui,oui,T,3.0,5.0,eny,Eny,Other,5.0,Other,Post-Secondary,,After 2000,0.0,Younger than 25,oui,,,consultation/visite de malade,0.0,1.0,1.0,Madagascar-2016,0.4
104_1,104,1,104,5 or less,5 or less,6-10,1.0,Doctor,Post-Secondary,Advanced,0,45 or older,oui,0.0,formation/seminaire/reunion,,oui,,T,,1.0,tsy eo,Tsy eo,Doctor,1.0,Doctor,Post-Secondary,Advanced,After 2000,0.0,45 or older,oui,,,consultation/visite de malade,0.0,1.0,1.0,Madagascar-2016,0.4
