fac_id,staff_id,id11,m2saq2,m2saq3,m2saq1,m2saq4,m2saq7,m2saq8,m2saq9,m2saq10,m2saq11,m2saq12,m2saq13,m2saq14,m2saq14_autre,m2saq15,m2saq16,suite60,m2sa_selection10,m2sa_selection,m2sa_dispo,m2sa_dispolib,m2sa_q7_2,m2sbq1,m2sbq5,m2sbq6,m2sbq7,m2sbq8,m2sbq9,m2sbq10,m2sbq11,m2sbq12,m2sbq12_autre,m2sbq13,m2sbq14
1,1.0,1,5 or less,5 or less,5 or less,1.0,Nurse,Post-Secondary,Diploma,femme,25-34,oui,oui,,,oui,oui,T,1.0,1.0,eny,Eny,Nurse,1.0,Nurse,Post-Secondary,Diploma,,femme,25-34,non,absence autorisee (permission/conge),,,
1,2.0,1,5 or less,5 or less,5 or less,2.0,Nurse,Post-Secondary,Diploma,femme,Younger than 25,oui,non,absence autorisee (permission/conge),,oui,,T,,2.0,tsy eo,Tsy eo,Nurse,2.0,Nurse,Post-Secondary,Diploma,,femme,Younger than 25,non,formation/seminaire/reunion,,,
1,3.0,1,5 or less,5 or less,5 or less,3.0,Other,Secondary,None,femme,45 or older,non,oui,,,oui,,T,,,,,Other,3.0,Other,Secondary,None,After 2000,femme,45 or older,oui,,,discussion avec collegues/reunion/staff,non
2,1.0,2,11-50,Over 5,Over 50,1.0,Doctor,Post-Secondary,Advanced,homme,45 or older,non,oui,,,oui,,T,,,,,Doctor,1.0,Doctor,Post-Secondary,Advanced,After 2000,homme,45 or older,oui,,,consultation/visite de malade,non
2,2.0,2,11-50,Over 5,Over 50,2.0,Doctor,Post-Secondary,Advanced,femme,45 or older,non,non,absence autorisee (permission/conge),,,,T,,,,,,,,,,,,,,,,,
2,3.0,2,11-50,Over 5,Over 50,3.0,Doctor,Post-Secondary,Advanced,homme,45 or older,non,non,"repos de garde (pre-garde, sortie de garde)",,oui,,T,,,,,Doctor,2.0,Doctor,Post-Secondary,Advanced,,homme,45 or older,non,absence autorisee (permission/conge),,,
2,4.0,2,11-50,Over 5,Over 50,4.0,Doctor,Post-Secondary,Advanced,homme,45 or older,non,oui,,,oui,,T,,,,,Doctor,3.0,Doctor,Post-Secondary,Advanced,After 2000,homme,45 or older,oui,,,consultation/visite de malade,non
2,5.0,2,11-50,Over 5,Over 50,5.0,Doctor,Post-Secondary,Advanced,homme,45 or older,non,oui,,,,,T,,,,,,,,,,,,,,,,,
2,6.0,2,11-50,Over 5,Over 50,6.0,Doctor,Post-Secondary,Advanced,homme,45 or older,oui,oui,,,oui,oui,T,1.0,1.0,eny,Eny,Doctor,4.0,Doctor,Post-Secondary,Advanced,After 2000,homme,45 or older,oui,,,consultation/visite de malade,non
2,7.0,2,11-50,Over 5,Over 50,7.0,Doctor,Post-Secondary,Advanced,homme,45 or older,non,oui,,,,,T,,,,,,,,,,,,,,,,,
2,8.0,2,11-50,Over 5,Over 50,8.0,Doctor,Post-Secondary,Advanced,homme,45 or older,non,oui,,,,,T,,,,,,,,,,,,,,,,,
2,9.0,2,11-50,Over 5,Over 50,9.0,Doctor,Post-Secondary,Advanced,femme,45 or older,oui,non,"repos de garde (pre-garde, sortie de garde)",,,,T,,2.0,tsy eo,Tsy eo,,,,,,,,,,,,,
2,10.0,2,11-50,Over 5,Over 50,10.0,Doctor,Post-Secondary,Advanced,femme,45 or older,oui,non,"repos de garde (pre-garde, sortie de garde)",,,,T,,3.0,tsy eo,Tsy eo,,,,,,,,,,,,,
2,11.0,2,11-50,Over 5,Over 50,11.0,Doctor,Post-Secondary,Advanced,femme,45 or older,non,oui,,,,,T,,,,,,,,,,,,,,,,,
2,12.0,2,11-50,Over 5,Over 50,12.0,Doctor,Post-Secondary,Advanced,femme,45 or older,non,oui,,,,,T,,,,,,,,,,,,,,,,,
2,13.0,2,11-50,Over 5,Over 50,13.0,Doctor,Post-Secondary,Advanced,homme,45 or older,non,non,"repos de garde (pre-garde, sortie de garde)",,,,T,,,,,,,,,,,,,,,,,
2,14.0,2,11-50,Over 5,Over 50,14.0,Doctor,Post-Secondary,Advanced,homme,45 or older,oui,oui,,,oui,oui,T,2.0,4.0,eny,Eny,Doctor,5.0,Doctor,Post-Secondary,Advanced,After 2000,homme,45 or older,oui,,,consultation/visite de malade,non
2,15.0,2,11-50,Over 5,Over 50,15.0,Other,Post-Secondary,Advanced,femme,25-34,non,non,"repos de garde (pre-garde, sortie de garde)",,,,T,,,,,,,,,,,,,,,,,
2,16.0,2,11-50,Over 5,Over 50,16.0,Doctor,Post-Secondary,Advanced,femme,45 or older,non,oui,,,,,T,,,,,,,,,,,,,,,,,
