fac_id,m1saq1,m1saq2a,m1saq3,m1saq4,m1saq6,m1saq7,m1saq9b_1,m1saq9b_2,m1saq10h,m1saq10m,m1saq11h,m1saq11m,m1saq15b_1,m1saq15b_2,m1saq16,m1saq16s,m1sbq4,m1sbq8,m1sbq11,m1sbq12,m1sbq20,m1sbq23,m1sbq24,m1sbq25,m1sbq26,m1sbq27,m1sbq28,m1sbq29,m1scq17,m1scq18,m1scq19,m1scq20,m1sdq1a,m1sdq1b,m1sdq1c,m1sdq2a,m1sdq2b,m1sdq2c,m1sdq3a,m1sdq3b,m1sdq3c,m1sdq4a,m1sdq4b,m1sdq4c,m1sdq5a,m1sdq5b,m1sdq5c,m1sdq6a,m1sdq6b,m1sdq6c,m1sdq7a,m1sdq7b,m1sdq7c,m1sdq8a,m1sdq8b,m1sdq8c,m1sdq9a,m1sdq9b,m1sdq10a,m1sdq10b,m1sdq11a,m1sdq11b,m1sdq12a,m1sdq12b,m1sdq13a,m1sdq13b,m1seq1,m1seq2,m1seq3,m1seq4,m1seq5,m1seq6,m1seq7,m1seq8,m1seq9,m1seq10,m1seq11,m1seq12,m1seq13,m1seq14,m1seq15,m1seq16,m1seq17,m1seq18,m1seq19,m1seq20,m1seq21,m1seq22,m1seq23,m1seq24,m1seq25,m1seq26,m1seq27,m1seq28,m1seq29,m1seq30,m1seq31,m1seq32,m1seq33,m1seq34,m1seq35,m1seq36,m1seq37,m1seq38,m1seq39,m1seq40,m1seq41,m1seq42,m1seq43,m1seq44,m1seq45,m1seq46,m1seq47,m1seq48,m1seq49,m1seq50,m1seq51,m1seq52,m1seq53,m1seq54,m1seq54aut,m1seq55,m1seq56,m1seq57,m1seq58,m1seq59,m1seq60,m1seq61,m1seq62,m1seq63,m1seq64,m1seq65,m1seq66
1,Oui,,4,402,1,Urban,61,132,12,30,18,45,61,132,Questionnaire rempli,3,Public,Hospital,Over 3000,Permanence et garde,Over 50,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,"Oui, payé par le centre",Non,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Non,Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Non,,Oui,Oui (observé),Non,,Oui,Oui (observé),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Oui,"Oui, observé",5.0,"Oui, observé",Réseau électrique (CEET),,,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),"Oui, observé","Oui, observé","Oui, observé","Oui, observé",Non
2,Oui,,4,402,2,Rural,61,132,7,12,10,3,61,132,Questionnaire rempli,3,Public,Health Post,501-1000,Permanence et garde,50 or less,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Non,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Non,,Non,,Non,,Non,,Non,,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Pas disponible aujourd'hui,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (MAIS TOUS périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (MAIS TOUS périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Oui,"Oui, observé",0.0,Non,Gaz,,,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),"Oui, observé","Oui, observé","Oui, observé","Oui, observé",Non
3,Oui,,4,402,3,Rural,51,52,8,45,13,0,51,52,Questionnaire rempli,3,Public,Health Post,0-500,Permanence,50 or less,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Non,,,Oui,Oui (observé),Public,Non,,Non,,Non,,Oui,Oui (observé),Non,,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Pas disponible aujourd'hui,Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Jamais disponsible,Pas disponible aujourd'hui,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (MAIS TOUS périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (MAIS TOUS périmés),Au moins un observé (MAIS TOUS périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Pas disponible aujourd'hui,Oui,"Oui, observé",9.0,Non,Gaz,,,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),"Oui, observé","Oui, observé","Oui, observé","Oui, observé",Non
4,Oui,,4,403,4,Rural,61,132,12,10,15,55,61,132,Questionnaire rempli,3,Public,Health Center,Over 3000,Permanence et garde,50 or less,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non,"Oui, payé par un privé",Non,Non,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Non,,,Oui,Oui (observé),Public,Oui,Oui (observé),Non,,Oui,Oui (observé),Oui,Oui (observé),Oui,Oui (non observé),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Pas disponible aujourd'hui,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (MAIS TOUS périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Oui,"Oui, observé",4.0,"Oui, observé",Panneau solaire,,,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),"Oui, observé","Oui, observé","Oui, observé","Oui, observé","Oui, observé"
5,Oui,,4,403,5,Urban,61,132,7,10,13,20,61,132,Questionnaire rempli,3,Public,Health Center,Over 3000,Permanence et garde,50 or less,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,"Oui, payé par le centre",Non,Oui,Oui (observé),Public,Non,,,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Non,,,Oui,Oui (observé),Public,Oui,Oui (observé),Non,,Non,,Oui,Oui (observé),Non,,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (MAIS TOUS périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (MAIS TOUS périmés),Au moins un observé (MAIS TOUS périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Oui,"Oui, observé",3.0,"Oui, observé",Réseau électrique (CEET),,,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),"Oui, observé","Oui, observé","Oui, observé","Oui, observé","Oui, observé"
6,Oui,,4,403,6,Rural,61,132,9,12,13,10,61,132,Questionnaire rempli,3,Public,Health Post,501-1000,Permanence et garde,50 or less,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Non,,,Oui,Oui (observé),Public,Non,,Non,,Non,,Non,,Non,,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Non,,,,,,Oui,Pas disponible aujourd'hui,Pas disponible aujourd'hui,Pas disponible aujourd'hui,Pas disponible aujourd'hui,Jamais disponsible,Pas disponible aujourd'hui,"Oui, observé","Oui, observé","Oui, observé","Oui, observé","Oui, observé"
7,Oui,,4,403,7,Rural,51,52,8,0,12,30,51,52,Questionnaire rempli,3,Public,Health Post,501-1000,Permanence,50 or less,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Non,,,Oui,Oui (observé),Public,Non,,Non,,Non,,Oui,Oui (observé),Oui,Oui (observé),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (MAIS TOUS périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Oui,"Oui, observé",5.0,"Oui, observé",Panneau solaire,,,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),"Oui, observé","Oui, observé","Oui, observé","Oui, observé",Non
8,Oui,,4,403,8,Rural,51,52,13,55,17,50,51,52,Questionnaire rempli,3,Public,Health Post,2001-3000,Permanence et garde,50 or less,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Non,,,Oui,Oui (observé),Public,Non,,Non,,Non,,Non,,Non,,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Pas disponible aujourd'hui,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Disponible mais non observé (non-périmé),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Oui,"Oui, observé",8.0,"Oui, observé",Pétrole,,Oui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Pas disponible aujourd'hui,"Oui, observé","Oui, observé","Oui, observé","Oui, observé","Oui, observé"
9,Oui,,4,403,9,Rural,61,132,13,50,17,15,61,132,Questionnaire rempli,3,Public,Health Post,Over 3000,Permanence et garde,50 or less,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Non,,,Oui,Oui (observé),Public,Non,,Non,,Oui,Oui (observé),Non,,Oui,Oui (observé),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Oui,"Oui, observé",2.0,"Oui, observé",Réseau électrique (CEET),,,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),"Oui, observé","Oui, observé","Oui, observé","Oui, observé","Oui, observé"
10,Oui,,4,403,10,Urban,61,132,7,30,10,57,61,132,Questionnaire rempli,3,Public,Health Post,Over 3000,Permanence,Over 50,Oui,Oui,Oui,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Oui,Oui (observé),Public,Non,,,Oui,Oui (observé),Public,Non,,Non,,Oui,Non,Non,,Non,,Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Pas disponible aujourd'hui,Jamais disponsible,Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Jamais disponsible,Au moins un observé (ET non-périmés),Jamais disponsible,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Jamais disponsible,Jamais disponsible,Au moins un observé (ET non-périmés),Au moins un observé (MAIS TOUS périmés),Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Oui,"Oui, observé",0.0,Non,Réseau électrique (CEET),,Oui,Au moins un observé (ET non-périmés),Pas disponible aujourd'hui,Au moins un observé (ET non-périmés),Au moins un observé (ET non-périmés),Jamais disponsible,Au moins un observé (ET non-périmés),"Oui, observé","Oui, observé","Oui, observé","Oui, observé","Oui, observé"
