fac_id,staff_id,m2sfq1,m2sfq3,m2sfq4,m2sfq7,m2sfq8,m2sfq9,m2sfq10,m2sfq11,m2sfq12,m2sfq13,m2sfq14,m2sfq14aut,m2sfq15,m2sfq16,m2sgq1,m2sgq3,m2sgq5,m2sgq6,m2sgq7,m2sgq8,m2sgq8aut,m2sgq9,m2sgq10
1,1,Over 50,Over 5,1,Doctor,Post-Secondary,Advanced,Homme,35-44,Oui,Non,Formation/séminaire/réunion,,Non,Non,,,,,,,,,
1,2,Over 50,Over 5,2,Clinical Officer,Post-Secondary,Advanced,Homme,35-44,Oui,Oui,,,Oui,Oui,1.0,2.0,Clinical Officer,Homme,Oui,,,Traitement de dossiers/élaboration de rapports,Non
1,3,Over 50,Over 5,3,Nurse,Secondary,Diploma,Femme,45 or older,Oui,Non,Formation/séminaire/réunion,,Oui,Non,2.0,3.0,Nurse,Femme,Non,Formation/séminaire/réunion,,,
1,4,Over 50,Over 5,4,Clinical Officer,Post-Secondary,Advanced,Homme,35-44,Non,Oui,,,Oui,Non,3.0,4.0,Clinical Officer,Homme,Oui,,,Consultation/visite de malade,Non
1,5,Over 50,Over 5,5,Other,Post-Secondary,Advanced,Femme,35-44,Non,Oui,,,Non,Non,,,,,,,,,
1,6,Over 50,Over 5,6,Nurse,Secondary,Diploma,Homme,45 or older,Non,Non,Absence autorisée (permission/congé),,Non,Non,,,,,,,,,
1,7,Over 50,Over 5,7,Nurse,Secondary,Diploma,Femme,25-34,Non,Oui,,,Non,Non,,,,,,,,,
1,8,Over 50,Over 5,8,Nurse,Secondary,Diploma,Homme,35-44,Non,Non,Absence autorisée (permission/congé),,Oui,Non,4.0,8.0,Nurse,Homme,Non,Absence autorisée (permission/congé),,,
1,9,Over 50,Over 5,9,Nurse,Secondary,Diploma,Femme,35-44,Non,Oui,,,Oui,Non,5.0,9.0,Nurse,Femme,Oui,,,Consultation/visite de malade,Non
1,10,Over 50,Over 5,10,Other,Secondary,Diploma,Femme,25-34,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",,Non,Non,,,,,,,,,
1,11,Over 50,Over 5,11,Nurse,Secondary,Diploma,Homme,45 or older,Non,Oui,,,Oui,Non,6.0,11.0,Nurse,Homme,Non,Absence non autorisée,,,
1,12,Over 50,Over 5,12,Other,Primary,None,Femme,45 or older,Non,Non,"Repos de garde (pré-garde, sortie de garde)",,Non,Non,,,,,,,,,
1,13,Over 50,Over 5,13,Nurse,Secondary,Diploma,Homme,45 or older,Oui,Non,Absence autorisée (permission/congé),,Oui,Non,7.0,13.0,Nurse,Homme,Non,Absence autorisée (permission/congé),,,
1,14,Over 50,Over 5,14,Clinical Officer,Post-Secondary,Advanced,Homme,25-34,Oui,Oui,,,Oui,Oui,8.0,14.0,Clinical Officer,Homme,Non,Absence non autorisée,,,
