fac_id,wgt_fac,wgt_abs,wgt_know,has_weights,m1saq1,m1saq2,m1saq3,m1saq5,m1saq7,m1saq10_1b,m1saq10_2b,m1saq11,m1saq11_hr,m1saq11_mn,m1saq12,m1saq12_hr,m1saq12_mn,m1saq14a,m1saq14a_hr,m1saq14a_mn,m1saq14b,m1saq14b_hr,m1saq14b_mn,m1saq15_1b,m1saq15_2b,m1saq16a,m1saq16c,m1sa1q1,m1sa1q2,m1sbq4,m1sbq8,m1sbq14,m1sbq15,m1scq14a,m1scq14b,m1scq15a,m1scq15b,m1scq16a,m1scq16b,m1scq17a,m1scq17b,m1scq18a,m1scq18b,m1scq19a,m1scq19b,m1scq25a,m1scq25b,m1scq25c,m1scq25d,m1scq25e,m1scq25f,m1scq25g,m1scq25h,m1scq25i,m1scq25j,m1scq25k,m1scq25l,m1scq25m,m1scq25m_oth,m1scq25n,m1scq26,m1scq27a,m1scq27b,m1scq27c,m1scq27d,m1scq27e,m1scq27f,m1scq27g,m1scq27h,m1scq27i,m1scq27j,m1scq27k,m1scq27l,m1scq27m,m1scq27m_oth,m1scq27n,m1scq28,m1scq29,m1scq30,m1scq31,m1scq32,m1sdq1a,m1sdq1b,m1sdq2a,m1sdq2b,m1sdq3a,m1sdq3b,m1sdq4a,m1sdq4b,m1sdq5a,m1sdq5b,m1sdq6a,m1sdq6b,m1sdq7a,m1sdq7b,m1sdq8a,m1sdq8b,m1sdq9a,m1sdq9b,m1sdq10a,m1sdq10b,m1sdq11a,m1sdq11b,m1seq1,m1seq2,m1seq3,m1seq4,m1seq5,m1seq6,m1seq7,m1seq8,m1seq9,m1seq10,m1seq11,m1seq12,m1seq13,m1seq14,m1seq15,m1seq16,m1seq17,m1seq18,m1seq19,m1seq20,m1seq21,m1seq22,m1seq23,m1seq24,m1seq25,m1seq26,m1seq27,m1seq28,m1seq29,m1seq30,m1seq31,m1seq32a,m1seq33,m1seq34,m1seq35,m1seq36,m1seq37,m1seq38,m1seq39,m1seq40,m1seq41,m1seq42,m1seq43,m1seq44,m1seq45,m1seq46,m1seq47,m1seq48,m1seq49,m1seq50,m1seq51,m1seq52,m1seq53,m1seq54,m1seq55,m1seq56,m1seq57,m1seq58,has_facility,country,m1seq32b
1301003,1.5714287,1.5714287,1.5714287,1,13,1.0,110.0,1301003,Urban,131001,131002.0,,9,50,,13.0,40.0,,12.0,45.0,,12.0,53.0,131001.0,131002.0,Incomplete Questionnaire,10.0,Yes,.,Public,,50 or less,0-500,0.0,,Yes(Not Observed),No,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0,0,0,0,0,0.0,0,Yes,SAFETY BOX                    ,0.0,WASTE VISIBLE BUT PROTECTED AREA,0,0,0,0,0.0,0.0,Yes,0,0,0,0,0,0.0,                              ,0.0,"WASTE VISIBLE, NOT PROTECTED",0.0,,0.0,0,Yes (not obsered),No,Yes (not obsered),No,0,,Yes (not obsered),No,0,,0,,0,,0,,0,,Yes (not obsered),No,0.0,,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,At least one observed (AND non-expired),Not available today,At least one observed (BUT expired),At least one observed (AND non-expired),Never available,At least one observed (BUT expired),Not available today,At least one observed (BUT expired),Never available,Never available,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,1,Nigeria-2013,0.0
1301004,1.5714287,1.5714287,1.5714287,1,13,1.0,110.0,1301004,Urban,131001,131002.0,,9,30,,14.0,5.0,,11.0,10.0,,12.0,36.0,131001.0,131002.0,Incomplete Questionnaire,10.0,Yes,.,Public,,50 or less,0-500,0.0,,Yes(Not Observed),No,0.0,,0.0,,0.0,,0.0,,0,0,Yes,0,0,0,0,0,0,0,0.0,0,,                              ,,"WASTE VISIBLE, NOT PROTECTED",0,0,0,0,Yes,0.0,0,0,0,0,0,0,0.0,,0.0,"WASTE VISIBLE, NOT PROTECTED",0.0,,0.0,Yes,Yes (not obsered),No,Yes (not obsered),No,0,,Yes (not obsered),No,0,,Yes (not obsered),No,0,,0,,0,,Yes (not obsered),No,0.0,,Never available,Never available,At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),Never available,Never available,Never available,Never available,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (BUT expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Not available today,At least one observed (AND non-expired),Never available,Never available,Never available,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,1,Nigeria-2013,0.0
1301007,1.5714287,1.5714287,8.642858,1,13,1.0,108.0,1301007,Urban,131003,131004.0,,9,26,,17.0,0.0,,10.0,7.0,,11.0,2.0,131003.0,131004.0,Incomplete Questionnaire,10.0,Yes,.,Public,Health Center,Over 50,Over 3000,0.0,,Yes(Not Observed),No,Yes(Not Observed),0.0,0.0,,0.0,,0.0,,0,Yes,0,0,0,0,0,0,0,0,0.0,0,0.0,                              ,0.0,WASTE VISIBLE BUT PROTECTED AREA,0,0,0,Yes,0.0,0.0,0,0,0,0,0,0,0.0,                              ,0.0,WASTE VISIBLE BUT PROTECTED AREA,Yes,0.0,0.0,Yes,Yes (not obsered),No,Yes (not obsered),No,Yes (not obsered),No,Yes (not obsered),No,Yes (not obsered),No,Yes (not obsered),No,0,,0,,0,,Yes (not obsered),No,Yes (not obsered),No,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Not available today,At least one observed (BUT expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (BUT expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),No,Yes,,Yes,,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),,,,,,,,,Yes but not observed,Yes but not observed,Yes but not observed,Yes but not observed,Yes but not observed,1,Nigeria-2013,1.0
1301014,1.5714287,1.5714287,1.5714287,1,13,1.0,101.0,1301014,Urban,131005,131006.0,,12,40,,15.0,1.0,,13.0,0.0,,13.0,20.0,131005.0,131006.0,Incomplete Questionnaire,10.0,Yes,.,Public,Health Center,50 or less,0-500,Yes(Observed),,Yes(Not Observed),No,Yes(Observed),,Yes(Observed),,Yes(Observed),,Yes(Observed),,0,0,0,0,0,0,Yes,0,0,0,0.0,0,0.0,                              ,Yes,WASTE VISIBLE BUT PROTECTED AREA,0,0,0,Yes,0.0,0.0,0,0,0,0,0,0,0.0,                              ,0.0,WASTE VISIBLE BUT PROTECTED AREA,0.0,,Yes - guidelines observed,0,Yes (not obsered),0.0,Yes (not obsered),No,Yes (observed),,Yes (not obsered),No,Yes (observed),,Yes (not obsered),0.0,Yes (observed),,Yes (observed),,Yes (observed),,Yes (not obsered),No,Yes (observed),,Never available,Never available,Never available,Never available,Never available,At least one observed (AND non-expired),Never available,Never available,Never available,Never available,Not available today,Never available,Not available today,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Not available today,Never available,Never available,Never available,Never available,Not available today,Not available today,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),0.0,0.0,Yes,,0.0,,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Never available,Not available today,Available,Available,5.0,Available,5.0,Available,Available,Available,Yes but not observed,Yes but not observed,Yes but not observed,Yes but not observed,Yes but not observed,1,Nigeria-2013,0.0
1301015,1.5714287,1.5714287,1.5714287,1,13,1.0,101.0,1301015,Urban,131005,131006.0,,9,43,,12.0,10.0,,12.0,0.0,,12.0,30.0,131005.0,131006.0,Incomplete Questionnaire,10.0,Yes,.,Public,Health Center,50 or less,0-500,0.0,,Yes(Not Observed),No,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0,0,0,0,0,0.0,0,Yes,BURY                          ,0.0,WASTE SITE NOT INSPECTED,0,0,0,0,0.0,0.0,0,0,0,0,0,0,Yes,OPEN BURNING                  ,0.0,WASTE SITE NOT INSPECTED,0.0,,0.0,0,Yes (not obsered),No,Yes (not obsered),No,Yes (not obsered),No,Yes (not obsered),No,0,,Yes (not obsered),No,Yes (not obsered),No,0,,Yes (not obsered),0.0,Yes (not obsered),No,0.0,,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,1,Nigeria-2013,0.0
1301016,1.5714287,1.5714287,1.5714287,1,13,1.0,101.0,1301016,Urban,131005,131006.0,,9,40,,12.0,1.0,,13.0,45.0,,14.0,0.0,131005.0,131006.0,Questionnaire Completed,10.0,Yes,.,Public,Health Center,50 or less,0-500,0.0,,Yes(Not Observed),No,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0,0,0,0,0,0.0,0,Yes,MOVED TO THE HEADQUARTERS     ,0.0,WASTE SITE NOT INSPECTED,0,0,Yes,0,0.0,0.0,0,0,0,0,0,0,0.0,                              ,0.0,WASTE VISIBLE BUT PROTECTED AREA,0.0,,Yes - guidelines observed,0,Yes (not obsered),No,Yes (not obsered),No,Yes (observed),,Yes (observed),,Yes (not obsered),No,Yes (observed),,Yes (observed),,Yes (observed),,Yes (observed),,Yes (not obsered),No,Yes (observed),,Never available,Never available,Never available,At least one observed (BUT expired),Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,At least one observed (BUT expired),Never available,At least one observed (BUT expired),At least one observed (BUT expired),At least one observed (BUT expired),Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,At least one observed (BUT expired),Never available,Never available,Never available,0.0,0.0,Yes but not observed,Yes,,0.0,Yes,,,,,,,,,Available,Available,5.0,Available,5.0,Available,Available,Available,Yes but not observed,Yes but not observed,Yes but not observed,Yes but not observed,Yes but not observed,1,Nigeria-2013,0.0
1301017,1.5714287,1.5714287,,1,13,1.0,101.0,1301017,Urban,131005,131006.0,,13,6,,14.0,10.0,,9.0,45.0,,10.0,5.0,131005.0,131006.0,Questionnaire Completed,10.0,Yes,.,Public,Health Post,50 or less,0-500,Yes(Observed),,Yes(Not Observed),No,Yes(Observed),,Yes(Observed),,Yes(Observed),,Yes(Observed),,0,0,0,0,0,0,0,0,0,0,0.0,0,Yes,TO THE HEADQUARTERS           ,0.0,WASTE SITE NOT INSPECTED,0,0,Yes,0,0.0,0.0,0,0,0,0,0,0,0.0,                              ,0.0,WASTE SITE NOT INSPECTED,0.0,,0.0,0,0,,0,,0,,Yes (not obsered),No,Yes (not obsered),,0,,0,,0,,0,,0,,0.0,,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,0.0,0.0,0.0,Yes,,0.0,Yes,,,,,,,,,Available,Available,5.0,Available,5.0,Available,Available,Available,Yes but not observed,Yes and observed,Yes but not observed,Yes and observed,Yes but not observed,1,Nigeria-2013,0.0
1301020,1.5714287,1.5714287,,1,13,1.0,104.0,1301020,Urban,131005,131006.0,,14,45,,14.0,10.0,,15.0,25.0,,15.0,35.0,131005.0,131006.0,Incomplete Questionnaire,10.0,Yes,.,Public,Health Center,50 or less,0-500,0.0,,Yes(Not Observed),No,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0,0,0,0,0,0.0,0,Yes,TO THE HEADQUARTERS           ,,WASTE SITE NOT INSPECTED,0,0,Yes,0,0.0,0.0,0,0,0,0,0,0,0.0,                              ,0.0,NO WASTE VISIBLE,0.0,,0.0,0,Yes (not obsered),No,0,,0,,Yes (not obsered),No,0,,Yes (not obsered),No,0,,0,,0,,0,,0.0,,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,0.0,0.0,0.0,Yes,,0.0,Yes,,,,,,,,,Available,Available,5.0,Available,5.0,Available,Available,Available,Yes but not observed,Yes but not observed,Yes but not observed,Yes but not observed,Yes but not observed,1,Nigeria-2013,0.0
1301031,1.5714287,1.5714287,1.9642859,1,13,1.0,109.0,1301031,Urban,131007,131008.0,,10,4,,15.0,45.0,,10.0,25.0,,11.0,15.0,131007.0,131008.0,Incomplete Questionnaire,10.0,Yes,.,Public,Health Center,50 or less,0-500,0.0,,Yes(Not Observed),No,0.0,,0.0,,0.0,,0.0,,0,0,0,Yes,0,0,0,0,0,0,0.0,0,0.0,                              ,0.0,NO WASTE VISIBLE,0,0,0,Yes,0.0,0.0,0,0,0,0,0,0,0.0,                              ,0.0,WASTE VISIBLE BUT PROTECTED AREA,0.0,,0.0,0,Yes (not obsered),No,Yes (not obsered),No,Yes (not obsered),No,Yes (not obsered),No,Yes (not obsered),No,Yes (not obsered),No,0,,0,,0,,0,,0.0,,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,At least one observed (AND non-expired),0.0,0.0,Yes,,0.0,Yes,,,,,,,,,Available,Available,4.0,Available,Available,Available,Available,Available,Yes but not observed,Yes but not observed,Yes but not observed,Yes but not observed,Yes but not observed,1,Nigeria-2013,0.0
1301032,1.5714287,1.5714287,1.5714287,1,13,1.0,109.0,1301032,Urban,131007,131008.0,,9,45,,15.0,25.0,,12.0,25.0,,14.0,5.0,131007.0,131008.0,Questionnaire Completed,10.0,Yes,.,Public,Health Center,50 or less,0-500,0.0,,Yes(Not Observed),No,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0,0,Yes,0,0,0.0,0,0.0,                              ,0.0,WASTE VISIBLE BUT PROTECTED AREA,0,0,0,0,0.0,0.0,0,0,Yes,0,0,0,0.0,                              ,0.0,WASTE VISIBLE BUT PROTECTED AREA,0.0,,0.0,0,Yes (not obsered),No,Yes (not obsered),No,Yes (not obsered),No,Yes (not obsered),No,0,,Yes (not obsered),No,0,,0,,0,,Yes (not obsered),No,0.0,,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (BUT expired),At least one observed (AND non-expired),0.0,0.0,Yes,,0.0,Yes,,,,,,,,,Available,Available,5.0,Available,5.0,Available,Available,Available,Yes but not observed,Yes but not observed,Yes but not observed,Yes but not observed,Yes but not observed,1,Nigeria-2013,0.0
