fac_id,staff_id,m2saq1,m2saq2,m2saq3,m2saq7,m2saq8,m2saq9,m2saq10,m2saq11,m2saq12,m2saq13,m2saq14,m2saq15,m2saq16,m2sbq0,m2sbq2,m2sbq4,m2sbq5,m2sbq6,m2sbq7,m2sbq8,m2sbq9,m2sbq10,m2sbq11,m2sbq12,m2sbq13
10202,1,5 or less,5 or less,5 or less,Clinical Officer,Secondary,Diploma,Female,25-34,Yes,Yes,,Yes,Yes,3.0,1.0,Clinical Officer,Secondary,Diploma,After 2000,Female,25-34,Yes,,Em consulta (cuidados presenciais),No
10202,2,5 or less,5 or less,5 or less,Nurse,Secondary,Diploma,Female,Younger than 25,Yes,No,Authorised absence (permision/leave),Yes,,3.0,2.0,Nurse,Secondary,Diploma,After 2000,Female,Younger than 25,Yes,,Em consulta (cuidados presenciais),No
10202,3,5 or less,5 or less,5 or less,Clinical Officer,Secondary,Diploma,Male,Younger than 25,No,Yes,,Yes,,3.0,3.0,Clinical Officer,Secondary,Diploma,After 2000,Male,Younger than 25,No,Authorised absence (permision/leave),,
10303,1,Over 50,Over 50,Over 5,Clinical Officer,Post-Secondary,Advanced,Female,25-34,Yes,Yes,,Yes,No,11.0,10.0,Clinical Officer,Secondary,Diploma,After 2000,Female,35-44,No,Official mission,,
10303,2,Over 50,Over 50,Over 5,Doctor,Post-Secondary,99,Male,25-34,Yes,Yes,,No,No,11.0,16.0,Nurse,,Diploma,In the 1990s,Male,45 or older,Yes,,Em consulta (cuidados presenciais),No
10303,3,Over 50,Over 50,Over 5,Doctor,Post-Secondary,99,Male,25-34,Yes,Yes,,Yes,No,11.0,3.0,Doctor,Post-Secondary,99.0,After 2000,Male,25-34,Yes,,Escrever uma receita,No
10303,4,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,Yes,No,Authorised absence (permision/leave),No,,11.0,37.0,Nurse,,Diploma,After 2000,Female,25-34,No,"On call (pre on call, post on call)",,
10303,5,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,Yes,Yes,,No,No,11.0,21.0,Nurse,,Diploma,After 2000,Female,25-34,Yes,,Em consulta (cuidados presenciais),Yes
10303,6,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,Yes,No,Sickness/maternity,No,,11.0,29.0,Nurse,Secondary,Diploma,After 2000,Female,25-34,No,"On call (pre on call, post on call)",,
10303,7,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,Yes,Yes,,No,No,11.0,19.0,Nurse,,Diploma,After 2000,Female,35-44,Yes,,Em consulta (cuidados presenciais),No
10303,8,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,Female,25-34,Yes,No,Training/seminar/meeting,No,,11.0,50.0,Nurse,Secondary,Diploma,After 2000,Female,25-34,Yes,,Em consulta (cuidados presenciais),Yes
10303,9,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,Yes,Yes,,No,Yes,11.0,12.0,Clinical Officer,Secondary,Diploma,In the 1990s,Female,25-34,Yes,,Em consulta (cuidados presenciais),No
10303,10,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,Female,35-44,Yes,No,Training/seminar/meeting,Yes,,11.0,18.0,Nurse,,Diploma,Before 1990,Male,45 or older,Yes,,À espera que o paciente se dispa,Yes
10303,11,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,Yes,No,Authorised absence (permision/leave),No,,11.0,1.0,Clinical Officer,Post-Secondary,Advanced,After 2000,Female,25-34,Yes,,Em consulta (cuidados presenciais),No
10303,12,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,Female,25-34,Yes,No,Authorised absence (permision/leave),Yes,,,,,,,,,,,,,
10303,13,Over 50,Over 50,Over 5,Clinical Officer,,Diploma,Male,35-44,Yes,Yes,,No,No,,,,,,,,,,,,
10303,14,Over 50,Over 50,Over 5,Clinical Officer,,Diploma,Male,25-34,Yes,Yes,,No,Yes,,,,,,,,,,,,
10303,15,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,Male,45 or older,Yes,Yes,,No,Yes,,,,,,,,,,,,
10303,16,Over 50,Over 50,Over 5,Nurse,,Diploma,Male,45 or older,Yes,Yes,,Yes,No,,,,,,,,,,,,
10303,17,Over 50,Over 50,Over 5,Nurse,Primary,Certificate,Male,45 or older,Yes,No,"On call (pre on call, post on call)",No,,,,,,,,,,,,,
10303,18,Over 50,Over 50,Over 5,Nurse,,Diploma,Male,45 or older,Yes,Yes,,Yes,Yes,,,,,,,,,,,,
10303,19,Over 50,Over 50,Over 5,Nurse,,Diploma,Female,35-44,Yes,No,Training/seminar/meeting,Yes,,,,,,,,,,,,,
10303,20,Over 50,Over 50,Over 5,Nurse,,Certificate,Male,45 or older,Yes,No,Authorised absence (permision/leave),No,,,,,,,,,,,,,
10303,21,Over 50,Over 50,Over 5,Nurse,,Diploma,Female,25-34,Yes,Yes,,Yes,Yes,,,,,,,,,,,,
10303,22,Over 50,Over 50,Over 5,Nurse,,Diploma,Male,35-44,Yes,No,Authorised absence (permision/leave),No,,,,,,,,,,,,,
10303,23,Over 50,Over 50,Over 5,Nurse,Post-Secondary,Advanced,Male,25-34,Yes,No,"On call (pre on call, post on call)",No,,,,,,,,,,,,,
10303,24,Over 50,Over 50,Over 5,Nurse,,Advanced,Female,25-34,Yes,Yes,,No,No,,,,,,,,,,,,
10303,25,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,Female,25-34,Yes,No,Training/seminar/meeting,No,,,,,,,,,,,,,
10303,26,Over 50,Over 50,Over 5,Nurse,Post-Secondary,Advanced,Male,25-34,Yes,Yes,,No,Yes,,,,,,,,,,,,
10303,27,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,Male,Younger than 25,Yes,Yes,,No,No,,,,,,,,,,,,
10303,28,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,Male,25-34,Yes,No,"On call (pre on call, post on call)",No,,,,,,,,,,,,,
10303,29,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,Female,25-34,Yes,No,Authorised absence (permision/leave),Yes,,,,,,,,,,,,,
10303,30,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,Female,25-34,Yes,No,Authorised absence (permision/leave),No,,,,,,,,,,,,,
10303,31,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,Female,25-34,Yes,Yes,,No,No,,,,,,,,,,,,
10303,32,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,Female,25-34,Yes,Yes,,No,No,,,,,,,,,,,,
10303,33,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,Female,25-34,Yes,Yes,,No,Yes,,,,,,,,,,,,
10303,34,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,Female,25-34,Yes,Yes,,No,No,,,,,,,,,,,,
10303,35,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,Female,25-34,Yes,No,"On call (pre on call, post on call)",No,,,,,,,,,,,,,
10303,36,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,Female,45 or older,Yes,Yes,,No,No,,,,,,,,,,,,
10303,37,Over 50,Over 50,Over 5,Nurse,,Diploma,Female,25-34,Yes,Yes,,Yes,Yes,,,,,,,,,,,,
10303,38,Over 50,Over 50,Over 5,Nurse,,Diploma,Female,45 or older,Yes,No,"On call (pre on call, post on call)",No,,,,,,,,,,,,,
10303,39,Over 50,Over 50,Over 5,Nurse,,Diploma,Female,35-44,Yes,Yes,,No,No,,,,,,,,,,,,
10303,40,Over 50,Over 50,Over 5,Nurse,,Diploma,Female,25-34,Yes,No,Authorised absence (permision/leave),No,,,,,,,,,,,,,
10303,41,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,Male,25-34,Yes,Yes,,No,No,,,,,,,,,,,,
10303,42,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,Female,25-34,Yes,No,Authorised absence (permision/leave),No,,,,,,,,,,,,,
10303,43,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,Female,25-34,Yes,No,"On call (pre on call, post on call)",No,,,,,,,,,,,,,
10303,44,Over 50,Over 50,Over 5,Nurse,,Diploma,Male,25-34,Yes,Yes,,No,Yes,,,,,,,,,,,,
10303,45,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,Male,25-34,Yes,No,Authorised absence (permision/leave),No,,,,,,,,,,,,,
10303,46,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,Female,25-34,Yes,No,Authorised absence (permision/leave),No,,,,,,,,,,,,,
10303,47,Over 50,Over 50,Over 5,Nurse,Primary,Certificate,Female,35-44,No,Yes,,No,,,,,,,,,,,,,
10303,48,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,Female,25-34,Yes,No,"On call (pre on call, post on call)",No,,,,,,,,,,,,,
