fac_id,staff_id,mod1_id,m1s0q4_2,m1s2q4,m1s2q5,m1s2q6,m1s2q7,m1s2q9,m1s2q10,m1s2q10_a,m1s2q1,strate,weight_m1p,mod2_id,m2s0q1_2,m2s0q2_2,m2s0q3_2,m2s0q4_2,m2s0q7_1,m2s0q7_2,m2s0q7_3,m2s0q7_5,m2s0q7_6,m2s0q7_7,m2s0q10,m2s1q2,m2s1q3,m2s1q4,m2s1q5,m2s1q6,m2s1q7,m2s1q13,m2s1q14,m2s1q15,m2s1q16,m2s1q17,weight_m2,mod3_id,m3s0q1_2,m3s0q2_2,m3s0q3_2,m3s0q4_2,m3s0q7_1,m3s0q7_2,m3s0q7_3,m3s0q7_5,m3s0q7_6,m3s0q7_7,m3s0q8_h,m3s0q8_mn,m3s0q9_h,m3s0q9_mn,m3s1q2,m3s1q3,m3s1q3_a,weight_m3
1,0,86,125,Nurse,Femme,35-44,Oui,Oui,,,5 or less,12,63.749138,86.0,32.0,6.0,21.0,125.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,Oui,0.0,oui,Nurse,35-44,Secondary,In the 1990s,0.0,Oui,0.0,Oui,1ere,191.2474,86.0,32.0,6.0,21.0,125.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,13.0,20.0,13.0,25.0,Oui,,,191.2474
1,2,86,125,Other,Femme,,Non,Non,Congés maladie/maternité,,5 or less,12,63.749138,86.0,32.0,6.0,21.0,125.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,Oui,2.0,non,Other,,,,,,,,1ere,191.2474,86.0,32.0,6.0,21.0,125.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,13.0,20.0,13.0,25.0,Non,Absence non-approuvée,,191.2474
1,1,86,125,Other,Femme,45 or older,Non,Oui,,,5 or less,12,63.749138,86.0,32.0,6.0,21.0,125.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,Oui,1.0,oui,Other,45 or older,Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,191.2474,86.0,32.0,6.0,21.0,125.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,13.0,20.0,13.0,25.0,Oui,,,191.2474
2,0,30,122,Other,Homme,25-34,Oui,Oui,,,5 or less,10,23.727657,30.0,41.0,5.0,17.0,122.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,Oui,0.0,oui,Other,25-34,Post-Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,23.727657,30.0,41.0,5.0,17.0,122.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,9.0,35.0,9.0,40.0,Oui,,,23.727657
3,0,135,115,Other,Homme,45 or older,Oui,Oui,,,5 or less,4,29.90738,135.0,71.0,2.0,5.0,115.0,Questionnaire complet,Oui,72.0,Questionnaire complet,Oui,3.0,Oui,0.0,oui,Other,45 or older,Secondary,Before 1990,0.0,Oui,0.0,Oui,1ere,119.62952,135.0,72.0,2.0,5.0,115.0,Questionnaire complet,Oui,71.0,Questionnaire complet,Oui,3.0,9.0,10.0,9.0,20.0,Oui,,,119.62952
3,2,135,115,Nurse,Femme,25-34,Non,Oui,,,5 or less,4,29.90738,135.0,71.0,2.0,5.0,115.0,Questionnaire complet,Oui,72.0,Questionnaire complet,Oui,3.0,Oui,2.0,oui,Nurse,25-34,Secondary,In the 1990s,0.0,Oui,0.0,Oui,1ere,119.62952,135.0,72.0,2.0,5.0,115.0,Questionnaire complet,Oui,71.0,Questionnaire complet,Oui,3.0,9.0,10.0,9.0,20.0,Oui,,,119.62952
3,1,135,115,Other,Homme,35-44,Non,Oui,,,5 or less,4,29.90738,135.0,71.0,2.0,5.0,115.0,Questionnaire complet,Oui,72.0,Questionnaire complet,Oui,3.0,Oui,1.0,oui,Other,35-44,Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,119.62952,135.0,72.0,2.0,5.0,115.0,Questionnaire complet,Oui,71.0,Questionnaire complet,Oui,3.0,9.0,10.0,9.0,20.0,Oui,,,119.62952
3,3,135,115,Other,Homme,Younger than 25,Non,Oui,,,5 or less,4,29.90738,135.0,71.0,2.0,5.0,115.0,Questionnaire complet,Oui,72.0,Questionnaire complet,Oui,3.0,Oui,3.0,oui,Other,Younger than 25,Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,119.62952,135.0,72.0,2.0,5.0,115.0,Questionnaire complet,Oui,71.0,Questionnaire complet,Oui,3.0,9.0,10.0,9.0,20.0,Oui,,,119.62952
4,0,112,134,Other,Femme,45 or older,Oui,Oui,,,5 or less,20,37.013012,112.0,71.0,10.0,36.0,134.0,Questionnaire complet,Oui,72.0,Questionnaire complet,Oui,3.0,Oui,0.0,oui,Other,45 or older,Secondary,After 2000,Ne sait pas,Non,Ne sait pas,Non,1ere,74.026024,112.0,72.0,10.0,36.0,134.0,Questionnaire complet,Oui,71.0,Questionnaire complet,Oui,3.0,9.0,30.0,9.0,40.0,Oui,,,74.026024
4,1,112,134,Other,Femme,35-44,Oui,Oui,,,5 or less,20,37.013012,112.0,71.0,10.0,36.0,134.0,Questionnaire complet,Oui,72.0,Questionnaire complet,Oui,3.0,Oui,1.0,oui,Other,35-44,Secondary,After 2000,Ne sait pas,Non,Ne sait pas,Non,1ere,74.026024,112.0,72.0,10.0,36.0,134.0,Questionnaire complet,Oui,71.0,Questionnaire complet,Oui,3.0,9.0,30.0,9.0,40.0,Oui,,,74.026024
5,0,75,126,Other,Femme,25-34,Oui,Oui,,,5 or less,12,10.400542,75.0,21.0,6.0,23.0,126.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,Oui,0.0,oui,Other,25-34,Primary,In the 1990s,0.0,Oui,0.0,Oui,1ere,20.801085,75.0,22.0,6.0,23.0,126.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,8.0,51.0,9.0,15.0,Oui,,,20.801085
5,1,75,126,Nurse,Femme,45 or older,Non,Oui,,,5 or less,12,10.400542,75.0,21.0,6.0,23.0,126.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,Oui,1.0,oui,Nurse,45 or older,Primary,In the 1990s,0.0,Oui,0.0,Oui,1ere,20.801085,75.0,22.0,6.0,23.0,126.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,8.0,51.0,9.0,15.0,Oui,,,20.801085
