fac_id,staff_id,mod5_id,m5s0q1_2,m5s0q2_2,m5s0q3_2,m5s0q4_2,m5s0q7_1,m5s0q7_2,m5s0q7_3,m5s0q7_5,m5s0q7_6,m5s0q7_7,m5s0q8_h,m5s0q8_mn,m5s0q9_h,m5s0q9_mn,m5s1q1_01,m5s1q1_02,m5s1q1_03,m5s1q1_04,m5s1q1_05,m5s1q1_06,m5s1q1_07,m5s1q1_08,m5s1q1_09,m5s1q1_10,m5s1q1_11,m5s1q1_12,m5s1q1_13,m5s1q1_a1,m5s1q1_a2,m5s1q1_a3,m5s1q1_a4,m5s1q1_a5,m5s1q2_01,m5s1q2_02,m5s1q2_03,m5s1q2_04,m5s1q2_05,m5s1q2_06,m5s1q2_07,m5s1q2_08,m5s1q2_09,m5s1q2_10,m5s1q2_11,m5s1q2_a1,m5s1q2_a2,m5s1q2_a3,m5s1q2_a4,m5s1q2_a5,m5s1q3_01,m5s1q3_02,m5s1q3_03,m5s1q3_04,m5s1q4_01,m5s1q3_a1,m5s1q3_a2,m5s1q3_a3,m5s1q3_a4,m5s1q3_a5,m5s1q4_02,m5s1q4_03,m5s1q4_04,m5s1q4_05,m5s1q4_a1,m5s1q4_a2,m5s1q4_a3,m5s1q4_a4,m5s1q4_a5,m5s1q5_01,m5s1q5_02,m5s1q5_03,m5s1q5_04,m5s1q5_05,m5s1q5_06,m5s1q5_a1,m5s1q5_a2,m5s1q5_a3,m5s1q5_a4,m5s1q5_a5,m5s1q6_01,m5s1q6_02,m5s1q6_03,m5s1q6_04,m5s1q6_05,m5s1q6_a1,m5s1q6_a2,m5s1q6_a3,m5s1q6_a4,m5s1q6_a5,m5s2q1_01,m5s2q1_02,m5s2q1_03,m5s2q1_04,m5s2q1_05,m5s2q1_06,m5s2q1_07,m5s2q1_08,m5s2q1_09,m5s2q1_10,m5s2q1_11,m5s2q1_a1,m5s2q1_a2,m5s2q1_a3,m5s2q1_a4,m5s2q1_a5,m5s2q2_01,m5s2q2_02,m5s2q2_03,m5s2q2_04,m5s2q2_05,m5s2q2_06,m5s2q2_07,m5s2q2_08,m5s2q2_09,m5s2q2_a1,m5s2q2_a2,m5s2q2_a3,m5s2q2_a4,m5s2q2_a5,m5s2q3_01,m5s2q3_02,m5s2q3_03,m5s2q3_a1,m5s2q3_a2,m5s2q3_a3,m5s2q3_a4,m5s2q3_a5,m5s2q4_01,m5s2q4_02,m5s2q4_03,m5s2q4_04,m5s2q4_05,m5s2q4_a1,m5s2q4_a2,m5s2q4_a3,m5s2q4_a4,m5s2q4_a5,m5s2q5_01,m5s2q5_02,m5s2q5_03,m5s2q5_04,m5s2q5_05,m5s2q5_06,m5s2q5_07,m5s2q5_a1,m5s2q5_a2,m5s2q5_a3,m5s2q5_a4,m5s2q5_a5,m5s2q6_01,m5s2q6_02,m5s2q6_03,m5s2q6_04,m5s2q6_05,m5s2q6_06,m5s2q6_a1,m5s2q6_a2,m5s2q6_a3,m5s2q6_a4,m5s2q6_a5,m5s3q1_01,m5s3q1_02,m5s3q1_03,m5s3q1_04,m5s3q1_05,m5s3q1_06,m5s3q1_07,m5s3q1_08,m5s3q1_a1,m5s3q1_a2,m5s3q1_a3,m5s3q1_a4,m5s3q1_a5,m5s3q2_01,m5s3q2_02,m5s3q2_03,m5s3q2_04,m5s3q2_05,m5s3q2_06,m5s3q2_a1,m5s3q2_a2,m5s3q2_a3,m5s3q2_a4,m5s3q2_a5,m5s3q3_01,m5s3q3_02,m5s3q3_03,m5s3q3_a1,m5s3q3_a2,m5s3q3_a3,m5s3q3_a4,m5s3q3_a5,m5s3q4_01,m5s3q4_02,m5s3q4_03,m5s3q4_04,m5s3q4_05,m5s3q4_a1,m5s3q4_a2,m5s3q4_a3,m5s3q4_a4,m5s3q4_a5,m5s3q5_01,m5s3q5_02,m5s3q5_03,m5s3q5_04,m5s3q5_05,m5s3q5_06,m5s3q5_07,m5s3q5_a1,m5s3q5_a2,m5s3q5_a3,m5s3q5_a4,m5s3q5_a5,m5s3q6_01,m5s3q6_02,m5s3q6_03,m5s3q6_a1,m5s3q6_a2,m5s3q6_a3,m5s3q6_a4,m5s3q6_a5,m5s4q1_01,m5s4q1_02,m5s4q1_03,m5s4q1_04,m5s4q1_05,m5s4q1_06,m5s4q1_07,m5s4q1_08,m5s4q1_09,m5s4q1_10,m5s4q1_a1,m5s4q1_a2,m5s4q1_a3,m5s4q1_a4,m5s4q1_a5,m5s4q2_01,m5s4q2_02,m5s4q2_03,m5s4q2_04,m5s4q2_05,m5s4q2_a1,m5s4q2_a2,m5s4q2_a3,m5s4q2_a4,m5s4q2_a5,m5s4q3_01,m5s4q3_02,m5s4q3_03,m5s4q3_a1,m5s4q3_a2,m5s4q3_a3,m5s4q3_a4,m5s4q3_a5,m5s4q4_01,m5s4q4_02,m5s4q4_03,m5s4q4_04,m5s4q4_05,m5s4q4_06,m5s4q4_a1,m5s4q4_a2,m5s4q4_a3,m5s4q4_a4,m5s4q4_a5,m5s4q5_01,m5s4q5_02,m5s4q5_03,m5s4q5_04,m5s4q5_05,m5s4q5_06,m5s4q5_a1,m5s4q5_a2,m5s4q5_a3,m5s4q5_a4,m5s4q5_a5,m5s4q6_01,m5s4q6_02,m5s4q6_03,m5s4q6_04,m5s4q6_05,m5s4q6_06,m5s4q6_07,m5s4q6_08,m5s4q6_a1,m5s4q6_a2,m5s4q6_a3,m5s4q6_a4,m5s4q6_a5,m5s5q1_01,m5s5q1_02,m5s5q1_03,m5s5q1_04,m5s5q1_05,m5s5q1_06,m5s5q1_07,m5s5q1_08,m5s5q1_09,m5s5q1_10,m5s5q1_11,m5s5q1_a1,m5s5q1_a2,m5s5q1_a3,m5s5q1_a4,m5s5q1_a5,m5s5q2_01,m5s5q2_02,m5s5q2_03,m5s5q2_04,m5s5q2_05,m5s5q2_a1,m5s5q2_a2,m5s5q2_a3,m5s5q2_a4,m5s5q2_a5,m5s5q3_01,m5s5q3_02,m5s5q3_03,m5s5q3_04,m5s5q3_05,m5s5q3_06,m5s5q3_07,m5s5q3_08,m5s5q3_a1,m5s5q3_a2,m5s5q3_a3,m5s5q3_a4,m5s5q3_a5,m5s5q4_01,m5s5q4_02,m5s5q4_03,m5s5q4_04,m5s5q4_05,m5s5q4_06,m5s5q4_a1,m5s5q4_a2,m5s5q4_a3,m5s5q4_a4,m5s5q4_a5,m5s5q5_01,m5s5q5_02,m5s5q5_03,m5s5q5_04,m5s5q5_a1,m5s5q5_a2,m5s5q5_a3,m5s5q5_a4,m5s5q5_a5,m5s5q6_01,m5s5q6_02,m5s5q6_03,m5s5q6_04,m5s5q6_05,m5s5q6_06,m5s5q6_07,m5s5q6_08,m5s5q6_09,m5s5q6_a1,m5s5q6_a2,m5s5q6_a3,m5s5q6_a4,m5s5q6_a5,m5s6q1,m5s6q3,m5s6q4,m5s6q5,m1s2q1,strate,weight_m5
1,91,88,32,6,21,125,Questionnaire complet,Oui,31,Questionnaire complet,Oui,1,8.0,30.0,9.0,0.0,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,,,,,,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Oui,Non,Non,Non,Non,,,,,,Non,Oui,Non,Non,,,,,,Non,Oui,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,,,,,,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,DIVERSIFICATION,ALIMENTATION,,,,Non,Non,Non,Non,Non,Non,Non,Oui,Non,,,,,,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Oui,Oui,,,,,,Non,Oui,Oui,Non,Oui,Non,,,,,,Oui,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Oui,Non,,,,,,Non,Oui,Non,,,,,,Oui,Non,Oui,Non,Non,,,,,,Non,Non,Non,Non,Oui,Non,Oui,,,,,,Non,Oui,Non,,,,,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,NAUSEE,VOMISSEMENT,EXISTENCE  DE GROSSESSE,,,Non,Non,Non,Oui,Oui,,,,,,Non,Non,Non,ECHOGRAPHIE,,,,,Non,Non,Non,Non,Non,Non,FIBROME,GROSSESSE,KYSTE,,,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Oui,Non,Non,Non,Non,,,,,,Oui,Oui,Non,Non,Non,Non,Non,Non,,,,,,Oui,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Oui,,,,,,Non,Non,Non,Non,Non,Non,Non,Oui,Non,,,,,,Other,35-44,11-20,Femme,5 or less,12,63.749138
2,91,30,41,5,17,122,Questionnaire complet,Oui,42,Questionnaire complet,Oui,2,11.0,20.0,11.0,45.0,Oui,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,AUTRES SYNTOMES,,,,,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,,,,,,Non,Oui,Non,Non,,,,,,Non,Oui,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,,,,,,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,TOUX,,,,,Non,Non,Non,Oui,Non,Non,Non,Non,Non,EXAMEN  ABDOMEN,,,,,Non,Non,Non,,,,,,Non,Non,Oui,Non,Non,,,,,,Non,Non,Oui,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,RDV SINON MENTRUATION DANS 3 JOURS,,,,,Oui,Non,Non,Oui,Oui,Non,Non,Non,VOMISSEMENT,ICTERE,,,,Non,Non,Non,Non,Oui,Non,,,,,,Non,Non,Non,,,,,,Oui,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,Non,CITRON ET MIEL,,,,,Non,Oui,Non,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,FIEVRE,NAUSEE,DURE DES SYNTOMES,,,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,REFERE AU PORTE,,,,,Oui,Non,Oui,Oui,Oui,Non,Non,Non,Non,Oui,Oui,,,,,,Non,Non,Non,Non,Non,,,,,,Oui,Non,Non,Non,Non,Non,Non,Non,,,,,,Oui,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,REFERE AU PORTE,,,,,Other,25-34,10 or less,Homme,5 or less,10,23.727657
3,91,137,71,2,5,115,Questionnaire complet,Oui,72,Questionnaire complet,Oui,3,13.0,49.0,14.0,15.0,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Oui,Non,Non,Non,Non,,,,,,Non,Oui,Non,Non,,,,,,Non,Oui,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,,,,,,Oui,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,,,,,,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,DIRRHEE SEVERE,,,,,Non,Non,Non,Non,Non,Non,Non,REFERER,,,,,Non,Non,Non,Non,Non,Non,,,,,,Oui,Non,Non,Non,Non,Oui,Non,Non,,,,,,Non,Oui,Non,Non,Oui,Non,,,,,,Non,Non,Non,,,,,,Oui,Non,Non,Non,Non,,,,,,Non,Oui,Non,Non,Oui,Non,Non,PARACETAMOL,,,,,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Oui,Non,Non,,,,,,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,REFERER,,,,,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,,,,,,Oui,Non,Non,Non,Non,,,,,,Oui,Non,Non,Non,Non,Non,Non,Non,,,,,,Oui,Non,Non,Non,Non,Non,,,,,,Oui,Non,Non,Non,REFERER,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Other,45 or older,More than 20,Homme,5 or less,4,29.90738
4,91,114,71,10,36,134,Questionnaire complet,Oui,72,Questionnaire complet,Oui,3,11.0,50.0,12.0,20.0,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,,,,,,Non,Oui,Non,Non,,,,,,Non,Oui,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,,,,,,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,,,,,,Non,Non,Oui,Non,Non,,,,,,Non,Non,Oui,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,REVENIR DANS 3 JOURS,,,,,Oui,Non,Non,Non,Non,Non,Non,Non,ECOULEMENT  NASAL,,,,,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,,,,,,Non,Non,Oui,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,Non,TERPINE  3X/ JOURS,,,,,Non,Non,Non,REVENIR   DANS 3 JOURS,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,DUREE DOULEUR,,,,,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,REFERER  AU POSTE DE SANTE,,,,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,REFERER AU POSTE  DE SANTE,,,,,Other,45 or older,10 or less,Femme,5 or less,20,37.013012
5,91,76,21,6,23,126,Questionnaire complet,Oui,22,Questionnaire complet,Oui,1,11.0,15.0,11.0,30.0,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,ADRESS,NOM,,,,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Oui,Non,Non,Non,Non,,,,,,Non,Oui,Non,Non,,,,,,Non,Oui,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,POSOLOGIE  PENDANT  3 JOURS,2 FOIS PAR  JOURS,,,,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,NOM,AGE,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,,,,,,Non,Non,Oui,Non,Non,,,,,,Non,Non,Oui,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,INFORMER  SUR LA PROPRETE HYGIENE ALIMEN,TAIRE,BOUILLIR  L EAU  POUR LE  ORS,RV 3 JOURS,,Oui,Non,Non,Non,Non,Non,Oui,Non,DATE  ET DEBUT HORAIRE  DE LA TOUX,,,,,Non,Non,Non,Non,Non,Non,,,,,,Non,Oui,Non,,,,,,Non,Non,Oui,Non,Non,TUBERCULOSE,,,,,Non,Non,Non,Non,Non,Non,Non,ANTIUBERCULEUX,,,,,Non,Non,Non,REFERER VERS LA POSTE  GRATUITE  DE LA P,RISE EN CHARGE  DU TRAITEMENT,,,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,CONSULTER TOT REFERER VERS LE  POSTE,,,,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,HORAIRE  DE LA TOUX,,,,,Non,Non,Non,Non,Non,,,,,,Oui,Non,Non,Non,Non,Non,Non,Non,,,,,,Oui,Non,Non,Non,Non,Non,,,,,,Oui,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,RESPECTER LE TRAITEMENT,EVITER  LA CHRONIQUE,GRATUITE  DU TRAITEMENT  ETRE  ACCOMPAGN,E  D UN PARENT  POUR EVITER LES PERTES D,E VUE,Other,25-34,,Femme,5 or less,12,10.400542
6,91,151,11,5,17,151,Questionnaire complet,Oui,12,Questionnaire complet,Oui,3,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,,,,,5 or less,10,13.86989
7,91,71,32,7,25,146,Questionnaire complet,Oui,31,Questionnaire complet,Oui,1,9.0,10.0,9.0,25.0,Oui,Oui,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,MEDICAMENT ANTERIEUR,,,,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,PRISE DE POULS,,,,,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,SYNDROME  INFECTIEUX,,,,,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,,,,,,Non,Oui,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,DIVERSIFICATION ALIMENTAIRE,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,INTOXICATION,,,,,Non,Non,Oui,Non,Non,Oui,Non,,,,,,Oui,Oui,Non,Non,Non,Oui,,,,,,Oui,Non,Non,Non,Oui,Non,Non,Non,MAUX DE TETE,,,,,Non,Non,Oui,Non,Oui,Non,AUSCULATION DU COEUR,,,,,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,SYNDROME  INFECTIEUX,,,,,Non,Oui,Non,Non,Non,Non,Non,ANTITUSSIF,,,,,Non,Oui,Non,,,,,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,ANTECEDENTS,,,,,Non,Non,Oui,Non,Oui,PRISE  DE TENSION ARTERIELLE,,,,,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,PERITONEITE,,,,,Non,Non,Non,Non,Non,Non,ANTALGIQUE,REFERER,,,,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Non,Oui,Non,VOMISSEMENT,,,,,Oui,Non,Non,Non,Non,PRISE DE TENSION ARTERIELLE,,,,,Oui,Non,Non,Non,Non,Non,Non,Non,,,,,,Oui,Non,Non,Non,Non,Non,IRA,,,,,Non,Non,Non,Oui,ANTALGIQUE,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Nurse,25-34,10 or less,Homme,5 or less,14,33.04464
8,91,32,41,4,16,121,Questionnaire complet,Oui,41,Questionnaire complet,Oui,2,14.0,0.0,14.0,20.0,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,,,,,,Non,Oui,Non,Non,,,,,,Non,Oui,Non,Non,Non,Non,ANTISYMTOMATIQUE,,,,,Non,Non,Non,Non,Non,,,,,,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,,,,,,Non,Non,Non,Non,Oui,,,,,,Non,Non,Oui,Non,Oui,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,RDV DANS 48 HEURES,,,,,Non,Non,Non,Non,Oui,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,,,,,,Oui,Non,Non,Non,Non,TUBERCULOSE,,,,,Oui,Non,Non,Non,Non,Non,Non,ANTI TUBERCULEUX,,,,,Non,Non,Non,REFERER AU PORTE,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,ANTIDOUEURS,,,,,Non,Non,Non,Non,Non,Non,Non,Non,REFERER AU PORTE,,,,,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Oui,Non,Non,Non,Non,Non,,,,,,Oui,Non,Non,Non,,,,,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Other,25-34,10 or less,Femme,5 or less,8,29.367146
9,91,68,32,8,27,129,Questionnaire complet,Oui,31,Questionnaire complet,Oui,1,8.0,30.0,8.0,50.0,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,ETAT  CIVIL,,,,,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Oui,Non,Non,Non,Non,,,,,,Non,Oui,Non,Non,,,,,,Non,Oui,Non,Non,Non,Non,PARCETAMOL,,,,,Non,Non,Non,Non,Non,,,,,,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,ETAT CIVIL,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Oui,Non,Non,,,,,,Non,Oui,Non,Oui,Non,Non,,,,,,Oui,Oui,Oui,Non,Non,Non,Non,Non,ETAT CIVIL,,,,,Non,Non,Non,Non,Non,Non,,,,,,Non,Oui,Non,,,,,,Oui,Non,Non,Non,Non,,,,,,Oui,Non,Non,Non,Oui,Non,Non,,,,,,Oui,Oui,Non,REFERER SI PAS AMELIORATION,,,,,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,AVIS ICP,,,,,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Oui,Non,Non,Non,Non,PRISE  DE TENSION ARTERIELLE,,,,,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,ANTIPYRETIQUE,COTRIMOXAZOLE,AVIS  ICP,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Other,45 or older,More than 20,Homme,5 or less,16,33.799633
10,91,104,71,2,6,117,Questionnaire complet,Oui,72,Questionnaire complet,Oui,3,11.0,18.0,11.0,50.0,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,CEPHALEES,NAUSEE,DOULEURS  ABDOMINALES,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,,,,,,Non,Oui,Non,Non,,,,,,Non,Oui,Non,Non,Non,Non,PARACETAMOL,1 CUILLIERE  DE CAFE X 31 JOURS,1CP UTULISATION DE ACT,,,Non,Non,Non,Non,Non,RV DANS  5 JOURS,,,,,Non,Oui,Non,Non,Oui,Oui,Non,Oui,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,DIARRHEE PERSISTANTE,,,,,Non,Non,Oui,Non,Non,Non,Non,REFERER,,,,,Non,Non,Non,Non,Non,Non,,,,,,Oui,Non,Non,Oui,Non,Non,Non,Non,CEPHALEES,,,,,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,,,,,,Oui,Non,Non,Non,Non,,,,,,Non,Oui,Non,Non,Oui,Non,Non,UP X 3 JOURS,CAC X 2 JOURS,,,,Non,Non,Non,RV  DANS  10 JOURS,,,,,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,TRAVAILLER VOUS BEAUCOUP OU SOULEVEZ VOU,DES CHOSES LOURDES,,,,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,FATIGUANT,ASTHEMIE,,,,Non,Non,Non,Non,Non,Non,IBUPROFEN  1 CP X 3 AU MILIEU  DES REPAS,,,,,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,APRES  TOUX  EXISTE  T ILS  DES VOMISSEM,ENTS,,,,Non,Non,Non,Non,Non,,,,,,Oui,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,INSUFFISSANCE   RESPIRATOIRE  AIGUE GRAV,E,,,,Non,Non,Non,Non,REFERER  AU POSTE  DE SANTE,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,Other,Younger than 25,10 or less,Femme,5 or less,4,15.525735
