unique_id,fac_id,staff_id,m2saq1,m2saq2,m2saq3,m2saq6,m2saq8,m2saq9,m2saq10,m2saq11,m2saq12,m2saq13,m2saq14,m2saq15,m2saq16,m2saqobs,m2sbq1,m2sbq3,m2sbq5,m2sbq6,m2sbq7,m2sbq8,m2sbq9,m2sbq10,m2sbq11,m2sbq12,m2sbq13,m2sbq15,m2sbq17,has_roster,has_absentee,country,absence_rate
1_2,1,2,5 or less,5 or less,5 or less,Nurse,Primary,Diploma,0.0,35-44,Oui,Oui,,Oui,Oui,,2.0,2.0,Nurse,Primary,Diploma,0.0,35-44,Oui,,Consultation/visite de malade,Oui,After 2000,Individu,1,1.0,Niger-2015,0.5
1_1,1,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Homme,35-44,0.0,Absence non autorisée,,,,Collègue,1,1.0,Niger-2015,0.5
100_1,100,1,5 or less,5 or less,5 or less,Nurse,Post-Secondary,Advanced,0.0,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Post-Secondary,Advanced,0.0,25-34,Oui,,Consultation/visite de malade,0.0,After 2000,Individu,1,1.0,Niger-2015,0.0
101_1,101,1,5 or less,5 or less,5 or less,Other,Secondary,Advanced,Homme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Advanced,Homme,25-34,Oui,,Consultation/visite de malade,Oui,After 2000,Individu,1,1.0,Niger-2015,0.0
101_2,101,2,5 or less,5 or less,5 or less,Other,Secondary,Advanced,0.0,Younger than 25,Oui,Oui,,Oui,Oui,,2.0,2.0,Other,Secondary,Advanced,0.0,Younger than 25,Oui,,Consultation/visite de malade,Oui,After 2000,Individu,1,1.0,Niger-2015,0.0
102_1,102,1,5 or less,5 or less,5 or less,Other,Primary,Certificate,Homme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Primary,Certificate,Homme,25-34,0.0,Absence autorisée (permission/congé),,,,Autre (Préciser),1,1.0,Niger-2015,1.0
103_1,103,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Homme,45 or older,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Homme,45 or older,0.0,En grève,,,,Autre (Préciser),1,1.0,Niger-2015,1.0
104_1,104,1,5 or less,5 or less,5 or less,Other,Primary,Certificate,0.0,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Primary,Certificate,0.0,25-34,Oui,,Traitement de dossiers/élaboration de rapports,Oui,After 2000,Individu,1,1.0,Niger-2015,0.0
106_2,106,2,6-10,5 or less,5 or less,Other,Primary,Certificate,0.0,Younger than 25,Oui,Oui,,Oui,Oui,,2.0,2.0,Other,Primary,Certificate,0.0,Younger than 25,Oui,,Consultation/visite de malade,Oui,After 2000,Individu,1,1.0,Niger-2015,0.5
106_1,106,1,6-10,5 or less,5 or less,Other,Primary,Certificate,0.0,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Primary,Certificate,0.0,25-34,0.0,Absence autorisée (permission/congé),,,,Collègue,1,1.0,Niger-2015,0.5
108_1,108,1,5 or less,5 or less,5 or less,Other,Secondary,Advanced,Homme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Advanced,Homme,25-34,0.0,Absence non autorisée,,,,Autre (Préciser),1,1.0,Niger-2015,1.0
11_1,11,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,0.0,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,0.0,35-44,Oui,,Traitement de dossiers/élaboration de rapports,0.0,After 2000,Individu,1,1.0,Niger-2015,0.0
110_2,110,2,5 or less,5 or less,5 or less,Other,Primary,Certificate,0.0,35-44,Oui,Oui,,Oui,Oui,,2.0,2.0,Other,Primary,Certificate,0.0,35-44,Oui,,Consultation/visite de malade,Oui,After 2000,Individu,1,1.0,Niger-2015,0.0
110_1,110,1,5 or less,5 or less,5 or less,Other,Primary,Certificate,0.0,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Primary,Certificate,0.0,25-34,Oui,,Autre,Oui,After 2000,Individu,1,1.0,Niger-2015,0.0
112_2,112,2,6-10,5 or less,5 or less,Other,Secondary,Advanced,Homme,35-44,Oui,Oui,,Oui,Oui,,2.0,2.0,Other,Secondary,Advanced,Homme,35-44,Oui,,Consultation/visite de malade,0.0,After 2000,Individu,1,1.0,Niger-2015,0.4
112_3,112,3,6-10,5 or less,5 or less,Other,Primary,Certificate,Homme,Younger than 25,Oui,Oui,,Oui,Oui,,3.0,3.0,Other,Primary,Certificate,Homme,Younger than 25,Oui,,Consultation/visite de malade,,After 2000,Individu,1,1.0,Niger-2015,0.4
112_5,112,5,6-10,5 or less,5 or less,Other,Secondary,Advanced,0.0,35-44,Oui,0,"Repos de garde (pré-garde, sortie de garde)",Oui,non,,5.0,5.0,Nurse,Secondary,Advanced,0.0,35-44,Oui,,Consultation/visite de malade,0.0,After 2000,Individu,1,1.0,Niger-2015,0.4
112_1,112,1,6-10,5 or less,5 or less,Nurse,Secondary,Advanced,Homme,35-44,Oui,0,Mission officielle,Oui,non,,1.0,1.0,Nurse,Secondary,Advanced,Homme,35-44,0.0,Formation/séminaire/réunion,,,,Autre (Préciser),1,1.0,Niger-2015,0.4
112_4,112,4,6-10,5 or less,5 or less,Nurse,Secondary,Advanced,0.0,25-34,Oui,0,"Repos de garde (pré-garde, sortie de garde)",Oui,non,,4.0,4.0,Nurse,Secondary,Advanced,0.0,25-34,0.0,Absence autorisée (permission/congé),,,,Autre (Préciser),1,1.0,Niger-2015,0.4
113_1,113,1,5 or less,5 or less,5 or less,Other,Primary,Certificate,0.0,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Primary,Certificate,0.0,25-34,0.0,Absence non autorisée,,,,Individu,1,1.0,Niger-2015,1.0
114_2,114,2,5 or less,5 or less,5 or less,Other,Primary,Certificate,0.0,25-34,Oui,Oui,,Oui,Oui,,2.0,2.0,Other,Primary,Certificate,0.0,25-34,0.0,Autre (à préciser),,,,Autre (Préciser),1,1.0,Niger-2015,1.0
114_1,114,1,5 or less,5 or less,5 or less,Other,Primary,Certificate,0.0,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Primary,Certificate,0.0,25-34,0.0,Autre (à préciser),,,,Autre (Préciser),1,1.0,Niger-2015,1.0
115_1,115,1,5 or less,5 or less,5 or less,Nurse,Post-Secondary,Advanced,Homme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Post-Secondary,Advanced,Homme,25-34,Oui,,Consultation/visite de malade,0.0,After 2000,Individu,1,1.0,Niger-2015,0.0
116_1,116,1,5 or less,5 or less,5 or less,Other,Primary,Certificate,0.0,Younger than 25,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Primary,Certificate,0.0,Younger than 25,Oui,,Consultation/visite de malade,Oui,After 2000,Individu,1,1.0,Niger-2015,0.0
117_2,117,2,5 or less,5 or less,5 or less,Other,Secondary,Advanced,0.0,25-34,Oui,Oui,,Oui,Oui,,2.0,2.0,Other,Secondary,Advanced,0.0,25-34,0.0,Absence non autorisée,,,,Responsable,1,1.0,Niger-2015,0.5
117_1,117,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Homme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Homme,25-34,Oui,,Traitement de dossiers/élaboration de rapports,0.0,After 2000,Individu,1,1.0,Niger-2015,0.5
118_1,118,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,0.0,45 or older,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,0.0,45 or older,Oui,,Consultation/visite de malade,Oui,After 2000,Individu,1,1.0,Niger-2015,0.0
