fac_id,fac_wgt,fac_fpc,abs_wgt,abs_fpc,know_fpc_b,know_wgt_b,know_fpc_c,know_wgt_c,know_fpc_d,know_wgt_d,know_fpc_e,know_wgt_e,know_fpc_f,know_wgt_f,know_fpc_g,know_wgt_g,know_fpc_h,know_wgt_h,know_fpc_i,know_wgt_i,know_fpc_j,know_wgt_j,know_wgt_15,know_fpc_15,know_wgt_69,know_fpc_69,has_weights,m1saq3,m1saq4,m1saq6,m1saq7,m1saq11_1c,m1saq11_2c,m1saq12_hr,m1saq12_mn,m1saq13_hr,m1saq13_mn,m1saq15_1c,m1saq15_2c,m1saq16_hr,m1saq16_mn,m1saq17_hr,m1saq17_mn,m1saq18_ce,m1saq18r,m1saq18c,m1saq18su,m1sa1q1,m1sa1q2,m0s0q0,m1sbq4,m1sbq8,m1sbq13,m1sbq23,m1sbq24,m1sbq25,m1sbq26,m1sbq27,m1sbq28,m1sbq29,m1sbq30,m1scq17_a,m1scq17_b,m1scq17_c,m1scq17_d,m1scq17_e,m1scq17_f,m1scq17_g,m1scq17_h,m1scq17_i,m1scq17_j,m1scq17_k,m1scq17_l,m1scq17_m,m1scq17_n,m1scq17_o,m1scq18,m1scq20_a,m1scq20_b,m1scq20_c,m1scq20_d,m1scq20_e,m1scq20_f,m1scq20_g,m1scq20_h,m1scq20_i,m1scq20_j,m1scq20_k,m1scq20_l,m1scq20_m,m1scq20_n,m1scq20_o,m1scq21,m1scq22,m1scq23,m1scq24,m1scq25,m1scq26_a,m1scq26_f,m1scq27_a,m1scq27_f,m1scq28_a,m1scq28_f,m1scq29_a,m1scq29_f,m1scq30_a,m1scq30_f,m1scq31_a,m1scq31_f,m1scq32_a,m1scq32_f,m1scq33_a,m1scq33_f,m1sdq1a,m1sdq1b1,m1sdq2a,m1sdq2b1,m1sdq3a,m1sdq3b1,m1sdq4a,m1sdq4b1,m1sdq5a,m1sdq5b1,m1sdq6a,m1sdq6b1,m1sdq7a,m1sdq7b1,m1sdq8a,m1sdq8b1,m1sdq8aa,m1sdq8ab,m1sdq8ba,m1sdq8bb,m1sdq9a,m1sdq9b1,m1sdq10a,m1sdq10b1,m1sdq11a,m1sdq11b1,m1sdq12a,m1sdq12b1,m1sdq13a,m1sdq13b1,m1seq1a,m1seq2a,m1seq3a,m1seq4a,m1seq5a,m1seq6a,m1seq7a,m1seq8a,m1seq9a,m1seq10a,m1seq11a,m1seq12a,m1seq13a,m1seq14a,m1seq15a,m1seq16a,m1seq17a,m1seq18a,m1seq19a,m1seq20a,m1seq21a,m1seq22a,m1seq23a,m1seq24a,m1seq25a,m1seq26a,m1seq27a,m1seq28a,m1seq29a,m1seq30a,m1seq31a,m1seq32a,m1seq33a,m1seq34a,m1seq35a,m1seq36a,m1seq37a,m1seq38a,m1seq39a,m1seq40a,m1seq41a,m1seq42a,m1seq43a,m1seq44a,m1seq45a,m1seq46a,m1seq47a,m1seq48a,m1seq49a,m1seq50,m1seq51,m1seq51a,m1seq52,m1seq52a,m1seq52b,m1seq52c,m1seq53,m1seq53a,m1seq53b,m1seq53c,m1seq53d,m1seq54,m1seq55,m1seq56,m1seq57,m1seq58,m1seq59,m1seq60,m1seq61,m1seq62,m1seq63,m1seq64,m1seq65,m1seq65a,m1seq66,m1seq67,m1seq68,m1seq69,m1seq70,m1seq71,has_facility,country
1,8.69014925671308,0.3809524,17.380299,0.5,1.0,8.690149,1.0,8.690149,1.0,8.690149,1.0,8.690149,1.0,8.690149,1.0,8.690149,1.0,8.690149,1.0,8.690149,1.0,8.690149,8.690149,1.0,8.690149,1.0,1,1,106,1,Rural,123,122,10,0,13,10,100,100,9,21,9,28,121,Questionnaire rempli,100,Questionnaire rempli,Oui,,Questionnaire filalized,Public,Health Post,0-500,,,,,,,,,0,0,0,0,0,0,Oui,0,0,0,0,Non,0,0,0,DÉCHETS VISIBLES MAIS  ZONE PROTÉGÉE,0,0,0,0,0,0,Oui,0,0,0,0,Non,0,Non,0,,,DÉCHETS VISIBLES MAIS  ZONE PROTÉGÉE,0.0,0.0,0,,0,,0,,Oui (non observé),Oui (non observé),0,,0,,0,,0,,0,,Oui (Non observé),Oui (Non observé),Oui (Non observé),Oui (Non observé),Oui (Non observé),Oui (Non observé),Oui (Non observé),Oui (Non observé),Oui (Non observé),Oui (Non observé),0,,0,,0,,Oui (Non observé),Oui (Non observé),0,,0,,0.0,,0,,0,,Au moins un observé (et non périmé),Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Au moins un observé (et non périmé),Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Pas disponible aujourd?hui,Jamais disponible,Pas disponible aujourd?hui,Pas disponible aujourd?hui,Au moins un observé (et non périmé),Jamais disponible,Jamais disponible,Jamais disponible,Pas disponible aujourd?hui,Jamais disponible,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),Jamais disponible,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Jamais disponible,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),0,Au moins un observé (et non périmé),0,0.0,0,0,0,Au moins un observé (et non périmé),Oui (dans l?établissement),1998.0,0,,,,,,,,,,,,,,,,,,,1,Niger-2015
100,1.487376922583087,0.6666667,1.4873769,1.0,1.0,1.4873769,1.0,1.4873769,1.0,1.4873769,1.0,1.4873769,1.0,1.4873769,1.0,1.4873769,1.0,1.4873769,1.0,1.4873769,1.0,1.4873769,1.4873769,1.0,1.4873769,1.0,1,6,609,100,Rural,612,613,10,45,11,50,600,600,16,24,16,30,611,Questionnaire rempli,600,Questionnaire rempli,Oui,,Questionnaire filalized,Public,Health Post,0-500,50 or less,Oui,0.0,Oui,Oui,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Oui,Non,0,0,0,PAS DE DÉCHETS VISIBLES,0,0,0,0,0,0,0,0,0,0,Oui,Non,0,Non,0,,,"DÉCHETS VISIBLES, NON PROTÉGÉS",0.0,0.0,0,,0,,0,,Oui (non observé),Oui (non observé),0,,0,,0,,0,,0,,Oui (Non observé),Oui (Non observé),0.0,,Oui (Non observé),Oui (Non observé),Oui (Non observé),0.0,Oui (Non observé),Oui (Non observé),0,,0,,0,,0.0,,0,,0,,0.0,,0,,0,,Pas disponible aujourd?hui,Jamais disponible,Pas disponible aujourd?hui,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Au moins un observé (et non périmé),Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Pas disponible aujourd?hui,Jamais disponible,Au moins un observé (et non périmé),Jamais disponible,Jamais disponible,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Jamais disponible,Jamais disponible,Jamais disponible,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Jamais disponible,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Jamais disponible,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),Pas disponible aujourd?hui,Jamais disponible,Pas disponible aujourd?hui,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),Jamais disponible,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),0,0,Au moins un observé (et non périmé),0,0.0,0,0,Au moins un observé (et non périmé),0.0,0,,0,,,,,,,,,,,,,,,,,,,1,Niger-2015
101,1.9959974365558846,0.6666667,3.9919949,0.5,1.0,1.9959974,1.0,1.9959974,1.0,1.9959974,1.0,1.9959974,1.0,1.9959974,1.0,1.9959974,1.0,1.9959974,1.0,1.9959974,1.0,1.9959974,1.9959974,1.0,1.9959974,1.0,1,6,609,101,Rural,612,613,16,39,18,50,600,600,10,35,10,40,611,Questionnaire rempli,600,Questionnaire rempli,Oui,,Questionnaire filalized,Public,Health Post,0-500,50 or less,0.0,0.0,Oui,Oui,0.0,0.0,0.0,0,Oui,0,0,0,0,0,0,0,0,0,Non,0,0,0,PAS DE DÉCHETS VISIBLES,0,Oui,0,0,0,0,0,0,0,0,0,Non,0,Non,0,,,"DÉCHETS VISIBLES, NON PROTÉGÉS",0.0,0.0,0,,0,,0,,Oui (non observé),Oui (non observé),0,,0,,0,,0,,0,,Oui (Non observé),Oui (Non observé),Oui (Non observé),Oui (Non observé),0,,Oui (Non observé),Oui (Non observé),0,,0,,0,,0,,0.0,,0,,0,,0.0,,0,,0,,Pas disponible aujourd?hui,Pas disponible aujourd?hui,Pas disponible aujourd?hui,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Pas disponible aujourd?hui,Pas disponible aujourd?hui,Au moins un observé (et non périmé),Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Au moins un observé (et non périmé),Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Pas disponible aujourd?hui,Au moins un observé (et non périmé),Jamais disponible,Jamais disponible,Jamais disponible,Pas disponible aujourd?hui,Au moins un observé (et non périmé),Jamais disponible,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),Pas disponible aujourd?hui,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Jamais disponible,Au moins un observé (et non périmé),Jamais disponible,Au moins un observé (et non périmé),Jamais disponible,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),,Jamais disponible,Jamais disponible,Au moins un observé (et non périmé),Au moins un observé (et non périmé),0,0,0,0,0.0,0,0,Au moins un observé (et non périmé),0.0,0,,0,,,,,,,,,,,,,,,,,,,1,Niger-2015
102,1.9959974365558846,0.6666667,1.9959974,1.0,1.0,1.9959974,1.0,1.9959974,1.0,1.9959974,1.0,1.9959974,1.0,1.9959974,1.0,1.9959974,1.0,1.9959974,1.0,1.9959974,1.0,1.9959974,1.9959974,1.0,1.9959974,1.0,1,6,609,102,Rural,612,613,17,0,18,55,600,600,16,30,16,32,611,Questionnaire rempli,600,Questionnaire rempli,Oui,,Questionnaire filalized,Public,Health Post,0-500,50 or less,0.0,0.0,Oui,Oui,0.0,0.0,0.0,0,Oui,0,0,0,0,0,0,0,0,0,Non,0,0,0,PAS DE DÉCHETS VISIBLES,0,Oui,0,0,0,0,0,0,0,0,0,Non,0,Non,0,,,"DÉCHETS VISIBLES, NON PROTÉGÉS",0.0,0.0,0,,0,,0,,Oui (non observé),Oui (non observé),0,,0,,0,,0,,0,,Oui (Non observé),Oui (Non observé),Oui (Non observé),Oui (Non observé),0,,Oui (Non observé),Oui (Non observé),0,,0,,0,,0,,0.0,,0,,0,,0.0,,0,,0,,Pas disponible aujourd?hui,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Au moins un observé (et non périmé),Jamais disponible,Pas disponible aujourd?hui,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Jamais disponible,Jamais disponible,Jamais disponible,Pas disponible aujourd?hui,Au moins un observé (et non périmé),Jamais disponible,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Jamais disponible,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Jamais disponible,Pas disponible aujourd?hui,Jamais disponible,Pas disponible aujourd?hui,Au moins un observé (et non périmé),Pas disponible aujourd?hui,Au moins un observé (et non périmé),Pas disponible aujourd?hui,Au moins un observé (et non périmé),Pas disponible aujourd?hui,Pas disponible aujourd?hui,Pas disponible aujourd?hui,Au moins un observé (et non périmé),Au moins un observé (et non périmé),0,0,0,0,0.0,0,0,Au moins un observé (et non périmé),Au moins un observé (et non périmé),0,,0,,,,,,,,,,,,,,,,,,,1,Niger-2015
103,2.401392529818419,0.5423729,2.4013925,1.0,1.0,2.4013925,1.0,2.4013925,1.0,2.4013925,1.0,2.4013925,1.0,2.4013925,1.0,2.4013925,1.0,2.4013925,1.0,2.4013925,1.0,2.4013925,2.4013925,1.0,2.4013925,1.0,1,7,704,103,Rural,513,512,9,50,13,27,500,521,12,40,12,58,511,Questionnaire rempli,500,Questionnaire rempli,Oui,,Questionnaire filalized,Public,Health Post,0-500,,,,,,,,,0,0,0,0,0,Oui,0,0,Oui,0,0,Non,0,0,0,DÉCHETS VISIBLES MAIS  ZONE PROTÉGÉE,0,0,0,0,Oui,0,0,0,0,0,0,Non,0,Non,0,,,DÉCHETS VISIBLES MAIS  ZONE PROTÉGÉE,0.0,0.0,0,,Oui (non observé),Oui (non observé),0,,0,,0,,0,,0,,0,,0,,Oui (Non observé),Oui (Non observé),0.0,,Oui (Non observé),Oui (Non observé),0,,Oui (Non observé),Oui (Non observé),0,,0,,0,,0.0,,0,,0,,0.0,,Oui (Non observé),Oui (Non observé),0,,Pas disponible aujourd?hui,Jamais disponible,Jamais disponible,Pas disponible aujourd?hui,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Pas disponible aujourd?hui,Jamais disponible,Au moins un observé (et non périmé),Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Au moins un observé (et non périmé),Au moins un observé (MAIS TOUS périmés),Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Au moins un observé (et non périmé),Jamais disponible,Au moins un observé (et non périmé),Au moins un observé (MAIS TOUS périmés),Au moins un observé (et non périmé),Jamais disponible,Jamais disponible,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Jamais disponible,Pas disponible aujourd?hui,Au moins un observé (et non périmé),Jamais disponible,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Pas disponible aujourd?hui,Au moins un observé (et non périmé),Jamais disponible,Au moins un observé (et non périmé),Pas disponible aujourd?hui,Au moins un observé (et non périmé),Au moins un observé (et non périmé),0,Au moins un observé (et non périmé),0,0.0,0,0,0,0.0,0,,0,,,,,,,,,,,,,,,,,,,1,Niger-2015
104,2.021684393258504,0.5423729,2.0216844,1.0,1.0,2.0216844,1.0,2.0216844,1.0,2.0216844,1.0,2.0216844,1.0,2.0216844,1.0,2.0216844,1.0,2.0216844,1.0,2.0216844,1.0,2.0216844,2.0216844,1.0,2.0216844,1.0,1,7,704,104,Rural,512,513,11,25,16,44,500,500,17,0,17,15,511,Questionnaire rempli,500,Questionnaire rempli,Oui,,Questionnaire filalized,Public,Health Post,0-500,,,,,,,,,0,0,0,0,0,Oui,0,0,0,0,0,Non,0,0,0,PAS DE DÉCHETS VISIBLES,0,0,0,0,0,Oui,0,0,0,0,0,Non,0,Non,0,,,PAS DE DÉCHETS VISIBLES,0.0,0.0,0,,0,,0,,Oui (non observé),Oui (observé),0,,0,,0,,0,,Oui (Non observé),Oui (Non observé),Oui (Non observé),Oui (Non observé),0.0,,0,,Oui (Non observé),Oui (Non observé),0,,0,,0,,0,,Oui (Non observé),Oui (Non observé),0,,0,,0.0,,0,,0,,Pas disponible aujourd?hui,Jamais disponible,Pas disponible aujourd?hui,Pas disponible aujourd?hui,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Pas disponible aujourd?hui,Jamais disponible,Au moins un observé (et non périmé),Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Pas disponible aujourd?hui,Pas disponible aujourd?hui,Pas disponible aujourd?hui,Jamais disponible,Jamais disponible,Pas disponible aujourd?hui,Au moins un observé (MAIS TOUS périmés),Jamais disponible,Au moins un observé (et non périmé),Jamais disponible,Pas disponible aujourd?hui,Jamais disponible,Jamais disponible,Jamais disponible,Pas disponible aujourd?hui,Pas disponible aujourd?hui,Pas disponible aujourd?hui,Au moins un observé (et non périmé),Jamais disponible,Pas disponible aujourd?hui,Jamais disponible,Jamais disponible,Pas disponible aujourd?hui,Jamais disponible,Jamais disponible,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),Jamais disponible,Au moins un observé (et non périmé),Jamais disponible,0,0,0,Au moins un observé (et non périmé),0,0.0,0,0,0,0.0,0,,0,,,,,,,,,,,,,,,,,,,1,Niger-2015
106,2.401392529818419,0.5423729,14.408355,0.16666667,1.0,2.4013925,1.0,2.4013925,1.0,2.4013925,1.0,2.4013925,1.0,2.4013925,1.0,2.4013925,1.0,2.4013925,1.0,2.4013925,1.0,2.4013925,2.4013925,1.0,2.4013925,1.0,1,7,704,106,Rural,513,512,15,20,19,0,500,521,11,13,11,25,511,Questionnaire rempli,500,Questionnaire rempli,Oui,,Questionnaire filalized,Public,Health Post,0-500,50 or less,Oui,Oui,Oui,Oui,0.0,0.0,0.0,0,0,0,0,0,Oui,0,0,0,0,0,Non,0,0,0,"DÉCHETS VISIBLES, NON PROTÉGÉS",0,0,0,0,0,Oui,0,0,0,0,0,Non,0,Non,0,,,PAS DE DÉCHETS VISIBLES,0.0,0.0,0,,Oui (observé),0.0,0,,0,,0,,0,,0,,0,,0,,Oui (Non observé),Oui (Non observé),Oui (Non observé),Oui (Non observé),Oui (Non observé),Oui (Non observé),Oui (Non observé),Oui (Non observé),Oui (Non observé),Oui (Non observé),0,,0,,0,,0.0,,0,,0,,0.0,,Oui (Non observé),Oui (Non observé),0,,Au moins un observé (et non périmé),Pas disponible aujourd?hui,Pas disponible aujourd?hui,Pas disponible aujourd?hui,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Pas disponible aujourd?hui,Pas disponible aujourd?hui,Au moins un observé (et non périmé),Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Pas disponible aujourd?hui,Jamais disponible,Jamais disponible,Pas disponible aujourd?hui,Pas disponible aujourd?hui,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Pas disponible aujourd?hui,Jamais disponible,Jamais disponible,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Pas disponible aujourd?hui,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),Jamais disponible,Pas disponible aujourd?hui,Pas disponible aujourd?hui,Jamais disponible,Pas disponible aujourd?hui,Pas disponible aujourd?hui,Jamais disponible,Au moins un observé (et non périmé),Pas disponible aujourd?hui,Pas disponible aujourd?hui,Au moins un observé (et non périmé),Jamais disponible,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),0,0.0,0,0,0,Au moins un observé (et non périmé),Oui (dans l?établissement),2015.0,Oui,0.0,Oui,,,,,,,,,,,,,,,,,1,Niger-2015
108,2.4083537619210644,0.5423729,2.4083538,1.0,1.0,2.4083538,1.0,2.4083538,1.0,2.4083538,1.0,2.4083538,1.0,2.4083538,1.0,2.4083538,1.0,2.4083538,1.0,2.4083538,1.0,2.4083538,2.4083538,1.0,2.4083538,1.0,1,7,708,108,Rural,423,422,11,30,14,0,421,421,15,0,15,30,421,Questionnaire rempli,400,Questionnaire rempli,Oui,,Questionnaire filalized,Public,Health Post,,,Oui,Oui,Oui,Oui,Oui,0.0,0.0,0,0,0,0,0,Oui,0,0,0,0,0,Non,0,0,0,"DÉCHETS VISIBLES, NON PROTÉGÉS",0,0,0,0,0,Oui,0,0,0,0,0,Non,0,Non,0,,,"DÉCHETS VISIBLES, NON PROTÉGÉS",0.0,0.0,0,,0,,0,,Oui (non observé),Oui (non observé),0,,0,,0,,0,,Oui (Non observé),0.0,Oui (Non observé),Oui (Non observé),Oui (Non observé),Oui (Non observé),0,,Oui (Non observé),Oui (Non observé),0,,0,,0,,0,,Oui (Non observé),Oui (Non observé),0,,0,,0.0,,0,,0,,Pas disponible aujourd?hui,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Au moins un observé (et non périmé),Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Au moins un observé (et non périmé),Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),Jamais disponible,Jamais disponible,Jamais disponible,Au moins un observé (et non périmé),Jamais disponible,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Au moins un observé (et non périmé),Jamais disponible,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),Jamais disponible,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),0,0,0.0,0,0,0,0.0,Oui (dans l?établissement),2015.0,0,,,,,,,,,,,,,,,,,,,1,Niger-2015
11,6.016502270153728,0.3809524,6.0165024,1.0,1.0,6.0165024,1.0,6.0165024,1.0,6.0165024,1.0,6.0165024,1.0,6.0165024,1.0,6.0165024,1.0,6.0165024,1.0,6.0165024,1.0,6.0165024,6.0165024,1.0,6.0165024,1.0,1,1,106,11,Rural,113,113,11,30,14,55,100,100,9,20,9,30,111,Questionnaire rempli,100,Questionnaire rempli,Oui,,Questionnaire filalized,Public,Health Post,0-500,,,,,,,,,Oui,0,0,0,0,0,0,0,0,0,0,Non,0,0,0,"DÉCHETS VISIBLES, NON PROTÉGÉS",Oui,0,0,0,0,0,0,0,0,0,0,Non,0,Non,0,,,"DÉCHETS VISIBLES, NON PROTÉGÉS",0.0,0.0,0,,0,,0,,Oui (non observé),Oui (non observé),0,,0,,0,,0,,0,,Oui (Non observé),Oui (Non observé),Oui (Non observé),Oui (Non observé),0,,Oui (Non observé),Oui (Non observé),0,,0,,0,,0,,0.0,,0,,0,,0.0,,0,,0,,Pas disponible aujourd?hui,Jamais disponible,Jamais disponible,Pas disponible aujourd?hui,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Pas disponible aujourd?hui,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Pas disponible aujourd?hui,Au moins un observé (et non périmé),Jamais disponible,Jamais disponible,Au moins un observé (et non périmé),Jamais disponible,Jamais disponible,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Pas disponible aujourd?hui,Jamais disponible,Jamais disponible,Pas disponible aujourd?hui,Au moins un observé (et non périmé),Jamais disponible,Jamais disponible,Au moins un observé (et non périmé),Pas disponible aujourd?hui,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),Jamais disponible,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),0,0,Au moins un observé (et non périmé),0,0.0,0,0,Au moins un observé (et non périmé),Au moins un observé (et non périmé),0,,0,,,,,,,,,,,,,,,,,,,1,Niger-2015
110,2.017198492054547,0.5423729,8.068794,0.25,1.0,2.0171986,1.0,2.0171986,1.0,2.0171986,1.0,2.0171986,1.0,2.0171986,1.0,2.0171986,1.0,2.0171986,1.0,2.0171986,1.0,2.0171986,2.0171986,1.0,2.0171986,1.0,1,7,707,110,Rural,522,523,7,30,13,50,500,521,9,6,9,12,521,Questionnaire rempli,500,Questionnaire rempli,Oui,,Questionnaire filalized,Public,Health Post,501-1000,50 or less,Oui,Oui,Oui,Oui,Oui,0.0,0.0,Oui,0,0,0,0,0,0,0,0,0,0,Non,0,0,0,"DÉCHETS VISIBLES, NON PROTÉGÉS",Oui,0,0,0,0,0,0,0,0,0,0,Non,0,Non,0,,,"DÉCHETS VISIBLES, NON PROTÉGÉS",0.0,0.0,0,,0,,0,,Oui (non observé),Oui (non observé),0,,0,,0,,0,,0,,Oui (Non observé),Oui (Non observé),Oui (Non observé),Oui (Non observé),0,,Oui (Non observé),Oui (Non observé),0,,0,,0,,0,,Oui (Non observé),Oui (Non observé),0,,0,,0.0,,0,,0,,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Pas disponible aujourd?hui,Pas disponible aujourd?hui,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Pas disponible aujourd?hui,Au moins un observé (et non périmé),Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Jamais disponible,Pas disponible aujourd?hui,Jamais disponible,Jamais disponible,Pas disponible aujourd?hui,Jamais disponible,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),Jamais disponible,Jamais disponible,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Jamais disponible,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),Jamais disponible,Jamais disponible,Pas disponible aujourd?hui,Au moins un observé (et non périmé),Jamais disponible,Jamais disponible,Au moins un observé (et non périmé),Jamais disponible,Au moins un observé (et non périmé),Pas disponible aujourd?hui,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Jamais disponible,Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),Au moins un observé (et non périmé),0,0,0,0.0,0,0,0,0.0,Oui (dans l?établissement),2011.0,Oui,0.0,Oui,,,,,,,,,,,,,,,,,1,Niger-2015
