fac_id,staff_id,m2saq1,m2saq2,m2saq3,m2saq6,m2saq8,m2saq9,m2saq10,m2saq11,m2saq12,m2saq13,m2saq14,m2saq15,m2saq16,m2saqobs,m2sbq1,m2sbq3,m2sbq5,m2sbq6,m2sbq7,m2sbq8,m2sbq9,m2sbq10,m2sbq11,m2sbq12,m2sbq13,m2sbq15,m2sbq17
1,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Homme,35-44,Non,Absence non autorisée,,,,Collègue
1,2,5 or less,5 or less,5 or less,Nurse,Primary,Diploma,Femme,35-44,Oui,Oui,,Oui,Oui,,2.0,2.0,Nurse,Primary,Diploma,Femme,35-44,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
2,1,5 or less,5 or less,5 or less,Nurse,Secondary,Diploma,Femme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Secondary,Diploma,Femme,35-44,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
2,2,5 or less,5 or less,5 or less,Nurse,Secondary,Diploma,Femme,25-34,Oui,Oui,,Oui,Oui,,2.0,2.0,Nurse,Secondary,Diploma,Femme,25-34,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
3,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Femme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Femme,25-34,Oui,,Consultation/visite de malade,Non,After 2000,Individu
3,2,5 or less,5 or less,5 or less,Nurse,Secondary,Advanced,Femme,35-44,Oui,Oui,,Oui,Oui,,2.0,2.0,Nurse,Secondary,Advanced,Femme,35-44,Non,Absence autorisée (permission/congé),,,,Responsable
4,1,5 or less,5 or less,5 or less,Nurse,Post-Secondary,Advanced,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Post-Secondary,Advanced,Homme,35-44,Oui,,Consultation/visite de malade,Non,After 2000,Individu
4,2,5 or less,5 or less,5 or less,Nurse,Secondary,Diploma,Femme,25-34,Oui,Oui,,Oui,Oui,,2.0,2.0,Nurse,Secondary,Diploma,Femme,25-34,Oui,,Consultation/visite de malade,Non,After 2000,Individu
4,3,5 or less,5 or less,5 or less,Nurse,Primary,Diploma,Femme,25-34,Oui,Oui,,Oui,Oui,,3.0,3.0,Nurse,Post-Secondary,Advanced,Femme,25-34,Oui,,Consultation/visite de malade,Non,After 2000,Individu
5,1,5 or less,5 or less,5 or less,Other,Post-Secondary,Advanced,Femme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Post-Secondary,Advanced,Femme,25-34,Non,Absence autorisée (permission/congé),,,,Autre (Préciser)
7,1,5 or less,5 or less,5 or less,Nurse,Secondary,Diploma,Femme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Secondary,Diploma,Femme,25-34,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
11,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Femme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Femme,35-44,Oui,,Traitement de dossiers/élaboration de rapports,Non,After 2000,Individu
12,1,5 or less,5 or less,5 or less,Other,Secondary,Advanced,Homme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Advanced,Homme,25-34,Oui,,Autre,Oui,After 2000,Individu
13,1,5 or less,5 or less,5 or less,Nurse,Secondary,Advanced,Femme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Secondary,Advanced,Femme,25-34,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
14,1,5 or less,5 or less,5 or less,Nurse,Secondary,Diploma,Femme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Secondary,Diploma,Femme,25-34,Oui,,Autre,Non,After 2000,Individu
15,1,5 or less,5 or less,5 or less,Other,Primary,Certificate,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Primary,Certificate,Homme,35-44,Non,Absence non autorisée,,,,Collègue
17,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Homme,35-44,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
18,1,5 or less,5 or less,5 or less,Other,Primary,Certificate,Femme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Primary,Certificate,Femme,35-44,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
19,1,5 or less,5 or less,5 or less,Other,Primary,Certificate,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Primary,Certificate,Homme,35-44,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
20,1,5 or less,5 or less,5 or less,Nurse,Secondary,Advanced,Femme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Secondary,Advanced,Femme,25-34,Non,Autre (à préciser),,,,Autre (Préciser)
21,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Femme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Femme,35-44,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
22,1,5 or less,5 or less,5 or less,Other,Primary,Certificate,Homme,45 or older,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Primary,Certificate,Homme,45 or older,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
