fac_id,staff_id,h3cs5,h3cs6,h3sa1,h3sa2a,h3sa2b,h3sa2c,H3ID,h3sa8,h3sa9,h3sa11h,h3sa11m,h3sa12h,h3sa12m,h3sa13,H3sbc1history_taking,h3sb1,h3sb2,h3sb3,h3sb4,h3sb5,h3sb6,h3sb7,h3sb8,h3sb9,h3sb10,h3sb11,h3sb12,h3sb13,h3sb14,h3sb15,h3sb16,h3sb17,h3sb18,h3sb19,h3sb20,h3sb21,h3sb22,H3sbc1physical_examination,h3sb23,h3sb24,h3sb25,h3sb26,h3sb27,h3sb28,h3sb29,h3sb30,h3sb31,h3sb32,h3sb33,h3sb34,h3sb35,h3sb36,h3sb37,H3sbc1tests,h3sb38,h3sb39,h3sb40,H3sbc1diagnosis,h3sb41,H3sbc1treatment,h3sb42,h3sb43,h3sb44,h3sb45,H3sbc1health_education,h3sb46,h3sb47,h3sb48,h3sb49,h3sb50,h3sb51,h3sb52,H3scc2history_taking,h3sc1,h3sc2,h3sc3,h3sc4,h3sc5,h3sc6,h3sc7,h3sc8,h3sc9,h3sc10,h3sc11,h3sc12,h3sc13,h3sc14,h3sc15,h3sc16,h3sc17,h3sc18,H3scc2physical_examination,h3sc19,h3sc20,h3sc21,h3sc22,h3sc23,h3sc24,h3sc25,h3sc26,h3sc27,h3sc28,H3scc2tests,h3sc29,h3sc30,h3sc31,H3scc2diagnosit,h3sc32,H3scc2treatment,h3sc33,h3sc34,h3sc35,h3sc36,h3sc37,h3sc38,H3scc2health_education,h3sc39,h3sc40,h3sc41,h3sc42,H3sdc3history_taking,h3sd1,h3sd2,h3sd3,h3sd4,h3sd5,h3sd6,h3sd7,h3sd8,h3sd9,h3sd10,h3sd11,h3sd12,h3sd13,h3sd14,h3sd15,h3sd16,h3sd17,h3sd18,h3sd19,h3sd20,h3sd21,h3sd22,h3sd23,H3sdc3physical_examination,h3sd24,h3sd25,h3sd26,h3sd27,h3sd28,h3sd29,h3sd30,h3sd31,h3sd32,h3sd33,h3sd34,h3sd35,H3sdc3tests,h3sd36,h3sd37,h3sd38,h3sd39,H3sdc3diagnosis,h3sd40,H3sdc3treatment,h3sd41,h3sd42,h3sd43,H3sdc3health_education,h3sd44,h3sd45,h3sd46,h3sd47,h3sd48,h3sd49,h3sd50,h3sd51,H3sec4history_taking,h3se1,h3se2,h3se3,h3se4,h3se5,h3se6,h3se7,h3se8,h3se9,h3se10,h3se11,h3se12,h3se13,h3se14,h3se15,h3se16,h3se17,h3se18,h3se19,h3se20,h3se21,h3se22,H3sec4physical_examination,h3se23,h3se24,h3se25,h3se26,h3se27,h3se28,h3se29,h3se30,h3se31,h3se32,H3sec4tests,h3se33,h3se34,h3se35,h3se36,h3se37,h3se38,h3se39,H3sec4diagnosis,h3se40,h3se41,h3se42,h3se43,H3sec4treatment,h3se44,h3se45,h3se46,h3se47,H3sec4health_education,h3se48,h3se49,h3se50,h3se51,H3sfc5history_taking,h3sf1,h3sf2,h3sf3,h3sf4,h3sf5,h3sf6,h3sf7,h3sf8,h3sf9,h3sf10,h3sf11,h3sf12,h3sf13,h3sf14,h3sf15,h3sf16,h3sf17,H3sfc5physical_examination,h3sf18,h3sf19,h3sf20,h3sf21,h3sf22,h3sf23,h3sf24,h3sf25,h3sf26,h3sf27,h3sf28,h3sf29,h3sf30,H3sfc5tests,h3sf31,h3sf32,h3sf33,h3sf34,H3sfc5diagnosis,h3sf35,h3sf36,h3sf37,h3sf38,H3sfc5treatment,h3sf39,h3sf40,h3sf41,h3sf42,h3sf43,h3sf44,h3sf45,H3sfc5health_education,h3sf46,h3sf47,h3sf58,H3sfc6history_taking,h3sg1,h3sg2,h3sg3,h3sg4,h3sg5,h3sg6,h3sg7,h3sg8,h3sg9,h3sg10,h3sg11,h3sg12,h3sg13,h3sg14,h3sg15,h3sg16,h3sg17,H3sfc6physical_examination,h3sg18,h3sg19,h3sg20,h3sg21,h3sg22,h3sg23,h3sg24,h3sg25,h3sg26,h3sg27,h3sg28,h3sg29,h3sg30,H3sfc6tests,h3sg31,h3sg32,h3sg33,h3sg34,h3sg35,H3sfc6diagnosis,h3sg36,H3sfc6treatment,h3sg37,h3sg38,h3sg39,h3sg40,h3sg41,h3sg42,h3sg43,h3sg44,h3sg45,H3sfc7physical_examination,h3si1,h3si2,h3si3,h3si4,h3si5,h3si6,h3si7,h3si8,H3sfc7tests,h3si9,h3si10,h3si11,h3si12,h3si13,h3si14,h3si15,h3si16,h3si17,H3sfc7diagnosis,h3si18,h3si19
1,1,21062013,1,Yes,,,,1.0,1.0,Other,13,20,13,42,Questionnaire completed,,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,,No,No,No,SEVERE DEHYDRATION,No,GIVE GLUCOSE AND REFER TO A H/C III,No,No,No,No,ORAL FLUIDS LIKE ORS,Yes,No,No,Yes,Yes,No,No,WAS THE CHILD IMMUNISED,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,Yes,Yes,No,No,No,No,No,No,No,No,,No,No,No,,Yes,TREAT WITH SEPTRIN,No,No,No,Yes,No,No,,No,No,No,Yes,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,REFER FOR STOOL ANALYSIS,No,No,No,No,WORMS INFESTATION,No,"ALBENDAZOLE,REFER FOR STOOL SAMPLE",No,No,No,"SANITATION IMPROVEMENT,WASH HANDS AFTER TOILET",No,No,No,No,No,No,No,No,,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,Yes,Yes,No,No,No,No,No,SEND TO HIGHER CENTRE FOR SPUTUM ANALYSIS,No,No,No,No,No,No,No,SUSPECTS T.B AND QUICK REFERRAL TO HIGHER LEVEL,Yes,No,2.0,No,"PANADOL,I DOSE BEFORE REFERRAL BECAUSE HE HAS FEVE",No,No,No,No,"AVOID CONGESTED PLACES ,SEPARATE UTENSILS",No,No,No,Yes,ASKED FOR CHEST INDRAWING,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,,No,Yes,No,No,,Yes,No,No,No,USE MILK TO SWALLOW COARTEM,Yes,Yes,No,No,No,No,No,CLEAR BUSHES AND STAGNANT WATER,Yes,Yes,Yes,SHE NOTED THAT THIS IS AN EMERGENCY,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,CHECKED FOR TONGUE AND CONJUCTIVA PALENESS,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,,No,No,No,No,No,,Yes,"MESOPROSTOL 1 600MG,REFERRAL AFTER INFUSING OXYTOC",Yes,No,No,No,No,Yes,Yes,No,Yes,,Yes,Yes,No,No,Yes,Yes,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,No,Yes
2,3,20062013,3,Yes,,,,2.0,3.0,Nurse,18,5,18,35,Questionnaire completed,ASKS ABOUT HISTORY OF CONVULSIONS,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,ASSESS THE PALLOR OF PALMS &MUCOUS MEMBRANES.,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,,No,No,No,,Yes,MENTIONED PLAN C DEHYDRATION,Yes,No,No,No,,Yes,No,No,Yes,Yes,No,No,,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PRESENCE OF STRIDOR,Yes,Yes,No,No,No,Yes,No,No,No,Yes,RECOMMEND FOR HIV TEST,No,No,Yes,,Yes,,No,Yes,Yes,Yes,No,No,MOTHER TO ALWAYS SEEK  MEDICAL HELP,Yes,Yes,No,Yes,"NECTURIA AND HOW MANY TIMES A NIGHT,DYSURIA",Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,No,No,Yes,No,No,No,No,REPEAT HIV TEST SINCE IT WAS DONE 3MONTHS AGO,No,No,No,Yes,R/O URINARY TRACT INFECTION,Yes,CANT MANAGE DIABETES MELLITUS IN THIS FACILITY,Yes,No,No,,No,Yes,No,Yes,No,No,Yes,Yes,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,CHECK FOR PALLOR OF MUCOUS MEMBRANES AND PALMS,No,Yes,No,No,No,No,No,No,Yes,No,,Yes,No,No,No,No,Yes,No,,Yes,No,2.0,Yes,,No,No,No,No,"EDUCATION ABOUT TB,CHRONICITY AND FREE MEDICATION",Yes,No,No,No,DURATION OF COUGH,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,,Yes,No,Yes,No,PROTEIN ENERGYMALMITRITION,Yes,Yes,No,No,ORS BECAUSE OF VOMITING,No,No,No,Yes,No,No,No,NUTRITIONAL EDUCATION BECAUSE OF ANEMIA,No,No,Yes,ASK FOR WHERE SHE DELIVERED FROM,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,,No,No,No,No,No,PUEPERAL SEPSIS,No,,No,No,No,No,No,No,No,No,No,,No,No,No,No,Yes,No,No,No,NEED FOR INTUBATION FOR VENTILATORY SUPPORT,Yes,Yes,No,No,No,No,No,No,No,,No,Yes
3,1,25062013,1,Yes,,,,1.0,1.0,Nurse,9,45,10,32,Questionnaire completed,,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,BS FOR MALARIA,No,No,No,ACUTE DIARRHOEA,No,"QUININE SYRUP,PANADOL SYRUP,ORS,ALBENDAZOLE1/2X1",No,No,No,Yes,,No,Yes,Yes,Yes,No,Yes,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,Yes,No,No,No,No,RDT FOR MALARIA,No,No,No,RESPIRATORY TRACT INFECTION,No,"BENZYLPENICILLIN,SEPTRIN FOR 5DAYS",No,No,No,No,No,Yes,EAT FRUITS,Yes,No,No,No,,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,,No,Yes,No,No,CELLULITIS,No,"MAGNESIUM TRISILICATE,MEBENDAZOLE,PARACETAMOL",No,No,No,"EAT MEALS IN TIME,HAVE SOME REST AFTER WORK",No,No,No,No,No,No,No,No,,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,"BS FOR MALARIA PARASITES,REFER FOR SPUTUM TEST",No,No,No,No,No,Yes,No,,Yes,No,2.0,No,,No,No,No,Yes,,No,No,No,No,"DO YOU HAVE OTHER SYMPTOMS,HEADACHE",Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,WIDAL TEST,No,Yes,No,No,MALARIA WITH RTI,Yes,No,No,No,"QUININE SYRUP,IM DICLOFENAC STAT",No,Yes,No,No,No,No,No,ALWAYS BRING CHILD TO HOSPITAL URGENTLY WHEN SICK,Yes,No,No,"HISTORY OF BEING GIVEN HAEMATINICS,ABDOMINAL PAIN",No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,FAILED TO MENTION ANT DIAGNOSIS,No,,No,No,No,No,No,No,No,No,Yes,,No,Yes,No,Yes,No,No,No,No,URGENT REFERRAL TO A HIGHER FACILITY,Yes,Yes,No,No,No,No,No,No,No,,No,No
4,4,23062013,4,Yes,,,,3.0,4.0,Nurse,13,9,13,55,Questionnaire completed,,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,BS,No,No,No,ACUTE DIARRHOEA,No,"ORS,KEEP MONITORING CHILD",Yes,No,No,Yes,"IMPROVE BABY NUTRITION,HYGIENE",No,No,Yes,Yes,Yes,No,No,IS SHE VOMITING,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,SPUTMU ANALYSIS,No,No,No,RESPIROTARY TRACT INFECTION,No,"ADMIT IF COUGH IS SEVERE,IM DICLOFENAC,CEFTRIAXONE",No,Yes,Yes,No,No,Yes,ISOLATE PATIENT IF U SUSPCT TB,No,No,No,Yes,,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,"CHECK FOR DEHYDRATION,CHECK FOR EPIGASTRIC PAIN",No,No,Yes,No,No,No,No,No,No,No,No,No,HIV TEST,No,Yes,No,No,DEPRESSION,No,OFFER COUNSELLING FOR DEPRESSION,No,No,No,,No,No,No,No,No,No,No,No,MARITAL STATUS,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,"SKIN TEXTURE,SUNKEN EYES",No,No,No,No,Yes,No,No,No,Yes,No,,Yes,No,No,No,No,Yes,No,HIV WASTING SYNDROME,No,No,2.0,No,"ANTIPYRETICS PARACETAMAL,ORS,TREAT SA INPATIENT",No,Yes,No,No,,No,No,No,No,,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,,Yes,No,Yes,No,,No,No,No,Yes,"ADMIT CHILD,IM DICLOFENAC",No,Yes,No,Yes,No,No,No,"COLD DRINKS TO LOWER TEMP,IMPROVE HYGIENE AND NUTR",No,Yes,No,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,,No,Yes,No,No,No,,Yes,REFER AFTER GIVING FOLIC ACID,No,No,No,No,No,No,No,No,Yes,,No,Yes,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,No,Yes
5,2,21062013,2,Yes,,,,1.0,2.0,Clinical Officer,13,10,14,0,Questionnaire completed,"COLOUR OF STOOL,CONVULSIONS",No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,"ORAL THRUSH,TONGUE COATING",Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,"BS FO MALARIA,HB ESTIMATION",No,No,Yes,SEVERE DEHYDRATION,No,"ADMIT CHILD, PLAN C WHO REHYDRATION",Yes,Yes,No,No,"DEWORMING REGULARLY,GD FEEDING,FAIR TREATMENT",No,No,No,No,Yes,No,No,DIARRHOEA,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,"PALLOR OF MUCOUS MENBRANE,COLOUR OF EYES,STRIDOR,",Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,,No,No,Yes,,Yes,ADD A SUPPOSITORY,Yes,Yes,Yes,Yes,No,No,"ANTIBIOTICS FOR 10 DAYS, WARM CLOTHING ,AVOID C0NG",No,No,No,No,ASKED ABT HOW SYMPTOMS STARTED,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,"SIGNS OF ANEMIA,SIGNS OF LYMPHADENOPATHY",No,No,No,No,No,No,No,No,No,No,No,No,HIV TEST REPEAT,Yes,No,Yes,Yes,,Yes,,No,Yes,No,,Yes,Yes,No,No,No,Yes,No,No,,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,"ANEAMIA,JAUNDICE,CYANOSIS,SWOLLEN EYES,CHEST PERCU",No,No,No,No,Yes,Yes,No,No,Yes,No,"SPUTUM FOR ANALYSIS,AFBs",No,No,No,No,No,No,No,"SUSPECT TB TILL RESULTS ARE OUT,CHRONIC BRONCHIOLI",Yes,No,1.0,No,REFER TO HC IV IF PSMEAR IS POSITIVE FOR ANTI TB,No,Yes,No,Yes,"ISOLATION FOR ABT 2 WKS,AVOID CONGESTION",Yes,No,Yes,No,"FAR PROBLEMS,STOMACH ACHE,SLEEP UNDER NET,SEASON O",Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,"DEGREE OF PALLOR,LYMPHADENOPATHY,ORALTHRUSH,CYANOS",No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,STOOL ANALYSIS,Yes,No,Yes,No,"CLINICAL MALARIA,RESPIROTARY TRACT INFECTION",Yes,No,No,No,RECTAL PARACETAMOL,No,Yes,No,Yes,No,No,No,"REFER FOR TRANFUSION,ADMIT ON QUININE,MODERATE HAE",Yes,No,Yes,"PLACE OF DELIVERY,IS CHILD ALIVE,WAS ENVIRONMENT S",No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,TENDERNESS OF PALPATION,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,,No,No,No,No,No,PUEPERAL SEPSIS,Yes,"MANAGE AS EMERGENCY,ERGOMETRINE,IV METRO,IV CIPRO",Yes,No,No,Yes,Yes,Yes,No,No,Yes,,Yes,Yes,No,No,No,No,No,No,MANAGE AS AN EMERGENCY,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,"FOETAL DISTRESS,SUDDEN INFANT DEATH,NEANATAL SEPSI",Yes,No
6,1,24062013,1,Yes,,,,1.0,1.0,Nurse,13,20,14,10,Questionnaire completed,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,PULSE RATE OF THE INFANT,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,BS FOR MALARIA PARASITES,No,No,No,,No,REFERRAL,No,No,No,No,EDUCATE ABOUT CAUSES OF DIARRHEA AND DANGERS OF CO,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,Yes,No,No,No,No,Yes,No,No,No,No,,No,No,Yes,COUGH,No,COTRIMAXAZOLE SYRUP,No,No,No,Yes,No,No,,No,No,No,No,"ASK FOR DURATION OF SYMPTOMS,ABT HEADACHE,PATTERNS",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,FATIGUE,No,"ADVISE PATIENT TO HAVE BED REST,PERSISTANCY OS SYM",No,No,No,,No,No,No,No,No,No,No,No,ASKS ABT ABDOMINAL PAIN IN THE LOWER REGION,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,No,No,Yes,No,No,"BLOOD SLIDE FOR MALARIA PARASITES,WIDAL TEST",No,No,No,No,No,No,No,,Yes,No,2.0,No,,No,No,No,Yes,"ADVISE TO KEEP AWAY FROM DUST,PERSONAL HYGIENE",Yes,No,No,No,,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,,Yes,No,No,No,,Yes,No,No,No,,Yes,No,No,No,No,No,No,ADVISE ON FLUID IN TAKE,No,Yes,No,"PLACE OF DELIVERY,ANY TABLETS GIVEN AT FACILITY",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,,Yes,"GIVE IM OXYTOCIN,REFERRAL IF BLEEDING PERSISTS",No,No,No,No,No,No,No,No,Yes,,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,NEONATAL DEATH,No,No
7,1,02072013,2,Yes,,,,1.0,1.0,Other,11,16,11,33,Questionnaire completed,,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,RDT FOR MALARIA,No,No,No,,No,,No,No,No,Yes,,Yes,No,No,No,No,No,No,,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,RDT FOR MALARIA,No,No,No,RTI,No,,No,No,No,No,No,No,,No,No,Yes,Yes,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,No,No,No,No,No,No,No,Yes,No,No,No,No,RDT FOR MALARIA,No,No,No,No,,No,,No,No,No,,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,REFER FOR SPUTUM ANALYSIS,No,No,No,No,No,No,No,,No,Yes,2.0,No,,No,Yes,No,No,,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,,No,Yes,No,No,,No,Yes,No,Yes,"FERROUS SULPHATE, ALBENDAZOLE",Yes,Yes,No,No,No,No,No,,No,No,No,REFER,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,REFER,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,,No,,No,No,No,No,No,No,No,No,No,REFER,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,,,
8,2,02072013,1,Yes,,,,1.0,2.0,Other,17,0,17,40,Questionnaire completed,,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,,No,No,No,,Yes,,No,No,No,Yes,,Yes,Yes,Yes,No,No,Yes,No,,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,No,No,Yes,No,No,No,No,,No,No,Yes,,No,,No,Yes,Yes,No,No,No,,Yes,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,,No,Yes,No,No,,No,,No,No,No,,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,REFER FOR SPUTUM ANALYSIS,No,No,No,No,No,No,No,,Yes,Yes,2.0,No,,No,Yes,No,Yes,,No,No,No,No,,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,,Yes,No,No,No,,Yes,No,No,No,REFER FOR FURTHER MANAGEMENT,Yes,No,No,No,No,No,No,,Yes,Yes,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,,Yes,GIVE ANTIBIOTICS,No,No,No,No,No,No,No,No,Yes,,No,No,No,No,No,No,No,Yes,,Yes,Yes,Yes,No,No,No,Yes,No,No,,No,Yes
9,2,01072013,1,Yes,,,,1.0,2.0,Other,15,0,15,45,Questionnaire completed,,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,,No,No,No,SEVERE DEHYDRATION,No,REFER,No,No,No,No,,Yes,No,No,No,No,No,No,,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,,No,No,No,,No,,No,No,No,No,No,No,,No,No,No,Yes,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,,No,No,Yes,Yes,,Yes,,Yes,No,No,,Yes,No,No,No,No,No,No,No,,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,REFER FOR SPUTUM ANALYSIS,No,No,No,No,No,No,No,,No,No,1.0,No,SEPTRIN,No,No,No,Yes,ISOLATION OF PATIENT,No,No,No,No,,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,Yes,No,No,,Yes,No,No,No,,Yes,No,No,No,No,No,No,,No,No,Yes,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,No,No,No,No,,Yes,"ERGOMETRINE PLUS DICLOFENAC,METRONIDAZOLE,CIPROFLO",No,No,No,No,No,No,No,No,No,REFER,No,No,No,No,No,No,No,No,REFER TO NEXT LEVEL OF HEALTH CENTRE,No,No,No,No,No,No,No,No,No,,No,No
10,4,01072013,2,Yes,,,,1.0,4.0,Nurse,13,14,14,5,Questionnaire completed,,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,CHECK STOOL FOR WORMS,No,No,No,SOME DEHYDRATION,No,,Yes,No,No,Yes,,No,Yes,Yes,No,Yes,Yes,No,,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,,No,No,Yes,,Yes,COARTEM,No,No,Yes,No,Yes,No,,No,Yes,Yes,Yes,,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,,No,Yes,No,Yes,,No,,No,No,No,,No,No,No,No,No,No,No,No,,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,Yes,No,,Yes,No,2.0,Yes,,No,No,Yes,No,,Yes,No,No,Yes,,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,,Yes,No,No,No,,No,No,No,Yes,,No,No,No,Yes,No,No,No,,Yes,No,Yes,REFER TO A MIDWIFE,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,REFER,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,,No,,No,No,No,No,No,No,No,No,No,REFER,No,No,No,No,No,No,No,No,REFER,No,No,No,No,No,No,No,No,No,,No,No
