fac_id,staff_id,h2sa203,h2sa204,h2sa205,h2sa206,h2sa207,h2sa208,h2sa208o,h2sa209,h2bID,h2b211,h2b212,h2b213,h2b214,h2b215,h2b215o,h2b216,h2b216o,h2b217
1,1,Nurse,Female,35-44,Yes,Yes,,,Yes,1.0,1.0,Nurse,Female,No,Other (to specify),ON AN EMERGENCY AT A NEARBY POLICE POST,,,
1,2,Nurse,Male,Younger than 25,Yes,No,In training/seminar,,Yes,2.0,2.0,Nurse,Male,No,Not approved Absence,,,,
1,3,Other,Female,25-34,Yes,No,Sick/maternity,,Yes,3.0,3.0,Other,Female,Yes,Sick/maternity,,,,
2,1,Clinical Officer,Male,25-34,Yes,Yes,,,Yes,1.0,1.0,Clinical Officer,Male,No,In training/seminar,,,,
2,2,Clinical Officer,Male,25-34,Yes,No,Doing fieldwork,,Yes,2.0,2.0,Clinical Officer,Male,No,Not his/her shift,,,,
2,3,Nurse,Female,25-34,Yes,Yes,,,Yes,3.0,3.0,Nurse,Female,No,Not his/her shift,,,,
2,4,Nurse,Female,Younger than 25,Yes,No,Not his/her shift,,Yes,4.0,4.0,Nurse,Female,No,Approved absence,,,,
2,5,Nurse,Female,Younger than 25,Yes,No,Not approved Absence,,Yes,5.0,5.0,Nurse,Female,No,Approved absence,,,,
2,6,Nurse,Female,25-34,Yes,Yes,,,Yes,6.0,6.0,Nurse,Female,No,In training/seminar,,,,
2,7,Other,Female,25-34,No,No,Not approved Absence,,No,,,,,,,,,,
2,8,Other,Female,Younger than 25,No,No,Not approved Absence,,No,,,,,,,,,,
2,9,Other,Female,25-34,No,No,Official mission,,No,,,,,,,,,,
2,10,Nurse,Female,25-34,No,Yes,,,No,,,,,,,,,,
2,11,Nurse,Female,25-34,No,Yes,,,No,,,,,,,,,,
2,12,Nurse,Female,25-34,No,No,Not his/her shift,,No,,,,,,,,,,
2,13,Nurse,Female,25-34,No,Yes,,,No,,,,,,,,,,
2,14,Other,Male,25-34,No,Yes,,,No,,,,,,,,,,
3,1,Nurse,Female,Younger than 25,Yes,Yes,,,Yes,1.0,1.0,Nurse,Female,No,Official mission,,,,
3,2,Nurse,Female,Younger than 25,No,Yes,,,No,,,,,,,,,,
4,1,Nurse,Female,35-44,Yes,Yes,,,Yes,1.0,1.0,Nurse,Female,No,Official mission,,,,
4,2,Clinical Officer,Female,25-34,Yes,Yes,,,Yes,2.0,2.0,Clinical Officer,Female,No,Approved absence,,,,
4,3,Nurse,Male,Younger than 25,Yes,Yes,,,Yes,3.0,3.0,Nurse,Male,No,Not his/her shift,,,,
4,4,Nurse,Female,Younger than 25,Yes,Yes,,,Yes,4.0,4.0,Nurse,Female,No,In training/seminar,,,,
4,5,Nurse,Female,Younger than 25,Yes,No,Not his/her shift,,Yes,5.0,5.0,Nurse,Female,No,Outreach,,,,
4,6,Nurse,Female,Younger than 25,Yes,No,Not his/her shift,,Yes,6.0,6.0,Nurse,Female,Yes,,,Providing Consultation (face-to face patient care),,Yes
4,7,Nurse,Female,Younger than 25,Yes,No,Not his/her shift,,Yes,7.0,7.0,Nurse,Female,Yes,,,Providing Consultation (face-to face patient care),,No
4,8,Other,Male,25-34,No,No,Not his/her shift,,No,,,,,,,,,,
4,9,Other,Female,Younger than 25,No,Yes,,,No,,,,,,,,,,
5,1,Other,Female,45 or older,Yes,Yes,,,Yes,1.0,1.0,Other,Female,Yes,,,Other (specify),WAS RECIEVING VISITORS IN DHO'S OFFICE,No
5,2,Clinical Officer,Male,Younger than 25,Yes,Yes,,,Yes,2.0,2.0,Clinical Officer,Male,Yes,,,Reviewing or writing in cart,,No
5,3,Nurse,Male,25-34,Yes,No,Approved absence,,Yes,3.0,3.0,Nurse,Female,4.0,,,,,
5,4,Other,Female,Younger than 25,No,No,Approved absence,,No,,,,,,,,,,
5,5,Other,Female,25-34,No,Yes,,,No,,,,,,,,,,
6,1,Nurse,Male,25-34,Yes,Yes,,,Yes,1.0,1.0,Nurse,Male,Yes,,,Writing a prescription,,No
6,2,Nurse,Male,Younger than 25,Yes,No,Not approved Absence,,Yes,2.0,2.0,Nurse,Male,No,Not approved Absence,,,,
6,3,Other,Female,25-34,No,No,Approved absence,,No,,,,,,,,,,
7,1,Other,Female,35-44,Yes,Yes,,,Yes,1.0,1.0,Other,Female,No,Other (to specify),REACHED THE FACILITY AT 4.20&WAS CLOSED,,,
7,2,Nurse,Male,Younger than 25,Yes,Yes,,,Yes,2.0,2.0,Nurse,Male,No,Other (to specify),REACHED THE FACILITY AT4.20&WAS CLOSED,,,
8,1,Nurse,Female,35-44,Yes,No,Not his/her shift,,Yes,1.0,1.0,Nurse,Female,Yes,,,Providing Consultation (face-to face patient care),,Yes
8,2,Nurse,Female,25-34,Yes,Yes,,,Yes,2.0,2.0,Nurse,Female,No,Not his/her shift,,,,
8,3,Other,Female,45 or older,Yes,No,Approved absence,,Yes,3.0,3.0,Other,Female,No,Approved absence,,,,
9,1,Nurse,Female,35-44,Yes,No,In training/seminar,,Yes,1.0,1.0,Nurse,Female,Yes,,,Reviewing or writing in cart,,Yes
9,2,Other,Male,35-44,Yes,Yes,,,Yes,2.0,2.0,Other,Male,Yes,,,Other (specify),WAITING FOR PATIENTS,Yes
9,3,Other,Female,35-44,Yes,No,Approved absence,,Yes,3.0,3.0,Other,Female,Yes,,,Providing Consultation (face-to face patient care),,Yes
9,4,Nurse,Female,25-34,No,No,In training/seminar,,No,,,,,,,,,,
10,1,Clinical Officer,Male,35-44,Yes,No,In training/seminar,,Yes,,,,,,,,,,
10,2,Nurse,Female,35-44,No,Yes,,,No,,,,,,,,,,
