fac_id,region,district,ward,s2014,s2016,finalwt,ipw,absprobsamp,abshwkwt,weight,hhrwt,probvign,hwkvignwt,owner_new,powner_new,strata,type,urban
1,1.0,1.0,91.0,Yes,Yes,44.826572,44.826572,1.0,44.826572,44.826572,44.826572,0.33333334,134.47972,Public,Public,3.0,Health Post,Rural
2,1.0,1.0,161.0,Yes,Yes,24.315657,24.315657,1.0,24.315657,24.315657,24.315657,0.33333334,72.94697,Public,Public,3.0,Health Post,Rural
3,1.0,1.0,121.0,Yes,Yes,5.476165,5.476165,0.4347826,12.5951805,5.476165,5.476165,0.2,27.380825,Public,Public,3.0,Health Center,Rural
4,1.0,1.0,51.0,Yes,Yes,9.841628,9.841628,1.0,9.841628,9.841628,9.841628,0.5,19.683256,Public,Public,3.0,Health Post,Rural
5,1.0,1.0,111.0,Yes,Yes,21.10774,21.10774,1.0,21.10774,21.10774,21.10774,1.0,21.10774,Private,Private,3.0,Health Post,Rural
7,1.0,1.0,11.0,Yes,Yes,4.4283915,4.4283915,1.0,4.4283915,4.4283915,4.4283915,0.5,8.856783,Public,Public,3.0,Health Post,Rural
8,1.0,1.0,71.0,Yes,Yes,18.159176,18.159176,0.7692308,23.606928,18.159176,18.159176,1.0,18.159176,Private,Private,3.0,Health Post,Rural
9,1.0,1.0,181.0,Yes,Yes,15.260387,15.260387,1.0,15.260387,15.260387,15.260387,0.5,30.520775,Public,Public,3.0,Health Post,Rural
10,1.0,2.0,53.0,Yes,Yes,7.4432554,7.4432554,0.5555556,13.39786,7.4432554,7.4432554,0.5,14.886511,Public,Public,3.0,Health Center,Rural
11,1.0,2.0,183.0,Yes,Yes,26.963009,26.963009,1.0,26.963009,26.963009,26.963009,0.6666667,40.44451,Public,Public,3.0,Health Post,Rural
12,1.0,2.0,183.0,Yes,Yes,26.963009,26.963009,1.0,26.963009,26.963009,26.963009,1.0,26.963009,Public,Public,3.0,Health Post,Rural
13,1.0,2.0,183.0,Yes,Yes,26.963009,26.963009,1.0,26.963009,26.963009,26.963009,1.0,26.963009,Public,Public,3.0,Health Post,Rural
15,1.0,2.0,183.0,Yes,Yes,26.963009,26.963009,1.0,26.963009,26.963009,26.963009,1.0,26.963009,Public,Public,3.0,Health Post,Rural
17,1.0,2.0,183.0,Yes,Yes,26.963009,26.963009,1.0,26.963009,26.963009,26.963009,1.0,26.963009,Public,Public,3.0,Health Post,Rural
18,1.0,3.0,141.0,Yes,Yes,19.205215,19.205215,1.0,19.205215,19.205215,19.205215,0.33333334,57.615646,Public,Public,3.0,Health Post,Rural
20,1.0,3.0,123.0,Yes,Yes,4.9419336,4.9419336,0.5555556,8.89548,4.9419336,4.9419336,0.5,9.883867,Public,Public,3.0,Health Center,Rural
21,1.0,3.0,123.0,Yes,Yes,10.229496,10.229496,1.0,10.229496,10.229496,10.229496,0.33333334,30.688488,Public,Public,3.0,Health Post,Rural
22,1.0,3.0,13.0,Yes,Yes,3.3450317,3.3450317,0.18518518,18.063171,3.3450317,3.6126344,0.1385862,24.136831,Public,Public,3.0,Hospital,Rural
23,1.0,3.0,51.0,Yes,Yes,29.542618,29.542618,1.0,29.542618,29.542618,29.542618,0.5,59.085236,Public,Public,3.0,Health Post,Rural
24,1.0,3.0,91.0,Yes,Yes,5.061153,5.061153,0.625,8.097845,5.061153,5.061153,0.5,10.122306,Public,Public,3.0,Health Center,Rural
25,1.0,3.0,91.0,Yes,Yes,21.543827,21.543827,1.0,21.543827,21.543827,21.543827,1.0,21.543827,Public,Public,3.0,Health Post,Rural
26,1.0,3.0,81.0,Yes,Yes,35.211956,35.211956,1.0,35.211956,35.211956,35.211956,0.5,70.42391,Public,Public,3.0,Health Post,Rural
28,1.0,3.0,111.0,Yes,Yes,16.284851,16.284851,1.0,16.284851,16.284851,16.284851,0.33333334,48.854553,Public,Public,3.0,Health Post,Rural
29,1.0,3.0,133.0,Yes,Yes,5.9430447,5.9430447,1.0,5.9430447,5.9430447,5.9430447,1.0,5.9430447,Public,Public,3.0,Health Post,Rural
31,1.0,3.0,41.0,Yes,Yes,34.62362,34.62362,1.0,34.62362,34.62362,34.62362,1.0,34.62362,Public,Public,3.0,Health Post,Rural
32,1.0,4.0,41.0,Yes,Yes,24.618433,24.618433,1.0,24.618433,24.618433,24.618433,0.5,49.236866,Public,Public,3.0,Health Post,Rural
33,1.0,4.0,11.0,Yes,Yes,8.352174,8.352174,0.6666667,12.528261,8.352174,8.352174,0.33333334,25.056522,Public,Public,3.0,Health Center,Rural
