fac_id,staff_id,m2saq1,m2saq2,m2saq3,m2q5_c,m2q6_hr,m2q6_mn,m2q7_hr,m2q7_mn,m2saq4,m2saq7,m2saq8,m2saq9,m2saq10,m2saq11,m2saq12,m2saq13,m2saq14,m2saq15,m2saq16,m2sbq1,m2sbq3,m2sbq5,m2sbq6,m2sbq7,m2sbq8,m2sbq9,m2sbq10,m2sbq11,m2sbq12,m2sbq13,m2sbq14
1,1,6-10,6-10,5 or less,501.0,11.0,46.0,12.0,1.0,1.0,Other,Secondary,Certificate,Female,25-34,No,Yes,,Yes,,1.0,1.0,Other,Secondary,Certificate,After 2000,Female,25-34,Yes,,Consultation/visiting patient,Yes
1,2,6-10,6-10,5 or less,501.0,11.0,46.0,12.0,1.0,2.0,Other,Secondary,Certificate,Male,Younger than 25,No,Yes,,Yes,,2.0,2.0,Other,Secondary,Certificate,After 2000,Male,Younger than 25,Yes,,Consultation/visiting patient,Yes
1,3,6-10,6-10,5 or less,501.0,11.0,46.0,12.0,1.0,3.0,Nurse,Secondary,Diploma,Female,Younger than 25,Yes,No,"On call (pre on call, post on call)",Yes,,3.0,3.0,Nurse,Secondary,Diploma,After 2000,Female,Younger than 25,Yes,,Consultation/visiting patient,Yes
1,4,6-10,6-10,5 or less,501.0,11.0,46.0,12.0,1.0,4.0,Nurse,Secondary,Diploma,Female,25-34,Yes,No,Training/seminar/meeting,Yes,,4.0,4.0,Nurse,Secondary,Diploma,After 2000,Male,25-34,Yes,,Consultation/visiting patient,No
1,5,6-10,6-10,5 or less,501.0,11.0,46.0,12.0,1.0,5.0,Clinical Officer,Secondary,Diploma,Male,Younger than 25,Yes,Yes,,Yes,Yes,5.0,5.0,Clinical Officer,Secondary,Diploma,After 2000,Male,Younger than 25,Yes,,Consultation/visiting patient,No
1,6,6-10,6-10,5 or less,501.0,11.0,46.0,12.0,1.0,6.0,Other,Secondary,Certificate,Male,25-34,No,No,Authorised absence (permision/leave),Yes,,6.0,6.0,Other,Secondary,Certificate,After 2000,Male,25-34,Yes,,Consultation/visiting patient,No
2,1,5 or less,5 or less,5 or less,503.0,11.0,3.0,12.0,4.0,1.0,Other,Secondary,Certificate,Male,35-44,Yes,Yes,,Yes,Yes,1.0,1.0,Other,Secondary,Certificate,After 2000,Male,45 or older,Yes,,Consultation/visiting patient,No
2,2,5 or less,5 or less,5 or less,503.0,11.0,3.0,12.0,4.0,2.0,Clinical Officer,Secondary,Certificate,Male,Younger than 25,Yes,No,Sickness/maternity,Yes,,2.0,2.0,Clinical Officer,Secondary,Certificate,After 2000,Male,Younger than 25,Yes,,Consultation/visiting patient,Yes
2,3,5 or less,5 or less,5 or less,503.0,11.0,3.0,12.0,4.0,3.0,Other,Secondary,Certificate,Female,Younger than 25,Yes,No,Sickness/maternity,Yes,,3.0,3.0,Other,Secondary,Certificate,After 2000,Male,Younger than 25,Yes,,Consultation/visiting patient,Yes
3,1,11-50,11-50,Over 5,502.0,8.0,56.0,9.0,20.0,1.0,Doctor,Post-Secondary,Advanced,Male,35-44,Yes,Yes,,No,Yes,,,,,,,,,,,,
